latent_dim,repeat,seed,train_networks,train_frames_per_network,epoch,train_mse_norm,val_mse_norm
1,1,414963348,1,1,1,0.0016529749846085906,2434649.7403846155
1,1,414963348,1,1,2,9.561940532876179e-05,2434787.355769231
1,1,414963348,1,1,3,0.0004729002248495817,2434707.3076923075
1,1,414963348,1,1,4,0.0004283707239665091,2434610.173076923
1,1,414963348,1,1,5,0.00017972082423511893,2434501.8076923075
1,1,414963348,1,1,6,6.3982282881625e-05,2434424.2884615385
1,1,414963348,1,1,7,6.623489025514573e-05,2434388.5096153845
1,1,414963348,1,1,8,9.745600254973397e-05,2434380.9326923075
1,1,414963348,1,1,9,0.00010753126844065264,2434381.980769231
1,1,414963348,1,1,10,9.263856918551028e-05,2434389.298076923
1,1,414963348,1,1,11,6.933653639862314e-05,2434419.923076923
1,1,414963348,1,1,12,5.618148497887887e-05,2434493.769230769
1,1,414963348,1,1,13,5.5453780078096315e-05,2434575.0673076925
1,1,414963348,1,1,14,4.22114462708123e-05,2434631.8846153845
1,1,414963348,1,1,15,1.9499568225000985e-05,2434649.3076923075
1,1,414963348,1,1,16,1.0770001608761959e-05,2434630.8076923075
1,1,414963348,1,1,17,1.8438318875269033e-05,2434587.2115384615
1,1,414963348,1,1,18,2.8779913918697275e-05,2434539.519230769
1,1,414963348,1,1,19,3.170201671309769e-05,2434501.9423076925
1,1,414963348,1,1,20,2.715666596486699e-05,2434473.971153846
1,1,414963348,1,1,21,2.0488578229560517e-05,2434462.125
1,1,414963348,1,1,22,1.5891153452685103e-05,2434465.8653846155
1,1,414963348,1,1,23,1.3373150977713522e-05,2434485.4615384615
1,1,414963348,1,1,24,1.0588591067062225e-05,2434516.6153846155
1,1,414963348,1,1,25,6.69083283355576e-06,2434553.2115384615
1,1,414963348,1,1,26,3.5187920275348006e-06,2434585.6923076925
1,1,414963348,1,1,27,3.1713771022623405e-06,2434611.4615384615
1,1,414963348,1,1,28,5.5363971114275046e-06,2434629.2115384615
1,1,414963449,1,2,1,1.0001208782196045,40.983737872197075
1,1,414963449,1,2,2,0.9764750599861145,40.94828510284424
1,1,414963449,1,2,3,0.952934980392456,40.8987764945397
1,1,414963449,1,2,4,0.9271072149276733,40.82406300764818
1,1,414963449,1,2,5,0.8973683714866638,40.70153625194843
1,1,414963449,1,2,6,0.8621786236763,40.48506230574388
1,1,414963449,1,2,7,0.8196224570274353,40.0882594035222
1,1,414963449,1,2,8,0.7654854655265808,39.40068193582388
1,1,414963449,1,2,9,0.6927146911621094,38.44566447918232
1,1,414963449,1,2,10,0.6150433421134949,38.0556238247798
1,1,414963449,1,2,11,0.6670680046081543,38.34137436059805
1,1,414963449,1,2,12,0.6689526438713074,38.53058950717632
1,1,414963449,1,2,13,0.5854143500328064,39.03042716246385
1,1,414963449,1,2,14,0.5437402725219727,39.641084964458756
1,1,414963449,1,2,15,0.5461552143096924,40.15126741849459
1,1,414963449,1,2,16,0.5444382429122925,40.668875840994026
1,1,414963449,1,2,17,0.5256018042564392,41.38257312774658
1,1,414963449,1,2,18,0.49564987421035767,42.26030048957238
1,1,414963449,1,2,19,0.47565263509750366,42.16827744704027
1,1,414963449,1,2,20,0.45666465163230896,41.024948413555435
1,1,414963449,1,2,21,0.43081480264663696,40.36673619196965
1,1,414963449,1,2,22,0.42831411957740784,40.40323169414814
1,1,414963449,1,2,23,0.4248228371143341,40.98948926192064
1,1,414963449,1,2,24,0.4050253927707672,42.39594334822435
1,1,414963449,1,2,25,0.38238266110420227,44.53569140801063
1,1,414963449,1,2,26,0.37633657455444336,45.693383583655724
1,1,414963449,1,2,27,0.37165945768356323,45.96323372767522
1,1,414963449,1,2,28,0.36976540088653564,46.46449367816631
1,1,414963449,1,2,29,0.3638741672039032,47.85361671447754
1,1,414963449,1,2,30,0.3598664104938507,49.11422656132625
1,1,414963651,1,4,1,1.0050002336502075,0.6727305421462426
1,1,414963651,1,4,2,0.9631909132003784,0.6481272211441627
1,1,414963651,1,4,3,0.9210872650146484,0.6208211779594421
1,1,414963651,1,4,4,0.8733123540878296,0.5859593038375561
1,1,414963651,1,4,5,0.8129599094390869,0.536634624004364
1,1,414963651,1,4,6,0.7286772727966309,0.48451349368462193
