split,sim_idx,frame,frame_order,frame_frac,final_p_ratio,z0,latent_dim,repeat,seed,train_networks,train_frames_per_network,z1
test,0,0,0,0.0,0.15031615373850205,-0.11173897236585617,1,1,414963348,1,1,
test,0,15,1,0.05263157894736842,0.15031615373850205,-51.063377380371094,1,1,414963348,1,1,
test,0,30,2,0.10526315789473684,0.15031615373850205,-121.33743286132812,1,1,414963348,1,1,
test,0,45,3,0.15789473684210525,0.15031615373850205,-194.19091796875,1,1,414963348,1,1,
test,0,60,4,0.21052631578947367,0.15031615373850205,-268.3944091796875,1,1,414963348,1,1,
test,0,75,5,0.2631578947368421,0.15031615373850205,-343.3051452636719,1,1,414963348,1,1,
test,0,90,6,0.3157894736842105,0.15031615373850205,-417.80377197265625,1,1,414963348,1,1,
test,0,105,7,0.3684210526315789,0.15031615373850205,-492.321533203125,1,1,414963348,1,1,
test,0,120,8,0.42105263157894735,0.15031615373850205,-566.24365234375,1,1,414963348,1,1,
test,0,135,9,0.47368421052631576,0.15031615373850205,-640.1644287109375,1,1,414963348,1,1,
test,0,150,10,0.5263157894736842,0.15031615373850205,-713.5184326171875,1,1,414963348,1,1,
test,0,165,11,0.5789473684210527,0.15031615373850205,-787.57763671875,1,1,414963348,1,1,
test,0,180,12,0.631578947368421,0.15031615373850205,-861.458984375,1,1,414963348,1,1,
test,0,195,13,0.6842105263157895,0.15031615373850205,-935.3964233398438,1,1,414963348,1,1,
test,0,210,14,0.7368421052631579,0.15031615373850205,-1009.1408081054688,1,1,414963348,1,1,
test,0,225,15,0.7894736842105263,0.15031615373850205,-1083.0391845703125,1,1,414963348,1,1,
test,0,240,16,0.8421052631578947,0.15031615373850205,-1157.0499267578125,1,1,414963348,1,1,
test,0,255,17,0.8947368421052632,0.15031615373850205,-1231.2005615234375,1,1,414963348,1,1,
test,0,270,18,0.9473684210526315,0.15031615373850205,-1305.1505126953125,1,1,414963348,1,1,
test,0,285,19,1.0,0.15031615373850205,-1379.0081787109375,1,1,414963348,1,1,
test,1,0,0,0.0,0.2511593493496609,-0.10977420955896378,1,1,414963348,1,1,
test,1,15,1,0.05263157894736842,0.2511593493496609,-46.90076446533203,1,1,414963348,1,1,
test,1,30,2,0.10526315789473684,0.2511593493496609,-118.9627685546875,1,1,414963348,1,1,
test,1,45,3,0.15789473684210525,0.2511593493496609,-193.42922973632812,1,1,414963348,1,1,
test,1,60,4,0.21052631578947367,0.2511593493496609,-266.8651428222656,1,1,414963348,1,1,
test,1,75,5,0.2631578947368421,0.2511593493496609,-340.2279357910156,1,1,414963348,1,1,
test,1,90,6,0.3157894736842105,0.2511593493496609,-413.68707275390625,1,1,414963348,1,1,
