repeat,train_networks,train_frames_per_network,split,signal,target,pearson_r,corr_r2,n
1,1,1,val,z0,final_p_ratio,0.584259522935978,0.34135919014137667,25
1,1,1,val,z0,stiffness_mean,-0.6905095296355737,0.47680341051754116,25
1,1,1,val,z0,stiffness_std,-0.6510757076493028,0.42389957709104037,25
1,1,1,val,z0,horizontal_stiffness,-0.6094198439221926,0.3713925461661496,25
1,1,1,val,z0,vertical_stiffness,-0.7166754517291782,0.5136237031112216,25
1,1,1,val,z0,diagonal_stiffness,0.412007919108034,0.1697505254077323,25
1,1,2,val,z0,final_p_ratio,-0.8304823318978792,0.6897009035945393,25
1,1,2,val,z0,stiffness_mean,0.8450924581817606,0.7141812628756908,25
1,1,2,val,z0,stiffness_std,0.7983606098082158,0.6373796632933462,25
1,1,2,val,z0,horizontal_stiffness,0.8106224324097976,0.6571087279259769,25
1,1,2,val,z0,vertical_stiffness,0.7471627441353926,0.5582521662239301,25
1,1,2,val,z0,diagonal_stiffness,-0.1068964973262205,0.011426861140614667,25
1,1,4,val,z0,final_p_ratio,-0.7412131965906851,0.5493970028001816,25
1,1,4,val,z0,stiffness_mean,0.8532319696785349,0.7280047940815123,25
1,1,4,val,z0,stiffness_std,0.7873479927210469,0.6199168616418618,25
1,1,4,val,z0,horizontal_stiffness,0.8632102847763437,0.7451319957436563,25
1,1,4,val,z0,vertical_stiffness,0.7704709002540833,0.5936254081383375,25
1,1,4,val,z0,diagonal_stiffness,-0.1220195196734434,0.014888763181337842,25
1,2,1,val,z0,final_p_ratio,0.8418076571798615,0.7086401316866472,25
1,2,1,val,z0,stiffness_mean,-0.9601372882922371,0.9218636123691705,25
1,2,1,val,z0,stiffness_std,-0.9262000496411993,0.85784653195536,25
1,2,1,val,z0,horizontal_stiffness,-0.9291530701061592,0.8633254276877013,25
1,2,1,val,z0,vertical_stiffness,-0.9045864561597965,0.8182766566677394,25
1,2,1,val,z0,diagonal_stiffness,0.4222334054271188,0.17828104865858166,25
1,2,2,val,z0,final_p_ratio,0.8881751602327067,0.7888551152543942,25
1,2,2,val,z0,stiffness_mean,-0.9608241171142148,0.9231829840283103,25
1,2,2,val,z0,stiffness_std,-0.9276779552057636,0.8605863885747467,25
1,2,2,val,z0,horizontal_stiffness,-0.9190832098779356,0.8447139466795294,25
1,2,2,val,z0,vertical_stiffness,-0.9269324593730993,0.8592037842394624,25
1,2,2,val,z0,diagonal_stiffness,0.4677684034846609,0.21880727929858854,25
1,2,4,val,z0,final_p_ratio,-0.9062033240080037,0.821204464443155,25
1,2,4,val,z0,stiffness_mean,0.9923842040655655,0.984826408478846,25
1,2,4,val,z0,stiffness_std,0.9302441022206835,0.8653540897163655,25
1,2,4,val,z0,horizontal_stiffness,0.9605137610999986,0.9225866852624652,25
1,2,4,val,z0,vertical_stiffness,0.9203165772138788,0.8469826022946694,25
1,2,4,val,z0,diagonal_stiffness,-0.046535770232250986,0.002165577911108857,25
1,4,1,val,z0,final_p_ratio,0.8058348573453863,0.649369817312859,25
1,4,1,val,z0,stiffness_mean,-0.9561482460486678,0.9142194684219437,25
1,4,1,val,z0,stiffness_std,-0.8585917457234404,0.737179785824425,25
1,4,1,val,z0,horizontal_stiffness,-0.8998893143954552,0.8098007781631223,25
1,4,1,val,z0,vertical_stiffness,-0.8512240499991924,0.7245823832970276,25
1,4,1,val,z0,diagonal_stiffness,0.16210434887861086,0.026277819925358385,25
1,4,2,val,z0,final_p_ratio,0.8621115869262794,0.7432363883125479,25
1,4,2,val,z0,stiffness_mean,-0.9763075763114683,0.9531764835631734,25
1,4,2,val,z0,stiffness_std,-0.9251076193982575,0.8558241074687112,25
