latent_dim,repeat,train_networks,train_frames_per_network,val_z0_final_p_ratio_r,test_z0_final_p_ratio_r,test_z0_final_p_ratio_corr_r2,test_z0_final_p_ratio_val_fit_r2
1,1,1,1,0.7639534598507102,0.8700726362153468,0.7570263922907232,0.7170738907483715
1,1,1,2,0.6977085153368742,0.7928356141067507,0.6285883109960285,0.5377779529114739
1,1,1,4,-0.9462053373586309,-0.8674002582354329,0.7523832079868956,0.7521955361524809
1,1,2,1,0.8211188939590269,0.7327123573515829,0.5368673986157138,0.5022421945329287
1,1,2,2,0.8589930505917273,0.8570839886488368,0.7345929635981995,0.7330355587447672
1,1,2,4,0.94878275564801,0.8899313780587892,0.7919778576536156,0.7906441179644975
1,1,4,1,-0.8473937707605579,-0.8044956570334816,0.6472132621857333,0.631131134948355
1,1,4,2,0.8603976314155316,0.8828083132218415,0.779350517893593,0.687016987057725
1,1,4,4,0.9076523930341522,0.8662455363452892,0.7503813292381378,0.7400742391563153
1,2,1,1,0.4255549443898752,0.4530009670045761,0.20520987610708105,0.13122488226739248
1,2,1,2,0.7868652803583377,0.5987474020581977,0.358498451471441,-0.01908968704592917
1,2,1,4,0.6620614048294383,0.6177469623937387,0.38161130954669126,0.20853567177843602
1,2,2,1,0.544596322825889,0.6639381574182617,0.4408138768759564,0.4334270711683086
1,2,2,2,0.9300579286083891,0.8657727418990305,0.7495624406153654,0.7448393633149116
1,2,2,4,-0.8618784307569242,-0.8566500740324767,0.7338493493398479,0.7014240198046076
1,2,4,1,0.217204250662013,0.17957303388109105,0.032246474497259474,-0.20570741116754032
1,2,4,2,0.9367964264131287,0.9017320806241894,0.8131207452268296,0.7577240874042026
1,2,4,4,0.9101550542530803,0.9022736174930298,0.8140976808239583,0.8125633419895912
1,3,1,1,0.7987402817582379,0.721410099793936,0.5204325320846968,0.4705292427953356
1,3,1,2,-0.6602293898872462,-0.4317403182443995,0.18639970239777537,0.1566512115958747
1,3,1,4,-0.8595220058755987,-0.8371566764284408,0.7008313008887131,0.6625162458609655
1,3,2,1,-0.7143032328179157,-0.754213156298064,0.5688374851330879,0.5056827850665718
1,3,2,2,0.877036757568807,0.8660094341607214,0.7499723400553728,0.7442084371287785
1,3,2,4,0.7235429396519348,0.8727620944408784,0.7617136734928287,0.7377361693868445
1,3,4,1,-0.7413583167274562,-0.6694721602270888,0.44819297331912483,0.43977887928641746
1,3,4,2,0.7198677208429832,0.9038880421502475,0.8170135927422076,0.7369912950077038
1,3,4,4,0.8431381179990418,0.9113091536381882,0.8304843735047509,0.8102463473883605
2,1,1,1,-0.550351984032313,-0.12233272901900144,0.014965296589236437,-0.16385270310817623
2,1,1,2,0.6090759349147407,0.707820899019618,0.5010104250889402,0.4510565391545742
2,1,1,4,0.8481165243177731,0.8372821935890469,0.7010414717012862,0.6997340472661703
2,1,2,1,0.8808401570480234,0.8793135614544172,0.7731923393576511,0.7198158675367612
2,1,2,2,0.8804853558627207,0.8803648853201955,0.775042331304841,0.726384485834107
2,1,2,4,-0.8805661179945351,-0.9017612788028846,0.8131734039482138,0.8129785795462453
2,1,4,1,0.2504045879219416,0.15249229234168582,0.02325389922362217,0.020656097409420315
2,1,4,2,-0.7373550061290077,-0.8738624633642846,0.7636356048770957,0.7631890055765351
2,1,4,4,0.9240911771839814,0.8884826931957222,0.7894014961083238,0.7412492350859912
2,2,1,1,-0.8025699189096506,-0.7746684967231247,0.6001112798152658,0.5621447805646276
2,2,1,2,-0.734574755540965,-0.7618238324784374,0.5803755517321343,0.5734721839330423
2,2,1,4,0.8874117783355665,0.8671975427415682,0.752031578137014,0.6794772059789166
2,2,2,1,-0.8712610146286577,-0.8678306837345806,0.7531300956312297,0.7292598570991305
2,2,2,2,-0.8402311126346342,-0.8193729186493928,0.6713719798160244,0.6521641125607576
2,2,2,4,0.12637597046994828,0.010265609523360829,0.00010538273888611655,-0.02247439023950437
2,2,4,1,-0.4511398625523686,-0.7604982901306547,0.5783576492916495,0.453863833634074
2,2,4,2,0.8283095758104659,0.8286051317987637,0.6865864644432466,0.6850514958763423
2,2,4,4,-0.3779523461514897,-0.3587461123350937,0.12869877311554365,0.1279003665908025
2,3,1,1,-0.8053005042012591,-0.8839238379565565,0.7813213513078487,0.769213599735292
2,3,1,2,-0.7906347605533655,-0.8841423723603319,0.7817077346029557,0.7751366319020785
2,3,1,4,-0.9081436001452428,-0.8428080326549201,0.7103253799076569,0.7100038570251052
2,3,2,1,0.8133408700877524,0.868781835904956,0.7547818783983858,0.7061527891209805
2,3,2,2,-0.19809556600100173,-0.23751683645624133,0.05641424760018089,-0.0004700407817650465
2,3,2,4,0.4717764064288943,-0.08653295802915643,0.007487952825275749,-0.27676321852653185
2,3,4,1,0.1480197512714451,-0.1537980677188554,0.023653845634053632,-0.1683076996131505
2,3,4,2,0.9571336549662042,0.8895660859185135,0.7913278212163841,0.7347205129355068
2,3,4,4,-0.9229289279574813,-0.8626517621228506,0.7441680626936591,0.470383579268168
