latent_dim,train_networks,train_frames_per_network,test_z0_final_p_ratio_corr_r2_mean,test_z0_final_p_ratio_corr_r2_std,test_z0_final_p_ratio_val_fit_r2_mean,test_z0_final_p_ratio_val_fit_r2_std,repeats
1,1,1,0.494222933494167,0.2768403405881637,0.43960933860369983,0.2941458745944799,3
1,1,2,0.39116215495508166,0.22289656690372145,0.22511315915380647,0.28467643177035346,3
1,1,4,0.6116086061407667,0.20084438531311308,0.5410824845972941,0.29146377272961893,3
1,2,1,0.5155062535415861,0.0666313361486344,0.48045068358926973,0.04075996209078985,3
1,2,2,0.7447092480896459,0.00876335628179293,0.7406944530628191,0.006640294691834331,3
1,2,4,0.7625136268287641,0.029072509587249187,0.7432681023853166,0.044866559829563384,3
1,4,1,0.37588423666737253,0.3137952398254305,0.2884008676890774,0.43847595699503833,3
1,4,2,0.8031616186208769,0.020712676162875174,0.7272441231565437,0.03634733868075831,3
1,4,4,0.7983211278556156,0.04231783480835164,0.7876279761780891,0.041199035723515944,3
2,1,1,0.4654659759041169,0.40052767576031917,0.38916855906391445,0.4899936339168015,3
2,1,2,0.6210312371413435,0.14469764496760543,0.5998884516632317,0.1636470012844798,3
2,1,4,0.721132809915319,0.027158758184232242,0.6964050367567306,0.01553321728596206,3
2,2,1,0.7603681044624221,0.0111367790255295,0.7184095045856241,0.011617553107236545,3
2,2,2,0.5009428529070155,0.3884470956854785,0.4593595192043665,0.399949476971765,3
2,2,4,0.27358891317079187,0.4673084555204597,0.1712469902600697,0.5701142662341628,3
2,4,1,0.2084217980497751,0.32037390735642074,0.1020707438101146,0.31897588103524865,3
2,4,2,0.7471832968455754,0.05427427368783888,0.7276536714627948,0.03954519935260493,3
2,4,4,0.5540894439725088,0.36909271601282506,0.44651106031498716,0.30737051174756425,3
