latent_dim,repeat,train_networks,train_frames_per_network,split,signal,target,pearson_r,corr_r2,n
1,1,1,1,val,z0,final_p_ratio,0.7639534598507102,0.5836248888178707,25
1,1,1,1,val,z0,stiffness_mean,-0.9631857065954244,0.9277267053897269,25
1,1,1,1,val,z0,stiffness_std,-0.8912354431446745,0.7943006151172843,25
1,1,1,1,val,z0,near_zero_stiffness_edge_count,-0.48740011115683857,0.2375588683556986,25
1,1,1,1,val,z0,near_zero_stiffness_edge_fraction,-0.4328038769802655,0.1873191959291488,25
1,1,1,1,val,z0,horizontal_stiffness,-0.9350228024003233,0.874267641008554,25
1,1,1,1,val,z0,vertical_stiffness,-0.8959616654292876,0.8027473059188226,25
1,1,1,1,val,z0,diagonal_stiffness,0.11783382180992627,0.013884809562333456,25
1,1,1,1,val,z1,final_p_ratio,,,0
1,1,1,1,val,z1,stiffness_mean,,,0
1,1,1,1,val,z1,stiffness_std,,,0
1,1,1,1,val,z1,near_zero_stiffness_edge_count,,,0
1,1,1,1,val,z1,near_zero_stiffness_edge_fraction,,,0
1,1,1,1,val,z1,horizontal_stiffness,,,0
1,1,1,1,val,z1,vertical_stiffness,,,0
1,1,1,1,val,z1,diagonal_stiffness,,,0
1,1,1,2,val,z0,final_p_ratio,0.6977085153368742,0.48679717237358516,25
1,1,1,2,val,z0,stiffness_mean,-0.8674934563501887,0.7525448968103967,25
1,1,1,2,val,z0,stiffness_std,-0.7995622278330635,0.6392997561773718,25
1,1,1,2,val,z0,near_zero_stiffness_edge_count,-0.34369759562509616,0.11812803723847212,25
1,1,1,2,val,z0,near_zero_stiffness_edge_fraction,-0.31982612257363663,0.10228874868048685,25
1,1,1,2,val,z0,horizontal_stiffness,-0.7800557454063141,0.6084869659414003,25
1,1,1,2,val,z0,vertical_stiffness,-0.8322214678329636,0.6925925715220524,25
1,1,1,2,val,z0,diagonal_stiffness,0.3916157332716462,0.15336288254588917,25
1,1,1,2,val,z1,final_p_ratio,,,0
1,1,1,2,val,z1,stiffness_mean,,,0
1,1,1,2,val,z1,stiffness_std,,,0
1,1,1,2,val,z1,near_zero_stiffness_edge_count,,,0
1,1,1,2,val,z1,near_zero_stiffness_edge_fraction,,,0
1,1,1,2,val,z1,horizontal_stiffness,,,0
1,1,1,2,val,z1,vertical_stiffness,,,0
1,1,1,2,val,z1,diagonal_stiffness,,,0
1,1,1,4,val,z0,final_p_ratio,-0.9462053373586309,0.8953045404459605,25
1,1,1,4,val,z0,stiffness_mean,0.9924541959274806,0.9849653310140621,25
1,1,1,4,val,z0,stiffness_std,0.9643117405930596,0.9298971330456163,25
1,1,1,4,val,z0,near_zero_stiffness_edge_count,0.43898504745913586,0.19270787189269975,25
1,1,1,4,val,z0,near_zero_stiffness_edge_fraction,0.42746186862006086,0.18272364912415417,25
1,1,1,4,val,z0,horizontal_stiffness,0.9553800180303301,0.9127509788516339,25
1,1,1,4,val,z0,vertical_stiffness,0.9498443997256135,0.902204383690111,25
1,1,1,4,val,z0,diagonal_stiffness,-0.5076438431274685,0.2577022714652258,25
1,1,1,4,val,z1,final_p_ratio,,,0
1,1,1,4,val,z1,stiffness_mean,,,0
1,1,1,4,val,z1,stiffness_std,,,0
1,1,1,4,val,z1,near_zero_stiffness_edge_count,,,0
1,1,1,4,val,z1,near_zero_stiffness_edge_fraction,,,0
1,1,1,4,val,z1,horizontal_stiffness,,,0
1,1,1,4,val,z1,vertical_stiffness,,,0
1,1,1,4,val,z1,diagonal_stiffness,,,0
1,1,2,1,val,z0,final_p_ratio,0.8211188939590269,0.6742362380164957,25
1,1,2,1,val,z0,stiffness_mean,-0.9256771481546507,0.8568781826157272,25
1,1,2,1,val,z0,stiffness_std,-0.8900333377236647,0.7921593422595269,25
1,1,2,1,val,z0,near_zero_stiffness_edge_count,-0.41880144418801474,0.1753946496539668,25
1,1,2,1,val,z0,near_zero_stiffness_edge_fraction,-0.3905450865158256,0.1525254646016537,25
1,1,2,1,val,z0,horizontal_stiffness,-0.9080044527260864,0.8244720861703997,25
1,1,2,1,val,z0,vertical_stiffness,-0.8825308718706394,0.7788607398047509,25
1,1,2,1,val,z0,diagonal_stiffness,0.39449950823867924,0.15562986200055975,25
1,1,2,1,val,z1,final_p_ratio,,,0
1,1,2,1,val,z1,stiffness_mean,,,0
1,1,2,1,val,z1,stiffness_std,,,0
1,1,2,1,val,z1,near_zero_stiffness_edge_count,,,0
1,1,2,1,val,z1,near_zero_stiffness_edge_fraction,,,0
1,1,2,1,val,z1,horizontal_stiffness,,,0
1,1,2,1,val,z1,vertical_stiffness,,,0
1,1,2,1,val,z1,diagonal_stiffness,,,0
1,1,2,2,val,z0,final_p_ratio,0.8589930505917273,0.7378690609648817,25
1,1,2,2,val,z0,stiffness_mean,-0.9603512258065428,0.9222744769081292,25
1,1,2,2,val,z0,stiffness_std,-0.938731867037236,0.8812175181912149,25
1,1,2,2,val,z0,near_zero_stiffness_edge_count,-0.41727735799601223,0.17412039349613215,25
1,1,2,2,val,z0,near_zero_stiffness_edge_fraction,-0.4008726943520088,0.16069891707703907,25
1,1,2,2,val,z0,horizontal_stiffness,-0.9214912414003057,0.8491461079774765,25
