latent_dim,repeat,train_networks,train_frames_per_network,split,signal,target,pearson_r,corr_r2,n
1,1,1,1,test,z0,trajectory_progress_frame_frac,-0.9652571271614693,0.9317213215360128,500
1,1,1,1,test,z1,trajectory_progress_frame_frac,,,0
1,1,1,2,test,z0,trajectory_progress_frame_frac,-0.7639763275658894,0.5836598290810632,500
1,1,1,2,test,z1,trajectory_progress_frame_frac,,,0
1,1,1,4,test,z0,trajectory_progress_frame_frac,0.8521075747947121,0.7260873190225259,500
1,1,1,4,test,z1,trajectory_progress_frame_frac,,,0
1,1,2,1,test,z0,trajectory_progress_frame_frac,-0.20401458653082147,0.04162195151734204,500
1,1,2,1,test,z1,trajectory_progress_frame_frac,,,0
1,1,2,2,test,z0,trajectory_progress_frame_frac,0.6060761621538922,0.36732831433119095,500
1,1,2,2,test,z1,trajectory_progress_frame_frac,,,0
1,1,2,4,test,z0,trajectory_progress_frame_frac,-0.35723288473009196,0.12761533393258317,500
1,1,2,4,test,z1,trajectory_progress_frame_frac,,,0
1,1,4,1,test,z0,trajectory_progress_frame_frac,-0.9482756471552691,0.8992267029877444,500
1,1,4,1,test,z1,trajectory_progress_frame_frac,,,0
1,1,4,2,test,z0,trajectory_progress_frame_frac,-0.6615943136528422,0.43770703585777526,500
1,1,4,2,test,z1,trajectory_progress_frame_frac,,,0
1,1,4,4,test,z0,trajectory_progress_frame_frac,-0.38375132164792464,0.1472650768665289,500
1,1,4,4,test,z1,trajectory_progress_frame_frac,,,0
1,2,1,1,test,z0,trajectory_progress_frame_frac,0.9680200657593895,0.9370628477128128,500
1,2,1,1,test,z1,trajectory_progress_frame_frac,,,0
1,2,1,2,test,z0,trajectory_progress_frame_frac,-0.6500028364981407,0.42250368745562866,500
1,2,1,2,test,z1,trajectory_progress_frame_frac,,,0
1,2,1,4,test,z0,trajectory_progress_frame_frac,-0.8346745202422705,0.6966815547416645,500
1,2,1,4,test,z1,trajectory_progress_frame_frac,,,0
1,2,2,1,test,z0,trajectory_progress_frame_frac,-0.5556595841588616,0.308757573467599,500
1,2,2,1,test,z1,trajectory_progress_frame_frac,,,0
1,2,2,2,test,z0,trajectory_progress_frame_frac,0.4236302168662441,0.179462560642141,500
1,2,2,2,test,z1,trajectory_progress_frame_frac,,,0
1,2,2,4,test,z0,trajectory_progress_frame_frac,0.6357793597389361,0.4042153942700515,500
1,2,2,4,test,z1,trajectory_progress_frame_frac,,,0
1,2,4,1,test,z0,trajectory_progress_frame_frac,-0.07638266647438248,0.005834311737736754,500
1,2,4,1,test,z1,trajectory_progress_frame_frac,,,0
1,2,4,2,test,z0,trajectory_progress_frame_frac,-0.1982796588830066,0.03931482312676146,500
1,2,4,2,test,z1,trajectory_progress_frame_frac,,,0
1,2,4,4,test,z0,trajectory_progress_frame_frac,-0.3347612292293386,0.11206508059513778,500
1,2,4,4,test,z1,trajectory_progress_frame_frac,,,0
1,3,1,1,test,z0,trajectory_progress_frame_frac,-0.7110793567518959,0.5056338515986901,500
1,3,1,1,test,z1,trajectory_progress_frame_frac,,,0
1,3,1,2,test,z0,trajectory_progress_frame_frac,-0.7294674384866119,0.5321227438122189,500
1,3,1,2,test,z1,trajectory_progress_frame_frac,,,0
1,3,1,4,test,z0,trajectory_progress_frame_frac,-0.7159009877024644,0.512514224193364,500
1,3,1,4,test,z1,trajectory_progress_frame_frac,,,0
1,3,2,1,test,z0,trajectory_progress_frame_frac,-0.3486760976334438,0.12157502106088684,500
1,3,2,1,test,z1,trajectory_progress_frame_frac,,,0
1,3,2,2,test,z0,trajectory_progress_frame_frac,-0.6921315208750664,0.4790460421888324,500
1,3,2,2,test,z1,trajectory_progress_frame_frac,,,0
1,3,2,4,test,z0,trajectory_progress_frame_frac,0.6467708042018283,0.41831247316787973,500
1,3,2,4,test,z1,trajectory_progress_frame_frac,,,0
1,3,4,1,test,z0,trajectory_progress_frame_frac,-0.5344892024392249,0.2856787075241188,500
1,3,4,1,test,z1,trajectory_progress_frame_frac,,,0
1,3,4,2,test,z0,trajectory_progress_frame_frac,0.6951576647711639,0.4832441788900979,500
1,3,4,2,test,z1,trajectory_progress_frame_frac,,,0
1,3,4,4,test,z0,trajectory_progress_frame_frac,-0.30465959772954515,0.09281747048872828,500
1,3,4,4,test,z1,trajectory_progress_frame_frac,,,0
2,1,1,1,test,z0,trajectory_progress_frame_frac,0.7059181743863928,0.4983204689290177,500
2,1,1,1,test,z1,trajectory_progress_frame_frac,0.6771725916433479,0.45856271887296834,500
2,1,1,2,test,z0,trajectory_progress_frame_frac,-0.5793397037061002,0.335634492290272,500
2,1,1,2,test,z1,trajectory_progress_frame_frac,-0.5791607372644556,0.3354271595887078,500
2,1,1,4,test,z0,trajectory_progress_frame_frac,0.5444392343871538,0.2964140799400702,500
2,1,1,4,test,z1,trajectory_progress_frame_frac,-0.5438830388631583,0.2958087599630237,500
2,1,2,1,test,z0,trajectory_progress_frame_frac,0.9073891400078965,0.82335505140427,500
2,1,2,1,test,z1,trajectory_progress_frame_frac,-0.6862415224640698,0.47092742715380437,500
2,1,2,2,test,z0,trajectory_progress_frame_frac,-0.7204351581175897,0.5190268170519166,500
2,1,2,2,test,z1,trajectory_progress_frame_frac,0.7208049011776348,0.5195597055617,500
2,1,2,4,test,z0,trajectory_progress_frame_frac,0.6664015216562679,0.4440909880657893,500
2,1,2,4,test,z1,trajectory_progress_frame_frac,0.5963693920445223,0.3556564517675532,500
2,1,4,1,test,z0,trajectory_progress_frame_frac,0.8026794696921935,0.644294331065341,500
2,1,4,1,test,z1,trajectory_progress_frame_frac,-0.524788182807301,0.2754026368141892,500
2,1,4,2,test,z0,trajectory_progress_frame_frac,-0.4242037673729797,0.17994883625342908,500
2,1,4,2,test,z1,trajectory_progress_frame_frac,-0.4354145785505573,0.18958585521435944,500
2,1,4,4,test,z0,trajectory_progress_frame_frac,-0.08846745242317348,0.007826490138246465,500
2,1,4,4,test,z1,trajectory_progress_frame_frac,0.18271343813848212,0.033384200476384934,500
2,2,1,1,test,z0,trajectory_progress_frame_frac,-0.3974944306226258,0.15800182237600546,500
2,2,1,1,test,z1,trajectory_progress_frame_frac,0.08744969592661408,0.007647449317657264,500
2,2,1,2,test,z0,trajectory_progress_frame_frac,-0.7502108296802167,0.5628162889694791,500
2,2,1,2,test,z1,trajectory_progress_frame_frac,-0.7445693205187859,0.5543834730578066,500
2,2,1,4,test,z0,trajectory_progress_frame_frac,-0.7471273450264521,0.5581992696862751,500
2,2,1,4,test,z1,trajectory_progress_frame_frac,-0.7474155705811127,0.5586300351470903,500
2,2,2,1,test,z0,trajectory_progress_frame_frac,-0.8394180487426949,0.7046226605549932,500
2,2,2,1,test,z1,trajectory_progress_frame_frac,0.8899824357523385,0.7920687359476652,500
2,2,2,2,test,z0,trajectory_progress_frame_frac,0.7789292208062848,0.6067307310258859,500
2,2,2,2,test,z1,trajectory_progress_frame_frac,0.7820076285662951,0.6115359311358806,500
2,2,2,4,test,z0,trajectory_progress_frame_frac,0.6561738802146816,0.4305641610759913,500
2,2,2,4,test,z1,trajectory_progress_frame_frac,0.6553191063599776,0.42944313116043964,500
2,2,4,1,test,z0,trajectory_progress_frame_frac,0.2988168886771376,0.08929153295868486,500
2,2,4,1,test,z1,trajectory_progress_frame_frac,0.2993811506214018,0.08962907334739448,500
2,2,4,2,test,z0,trajectory_progress_frame_frac,-0.5959214383425272,0.35512236067622643,500
2,2,4,2,test,z1,trajectory_progress_frame_frac,-0.6073139837506575,0.36883027485909387,500
2,2,4,4,test,z0,trajectory_progress_frame_frac,-0.711493820939047,0.5062234572344447,500
2,2,4,4,test,z1,trajectory_progress_frame_frac,0.7109160605607616,0.5054016451632325,500
2,3,1,1,test,z0,trajectory_progress_frame_frac,0.8787150953248899,0.7721402187518304,500
2,3,1,1,test,z1,trajectory_progress_frame_frac,0.9342418917133165,0.8728079122320762,500
2,3,1,2,test,z0,trajectory_progress_frame_frac,0.5724407266060292,0.32768838547723866,500
2,3,1,2,test,z1,trajectory_progress_frame_frac,0.5727493215399676,0.3280417853244932,500
2,3,1,4,test,z0,trajectory_progress_frame_frac,-0.6140388985934191,0.3770437689858192,500
2,3,1,4,test,z1,trajectory_progress_frame_frac,0.6129737887693019,0.3757368657181927,500
2,3,2,1,test,z0,trajectory_progress_frame_frac,0.9126387056226699,0.8329094070006223,500
2,3,2,1,test,z1,trajectory_progress_frame_frac,0.9446814374473068,0.8924230182575099,500
2,3,2,2,test,z0,trajectory_progress_frame_frac,0.635836470873715,0.4042880176931406,500
2,3,2,2,test,z1,trajectory_progress_frame_frac,0.6355931139928176,0.4039786065550868,500
2,3,2,4,test,z0,trajectory_progress_frame_frac,-0.8635117259996045,0.745652500938816,500
2,3,2,4,test,z1,trajectory_progress_frame_frac,-0.8634080736362253,0.7454735016202174,500
2,3,4,1,test,z0,trajectory_progress_frame_frac,-0.3902212689564699,0.15227263874599764,500
2,3,4,1,test,z1,trajectory_progress_frame_frac,-0.9673899956416506,0.9358434036675528,500
2,3,4,2,test,z0,trajectory_progress_frame_frac,0.09488633478688428,0.009003416529288686,500
2,3,4,2,test,z1,trajectory_progress_frame_frac,-0.009596743690563295,9.209748946236641e-05,500
2,3,4,4,test,z0,trajectory_progress_frame_frac,-0.5946495032326995,0.3536080316948963,500
