target,descriptor,pearson_r,abs_r
mean_axis_p_ratio,node_count,0.012849597829336671,0.012849597829336671
mean_axis_p_ratio,edge_count,0.014126796031477486,0.014126796031477486
mean_axis_p_ratio,edge_density,-0.0595005317776528,0.0595005317776528
mean_axis_p_ratio,mean_degree,0.06588256063378299,0.06588256063378299
mean_axis_p_ratio,std_degree,0.013087347054748417,0.013087347054748417
mean_axis_p_ratio,max_degree,0.00972863160328379,0.00972863160328379
mean_axis_p_ratio,min_degree,-0.11482063743315188,0.11482063743315188
mean_axis_p_ratio,x_span0,0.0161304921396508,0.0161304921396508
mean_axis_p_ratio,y_span0,0.031057281119454747,0.031057281119454747
mean_axis_p_ratio,aspect_ratio0,-0.2031466541990366,0.2031466541990366
mean_axis_p_ratio,x_center0,-0.04945660622483096,0.04945660622483096
mean_axis_p_ratio,y_center0,0.09336750745817214,0.09336750745817214
mean_axis_p_ratio,edge_len_mean,-0.777624703857328,0.777624703857328
mean_axis_p_ratio,edge_len_std,-0.12422394686818583,0.12422394686818583
mean_axis_p_ratio,edge_len_min,0.6466850414581538,0.6466850414581538
mean_axis_p_ratio,edge_len_max,0.09722615539445473,0.09722615539445473
mean_axis_p_ratio,stiffness_mean,0.7265076741034547,0.7265076741034547
mean_axis_p_ratio,stiffness_std,-0.9155450198860279,0.9155450198860279
mean_axis_p_ratio,stiffness_min,0.9291614958962523,0.9291614958962523
mean_axis_p_ratio,stiffness_max,-0.5622315996359242,0.5622315996359242
mean_axis_p_ratio,left_mean_degree,0.030855255073414897,0.030855255073414897
mean_axis_p_ratio,right_mean_degree,-0.0640441882801873,0.0640441882801873
mean_axis_p_ratio,top_mean_degree,0.020140746754399478,0.020140746754399478
mean_axis_p_ratio,bottom_mean_degree,-0.055897674333539926,0.055897674333539926
mean_axis_p_ratio,left_right_degree_asymmetry,-0.061520796092981805,0.061520796092981805
mean_axis_p_ratio,top_bottom_degree_asymmetry,0.05374901964301923,0.05374901964301923
mean_axis_p_ratio,hessian_lambda1,,
mean_axis_p_ratio,hessian_lambda2,,
mean_axis_p_ratio,hessian_lambda3,,
mean_axis_p_ratio,hessian_lambda4,0.4997314861359048,0.4997314861359048
mean_axis_p_ratio,hessian_lambda5,0.5595815755617238,0.5595815755617238
mean_axis_p_ratio,hessian_lambda6,0.48758021839473054,0.48758021839473054
mean_axis_p_ratio,hessian_lambda7,0.6042576623930801,0.6042576623930801
