dataset,split,sim_idx,frames,final_p_ratio,mean_x_compression,final_x_compression,mean_axis_p_ratio,initial_axis_p_ratio,final_axis_p_ratio,slope_axis_p_ratio,range_axis_p_ratio,early_slope_axis_p_ratio,mean_axis_x_compression,initial_axis_x_compression,final_axis_x_compression,slope_axis_x_compression,range_axis_x_compression,early_slope_axis_x_compression,original_sim_idx,abs_final_p_ratio_diff,raw_frames,node_count,edge_count,edge_density,mean_degree,std_degree,max_degree,min_degree,x_span0,y_span0,aspect_ratio0,x_center0,y_center0,edge_len_mean,edge_len_std,edge_len_min,edge_len_max,stiffness_mean,stiffness_std,stiffness_min,stiffness_max,left_mean_degree,right_mean_degree,top_mean_degree,bottom_mean_degree,left_right_degree_asymmetry,top_bottom_degree_asymmetry,hessian_lambda1,hessian_lambda2,hessian_lambda3,hessian_lambda4,hessian_lambda5,hessian_lambda6,hessian_lambda7,hessian_lambda8,hessian_lambda9,hessian_lambda10,hessian_lambda11,hessian_lambda12,hessian_mode5_participation,hessian_mode5_x_fraction,hessian_mode6_participation,hessian_mode6_x_fraction,hessian_gap_6_5
dePablo CV2,test,0,157,0.1530195983709399,0.00521519000944766,0.0104359503280486,0.9932928038449018,0.8296180220574163,1.144622374830327,0.3150043527729107,0.3150043527729107,0.34120932337079174,0.036634972581936966,-1.8961952041679333,1.9727003194030133,3.868895523570947,3.868895523570947,3.856852243351508,67,2.7755575615628914e-17,157,208,606,0.02814938684503902,5.826923076923077,0.7837570720121091,8.0,4.0,15.777189254760742,15.605569839477539,1.0109973180760792,0.012214899063110352,-0.017284870147705078,2.5270030017536467,4.054747357386601,0.4182542562484741,21.06146812438965,0.864303645767001,0.21574078727163162,0.44842493534088135,2.3909060955047607,5.875,5.71875,5.84375,5.84375,-0.15625,0.0,-4.3572578802781973e-16,-3.743788278691848e-16,1.3340487452829173e-09,0.022969163647082964,0.033685610044877606,0.04096991423259563,0.042146879595352044,0.07808994719508947,0.10361971742227538,0.12688151728867417,0.12890013580841872,0.14144264573238316,0.5608870150897137,0.49825644901196353,0.6148674065158011,0.7715856286753029,0.007284304187718027
dePablo CV2,test,1,121,-0.2469577020921137,0.003580198405730988,0.0070975691877715,-0.7402990764798707,-0.6966452612746995,-0.8196440952744579,-0.12299883399975842,0.1257495904698499,-0.04405877360020716,-0.012718537978244064,-1.1874755597391569,1.2272358528310447,2.4147114125702016,2.4147114125702016,2.244278075951126,69,5.551115123125783e-17,121,124,355,0.04655127196433255,5.725806451612903,0.7863626931128328,8.0,4.0,12.0548095703125,12.076519966125488,0.9982022639076583,-0.053244829177856445,-0.04008007049560547,2.5612455390708546,3.32583111260913,0.35217875242233276,15.746223449707031,0.8363386904689628,0.32266296327197386,0.39025813341140747,2.839524984359741,5.578947368421052,5.7894736842105265,5.894736842105263,5.684210526315789,0.21052631578947434,0.21052631578947345,5.899417781281415e-17,4.506696213492931e-16,4.0604356621754853e-10,0.02722743952531903,0.04073338398391742,0.05561730726325683,0.058616785119183855,0.08881061480676543,0.09815652168270653,0.11953123887860807,0.1289677470637044,0.13347660331283412,0.6636868270277843,0.48151004817808907,0.7233842387499921,0.9146615422283068,0.014883923279339413
dePablo CV2,test,2,146,0.0034385083193314,0.00517491753637718,0.0103439418115425,0.4503719528531907,0.3775776826597268,0.5095018800022153,0.1319241973424885,0.1319241973424885,0.15823988756596846,-0.1261092316938626,-1.7608919746340197,1.481723762553414,3.2426157371874336,3.2426157371874336,3.2894677141898123,15,7.936359902593892e-17,146,180,522,0.03240223463687151,5.8,0.8259674462242578,8.0,4.0,14.64622974395752,14.562509536743164,1.0057490233399071,0.021275043487548828,0.037325143814086914,2.6304658378449437,3.9729853287511383,0.2725355327129364,19.712862014770508,0.8644931942681243,0.2970250648596757,0.41142112016677856,3.6691462993621826,5.814814814814815,5.62962962962963,5.962962962962963,5.814814814814815,-0.18518518518518512,0.14814814814814792,-1.9543265026709554e-10,-1.2466570724504983e-15,-9.202438155243547e-16,0.03413084175438123,0.03620510220801066,0.044557368080361294,0.07833949157625783,0.0837845391574016,0.10417077321614925,0.11782101699101666,0.12564652492525924,0.13950053373462395,0.7137983796422023,0.7312644571793683,0.6376063247083069,0.20925927993080906,0.008352265872350634
dePablo CV2,test,3,149,-0.3408093698103313,0.005240204903633684,0.0102045063208316,-1.2620253593150725,-1.1569643234620453,-1.448510902277075,-0.29154657881502977,0.29425278676769406,-0.11582807435633174,-0.09754216838095993,-1.2394894889105708,1.1744654581878329,2.4139549470984036,2.4139549470984036,2.0874489387910944,83,0.0,149,188,543,0.030890886335191717,5.776595744680851,0.833529477444635,8.0,4.0,14.779629707336426,14.967140197753906,0.9874718558161418,-0.09009504318237305,0.03513002395629883,2.8279637031902047,4.105318423180993,0.28775665163993835,19.732707977294922,0.8460886245713488,0.3811138006118514,0.32705697417259216,3.475053071975708,5.793103448275862,5.758620689655173,5.793103448275862,5.862068965517241,-0.0344827586206895,-0.068965517241379,-1.6197576113675285e-10,-2.0031834543110728e-16,5.848531830475981e-16,0.019221003831456626,0.026415453089241984,0.02776614024359699,0.04001712678426045,0.047932400284681875,0.055691111770582405,0.05755142991731717,0.06684305886673941,0.07832117895243673,0.4295164781797145,0.3050776808557762,0.5495636093290857,0.5707126264147229,0.0013506871543550077
dePablo CV2,test,4,158,-0.1228363174122356,0.004584875652151397,0.0091382314423096,0.035454872220308,0.0245469454329681,0.0230437194074372,-0.0015032260255309002,0.0178516822929886,0.04357489798607163,-0.28421898891823827,-1.7267089204052093,1.1397587745611413,2.8664676949663503,2.8664676949663503,2.8888835812672036,65,2.7755575615628914e-17,158,212,602,0.02691585442189037,5.679245283018868,0.7776011711318821,7.0,4.0,15.778850555419922,15.762090682983398,1.0010633026273994,0.0793449878692627,-0.061734914779663086,2.590394287905424,4.083713999935713,0.24615487456321716,21.44971466064453,0.8671852617069732,0.3563228972548682,0.3998429775238037,4.062446117401123,5.75,5.6875,5.5625,5.6875,-0.0625,-0.125,-1.0195240832223042e-15,1.4911600911297467e-16,1.7698905460387848e-11,0.005273509455279691,0.024175360155403627,0.031280391225515514,0.032834671198711335,0.04970562970720069,0.06252582055690423,0.0691333946894825,0.08464601873761401,0.08981416635735219,0.7220024604841275,0.46291623038581353,0.6969656709806018,0.6744913744688855,0.007105031070111886
dePablo CV2,test,5,177,-0.4243771285176554,0.00512759610176795,0.0103049639874723,-1.1342396658384046,-0.909076511256472,-1.4602518208748223,-0.5511753096183503,0.5546830662536159,-0.3323264150903705,0.14079376641525493,-1.3428687846488343,1.883720617327426,3.22658940197626,3.22658940197626,2.6274467987881227,47,5.551115123125783e-17,177,264,756,0.021776702385067404,5.7272727272727275,0.74965556829412,7.0,4.0,17.6837100982666,17.74681854248047,0.9964439573176,-0.05693531036376953,-0.018129825592041016,2.802710681601807,4.5552289817090275,0.28204429149627686,23.455350875854492,0.8586354150816247,0.4035165857608769,0.32002905011177063,3.5455315113067627,5.8,5.7,5.675,5.625,-0.09999999999999964,0.04999999999999982,-4.3083215017929317e-10,-1.850383282686415e-16,-1.4805653454671677e-16,0.004644335816932907,0.015889985177750962,0.0177418418524935,0.023614632175374677,0.03375609691603679,0.03698816770471728,0.050153775122976856,0.0544791335964189,0.05649104902244763,0.8554156678926207,0.465080082142175,0.4717109713455174,0.7295303727919831,0.0018518566747425386
dePablo CV2,test,6,154,-0.3836751706292006,0.0046908258739849955,0.0093633507560799,-0.8136458502796402,-0.6592814452756632,-1.0735902480855652,-0.414308802809902,0.41778331712818695,-0.1855153449706873,0.1085255625958761,-1.2308478045687623,1.5842692881175098,2.815117092686272,2.815117092686272,2.4956521483064313,16,0.0,154,200,576,0.028944723618090452,5.76,0.8077128202523468,7.0,4.0,15.426069259643555,15.22007942199707,1.013534084280058,0.022464990615844727,0.06205010414123535,2.665400063024006,4.022423999285221,0.24450330436229706,20.694242477416992,0.8459966351381607,0.3759885775270037,0.3738531470298767,4.089723587036133,5.966666666666667,5.766666666666667,5.8,5.833333333333333,-0.20000000000000018,-0.033333333333333215,1.8638602158102453e-17,3.2800741573159483e-16,4.401966205744502e-10,0.026514790502741564,0.028696774645197338,0.03373194716061547,0.043983269536414724,0.054581626547919766,0.07310608339635069,0.07454031245296361,0.08002903505926207,0.08530048568580006,0.6514458004552264,0.804007227276505,0.701907540721121,0.07504345537667481,0.005035172515418133
dePablo CV2,test,7,137,0.1617624471516454,0.004532736437131622,0.0090144648993035,1.0241609040034307,0.9022517993782626,1.1367520737642636,0.23450027438600096,0.23450027438600096,0.2551760346512107,-0.06353886522974064,-1.9930029631122408,1.8698404694795885,3.8628434325918293,3.8628434325918293,3.854267975747294,18,8.326672684688674e-17,137,160,456,0.035849056603773584,5.7,0.8046738469715541,7.0,4.0,13.388520240783691,13.544290542602539,0.9884991907602038,-0.06850004196166992,0.1562650203704834,2.398816999113351,3.5740466522617473,0.33786144852638245,18.330835342407227,0.8833151419173207,0.2769017059781597,0.51020747423172,2.959627866744995,5.708333333333333,5.75,5.75,5.875,0.04166666666666696,-0.125,-9.869105546349333e-10,-7.38170082467476e-17,1.290136801648015e-16,0.0391046813353361,0.045925089655308796,0.04991728483550325,0.08986926811618275,0.11916409268781471,0.15985612778690925,0.16571811276139115,0.1715354086778366,0.1840219722806034,0.7155208653719806,0.8611307190158817,0.6650020826667066,0.12462606338023964,0.003992195180194454
dePablo CV2,test,8,139,-0.204619104548757,0.003934815465087761,0.007829678862891,-0.46661510143107787,-0.472705595941987,-0.4917697254275677,-0.019064129485580672,0.03363761474690502,0.04358819218900906,-0.19572840453799945,-1.5933795184345836,1.207548660956859,2.800928179391443,2.800928179391443,2.777115318693833,37,0.0,139,164,478,0.03576238216369894,5.829268292682927,0.8085650953293061,7.0,4.0,13.939319610595703,13.861820220947266,1.0055908523132715,0.00041985511779785156,-0.0072100162506103516,2.7551964914823674,3.9078659376931846,0.3336508870124817,17.956268310546875,0.8656926660108766,0.3819849978888218,0.34756743907928467,2.9971721172332764,5.64,6.0,5.68,5.8,0.3600000000000003,-0.1200000000000001,4.059076592337864e-17,5.989178863415416e-16,1.1031897739341235e-09,0.006647744767927462,0.007545409812205805,0.029711228303553078,0.03574816988238937,0.03956897691041161,0.0679992846953485,0.07333451591084539,0.09242269231664234,0.10246011064214808,0.006903969121597155,0.03429880072534702,0.3946212310454869,0.639676299478536,0.022165818491347272
dePablo CV2,test,9,188,-0.2792191185246228,0.005533290344475923,0.0111512815125754,-0.8620458599552204,-0.7496602514977337,-1.053811359941362,-0.30415110844362836,0.3085039166358139,-0.13166852434852602,0.13328634266473582,-1.358581775125678,1.7773018350356091,3.135883610161287,3.135883610161287,2.7904392457446288,82,0.0,188,300,859,0.01915273132664437,5.726666666666667,0.807437648091514,7.0,3.0,18.93770980834961,18.92647933959961,1.0005933733658803,0.009844779968261719,0.01882028579711914,2.887532531104904,4.893470954008887,0.3564121723175049,25.397977828979492,0.8619736836522783,0.3687254406182135,0.3170732259750366,2.90850830078125,5.622222222222222,5.733333333333333,5.644444444444445,5.777777777777778,0.1111111111111116,-0.13333333333333286,-7.701869307470923e-16,-1.6622699555808334e-16,2.7210301452791635e-10,0.01364524237872962,0.016535282683087436,0.018287026569624783,0.024720333232091066,0.03864153832623517,0.041576280782169156,0.04352646303488787,0.051329639595022715,0.05466381168590818,0.47348342160889917,0.4667531539950382,0.0532635913418739,0.48354254979731764,0.001751743886537347
