dataset,split,sim_idx,final_p_ratio,original_sim_idx,raw_final_p_ratio,abs_final_p_ratio_diff,raw_frames
dePablo CV2,test,0,0.1530195983709399,67,0.15301959837093992,2.7755575615628914e-17,157
dePablo CV2,test,1,-0.2469577020921137,69,-0.24695770209211376,5.551115123125783e-17,121
dePablo CV2,test,2,0.0034385083193314,15,0.0034385083193314795,7.936359902593892e-17,146
dePablo CV2,test,3,-0.3408093698103313,83,-0.3408093698103313,0.0,149
dePablo CV2,test,4,-0.1228363174122356,65,-0.12283631741223562,2.7755575615628914e-17,158
dePablo CV2,test,5,-0.4243771285176554,47,-0.42437712851765547,5.551115123125783e-17,177
dePablo CV2,test,6,-0.3836751706292006,16,-0.3836751706292006,0.0,154
dePablo CV2,test,7,0.1617624471516454,18,0.16176244715164548,8.326672684688674e-17,137
dePablo CV2,test,8,-0.204619104548757,37,-0.204619104548757,0.0,139
dePablo CV2,test,9,-0.2792191185246228,82,-0.2792191185246228,0.0,188
dePablo CV2,test,10,0.1339311443087889,31,0.13393114430878897,5.551115123125783e-17,141
dePablo CV2,test,11,-0.1190216243930391,90,-0.11902162439303918,8.326672684688674e-17,178
dePablo CV2,test,12,-0.36685866738795,27,-0.36685866738795003,5.551115123125783e-17,176
dePablo CV2,test,13,0.1260059232543453,2,0.12600592325434534,5.551115123125783e-17,155
dePablo CV2,test,14,0.1790333352544131,43,0.17903333525441312,2.7755575615628914e-17,158
dePablo CV2,test,15,-0.3405376290549624,41,-0.3405376290549624,0.0,113
dePablo CV2,test,16,-0.4547701402624022,28,-0.45477014026240226,5.551115123125783e-17,172
dePablo CV2,test,17,-0.4436555356265637,36,-0.4436555356265637,0.0,189
dePablo CV2,test,18,-0.4991540889734968,71,-0.4991540889734968,0.0,180
dePablo CV2,test,19,0.0262065534153102,5,0.026206553415310255,5.551115123125783e-17,154
dePablo CV2,test,20,0.0037402536317093,78,0.0037402536317093908,9.063930161978817e-17,115
dePablo CV2,test,21,-0.4346220503932809,22,-0.4346220503932809,0.0,121
dePablo CV2,test,22,-0.0313026174804837,59,-0.0313026174804837,0.0,172
dePablo CV2,test,23,-0.318401941651545,95,-0.31840194165154506,5.551115123125783e-17,151
dePablo CV2,test,24,-0.4495238576851234,49,-0.44952385768512343,5.551115123125783e-17,169
dePablo CV2,test,25,0.1875985388672977,98,0.18759853886729774,5.551115123125783e-17,166
dePablo CV2,test,26,0.3437884787174968,84,0.3437884787174968,0.0,178
dePablo CV2,test,27,0.35508191711915,39,0.35508191711915005,5.551115123125783e-17,183
dePablo CV2,test,28,-0.2955698868201818,89,-0.2955698868201818,0.0,180
dePablo CV2,test,29,0.1766270591859652,96,0.17662705918596525,5.551115123125783e-17,163
