target,descriptor,pearson_r,abs_r
final_p_ratio,edge_len_mean,0.052419997033301254,0.052419997033301254
final_p_ratio,edge_len_std,0.2245915390365713,0.2245915390365713
final_p_ratio,edge_len_min,0.07869897493898909,0.07869897493898909
final_p_ratio,edge_len_max,0.25827190339998546,0.25827190339998546
final_p_ratio,stiffness_mean,-0.8854736967045487,0.8854736967045487
final_p_ratio,stiffness_std,-0.944692355998514,0.944692355998514
final_p_ratio,stiffness_min,0.8266110213415178,0.8266110213415178
final_p_ratio,stiffness_max,-0.8423670603920231,0.8423670603920231
final_p_ratio,hessian_lambda1,,
final_p_ratio,hessian_lambda2,,
final_p_ratio,hessian_lambda3,,
final_p_ratio,hessian_lambda4,0.8687902450470067,0.8687902450470067
final_p_ratio,hessian_lambda5,0.8957213458362019,0.8957213458362019
final_p_ratio,hessian_lambda6,0.8841050322185892,0.8841050322185892
final_p_ratio,hessian_lambda7,0.8914701330058701,0.8914701330058701
final_p_ratio,hessian_lambda8,0.8964872576527754,0.8964872576527754
final_p_ratio,hessian_lambda9,0.8941450373115943,0.8941450373115943
final_p_ratio,hessian_lambda10,0.8910527965569616,0.8910527965569616
final_p_ratio,hessian_lambda11,0.8823979131279214,0.8823979131279214
final_p_ratio,hessian_lambda12,0.8705748329489512,0.8705748329489512
final_p_ratio,hessian_mode5_participation,0.6113199103860735,0.6113199103860735
final_p_ratio,hessian_mode5_x_fraction,-0.4064008974624259,0.4064008974624259
final_p_ratio,hessian_mode6_participation,0.5588552589219382,0.5588552589219382
final_p_ratio,hessian_mode6_x_fraction,-0.147874950924661,0.147874950924661
final_p_ratio,hessian_gap_6_5,0.4793445559212185,0.4793445559212185
mean_y_compression,edge_len_mean,-0.014843078012205201,0.014843078012205201
mean_y_compression,edge_len_std,-0.21190250592515605,0.21190250592515605
mean_y_compression,edge_len_min,-0.07881184294740083,0.07881184294740083
mean_y_compression,edge_len_max,-0.27136375935103135,0.27136375935103135
mean_y_compression,stiffness_mean,0.8159640316534575,0.8159640316534575
mean_y_compression,stiffness_std,0.872086390635006,0.872086390635006
mean_y_compression,stiffness_min,-0.768592616359959,0.768592616359959
mean_y_compression,stiffness_max,0.7856143139162024,0.7856143139162024
mean_y_compression,hessian_lambda1,,
mean_y_compression,hessian_lambda2,,
mean_y_compression,hessian_lambda3,,
mean_y_compression,hessian_lambda4,-0.8009008119818799,0.8009008119818799
mean_y_compression,hessian_lambda5,-0.8278718756102588,0.8278718756102588
mean_y_compression,hessian_lambda6,-0.8179104384380762,0.8179104384380762
mean_y_compression,hessian_lambda7,-0.8204506919479277,0.8204506919479277
mean_y_compression,hessian_lambda8,-0.8284834709949842,0.8284834709949842
mean_y_compression,hessian_lambda9,-0.8261611022040954,0.8261611022040954
mean_y_compression,hessian_lambda10,-0.8241543551393051,0.8241543551393051
mean_y_compression,hessian_lambda11,-0.8162659596543536,0.8162659596543536
mean_y_compression,hessian_lambda12,-0.8073274637562728,0.8073274637562728
mean_y_compression,hessian_mode5_participation,-0.5998642080841828,0.5998642080841828
mean_y_compression,hessian_mode5_x_fraction,0.34426002916451026,0.34426002916451026
mean_y_compression,hessian_mode6_participation,-0.559416447768608,0.559416447768608
mean_y_compression,hessian_mode6_x_fraction,0.13423005647904312,0.13423005647904312
mean_y_compression,hessian_gap_6_5,-0.4478729321372682,0.4478729321372682
final_y_compression,edge_len_mean,-0.01799259790693416,0.01799259790693416
final_y_compression,edge_len_std,-0.2166895606253557,0.2166895606253557
final_y_compression,edge_len_min,-0.08089466956264098,0.08089466956264098
final_y_compression,edge_len_max,-0.27753716831214226,0.27753716831214226
final_y_compression,stiffness_mean,0.7963307057608434,0.7963307057608434
final_y_compression,stiffness_std,0.8524317551984056,0.8524317551984056
final_y_compression,stiffness_min,-0.7504315435067355,0.7504315435067355
final_y_compression,stiffness_max,0.7701687041406629,0.7701687041406629
final_y_compression,hessian_lambda1,,
final_y_compression,hessian_lambda2,,
final_y_compression,hessian_lambda3,,
final_y_compression,hessian_lambda4,-0.7819862427655715,0.7819862427655715
final_y_compression,hessian_lambda5,-0.8078185073623046,0.8078185073623046
final_y_compression,hessian_lambda6,-0.7977013536419563,0.7977013536419563
final_y_compression,hessian_lambda7,-0.8008743627220835,0.8008743627220835
final_y_compression,hessian_lambda8,-0.8097376460175619,0.8097376460175619
final_y_compression,hessian_lambda9,-0.8071110388240916,0.8071110388240916
final_y_compression,hessian_lambda10,-0.805524652839821,0.805524652839821
final_y_compression,hessian_lambda11,-0.7968927555564183,0.7968927555564183
final_y_compression,hessian_lambda12,-0.787857334786685,0.787857334786685
final_y_compression,hessian_mode5_participation,-0.5853253683366808,0.5853253683366808
final_y_compression,hessian_mode5_x_fraction,0.3311077658121695,0.3311077658121695
final_y_compression,hessian_mode6_participation,-0.562869120089744,0.562869120089744
final_y_compression,hessian_mode6_x_fraction,0.11939371370836295,0.11939371370836295
final_y_compression,hessian_gap_6_5,-0.43454571697587424,0.43454571697587424
