original_sim_idx,node_count,edge_count,edge_density,mean_degree,std_degree,max_degree,min_degree,x_span0,y_span0,aspect_ratio0,x_center0,y_center0,edge_len_mean,edge_len_std,edge_len_min,edge_len_max,stiffness_mean,stiffness_std,stiffness_min,stiffness_max,left_mean_degree,right_mean_degree,top_mean_degree,bottom_mean_degree,left_right_degree_asymmetry,top_bottom_degree_asymmetry,hessian_lambda1,hessian_lambda2,hessian_lambda3,hessian_lambda4,hessian_lambda5,hessian_lambda6,hessian_lambda7,hessian_lambda8,hessian_lambda9,hessian_lambda10,hessian_lambda11,hessian_lambda12,hessian_mode5_participation,hessian_mode5_x_fraction,hessian_mode6_participation,hessian_mode6_x_fraction,hessian_gap_6_5
0,100,284,0.057373737373737375,5.68,0.7730459236035075,7.0,4.0,10.93170166015625,10.861113548278809,1.0064991597375048,0.005521535873413086,-0.028848648071289062,2.43761591739218,3.174884846861473,0.7212967276573181,14.68095874786377,0.6060367705084017,0.32496518283236275,0.009548130445182323,1.337418794631958,5.666666666666667,5.866666666666666,5.6,5.6,0.1999999999999993,0.0,-5.355648739051079e-16,9.657862302244183e-16,5.7466450227553915e-09,0.019358422168651145,0.023413962186687363,0.02651568568363018,0.03730598980386824,0.05123951778967244,0.05846989953761483,0.06505276268098951,0.08022456498133242,0.09405507923497614,0.06222862852899951,0.2741564002094175,0.6589184404993026,0.5982200341086584,0.0031017234969428174
1,128,364,0.04478346456692913,5.6875,0.7368641326594747,7.0,4.0,12.25990104675293,12.285395622253418,0.9979248063078808,0.02518749237060547,0.0011477470397949219,2.4754663350490422,3.464275642481228,0.8353292942047119,16.336259841918945,0.43281665722747426,0.06075450344497515,0.3298722505569458,0.6248754858970642,5.7,5.65,5.45,5.85,-0.04999999999999982,-0.39999999999999947,-2.8851563791008515e-16,2.638572403448998e-16,6.112256928838547e-10,0.0038202123117854,0.03108084985473629,0.03654133853742193,0.041442345543174865,0.0604218326555123,0.07697860486036569,0.08664008395606436,0.08992437622320465,0.10212097948883425,0.7695811297129178,0.5543606400991516,0.6484311994293344,0.17233179745874486,0.005460488682685644
2,100,291,0.058787878787878785,5.82,0.7533923280734947,8.0,4.0,10.622791290283203,10.834264755249023,0.9804810506533574,-0.06059384346008301,-0.06276774406433105,2.390247103070066,3.0787195141567225,0.7929184436798096,14.33024787902832,0.4984668247990592,0.1739724142469135,0.17936208844184875,1.0432723760604858,5.866666666666666,5.666666666666667,5.466666666666667,6.0,-0.1999999999999993,-0.5333333333333332,1.2731573694868108e-16,4.577637096368981e-16,1.0215244068471788e-09,0.038201884773732965,0.040138330721226044,0.05417178018683666,0.06956566113964781,0.10078086989531655,0.10596465223689082,0.13414699724834162,0.14084068709153952,0.15347050964714803,0.5602962727599109,0.40179262754404416,0.6775538204213699,0.8474414972011609,0.014033449465610616
3,108,310,0.05365178262374524,5.7407407407407405,0.7499428419006143,7.0,4.0,11.299245834350586,11.205612182617188,1.0083559604069332,0.026808977127075195,-0.05897402763366699,2.4498749817571333,3.2335207037953584,0.8205145597457886,14.789863586425781,0.6419198045608467,0.39124869814270824,0.0005555350217036903,1.2165998220443726,5.764705882352941,5.882352941176471,6.117647058823529,5.764705882352941,0.11764705882352988,0.35294117647058787,-1.3525528943202213e-10,5.202435762402622e-17,1.4704648757221534e-16,0.0009261409895905301,0.004931524717268806,0.006190880493619748,0.0072591851188404345,0.010145683705246003,0.016339639309558087,0.019129452074851373,0.021615829060289724,0.026847346657176713,0.024519017629136077,0.78663949408405,0.1929138777886408,0.8733200484976272,0.001259355776350942
4,108,311,0.05382485289027345,5.7592592592592595,0.780199053071885,8.0,4.0,11.188743591308594,11.268471717834473,0.9929246726155692,0.010285377502441406,-0.0486292839050293,2.3510922367933094,3.1236201783997326,0.7976357340812683,14.911166191101074,0.6424114311078767,0.3865399224116721,0.0005225799977779388,1.24459707736969,5.705882352941177,5.823529411764706,5.647058823529412,5.9411764705882355,0.117647058823529,-0.2941176470588234,-1.1139076880183674e-09,-4.284368327298588e-16,6.970565783211202e-16,0.002798219348433907,0.004211060516598627,0.007997281545970366,0.008632543684425668,0.011572561656357477,0.015371665205226684,0.016937559960488506,0.021945591589431428,0.02815009095159609,0.38831183469009084,0.6552724756374462,0.34697841507519667,0.8346148976226868,0.0037862210293717396
5,108,310,0.05365178262374524,5.7407407407407405,0.7742424059395139,7.0,4.0,11.252121925354004,11.180926322937012,1.0063675942726622,-0.05148792266845703,-0.09150266647338867,2.3550310365615355,3.134713112794706,0.7754942774772644,15.199441909790039,0.626433868679587,0.3918843877705018,0.00011764199734898284,1.2857422828674316,5.823529411764706,5.882352941176471,5.823529411764706,5.705882352941177,0.058823529411765385,0.117647058823529,-1.7098141771764268e-09,-4.332808936923733e-17,3.815320200220595e-17,0.002396329406311289,0.004378000905394376,0.00516152444981026,0.007171242349944614,0.00806300841626304,0.01111673652835114,0.012987503595121895,0.0162104771945754,0.01686580550521935,0.03242087533692558,0.6670369260853367,0.05796394296748992,0.6223409793285007,0.0007835235444158843
6,120,344,0.048179271708683476,5.733333333333333,0.8137703743822469,7.0,4.0,11.789505004882812,11.973489761352539,0.9846339905794563,-0.04912376403808594,0.00985264778137207,2.3679727310704632,3.2498825885038034,0.7610055208206177,15.749180793762207,0.6164149622608694,0.4074566997822289,0.0004619609971996397,1.311781644821167,5.777777777777778,5.555555555555555,5.666666666666667,5.555555555555555,-0.22222222222222232,0.1111111111111116,-3.777965602454195e-17,-6.44321995375827e-18,1.0582269665483514e-10,0.0009671633756266021,0.0012075874149569377,0.0014063117852660032,0.0018602443773954257,0.0020431154318461342,0.004238842893456087,0.0063909597876621255,0.007069703971457119,0.00903945458843967,0.3983731107478907,0.7245231923850813,0.33494224131921235,0.25628861437741873,0.00019872437030906548
7,108,308,0.05330564209068882,5.703703703703703,0.7965115988002431,7.0,4.0,11.215743064880371,11.31512451171875,0.9912169374066143,0.036110877990722656,0.030069828033447266,2.4316155101571764,3.21637221326707,0.8046656250953674,14.889236450195312,0.6495018737498738,0.3847278533447648,0.0008173750247806311,1.2022887468338013,5.588235294117647,5.823529411764706,5.9411764705882355,5.705882352941177,0.23529411764705888,0.23529411764705888,-1.3457380793814053e-09,-2.2211364858554336e-16,8.449061876784396e-17,0.003845991652660135,0.00450105905581998,0.0060280191456744,0.006543225135013743,0.008149727335003605,0.010523002137939759,0.01399984155995812,0.018168828384019585,0.018641791525549328,0.20169912487595149,0.6729486785545717,0.31464896707707135,0.8455342102578128,0.0015269600898544207
8,120,345,0.04831932773109244,5.75,0.7772815877574012,7.0,4.0,11.982172012329102,11.837688446044922,1.0122053867985057,-0.00827336311340332,-0.01326441764831543,2.4167328259219296,3.288702259877009,0.7837479710578918,11.914061546325684,0.5922993121595305,0.4084282278906608,0.0003417579864617437,1.271043300628662,5.722222222222222,5.722222222222222,5.5,5.777777777777778,0.0,-0.2777777777777777,-3.7751369617334915e-11,-3.4233719761135774e-16,1.6512332984502552e-16,0.0017056833398213789,0.002191638768235639,0.0033627137860848737,0.004275172013657318,0.004404497267112573,0.0057132859172482385,0.0071335349092964085,0.007865035243757569,0.009333954169761901,0.2575866662565102,0.5320246955522762,0.31103292114309294,0.7111323109394118,0.0011710750178492348
9,100,288,0.05818181818181818,5.76,0.7889233169326407,7.0,4.0,10.698358535766602,10.855329513549805,0.9855397316509582,-0.1206214427947998,0.002646207809448242,2.3014904691113367,2.984448728654958,0.8150824308395386,14.405915260314941,0.6521704925490484,0.3816615228652925,1.4418000318983104e-05,1.2102502584457397,5.733333333333333,6.0,5.6,5.933333333333334,0.2666666666666666,-0.3333333333333339,-5.161781810918594e-10,-8.820508744613608e-17,1.9737999236903232e-16,0.0032209186687552076,0.003934237356194799,0.0042812732274788365,0.009057758225718015,0.014985598159708553,0.017392719261414384,0.023765333456385696,0.024837275726024524,0.0271213334120228,0.09642390329935556,0.8796515105483348,0.6281375926038527,0.5627303057321306,0.00034703587128403785
10,100,285,0.05757575757575758,5.7,0.7810249675906655,7.0,4.0,10.888788223266602,10.866668701171875,1.0020355384619706,-0.0064029693603515625,0.043263912200927734,2.411818210074776,3.1082328919275715,0.7916702628135681,14.368236541748047,0.6124287859928843,0.37480472163993467,0.0031634739134460688,1.2493866682052612,5.733333333333333,5.666666666666667,5.866666666666666,5.066666666666666,-0.06666666666666643,0.7999999999999998,-1.0148289117731665e-09,-2.193477282064283e-16,-1.719922361295953e-16,0.008470567479803683,0.01053955692803435,0.012451791166810618,0.013278883221537476,0.014754676149020983,0.019380405575107344,0.0234044270279895,0.02921186030101838,0.035569600764943386,0.6796407189023393,0.2713371821898255,0.22643797727708742,0.7464899513887646,0.0019122342387762684
11,128,366,0.04502952755905512,5.71875,0.7799989983967928,7.0,4.0,12.38306713104248,12.12125015258789,1.0215998329511162,-0.0016527175903320312,0.13447332382202148,2.399287800971276,3.364894169162764,0.776195228099823,16.11455535888672,0.5080059484217336,0.15797782141134606,0.2024436891078949,0.9932789206504822,5.9,5.8,5.55,5.8,-0.10000000000000053,-0.25,-2.318536996843079e-16,-1.3924520595156982e-16,3.524495962526397e-10,0.030674961818431393,0.03815205443474134,0.043591679006250494,0.06876750091387458,0.08181926635135939,0.09500884583116245,0.10067917617923641,0.10960154269960017,0.1189273262865267,0.5875469239482951,0.40072362044580295,0.5167974571277368,0.5513287231025747,0.0054396245715091565
12,140,399,0.04100719424460432,5.7,0.8254868693253524,8.0,4.0,12.849357604980469,12.96066665649414,0.9914117803918753,0.04954051971435547,-0.0005738735198974609,2.438121550065234,3.5149179074897305,0.7552237510681152,16.808225631713867,0.6259968690482263,0.3957710545903588,0.0008074130164459348,1.3120790719985962,5.666666666666667,5.809523809523809,5.571428571428571,5.761904761904762,0.14285714285714235,-0.1904761904761907,-7.366145664011763e-17,1.355047169800018e-16,2.007120892468693e-10,0.0015099248065767942,0.00252506782125283,0.002703666213261735,0.0030818992799959656,0.0044858189227409305,0.005255364831790179,0.0057924559739953845,0.007431386573542703,0.009066956924887562,0.30765819982157305,0.753498891122743,0.2463618898467097,0.7841469559323019,0.00017859839200890524
13,120,344,0.048179271708683476,5.733333333333333,0.8634555897992413,7.0,3.0,11.897396087646484,11.742476463317871,1.013193096431793,-0.046149253845214844,0.022531509399414062,2.320660278201103,3.190494613784447,0.8321871757507324,15.714886665344238,0.6219070532554111,0.37343823102604634,0.003849409054964781,1.1764991283416748,5.722222222222222,5.888888888888889,5.444444444444445,5.777777777777778,0.16666666666666696,-0.33333333333333304,-6.009187758361112e-11,-3.7465506473991036e-17,2.7579852673096286e-16,0.007314383574952533,0.008661166423382613,0.010317319901181975,0.012668119194586061,0.02036295576671169,0.02342897815998264,0.03181761743021241,0.03441104331079478,0.03969335777730285,0.49388674888284245,0.12718813172151971,0.30491488987505,0.6090865163574412,0.0016561534777993613
14,128,368,0.045275590551181105,5.75,0.8100925873009825,7.0,4.0,12.274947166442871,12.309638977050781,0.9971817361441235,-0.01437234878540039,-0.04913020133972168,2.453278280146744,3.420528437439021,0.6964240670204163,16.43476676940918,0.6439785041190155,0.388898896885486,9.139299800153822e-05,1.4295762777328491,5.95,5.6,5.7,5.85,-0.35000000000000053,-0.14999999999999947,-1.6016287952633709e-09,-3.0726309925394005e-16,1.7203128811358535e-16,0.0034227485629396534,0.005166451931591792,0.006074636765356913,0.0079831938494085,0.012869182009457117,0.01773975337911816,0.01991809940630657,0.022515995246828867,0.023762785351333644,0.6676889814673568,0.5022878552881747,0.6035702681795914,0.6021314789455559,0.0009081848337651206
15,148,424,0.03897775326346755,5.72972972972973,0.801978925673394,8.0,4.0,13.096882820129395,13.125476837158203,0.9978214873727209,-0.09293365478515625,-0.058553457260131836,2.4120640223318675,3.5435148081135934,0.7429181933403015,17.591585159301758,0.640144655142134,0.3970647594748606,0.0001429859985364601,1.336002230644226,5.695652173913044,5.6521739130434785,5.6521739130434785,5.695652173913044,-0.04347826086956541,-0.04347826086956541,-9.793295807166884e-17,1.2396555361271405e-16,7.835234226882452e-10,0.0016507507784629298,0.0021679490710522853,0.0029731625461103207,0.0034278477089557304,0.0052354491479161165,0.006834122710503196,0.009488348365718836,0.009972644028519193,0.011993635437128612,0.10613020532903386,0.6574303687598132,0.5860252526571473,0.7636639199013145,0.0008052134750580354
16,120,346,0.0484593837535014,5.766666666666667,0.8439325934114774,8.0,4.0,11.736522674560547,11.86612606048584,0.9890778687783478,-0.09681105613708496,0.04584646224975586,2.333082713143674,3.2166735316652635,0.7484910488128662,15.811043739318848,0.6293360523766098,0.3929297287992663,0.0001197949968627654,1.3250572681427002,5.611111111111111,5.666666666666667,5.833333333333333,5.666666666666667,0.055555555555556246,0.16666666666666607,1.5644232758224864e-16,3.149917919728775e-16,2.712957255467371e-09,0.0026120799392221113,0.0048320252151967565,0.004890979442862674,0.007590609284301035,0.010432194990684412,0.012138027330496664,0.014030919271198044,0.017048646845159398,0.01740197387245008,0.4839840375118869,0.7308297387949675,0.010794208560252764,0.14741800163798705,5.895422766591732e-05
17,120,353,0.049439775910364143,5.883333333333334,0.7977398629182878,8.0,4.0,11.72630786895752,11.902194023132324,0.9852223754853127,-0.03302764892578125,0.013527870178222656,2.3326656045049177,3.2023363722350817,0.7734490633010864,15.50413703918457,0.43698613738203185,0.18447588996608838,0.08088284730911255,0.8549234867095947,5.888888888888889,5.833333333333333,5.777777777777778,5.833333333333333,-0.055555555555556246,-0.05555555555555536,2.1181468652029506e-16,3.277312207587105e-16,2.2466959730507742e-10,0.024344526848950925,0.02882049392719545,0.0315466914923164,0.06304319595718856,0.07263676614596233,0.0887610093350031,0.10191203226582106,0.1060587706101625,0.11476838850135251,0.7068910750237206,0.375217056756805,0.590416612178273,0.6915030884578333,0.002726197565120946
18,100,289,0.058383838383838385,5.78,0.7011419257183242,7.0,4.0,10.89919662475586,10.912446022033691,0.9987858453319192,-0.002631664276123047,-0.006217479705810547,2.3190113784532644,3.0046577507093333,0.7894415855407715,14.071632385253906,0.6273865206722627,0.39883843369714667,3.270000092925329e-07,1.2616430521011353,5.8,5.733333333333333,5.733333333333333,6.133333333333334,-0.06666666666666643,-0.40000000000000036,-9.856289636055837e-10,-4.358534388048528e-16,1.9726597167493024e-16,0.0034182885129582716,0.004839028147668035,0.0060225286378283865,0.0076517618709631635,0.008779501603420605,0.009485631856039617,0.011045084216786384,0.014521915317937338,0.01662022789424166,0.025598903429618836,0.9021423477637474,0.3115238033135217,0.5915955197153928,0.0011835004901603512
