dataset,split,sim_idx,final_p_ratio,original_sim_idx,raw_final_p_ratio,abs_final_p_ratio_diff,raw_frames
Reid CV2,train,0,0.03867895965791973,74,0.03867895965791973,0.0,1500
Reid CV2,train,1,-0.2691509251686252,58,-0.2691509251686252,0.0,1500
Reid CV2,train,2,0.21035491246831667,100,0.21035491246831667,0.0,1500
Reid CV2,train,3,-0.2879174109079594,49,-0.2879174109079594,0.0,1500
Reid CV2,train,4,-0.32336614357869486,38,-0.32336614357869486,0.0,1500
Reid CV2,train,5,-0.15711103408322405,79,-0.15711103408322405,0.0,1500
Reid CV2,train,6,0.005567729494897904,61,0.005567729494897904,0.0,1500
Reid CV2,train,7,0.3453760393512503,43,0.3453760393512503,0.0,1500
Reid CV2,train,8,-0.18996567826885782,27,-0.18996567826885782,0.0,1500
Reid CV2,train,9,0.3873779088920612,65,0.3873779088920612,0.0,1500
Reid CV2,val,0,-0.3112050286983445,25,-0.3112050286983445,0.0,1500
Reid CV2,val,1,-0.32518965600620253,8,-0.32518965600620253,0.0,1500
Reid CV2,val,2,-0.2983576891176249,60,-0.2983576891176249,0.0,1500
Reid CV2,val,3,-0.1963377719651293,15,-0.1963377719651293,0.0,1500
Reid CV2,val,4,0.27673880911901655,87,0.27673880911901655,0.0,1500
Reid CV2,val,5,-0.17738836707016928,35,-0.17738836707016928,0.0,1500
Reid CV2,val,6,-0.33039033700227455,23,-0.33039033700227455,0.0,1500
Reid CV2,val,7,-0.0036101382641459327,90,-0.0036101382641459327,0.0,1500
Reid CV2,val,8,-0.16665686710960664,69,-0.16665686710960664,0.0,1500
Reid CV2,val,9,0.0950451355151094,53,0.0950451355151094,0.0,1500
Reid CV2,val,10,0.27081671507608296,55,0.27081671507608296,0.0,1500
Reid CV2,val,11,-0.2835927971877466,39,-0.2835927971877466,0.0,1500
Reid CV2,val,12,0.32208064264084163,71,0.32208064264084163,0.0,1500
Reid CV2,val,13,-0.17404791264035285,5,-0.17404791264035285,0.0,1500
Reid CV2,val,14,0.1606833051492441,94,0.1606833051492441,0.0,1500
Reid CV2,val,15,0.3524800528535854,51,0.3524800528535854,0.0,1500
Reid CV2,val,16,-0.21908872590380996,36,-0.21908872590380996,0.0,1500
Reid CV2,val,17,0.22590702007093752,89,0.22590702007093752,0.0,1500
Reid CV2,val,18,-0.2343730856231202,29,-0.2343730856231202,0.0,1500
Reid CV2,val,19,-0.24075396534886645,14,-0.24075396534886645,0.0,1500
Reid CV2,test,0,0.11757330529342082,75,0.11757330529342082,0.0,1500
Reid CV2,test,1,0.20114686937290777,91,0.20114686937290777,0.0,1500
Reid CV2,test,2,-0.06082767686482228,92,-0.06082767686482228,0.0,1500
Reid CV2,test,3,0.26937916888526336,26,0.26937916888526336,0.0,1500
Reid CV2,test,4,-0.13510764728463107,13,-0.13510764728463107,0.0,1500
Reid CV2,test,5,-0.33399938936466717,18,-0.33399938936466717,0.0,1500
Reid CV2,test,6,0.21269403862426334,68,0.21269403862426334,0.0,1500
Reid CV2,test,7,-0.19806003763724905,48,-0.19806003763724905,0.0,1500
Reid CV2,test,8,-0.1515654324056017,3,-0.1515654324056017,0.0,1500
Reid CV2,test,9,-0.25379435107376286,45,-0.25379435107376286,0.0,1500
Reid CV2,test,10,0.18079457023269338,97,0.18079457023269338,0.0,1500
Reid CV2,test,11,-0.12315607316120104,83,-0.12315607316120104,0.0,1500
Reid CV2,test,12,-0.04889763898242052,85,-0.04889763898242052,0.0,1500
Reid CV2,test,13,-0.05914505731234828,9,-0.05914505731234828,0.0,1500
Reid CV2,test,14,0.19502236139423487,17,0.19502236139423487,0.0,1500
Reid CV2,test,15,0.14421983542156405,84,0.14421983542156405,0.0,1500
Reid CV2,test,16,0.12699982791696676,78,0.12699982791696676,0.0,1500
Reid CV2,test,17,0.1295779047889524,70,0.1295779047889524,0.0,1500
Reid CV2,test,18,0.33742504039823745,1,0.33742504039823745,0.0,1500
Reid CV2,test,19,0.1677718678598186,33,0.1677718678598186,0.0,1500
Reid CV2,test,20,0.2238599590476573,2,0.2238599590476573,0.0,1500
Reid CV2,test,21,-0.12771201037928526,81,-0.12771201037928526,0.0,1500
Reid CV2,test,22,-0.2504451898786599,32,-0.2504451898786599,0.0,1500
Reid CV2,test,23,-0.13193082504033954,86,-0.13193082504033954,0.0,1500
Reid CV2,test,24,-0.06866933130407157,30,-0.06866933130407157,0.0,1500
Reid CV2,test,25,-0.1623723264424866,21,-0.1623723264424866,0.0,1500
Reid CV2,test,26,-0.03371838000065961,44,-0.03371838000065961,0.0,1500
Reid CV2,test,27,0.27772893013013333,52,0.27772893013013333,0.0,1500
Reid CV2,test,28,-0.1466582167541242,16,-0.1466582167541242,0.0,1500
Reid CV2,test,29,-0.45901086920611844,22,-0.45901086920611844,0.0,1500
Reid CV2,test,30,-0.30467685297745023,19,-0.30467685297745023,0.0,1500
Reid CV2,test,31,-0.2124182814927736,41,-0.2124182814927736,0.0,1500
Reid CV2,test,32,0.2817123526652541,99,0.2817123526652541,0.0,1500
Reid CV2,test,33,0.1639582164351763,59,0.1639582164351763,0.0,1500
Reid CV2,test,34,0.17250469509677205,37,0.17250469509677205,0.0,1500
Reid CV2,test,35,0.02298076051167721,57,0.02298076051167721,0.0,1500
Reid CV2,test,36,-0.033541463369191324,88,-0.033541463369191324,0.0,1500
Reid CV2,test,37,-0.08436423666781437,82,-0.08436423666781437,0.0,1500
Reid CV2,test,38,-0.20617802151122547,10,-0.20617802151122547,0.0,1500
Reid CV2,test,39,-0.21987798577425652,20,-0.21987798577425652,0.0,1500
Reid CV2,test,40,0.24274224639077988,64,0.24274224639077988,0.0,1500
Reid CV2,test,41,-0.40037890147830096,12,-0.40037890147830096,0.0,1500
Reid CV2,test,42,0.24101002113566364,34,0.24101002113566364,0.0,1500
Reid CV2,test,43,0.15031615373850205,95,0.15031615373850205,0.0,1500
Reid CV2,test,44,-0.14664002278276062,24,-0.14664002278276062,0.0,1500
Reid CV2,test,45,-0.100209652453205,56,-0.100209652453205,0.0,1500
Reid CV2,test,46,-0.08698580311493488,101,-0.08698580311493488,0.0,1500
Reid CV2,test,47,0.2511593493496609,11,0.2511593493496609,0.0,1500
Reid CV2,test,48,0.18341754005038485,63,0.18341754005038485,0.0,1500
Reid CV2,test,49,-0.2523187814106471,4,-0.2523187814106471,0.0,1500
Reid CV2,test,50,0.3543707109293127,73,0.3543707109293127,0.0,1500
Reid CV2,test,51,-0.06695112756186168,66,-0.06695112756186168,0.0,1500
Reid CV2,test,52,-0.17377978528774052,42,-0.17377978528774052,0.0,1500
Reid CV2,test,53,-0.3979398483632574,40,-0.3979398483632574,0.0,1500
Reid CV2,test,54,-0.2360464098886152,47,-0.2360464098886152,0.0,1500
Reid CV2,test,55,0.0729596003150843,96,0.0729596003150843,0.0,1500
Reid CV2,test,56,-0.08105278791540436,62,-0.08105278791540436,0.0,1500
Reid CV2,test,57,-0.15348441061065293,46,-0.15348441061065293,0.0,1500
Reid CV2,test,58,-0.24482213582355292,31,-0.24482213582355292,0.0,1500
Reid CV2,test,59,-0.22730985066006476,6,-0.22730985066006476,0.0,1500
Reid CV2,test,60,-0.5936111989220015,50,-0.5936111989220015,0.0,1500
Reid CV2,test,61,0.30795067109622015,98,0.30795067109622015,0.0,1500
Reid CV2,test,62,-0.0473741087700227,72,-0.0473741087700227,0.0,1500
Reid CV2,test,63,0.2821721893243829,67,0.2821721893243829,0.0,1500
Reid CV2,test,64,-0.21109366287007186,28,-0.21109366287007186,0.0,1500
Reid CV2,test,65,0.18183670511140954,76,0.18183670511140954,0.0,1500
Reid CV2,test,66,-0.06480931009694779,54,-0.06480931009694779,0.0,1500
