case,case_short,dataset,sim_idx,epoch,train_mse_norm
low final p-ratio,low_p,low_p CV2 sim-61,61,1,0.7008101982729775
low final p-ratio,low_p,low_p CV2 sim-61,61,2,0.3706791709576334
low final p-ratio,low_p,low_p CV2 sim-61,61,3,0.22201715037226677
low final p-ratio,low_p,low_p CV2 sim-61,61,4,0.16831480711698532
low final p-ratio,low_p,low_p CV2 sim-61,61,5,0.11582959549767631
low final p-ratio,low_p,low_p CV2 sim-61,61,6,0.0854227292750563
low final p-ratio,low_p,low_p CV2 sim-61,61,7,0.06794460091207709
low final p-ratio,low_p,low_p CV2 sim-61,61,8,0.05851603592080729
low final p-ratio,low_p,low_p CV2 sim-61,61,9,0.05063379569245236
low final p-ratio,low_p,low_p CV2 sim-61,61,10,0.04512551786111934
low final p-ratio,low_p,low_p CV2 sim-61,61,11,0.036726471568856923
low final p-ratio,low_p,low_p CV2 sim-61,61,12,0.0341235880873033
low final p-ratio,low_p,low_p CV2 sim-61,61,13,0.03966144538883652
low final p-ratio,low_p,low_p CV2 sim-61,61,14,0.034630274799253256
low final p-ratio,low_p,low_p CV2 sim-61,61,15,0.03055984207562038
low final p-ratio,low_p,low_p CV2 sim-61,61,16,0.02690835889162762
low final p-ratio,low_p,low_p CV2 sim-61,61,17,0.02316217470381941
low final p-ratio,low_p,low_p CV2 sim-61,61,18,0.025644138721483096
low final p-ratio,low_p,low_p CV2 sim-61,61,19,0.019771767580615624
low final p-ratio,low_p,low_p CV2 sim-61,61,20,0.01686481452946152
low final p-ratio,low_p,low_p CV2 sim-61,61,21,0.019885714897619828
low final p-ratio,low_p,low_p CV2 sim-61,61,22,0.01974214008077979
low final p-ratio,low_p,low_p CV2 sim-61,61,23,0.018168187966304167
low final p-ratio,low_p,low_p CV2 sim-61,61,24,0.01621394351656948
low final p-ratio,low_p,low_p CV2 sim-61,61,25,0.015190932234483106
low final p-ratio,low_p,low_p CV2 sim-61,61,26,0.012880510317959957
low final p-ratio,low_p,low_p CV2 sim-61,61,27,0.012150185482044305
low final p-ratio,low_p,low_p CV2 sim-61,61,28,0.015989935424711024
low final p-ratio,low_p,low_p CV2 sim-61,61,29,0.016062895035637275
low final p-ratio,low_p,low_p CV2 sim-61,61,30,0.011348926462233067
low final p-ratio,low_p,low_p CV2 sim-61,61,31,0.013459714595228434
low final p-ratio,low_p,low_p CV2 sim-61,61,32,0.008967379008286766
low final p-ratio,low_p,low_p CV2 sim-61,61,33,0.0072304086892732555
low final p-ratio,low_p,low_p CV2 sim-61,61,34,0.007541195589250752
low final p-ratio,low_p,low_p CV2 sim-61,61,35,0.009939161062772785
low final p-ratio,low_p,low_p CV2 sim-61,61,36,0.00775205428778593
low final p-ratio,low_p,low_p CV2 sim-61,61,37,0.006496973801404238
low final p-ratio,low_p,low_p CV2 sim-61,61,38,0.004764682546790157
low final p-ratio,low_p,low_p CV2 sim-61,61,39,0.005089244705491832
low final p-ratio,low_p,low_p CV2 sim-61,61,40,0.007188712346500584
low final p-ratio,low_p,low_p CV2 sim-61,61,41,0.02693364120620702
low final p-ratio,low_p,low_p CV2 sim-61,61,42,0.01884972583502531
low final p-ratio,low_p,low_p CV2 sim-61,61,43,0.009681980857359511
low final p-ratio,low_p,low_p CV2 sim-61,61,44,0.006032378146690982
low final p-ratio,low_p,low_p CV2 sim-61,61,45,0.003931329153212053
low final p-ratio,low_p,low_p CV2 sim-61,61,46,0.0032387945518296745
low final p-ratio,low_p,low_p CV2 sim-61,61,47,0.0033397356497256885
low final p-ratio,low_p,low_p CV2 sim-61,61,48,0.002797776076477021
low final p-ratio,low_p,low_p CV2 sim-61,61,49,0.0027865289677200572
low final p-ratio,low_p,low_p CV2 sim-61,61,50,0.0024282565490076585
low final p-ratio,low_p,low_p CV2 sim-61,61,51,0.002094911677496774
low final p-ratio,low_p,low_p CV2 sim-61,61,52,0.0021669138306086616
low final p-ratio,low_p,low_p CV2 sim-61,61,53,0.0022770457269091693
low final p-ratio,low_p,low_p CV2 sim-61,61,54,0.001970258358466838
low final p-ratio,low_p,low_p CV2 sim-61,61,55,0.0019044099275821022
low final p-ratio,low_p,low_p CV2 sim-61,61,56,0.002173925384080836
low final p-ratio,low_p,low_p CV2 sim-61,61,57,0.003296157345175743
low final p-ratio,low_p,low_p CV2 sim-61,61,58,0.0074741594892527375
low final p-ratio,low_p,low_p CV2 sim-61,61,59,0.03710432616727693
low final p-ratio,low_p,low_p CV2 sim-61,61,60,0.022851148354155675
low final p-ratio,low_p,low_p CV2 sim-61,61,61,0.007824864072192992
low final p-ratio,low_p,low_p CV2 sim-61,61,62,0.004166033617886049
low final p-ratio,low_p,low_p CV2 sim-61,61,63,0.0024737064710019956
low final p-ratio,low_p,low_p CV2 sim-61,61,64,0.002003230819744723
low final p-ratio,low_p,low_p CV2 sim-61,61,65,0.0015572075665529286
low final p-ratio,low_p,low_p CV2 sim-61,61,66,0.0013783013730842089
low final p-ratio,low_p,low_p CV2 sim-61,61,67,0.0012753152321758015
low final p-ratio,low_p,low_p CV2 sim-61,61,68,0.0011849258652156486
low final p-ratio,low_p,low_p CV2 sim-61,61,69,0.001084245479432866
low final p-ratio,low_p,low_p CV2 sim-61,61,70,0.0009987426206602582
low final p-ratio,low_p,low_p CV2 sim-61,61,71,0.0008941042054045413
low final p-ratio,low_p,low_p CV2 sim-61,61,72,0.0008267006529162505
low final p-ratio,low_p,low_p CV2 sim-61,61,73,0.0009183733491227031
low final p-ratio,low_p,low_p CV2 sim-61,61,74,0.0008340276066779292
low final p-ratio,low_p,low_p CV2 sim-61,61,75,0.0020905375671905597
low final p-ratio,low_p,low_p CV2 sim-61,61,76,0.0013605112908408046
low final p-ratio,low_p,low_p CV2 sim-61,61,77,0.0014648467560099171
low final p-ratio,low_p,low_p CV2 sim-61,61,78,0.0011128467283145124
low final p-ratio,low_p,low_p CV2 sim-61,61,79,0.0008980178598514092
low final p-ratio,low_p,low_p CV2 sim-61,61,80,0.0008716751846285271
low final p-ratio,low_p,low_p CV2 sim-61,61,81,0.000635322676056863
low final p-ratio,low_p,low_p CV2 sim-61,61,82,0.0005690878232209278
low final p-ratio,low_p,low_p CV2 sim-61,61,83,0.0005180734795950619
low final p-ratio,low_p,low_p CV2 sim-61,61,84,0.0005528220416246248
low final p-ratio,low_p,low_p CV2 sim-61,61,85,0.0017197997533782785
low final p-ratio,low_p,low_p CV2 sim-61,61,86,0.0016587429314053484
low final p-ratio,low_p,low_p CV2 sim-61,61,87,0.0007531991681649483
low final p-ratio,low_p,low_p CV2 sim-61,61,88,0.0007126533413871325
low final p-ratio,low_p,low_p CV2 sim-61,61,89,0.0005369340381418754
low final p-ratio,low_p,low_p CV2 sim-61,61,90,0.0006861330641965781
low final p-ratio,low_p,low_p CV2 sim-61,61,91,0.0036473129210727556
low final p-ratio,low_p,low_p CV2 sim-61,61,92,0.0023507684028507875
low final p-ratio,low_p,low_p CV2 sim-61,61,93,0.002403394427217011
low final p-ratio,low_p,low_p CV2 sim-61,61,94,0.002688995940843597
low final p-ratio,low_p,low_p CV2 sim-61,61,95,0.0011426866299838626
low final p-ratio,low_p,low_p CV2 sim-61,61,96,0.0009155174567630249
low final p-ratio,low_p,low_p CV2 sim-61,61,97,0.0005752283551763478
low final p-ratio,low_p,low_p CV2 sim-61,61,98,0.0008707484687745039
low final p-ratio,low_p,low_p CV2 sim-61,61,99,0.0005034602010190221
low final p-ratio,low_p,low_p CV2 sim-61,61,100,0.000424037899522643
low final p-ratio,low_p,low_p CV2 sim-61,61,101,0.00044612829099475803
low final p-ratio,low_p,low_p CV2 sim-61,61,102,0.0005338029607498486
low final p-ratio,low_p,low_p CV2 sim-61,61,103,0.0010953239668326984
low final p-ratio,low_p,low_p CV2 sim-61,61,104,0.0007841523121377188
low final p-ratio,low_p,low_p CV2 sim-61,61,105,0.0017030360426620714
