case,case_short,dataset,sim_idx,epoch,train_dz_mse_norm,train_dz_mse_raw
low final p-ratio,low_p,low_p CV2 sim-61,61,1,0.8967467546463013,6.925499166397588e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,2,0.8267995724454522,6.335440945446992e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,3,0.7806419213967664,6.042645127633607e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,4,0.7249498510999339,5.6013955693450564e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,5,0.7712640437696662,5.85588543547796e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,6,0.6299781889787742,4.811770949686434e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,7,0.6839060466736555,5.2018050260877705e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,8,0.6287070228052991,4.800688145678578e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,9,0.5937626967206597,4.5181896025172e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,10,0.7223290178392615,5.5094136683919714e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,11,0.5731513328584177,4.397337568613173e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,12,0.703665308122124,5.326246707682003e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,13,0.5685471589011806,4.360038699603917e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,14,0.5879378305482013,4.438639712540342e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,15,0.5267180373360004,4.0077127952794655e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,16,0.6304380002298525,4.810371042448683e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,17,0.5272779770727668,3.983883532652856e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,18,0.5575178992003202,4.23840483319639e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,19,0.49283108913472723,3.706712555689202e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,20,0.5697593058326414,4.3265253008176586e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,21,0.6293477599642107,4.784465998243702e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,22,0.5610670718763556,4.282286829899411e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,23,0.4979613489870514,3.7601006580091834e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,24,0.5166990296649081,3.969389664705757e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,25,0.4944281841495207,3.722943128130802e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,26,0.47820824570953846,3.6370426609469827e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,27,0.4860560234103884,3.6840259696191424e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,28,0.6051966893885817,4.562542532734629e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,29,0.4515555817633867,3.385487462180338e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,30,0.47483482650880304,3.647922339057784e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,31,0.45792986771890093,3.402265840739866e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,32,0.48810824166451183,3.75292971353604e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,33,0.43653853823031696,3.3109632653349763e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,34,0.5039493545357671,3.874512400565371e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,35,0.4538236295006105,3.4508450456525807e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,36,0.4843353114223906,3.6763553511929914e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,37,0.43568374535867144,3.286149215853129e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,38,0.41879318015916006,3.160381918324414e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,39,0.46289779857865404,3.471873816757969e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,40,0.4057260678548898,3.050051780917329e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,41,0.4092802466558559,3.086189371361213e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,42,0.42281277291476727,3.1815623365056515e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,43,0.4033970324588673,3.0461510119396607e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,44,0.4233190898916551,3.1787925820481178e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,45,0.5203133977151343,3.903206319932906e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,46,0.4197636550026281,3.1719476163110424e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,47,0.46092478026236805,3.462983950644879e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,48,0.4318020013826234,3.239143469256435e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,49,0.40104987871434006,2.997928114772159e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,50,0.42900538976703373,3.1852723907377367e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,51,0.4018751691494669,2.996419841646717e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,52,0.4137448695089136,3.1226258800286033e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,53,0.4412025164014527,3.2982295893800384e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,54,0.3827877632741417,2.8800897199841657e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,55,0.40812521361346754,3.0565028704846294e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,56,0.3718890366809709,2.7730214132556545e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,57,0.48111377390367643,3.6117460280950453e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,58,0.41102121490985155,3.0723925326421e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,59,0.49062136667115347,3.698447236339624e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,60,0.3672406648152641,2.731217271900732e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,61,0.4261534613158022,3.2496211649199073e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,62,0.37930816491799696,2.827735717200345e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,63,0.3908593367253031,2.912543728988177e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,64,0.38652513389076504,2.879238066506267e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,65,0.3989143030984061,2.9472660959381107e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,66,0.3791273692622781,2.819941255235595e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,67,0.45170994542006937,3.3572585981086637e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,68,0.37521136419049333,2.808511069929409e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,69,0.42455668175326927,3.147190049393852e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,70,0.3654589504003525,2.736155729670437e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,71,0.380212988704443,2.8285195128319174e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,72,0.3931264394362058,2.9678721012211488e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,73,0.36939673019307,2.761961634892681e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,74,0.3387992906251124,2.5119485757483872e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,75,0.3599003494850227,2.6503321462558105e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,76,0.37400432183806387,2.7928625233438912e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,77,0.3334960469177791,2.4643282584081916e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,78,0.3433839630867754,2.546997401558266e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,79,0.4066568703523704,3.0225459620883806e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,80,0.3117049184760877,2.292335766794297e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,81,0.31947526961032835,2.3715994455894166e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,82,0.3776812600637121,2.790006988107052e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,83,0.3229450886803014,2.3743180232064072e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,84,0.3470296487212181,2.5863040816277916e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,85,0.32415093880678925,2.389007536050615e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,86,0.383239096163639,2.877817126188477e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,87,0.3480902566973652,2.583058174211926e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,88,0.31663972937635015,2.3466199396336507e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,89,0.3692442255892924,2.7310231282789184e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,90,0.31867432887000696,2.349769463957533e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,91,0.34226398316345047,2.534920136148295e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,92,0.36378865795476095,2.703170899565066e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,93,0.3472369478217193,2.572481907999905e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,94,0.3285068753840668,2.4241353397006345e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,95,0.3272333073296717,2.3804715222500557e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,96,0.36304332768278463,2.642309790904359e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,97,0.28321668984634535,2.082533346278329e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,98,0.2942701056599617,2.1667996245509713e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,99,0.3183571134826967,2.3525130501411695e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,100,0.308768753228443,2.2780427966852457e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,101,0.3350867102188723,2.464816534240656e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,102,0.33839042231972727,2.492687284773508e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,103,0.27906894630619455,2.0508159366272594e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,104,0.3153407169239862,2.3385404464956342e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,105,0.3307306692004204,2.451231290072948e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,106,0.37242957883115324,2.769008298335913e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,107,0.2685786956655128,1.950507050350682e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,108,0.2682603701416935,1.9509539076320185e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,109,0.3193258840058531,2.3511064404552987e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,110,0.31485393084585667,2.28821758493528e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,111,0.313075185620359,2.3056559927324216e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,112,0.2780744352244905,2.0268112054720533e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,113,0.29069099402321236,2.1283529260277386e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,114,0.28937335272452663,2.1057859811435264e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,115,0.2881928722241095,2.108468930117624e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,116,0.27231992841033,1.982570416154366e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,117,0.29020589629986454,2.1225199122097493e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,118,0.2790471035987139,2.0207136900905553e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,119,0.28129390999674797,2.035037948441446e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,120,0.3309060297906399,2.411179502408751e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,121,0.28058984290276257,2.046389074702607e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,122,0.2536161430180073,1.8434433073366563e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,123,0.2836016001445906,2.067254001758556e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,124,0.26831607627017157,1.936594458129548e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,125,0.2802434760544981,2.036490184106502e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,126,0.30774753194834503,2.2361065106224487e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,127,0.25750076750825557,1.865425416675797e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,128,0.257070927215474,1.8697511003600603e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,129,0.2651367432304791,1.9207694411501767e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,130,0.2966939185612968,2.156455899690205e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,131,0.2748720422387123,1.9945817898912665e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,132,0.27755260627184597,2.0138678361750602e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,133,0.28103969033275333,2.049840168589461e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,134,0.2556715277688844,1.8222022747847535e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,135,0.2774799234632935,2.005583612328467e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,136,0.2563719358295202,1.8698070322540974e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,137,0.3140754250011274,2.315872596422456e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,138,0.269736837196563,1.959385971060458e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,139,0.2793398390391043,2.024367798217749e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,140,0.258656471701605,1.862319464862594e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,141,0.2703595467443977,1.965410860853873e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,142,0.27256397690091816,1.983538543827633e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,143,0.2632639261760882,1.9018545661505674e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,144,0.2469090704939195,1.7848941788705425e-06
