dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,case,case_short,original_sim_idx
low_p CV2 sim-61,train,0,10,10,-0.399311622981202,-0.3775104833370117,3.270779913577826e-08,5.373314706957899e-06,6.0408351600926835e-06,1.124228802804052,low final p-ratio,low_p,61
low_p CV2 sim-61,train,0,20,20,-0.4631108959358778,-0.459887879373671,2.3624023626211965e-08,2.4152164769475348e-05,2.541270623623859e-05,1.0521916556463864,low final p-ratio,low_p,61
low_p CV2 sim-61,train,0,30,30,-0.49771697706191126,-0.49734350583693354,3.323941299981925e-08,5.78740073251538e-05,6.039161962689832e-05,1.0435016066470015,low final p-ratio,low_p,61
low_p CV2 sim-61,train,0,40,40,-0.5193065619286247,-0.5189826353984495,3.67605288431605e-08,0.00010695280798245221,0.00011064231512136757,1.0344965897437746,low final p-ratio,low_p,61
low_p CV2 sim-61,train,0,50,50,-0.5336451647993038,-0.533466863293201,3.128443637478995e-08,0.00017162332369480282,0.00017589316121302545,1.0248791214754451,low final p-ratio,low_p,61
low_p CV2 sim-61,train,0,60,60,-0.5441615882732251,-0.5439667179825526,2.8131843521350675e-08,0.00025198518414981663,0.0002568347263149917,1.019245346433907,low final p-ratio,low_p,61
low_p CV2 sim-61,train,0,70,70,-0.5524610087097428,-0.5522008431266339,3.021567351879639e-08,0.000348018656950444,0.00035384701914153993,1.0167472693624178,low final p-ratio,low_p,61
low_p CV2 sim-61,train,0,80,80,-0.5591912742750732,-0.5587786993298912,3.197661868625801e-08,0.00045995149412192404,0.0004666140303015709,1.0144853017433197,low final p-ratio,low_p,61
low_p CV2 sim-61,train,0,90,90,-0.5647313707284214,-0.5643993240069064,2.778538465975089e-08,0.0005877470248378813,0.0005946318851783872,1.0117139858639095,low final p-ratio,low_p,61
low_p CV2 sim-61,train,0,100,100,-0.5693801883387473,-0.5691419286843492,2.08765822407031e-08,0.0007315175025723875,0.0007371671963483095,1.00772325167348,low final p-ratio,low_p,61
high_p CV2 sim-56,train,0,10,10,0.4021318899812217,0.40160707544626006,2.2551979839136038e-08,4.743530553241726e-06,4.462461220100522e-06,0.9407468066271606,high final p-ratio,high_p,56
high_p CV2 sim-56,train,0,20,20,0.40276540009181994,0.40517194838848997,1.825356221729635e-08,1.9074381270911545e-05,1.892163163574878e-05,0.9919918956744507,high final p-ratio,high_p,56
high_p CV2 sim-56,train,0,30,30,0.4037019596479154,0.40637773016187406,2.3789555214648317e-08,4.3003165046684444e-05,4.252564031048678e-05,0.9888955909250107,high final p-ratio,high_p,56
high_p CV2 sim-56,train,0,40,40,0.4081899927092053,0.40700266111929106,2.185917580277419e-08,7.65356671763584e-05,7.677698158659041e-05,1.003152966703432,high final p-ratio,high_p,56
high_p CV2 sim-56,train,0,50,50,0.40885166171305054,0.40731093072774244,1.69432166075012e-08,0.00011966244346695021,0.00011978336988249794,1.0010105628135626,high final p-ratio,high_p,56
high_p CV2 sim-56,train,0,60,60,0.40782334384858043,0.40751984001873653,1.3147398725266157e-08,0.0001724054163787514,0.00017201542505063117,0.9977379403947294,high final p-ratio,high_p,56
high_p CV2 sim-56,train,0,70,70,0.4075280855499363,0.4078272687959474,1.0822243545760557e-08,0.00023475891794078052,0.00023441592929884791,0.9985389750262048,high final p-ratio,high_p,56
high_p CV2 sim-56,train,0,80,80,0.4078735054045113,0.4079725373860511,9.442066684073325e-09,0.00030671677086502314,0.0003070663078688085,1.0011396083846331,high final p-ratio,high_p,56
high_p CV2 sim-56,train,0,90,90,0.40827206543771066,0.4080604080063436,1.0208167644520927e-08,0.000388284504879266,0.0003899166185874492,1.0042033964468673,high final p-ratio,high_p,56
high_p CV2 sim-56,train,0,100,100,0.40848952293627466,0.4081621618699007,1.2599547183356208e-08,0.0004794822307303548,0.00048258062452077866,1.0064619574863167,high final p-ratio,high_p,56
