dataset,split,rollout_steps,used,p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,case,case_short,original_sim_idx
low_p CV2 sim-61,train,10,1,,,0.0004752896897854852,3.270779913577826e-08,5.373314706957899e-06,6.0408351600926835e-06,1.124228802804052,low final p-ratio,low_p,61
low_p CV2 sim-61,train,20,1,,,1.0387835760259367e-05,2.3624023626211965e-08,2.4152164769475348e-05,2.541270623623859e-05,1.0521916556463864,low final p-ratio,low_p,61
low_p CV2 sim-61,train,30,1,,,1.3948075588635668e-07,3.323941299981925e-08,5.78740073251538e-05,6.039161962689832e-05,1.0435016066470015,low final p-ratio,low_p,61
low_p CV2 sim-61,train,40,1,,,1.0492839695135217e-07,3.67605288431605e-08,0.00010695280798245221,0.00011064231512136757,1.0344965897437746,low final p-ratio,low_p,61
low_p CV2 sim-61,train,50,1,,,3.17914270785135e-08,3.128443637478995e-08,0.00017162332369480282,0.00017589316121302545,1.0248791214754451,low final p-ratio,low_p,61
low_p CV2 sim-61,train,60,1,,,3.7974430186806166e-08,2.8131843521350675e-08,0.00025198518414981663,0.0002568347263149917,1.019245346433907,low final p-ratio,low_p,61
low_p CV2 sim-61,train,70,1,,,6.768613063440899e-08,3.021567351879639e-08,0.000348018656950444,0.00035384701914153993,1.0167472693624178,low final p-ratio,low_p,61
low_p CV2 sim-61,train,80,1,,,1.7021808539191967e-07,3.197661868625801e-08,0.00045995149412192404,0.0004666140303015709,1.0144853017433197,low final p-ratio,low_p,61
low_p CV2 sim-61,train,90,1,,,1.1025502526885276e-07,2.778538465975089e-08,0.0005877470248378813,0.0005946318851783872,1.0117139858639095,low final p-ratio,low_p,61
low_p CV2 sim-61,train,100,1,,,5.6767662913880226e-08,2.08765822407031e-08,0.0007315175025723875,0.0007371671963483095,1.00772325167348,low final p-ratio,low_p,61
high_p CV2 sim-56,train,10,1,,,2.7543029610697633e-07,2.2551979839136038e-08,4.743530553241726e-06,4.462461220100522e-06,0.9407468066271606,high final p-ratio,high_p,56
high_p CV2 sim-56,train,20,1,,,5.791474704205424e-06,1.825356221729635e-08,1.9074381270911545e-05,1.892163163574878e-05,0.9919918956744507,high final p-ratio,high_p,56
high_p CV2 sim-56,train,30,1,,,7.159747843370673e-06,2.3789555214648317e-08,4.3003165046684444e-05,4.252564031048678e-05,0.9888955909250107,high final p-ratio,high_p,56
high_p CV2 sim-56,train,40,1,,,1.4097563044082823e-06,2.185917580277419e-08,7.65356671763584e-05,7.677698158659041e-05,1.003152966703432,high final p-ratio,high_p,56
high_p CV2 sim-56,train,50,1,,,2.373851969088478e-06,1.69432166075012e-08,0.00011966244346695021,0.00011978336988249794,1.0010105628135626,high final p-ratio,high_p,56
high_p CV2 sim-56,train,60,1,,,9.211457472991413e-08,1.3147398725266157e-08,0.0001724054163787514,0.00017201542505063117,0.9977379403947294,high final p-ratio,high_p,56
high_p CV2 sim-56,train,70,1,,,8.951061469372704e-08,1.0822243545760557e-08,0.00023475891794078052,0.00023441592929884791,0.9985389750262048,high final p-ratio,high_p,56
high_p CV2 sim-56,train,80,1,,,9.807333367703461e-09,9.442066684073325e-09,0.00030671677086502314,0.0003070663078688085,1.0011396083846331,high final p-ratio,high_p,56
high_p CV2 sim-56,train,90,1,,,4.4798868252912266e-08,1.0208167644520927e-08,0.000388284504879266,0.0003899166185874492,1.0042033964468673,high final p-ratio,high_p,56
high_p CV2 sim-56,train,100,1,,,1.071652677775145e-07,1.2599547183356208e-08,0.0004794822307303548,0.00048258062452077866,1.0064619574863167,high final p-ratio,high_p,56
