case,case_short,original_sim_idx,frame,trajectory_progress,p_ratio,final_p_ratio,horizontal_strain,x_compression,vertical_strain,mean_abs_x_disp,mean_abs_y_disp,mean_x_disp,mean_y_disp,rms_disp,max_node_disp,z0,z1,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,lambda11,lambda12,soft_mode_gap_6_5
low final p-ratio,low_p,61,0,0.0,,-0.5734598575106268,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7182366847991943,2.390892267227173,-9.31987374476238e-10,-7.44170820739977e-16,2.8586884354615095e-15,0.03082542001612942,0.041649976840348456,0.048799178151274464,0.06200807559319611,0.07436969276485088,0.08134462843501523,0.10064253270068056,0.11078902489472049,0.12835187531881298,0.007149201310926008
low final p-ratio,low_p,61,1,0.00909090909090909,0.021750951604132682,-0.5734598575106268,-9.504008691723632e-05,9.504008691723632e-05,3.6295651936450806e-06,0.0002479944669175893,2.8630360247916542e-05,-2.440620301058516e-05,-7.101692744981847e-07,0.00029076894861645997,0.0005606122431345284,-1.6404229402542114,2.3880820274353027,-6.859622034646379e-05,-5.265831396460961e-15,-6.581972190068994e-16,0.030778346995473237,0.041616893943235735,0.048768253163956554,0.06194265386065021,0.07427961138098971,0.08129485434727161,0.10059583921823897,0.11074371904334396,0.12827503233468082,0.00715135922072082
low final p-ratio,low_p,61,2,0.01818181818181818,-0.10762942779291552,-0.5734598575106268,-0.0001927296726604028,0.0001927296726604028,-1.633304337140286e-05,0.0004982269019819796,8.57195773278363e-05,-4.879184780293144e-05,4.450790584087372e-06,0.0005909219617024064,0.0011601448059082031,-1.5748203992843628,2.3857953548431396,-0.000158368595714965,-2.4425322166511954e-15,8.281733545643978e-16,0.030722842065173825,0.04157717723843875,0.0487320260304868,0.06185850305186282,0.0741739463774132,0.08123589049399124,0.1005344823985022,0.11069026592015355,0.12817921417119935,0.0071548487920480505
low final p-ratio,low_p,61,3,0.02727272727272727,-0.19130751045644662,-0.5734598575106268,-0.00028768429187357687,0.00028768429187357687,-4.6233747109526625e-05,0.0007512200972996652,0.0001839958131313324,-7.367352372966707e-05,1.2800956938008312e-05,0.0009056705166585743,0.0017618064302951097,-1.5170103311538696,2.383869171142578,-0.00025753414407135583,-1.0828590279102447e-15,-1.2457358268283936e-16,0.03066195708541978,0.04153388583936618,0.04869294491974956,0.061768193651574835,0.0740663583021048,0.0811742974441833,0.10046310544753967,0.11063096015773717,0.1280743473191403,0.007159059080383383
low final p-ratio,low_p,61,4,0.03636363636363636,-0.24627375905920962,-0.5734598575106268,-0.0003835790558314358,0.0003835790558314358,-7.881341563343604e-05,0.0010068181436508894,0.00030223437352105975,-9.832080104388297e-05,2.1248053599265404e-05,0.0012297063367441297,0.002375258132815361,-1.4647305011749268,2.382108688354492,-0.0003603969197535223,-1.5097999974022866e-15,-1.3531547479131042e-15,0.03059925164304288,0.04149058004777562,0.048653386957509065,0.061671257835261915,0.07395243642287493,0.08111225627083504,0.10038802601169652,0.1105702860242859,0.12796669834763438,0.007162806909733442
low final p-ratio,low_p,61,5,0.045454545454545456,-0.28460103171989903,-0.5734598575106268,-0.0004794738197892948,0.0004794738197892948,-0.00011510906756988685,0.0012638892512768507,0.0004313308163546026,-0.00012266827980056405,3.0916973628336564e-05,0.0015600076876580715,0.0029902129899710417,-1.412976622581482,2.380350112915039,-0.00046449843933257497,-1.6450676402502284e-15,3.76751122460728e-15,0.030535737424655117,0.04144699796207901,0.048613459885915006,0.06157627482167755,0.07384578564925351,0.081050199291306,0.10031436540928212,0.1105109125114809,0.12785888759231273,0.007166461923835993
low final p-ratio,low_p,61,6,0.05454545454545454,-0.3108566193311956,-0.5734598575106268,-0.0005753685837471537,0.0005753685837471537,-0.0001503677008795819,0.0015224914532154799,0.0005653258413076401,-0.00014704294153489172,3.9989128708839417e-05,0.0018945911433547735,0.0036071271169930696,-1.36139714717865,2.3785932064056396,-0.0005695072522751426,9.0873455415183e-16,1.622132815368264e-15,0.030471279838123623,0.041403044683295184,0.04857366614911239,0.06147988516764287,0.07373514834397672,0.08098873773038401,0.10023701305106654,0.11045060926912473,0.12774980118929036,0.007170621465817206
low final p-ratio,low_p,61,7,0.06363636363636363,-0.3310794873810834,-0.5734598575106268,-0.0006721180247456353,0.0006721180247456353,-0.00018761395322389215,0.0017819685162976384,0.0007058586925268173,-0.00017213674436789006,4.9709844461176544e-05,0.0022335185203701258,0.00422292947769165,-1.308833122253418,2.3768045902252197,-0.0006754227921402858,-1.2772999325619036e-15,9.3554929785414e-17,0.030407913674352673,0.041359549662157255,0.04853397623565393,0.06138347944267281,0.07362448678826168,0.08092760062933425,0.10016269103829775,0.11039085815190063,0.1276414295084762,0.007174426573496678
low final p-ratio,low_p,61,8,0.07272727272727272,-0.3485359972442301,-0.5734598575106268,-0.0007671581116628716,0.0007671581116628716,-0.0002265885699461286,0.002042436273768544,0.0008537235553376377,-0.00019689129840116948,5.945111843175255e-05,0.0025770021602511406,0.004831227939575911,-1.25930655002594,2.3751308917999268,-0.0007825717820679679,-1.836587381177067e-15,1.9505057184443618e-15,0.030342465517224304,0.04131549423001685,0.04849373362875273,0.061285319105319515,0.07351367999279643,0.08086631193427915,0.10008401315104493,0.11033122412453433,0.12753073416096458,0.007178239398735881
low final p-ratio,low_p,61,9,0.08181818181818182,-0.36444989273674533,-0.5734598575106268,-0.0008630528756207305,0.0008630528756207305,-0.00026642736885732816,0.0023039248771965504,0.001008794759400189,-0.00022107147378847003,6.89684457029216e-05,0.0029250059742480516,0.005441579967737198,-1.209770917892456,2.373441219329834,-0.0008913771690078949,-5.618810472683039e-15,-7.571662985702876e-16,0.03027577741562255,0.04127169346499855,0.04845249415999839,0.06118829942532962,0.07340503766022201,0.08080490312257706,0.10000525630015297,0.11026939988678203,0.12741957884108826,0.0071808006949998365
low final p-ratio,low_p,61,10,0.09090909090909091,-0.3775104833370117,-0.5734598575106268,-0.0009598023166192121,0.0009598023166192121,-0.0003081673685842466,0.002567797899246216,0.0011690986575558782,-0.00024553414550609887,8.009668090380728e-05,0.003278205171227455,0.0060517797246575356,-1.1628170013427734,2.3718857765197754,-0.001001307140718389,6.681784539552136e-16,1.2038780520150352e-15,0.030209277461373762,0.041227143964993836,0.04841139392521214,0.061088216961055396,0.07329249084595829,0.08074313764830011,0.09992584373481124,0.11020885658066328,0.12730687559415174,0.007184249960218304
low final p-ratio,low_p,61,11,0.1,-0.38968337598474584,-0.5734598575106268,-0.001057577370066441,0.001057577370066441,-0.0003488703496844093,0.0028321915306150913,0.0013340176083147526,-0.0002703495556488633,9.05180349946022e-05,0.003634504973888397,0.006673609837889671,-1.1135352849960327,2.37021541595459,-0.0011128679751662468,-1.5562839651017447e-15,-1.7448172387276994e-16,0.030142996174495087,0.041182168019812546,0.0483708298354564,0.06099013754129753,0.07318224632622061,0.0806811870185584,0.09984917757339586,0.11014730778535857,0.1271946922105336,0.007188661815643857
low final p-ratio,low_p,61,12,0.10909090909090909,-0.4008097165991903,-0.5734598575106268,-0.0011534721340243,0.0011534721340243,-0.00039233871378925394,0.0030976166017353535,0.0015039497520774603,-0.00029501054086722434,0.0001016475580399856,0.003994554281234741,0.007287284824997187,-1.067274808883667,2.368668794631958,-0.0012254547805828253,-1.7164123102812571e-15,-7.671103014175928e-16,0.030074140301178613,0.04113671237961428,0.04832893571918363,0.06088761281880575,0.07306867601203035,0.08061916816528222,0.09976620097353489,0.11008598664281435,0.1270779511580553,0.007192223339569349
low final p-ratio,low_p,61,13,0.11818181818181818,-0.41090013168514505,-0.5734598575106268,-0.0012502215750227815,0.0012502215750227815,-0.00043589349611299495,0.003363107331097126,0.001677361549809575,-0.000319499580655247,0.00011237159196753055,0.004356612451374531,0.007901724427938461,-1.0180002450942993,2.3669943809509277,-0.00133881328841751,8.053289961874631e-16,2.0206267819246802e-15,0.030006512006552202,0.041091839254056094,0.048287591472786065,0.06078741179032999,0.0729558228487006,0.08055714599475038,0.09968730759745832,0.11002245303130428,0.12696499750708,0.007195752218729971
