case,case_short,train_original_sim_idx,original_sim_idx,frames_encoded,final_p_ratio,mean_z0,final_z0,slope_z0,range_z0,mean_z1,final_z1,slope_z1,range_z1
low final p-ratio,low_p,61,0,78,-0.4807224091848549,1.6149463501687233,5.055823802947998,6.851767420768738,6.851767420768738,2.271680336732131,2.1544229984283447,-0.2298412322998047,0.2298412322998047
low final p-ratio,low_p,61,1,58,-0.20260149053372217,3.1112867389516583,8.158547401428223,10.013344407081604,10.013344407081604,2.127077511672316,1.9395848512649536,-0.3711949586868286,0.3711949586868286
low final p-ratio,low_p,61,2,78,0.12600592325434534,4.953988393434347,12.198404312133789,14.210163354873657,14.210163354873657,2.027164346132523,1.7537792921066284,-0.5331283807754517,0.5331283807754517
low final p-ratio,low_p,61,3,80,-0.45584325610126514,1.6774461538530887,5.192093372344971,6.950085878372192,6.950085878372192,2.1988160073757173,2.071575164794922,-0.2452390193939209,0.2452390193939209
low final p-ratio,low_p,61,4,79,0.1278935707687713,5.046458030143116,12.35461711883545,14.340565800666809,14.340565800666809,2.0083211237871192,1.740574836730957,-0.5206887722015381,0.5206887722015381
low final p-ratio,low_p,61,5,78,0.026206553415310255,4.4042803307469836,10.961507797241211,12.888682246208191,12.888682246208191,2.053712540712112,1.8157920837402344,-0.4627871513366699,0.4627871513366699
low final p-ratio,low_p,61,6,67,0.3630376812533941,4.887201183197547,12.12307071685791,14.160370588302612,14.160370588302612,1.9772169305317437,1.7085809707641602,-0.5233321189880371,0.5233321189880371
low final p-ratio,low_p,61,7,75,-0.3942740135525513,1.524138128993412,4.95885705947876,6.758321166038513,6.758321166038513,2.2323787148793537,2.11961030960083,-0.21790075302124023,0.21790075302124023
low final p-ratio,low_p,61,8,93,-0.3943129812633864,1.6453857437797612,5.163668632507324,6.95827853679657,6.95827853679657,2.225763782378166,2.1023097038269043,-0.2379915714263916,0.2379915714263916
low final p-ratio,low_p,61,9,57,0.1672963915372404,5.341807346333537,12.93641471862793,14.900262713432312,14.900262713432312,2.005846947954412,1.7215688228607178,-0.5570077896118164,0.5570077896118164
low final p-ratio,low_p,61,10,63,-0.4575559254783025,1.3543754677687372,4.472621440887451,6.215496897697449,6.215496897697449,2.238141139348348,2.1318752765655518,-0.20806574821472168,0.20806574821472168
low final p-ratio,low_p,61,11,57,-0.08124782558274382,3.689389605401901,9.508580207824707,11.365417122840881,11.365417122840881,2.0816022011271693,1.8642325401306152,-0.42153286933898926,0.42153286933898926
low final p-ratio,low_p,61,12,74,0.34363610284625656,4.930446369019714,12.128713607788086,14.178859949111938,14.178859949111938,1.97578149067389,1.7095685005187988,-0.519273042678833,0.519273042678833
low final p-ratio,low_p,61,13,86,0.10598580935001119,4.773711099603409,11.865131378173828,13.839873671531677,13.839873671531677,2.0398210120755573,1.776353359222412,-0.5062639713287354,0.5062639713287354
low final p-ratio,low_p,61,14,66,-0.02043953611353658,4.391225944922278,10.94422435760498,12.841580748558044,12.841580748558044,2.071907751487963,1.8379052877426147,-0.4537900686264038,0.4537900686264038
low final p-ratio,low_p,61,15,74,0.0034385083193314795,4.074908508440933,10.324511528015137,12.286596417427063,12.286596417427063,2.079582383503785,1.8465023040771484,-0.4569361209869385,0.4569361209869385
low final p-ratio,low_p,61,16,78,-0.3836751706292006,2.4481161647022534,6.849025726318359,8.633304953575134,8.633304953575134,2.168116425856566,2.0162296295166016,-0.29282236099243164,0.29282236099243164
low final p-ratio,low_p,61,17,80,0.17635764572024556,5.389794553210959,13.021291732788086,15.026535987854004,15.026535987854004,1.9970181584358215,1.7111951112747192,-0.5584131479263306,0.5584131479263306
low final p-ratio,low_p,61,18,69,0.16176244715164548,5.326741704852253,12.821294784545898,14.694387555122375,14.694387555122375,1.9699546098709106,1.7011678218841553,-0.5204706192016602,0.5204706192016602
low final p-ratio,low_p,61,19,72,0.03700541385993479,4.532540569586369,11.310049057006836,13.260324358940125,13.260324358940125,2.0587074905633926,1.8140697479248047,-0.4731912612915039,0.4731912612915039
low final p-ratio,low_p,61,20,80,-0.1613288408896635,3.4768227556254714,9.047168731689453,10.962743163108826,10.962743163108826,2.1323457196354867,1.927530288696289,-0.3979935646057129,0.3979935646057129
low final p-ratio,low_p,61,21,89,-0.2291252278516337,3.0837339278666325,8.285877227783203,10.160860419273376,10.160860419273376,2.1691218909252896,1.9797985553741455,-0.36287856101989746,0.36287856101989746
low final p-ratio,low_p,61,22,61,-0.4346220503932809,1.7440267306004391,5.367347717285156,7.0668100118637085,7.0668100118637085,2.178340720348671,2.060441017150879,-0.22666335105895996,0.22666335105895996
low final p-ratio,low_p,61,23,83,0.3480696477983587,4.807036527757903,11.867558479309082,13.941170692443848,13.941170692443848,1.983822220779327,1.7158167362213135,-0.5266332626342773,0.5266332626342773
low final p-ratio,low_p,61,24,58,-0.4425836976874488,1.9518205079667528,5.703136920928955,7.486162185668945,7.486162185668945,2.2025856355140947,2.0776519775390625,-0.24730348587036133,0.24730348587036133
low final p-ratio,low_p,61,25,74,0.15575047961155963,5.334780405388793,12.749641418457031,14.71703326702118,14.71703326702118,2.0023459083325155,1.7323551177978516,-0.5308547019958496,0.5308547019958496
low final p-ratio,low_p,61,26,74,0.03234810147365195,4.645821786007366,11.542047500610352,13.50171709060669,13.50171709060669,2.044503363403114,1.789109230041504,-0.4929182529449463,0.4929182529449463
low final p-ratio,low_p,61,27,89,-0.36685866738795003,2.1918377120340806,6.230016708374023,7.962762951850891,7.962762951850891,2.186887690190519,2.0510787963867188,-0.26201367378234863,0.26201367378234863
low final p-ratio,low_p,61,28,87,-0.45477014026240226,1.4624081783146523,4.801021099090576,6.620511889457703,6.620511889457703,2.241511627175342,2.1249845027923584,-0.22456932067871094,0.22456932067871094
low final p-ratio,low_p,61,29,66,-0.46988297457812184,1.3507917152548379,4.499736785888672,6.266861081123352,6.266861081123352,2.238866040200898,2.129359722137451,-0.21469664573669434,0.21469664573669434
low final p-ratio,low_p,61,30,86,0.04379751958601948,4.375562736634598,10.955690383911133,12.920326828956604,12.920326828956604,2.054025249425755,1.8134983777999878,-0.46492230892181396,0.46492230892181396
low final p-ratio,low_p,61,31,71,0.13393114430878897,5.164254691412436,12.600465774536133,14.57662045955658,14.57662045955658,2.0011375386949997,1.7295403480529785,-0.5269660949707031,0.5269660949707031
low final p-ratio,low_p,61,32,85,0.21262633834314057,5.308919926820432,12.910146713256836,14.921781539916992,14.921781539916992,2.0012415956048404,1.7159912586212158,-0.5555596351623535,0.5555596351623535
low final p-ratio,low_p,61,33,80,-0.4240335086854074,1.6784143622033298,5.1951904296875,6.979164719581604,6.979164719581604,2.2276304990053175,2.1026642322540283,-0.24623370170593262,0.24623370170593262
low final p-ratio,low_p,61,34,84,-0.44394318861186965,1.3741320820880079,4.6110124588012695,6.424251675605774,6.424251675605774,2.2828155784379867,2.178784132003784,-0.19941091537475586,0.19941091537475586
low final p-ratio,low_p,61,35,86,-0.1496032734170133,3.3270804625610975,8.730962753295898,10.613268971443176,10.613268971443176,2.119223101194515,1.9201300144195557,-0.3836197853088379,0.3836197853088379
low final p-ratio,low_p,61,36,95,-0.4436555356265637,2.006205702376993,5.945127010345459,7.730921387672424,7.730921387672424,2.2131989428871557,2.0701684951782227,-0.27892422676086426,0.27892422676086426
low final p-ratio,low_p,61,37,70,-0.204619104548757,3.2475156098471154,8.67466926574707,10.538489818572998,10.538489818572998,2.176476253782,1.9791841506958008,-0.37595295906066895,0.37595295906066895
low final p-ratio,low_p,61,38,76,0.35413357644997473,4.808289203204606,12.028481483459473,14.046194314956665,14.046194314956665,1.96485446471917,1.7022444009780884,-0.5058737993240356,0.5058737993240356
low final p-ratio,low_p,61,39,92,0.35508191711915005,4.631133488500896,11.697086334228516,13.760034799575806,13.760034799575806,1.9949483534564143,1.731007695198059,-0.5087248086929321,0.5087248086929321
low final p-ratio,low_p,61,40,62,-0.23919190542704324,2.407487372822699,6.961437225341797,8.876535534858704,8.876535534858704,2.1935335782266434,2.0288774967193604,-0.31944966316223145,0.31944966316223145
low final p-ratio,low_p,61,41,57,-0.3405376290549624,2.071315608526531,6.101325511932373,7.866060972213745,7.866060972213745,2.1835857357895163,2.0360076427459717,-0.28531885147094727,0.28531885147094727
low final p-ratio,low_p,61,42,83,-0.4103403225186684,2.2297610313777465,6.393041133880615,8.237845420837402,8.237845420837402,2.203198398452207,2.0555410385131836,-0.28611016273498535,0.28611016273498535
low final p-ratio,low_p,61,43,80,0.17903333525441312,5.1460518492385745,12.39871883392334,14.33810842037201,14.33810842037201,2.0042536064982412,1.7323976755142212,-0.5329519510269165,0.5329519510269165
low final p-ratio,low_p,61,44,74,-0.10055141793182469,4.041981735442941,10.10855770111084,12.007985711097717,12.007985711097717,2.103877431637532,1.8877133131027222,-0.422615647315979,0.422615647315979
low final p-ratio,low_p,61,45,61,0.34223353528925654,4.732399724362815,11.735157012939453,13.691837430000305,13.691837430000305,1.9468249532042956,1.6935893297195435,-0.4915047883987427,0.4915047883987427
low final p-ratio,low_p,61,46,62,-0.2944754113699857,2.4829132580949413,6.955130100250244,8.768443942070007,8.768443942070007,2.166482275532138,2.003714084625244,-0.3173043727874756,0.3173043727874756
low final p-ratio,low_p,61,47,89,-0.42437712851765547,1.9029293586029095,5.725926399230957,7.538478970527649,7.538478970527649,2.2426338999458912,2.1091530323028564,-0.26068115234375,0.26068115234375
low final p-ratio,low_p,61,48,80,0.3629131029241631,4.783543646614999,11.845706939697266,13.89517617225647,13.89517617225647,1.9906488746404647,1.7259914875030518,-0.5161571502685547,0.5161571502685547
low final p-ratio,low_p,61,49,85,-0.44952385768512343,2.003020548349356,5.91053581237793,7.6895424127578735,7.6895424127578735,2.2249475955963134,2.096883535385132,-0.24683308601379395,0.24683308601379395
low final p-ratio,low_p,61,50,80,-0.0696914335517825,3.8247747681103648,9.839899063110352,11.714686632156372,11.714686632156372,2.0800926238298416,1.8595658540725708,-0.42752397060394287,0.42752397060394287
low final p-ratio,low_p,61,51,91,0.1984530464851873,5.325192354251068,12.890865325927734,14.90857458114624,14.90857458114624,2.01337686082819,1.7279949188232422,-0.5552797317504883,0.5552797317504883
low final p-ratio,low_p,61,52,70,0.037337759212293,4.6360807853085655,11.317070960998535,13.217447400093079,13.217447400093079,2.0117049149104527,1.766873836517334,-0.48137736320495605,0.48137736320495605
low final p-ratio,low_p,61,53,61,-0.05223121954639464,4.391669429594376,10.888769149780273,12.736720204353333,12.736720204353333,2.0476954530497067,1.8008604049682617,-0.48042726516723633,0.48042726516723633
low final p-ratio,low_p,61,54,80,0.34876936421668947,4.692279260884971,11.708970069885254,13.791069746017456,13.791069746017456,1.9952172696590424,1.734046459197998,-0.5081372261047363,0.5081372261047363
low final p-ratio,low_p,61,55,90,0.20504416643351053,5.268041367497709,12.734151840209961,14.737059831619263,14.737059831619263,1.9945060676998563,1.7174060344696045,-0.5417823791503906,0.5417823791503906
low final p-ratio,low_p,61,56,66,0.40844515428566636,4.773806986652992,11.915145874023438,13.953326225280762,13.953326225280762,1.9765199838262615,1.7068982124328613,-0.523327112197876,0.523327112197876
