dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,case,case_short,train_original_sim_idx,original_sim_idx
low_p CV2 sim-61,other_trajectories,0,100,100,-0.5180376425254137,-0.46487262289199854,0.00025107740657404065,0.0005195323610678315,0.0009136375156231225,1.758576720312973,low final p-ratio,low_p,61,0
low_p CV2 sim-61,other_trajectories,1,100,100,-0.5268106665213957,-0.19957046441556248,0.000270165444817394,0.0006169537082314491,0.0007285114261321723,1.180820240501533,low final p-ratio,low_p,61,1
low_p CV2 sim-61,other_trajectories,2,100,100,-0.46217911160297726,0.12766566406128035,0.0003927485959138721,0.00046259252121672034,0.0010199316311627626,2.20481651644544,low final p-ratio,low_p,61,2
low_p CV2 sim-61,other_trajectories,3,100,100,-0.5047605997566759,-0.4393669157226641,0.00025829573860391974,0.0005288817919790745,0.0010790813248604536,2.0403071938297095,low final p-ratio,low_p,61,3
low_p CV2 sim-61,other_trajectories,4,100,100,-0.4343375326151334,0.13062472932005198,0.0004493068263400346,0.0004207755846437067,0.001058233785443008,2.51496005011572,low final p-ratio,low_p,61,4
low_p CV2 sim-61,other_trajectories,5,100,100,-0.4799466668945859,0.03172989080784792,0.00038353860145434737,0.00042226456571370363,0.0010130275040864944,2.399035075022917,low final p-ratio,low_p,61,5
low_p CV2 sim-61,other_trajectories,6,100,100,-0.4862426862941819,0.36276686227205374,0.0005879427772015333,0.00046289130114018917,0.0009864402236416936,2.1310407458768483,low final p-ratio,low_p,61,6
low_p CV2 sim-61,other_trajectories,7,100,100,-0.5103464972869818,-0.38222767165720184,0.00022950544371269643,0.0006158828618936241,0.00093399069737643,1.5165070424345561,low final p-ratio,low_p,61,7
low_p CV2 sim-61,other_trajectories,8,100,100,-0.5409093223359299,-0.37734224918907006,0.00031742133432999253,0.00047156173968687654,0.001153083867393434,2.4452447481407154,low final p-ratio,low_p,61,8
low_p CV2 sim-61,other_trajectories,9,100,100,-0.5272353488163659,0.1676109193729469,0.00033786852145567536,0.00044654603698290884,0.0006795346853323281,1.5217572860429096,low final p-ratio,low_p,61,9
low_p CV2 sim-61,other_trajectories,10,100,100,-0.5832763444202673,-0.45031916445102593,0.000221395879634656,0.0005420530796982348,0.0008334731683135033,1.5376227892248198,low final p-ratio,low_p,61,10
low_p CV2 sim-61,other_trajectories,11,100,100,-0.511992685891739,-0.07971978547374547,0.00023763079661875963,0.0005165072507224977,0.0007496369653381407,1.4513580676544964,low final p-ratio,low_p,61,11
low_p CV2 sim-61,other_trajectories,12,100,100,-0.46679759733717624,0.34381897866260036,0.0006152207497507334,0.00045756061444990337,0.0010449460241943598,2.2837324524765603,low final p-ratio,low_p,61,12
low_p CV2 sim-61,other_trajectories,13,100,100,-0.49514739028594157,0.11052939344092075,0.0004380206810310483,0.0004217526293359697,0.0010377542348578572,2.4605756139369044,low final p-ratio,low_p,61,13
low_p CV2 sim-61,other_trajectories,14,100,100,-0.5165335411712727,-0.018478559793530917,0.00028101567295379937,0.00045000307727605104,0.0008071401971392334,1.7936326169700818,low final p-ratio,low_p,61,14
low_p CV2 sim-61,other_trajectories,15,100,100,-0.45224850784138415,0.008305996800413685,0.00033033170620910823,0.0003995395090896636,0.0008464961429126561,2.1186794388403967,low final p-ratio,low_p,61,15
low_p CV2 sim-61,other_trajectories,16,100,100,-0.4854473620648011,-0.36968904063691627,0.00023303611669689417,0.0005522074643522501,0.001022069132886827,1.8508788795271602,low final p-ratio,low_p,61,16
low_p CV2 sim-61,other_trajectories,17,100,100,-0.43159925316413866,0.17814169879037617,0.0004676333046518266,0.0004525828699115664,0.0010755156399682164,2.376394935536048,low final p-ratio,low_p,61,17
low_p CV2 sim-61,other_trajectories,18,100,100,-0.5058489499326561,0.16336690789799047,0.000517022330313921,0.0004056734615005553,0.0010982726234942675,2.7072824025309434,low final p-ratio,low_p,61,18
low_p CV2 sim-61,other_trajectories,19,100,100,-0.461234454728709,0.040181781111504576,0.0003415335086174309,0.0004266326723154634,0.000894408265594393,2.096436404507351,low final p-ratio,low_p,61,19
low_p CV2 sim-61,other_trajectories,20,100,100,-0.5098319124094023,-0.15244785215150708,0.0002658278099261224,0.0004925160319544375,0.0009644926758483052,1.958297016283787,low final p-ratio,low_p,61,20
low_p CV2 sim-61,other_trajectories,21,100,100,-0.44846068211719464,-0.21644295302013422,0.00028081086929887533,0.00048590541700832546,0.0011067443992942572,2.2776951245128725,low final p-ratio,low_p,61,21
low_p CV2 sim-61,other_trajectories,22,100,100,-0.5768524695536154,-0.4281988789990987,0.00021324689441826195,0.0006240864167921245,0.0008555008680559695,1.3708051401812935,low final p-ratio,low_p,61,22
low_p CV2 sim-61,other_trajectories,23,100,100,-0.43182860406928564,0.3479035934455906,0.0006262398674152792,0.0004432816058397293,0.0011096895905211568,2.5033513141584556,low final p-ratio,low_p,61,23
low_p CV2 sim-61,other_trajectories,24,100,100,-0.5132932742989669,-0.4371280371280371,0.00021788186859339476,0.0005649353261105716,0.0007144261035136878,1.2646157365168154,low final p-ratio,low_p,61,24
low_p CV2 sim-61,other_trajectories,25,100,100,-0.4706307920212216,0.15728043847057288,0.0004391770053189248,0.0004490292340051383,0.0009932676330208778,2.21203333279969,low final p-ratio,low_p,61,25
