dataset,latent_dim,hidden_size,epoch,train_mse_norm,val_mse_norm,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV1 | nets=1 | frames=2,1,128,1,1.0080325603485107,26212.321627609253,1,1,2
CV1 | nets=1 | frames=2,1,128,2,0.9746124744415284,26210.229853118897,1,1,2
CV1 | nets=1 | frames=2,1,128,3,0.9416714310646056,26215.76009288025,1,1,2
CV1 | nets=1 | frames=2,1,128,4,0.9052784442901612,26256.18471328735,1,1,2
CV1 | nets=1 | frames=2,1,128,5,0.8607975840568542,26391.66193127441,1,1,2
CV1 | nets=1 | frames=2,1,128,6,0.801089346408844,26780.06542491913,1,1,2
CV1 | nets=1 | frames=2,1,128,7,0.7145845890045166,27798.43101213074,1,1,2
CV1 | nets=1 | frames=2,1,128,8,0.5891003012657166,31609.0999125824,1,1,2
CV1 | nets=1 | frames=2,1,128,9,0.4463904201984405,47220.79037952804,1,1,2
CV1 | nets=1 | frames=2,1,128,10,0.4542849659919739,71855.96270816802,1,1,2
CV1 | nets=1 | frames=2,1,128,11,0.5475735068321228,91287.63167233276,1,1,2
CV1 | nets=1 | frames=2,1,128,12,0.5254050493240356,94450.22526461029,1,1,2
CV1 | nets=1 | frames=2,1,128,13,0.3811799585819244,85710.82912599944,1,1,2
CV1 | nets=1 | frames=2,1,128,14,0.2624787092208862,79968.7504029007,1,1,2
CV1 | nets=1 | frames=2,1,128,15,0.2366029173135757,90206.42752815246,1,1,2
CV1 | nets=1 | frames=2,1,128,16,0.2394927442073822,117010.75416698457,1,1,2
CV1 | nets=1 | frames=2,1,128,17,0.2204211056232452,170844.36009339904,1,1,2
CV1 | nets=1 | frames=5,1,128,1,1.0050272941589355,2781.3676068372724,1,1,5
CV1 | nets=1 | frames=5,1,128,2,0.9758701920509338,2780.736501857757,1,1,5
CV1 | nets=1 | frames=5,1,128,3,0.9466089010238647,2779.984759521484,1,1,5
CV1 | nets=1 | frames=5,1,128,4,0.9140291810035706,2779.003565720558,1,1,5
CV1 | nets=1 | frames=5,1,128,5,0.8751975893974304,2777.533176967621,1,1,5
CV1 | nets=1 | frames=5,1,128,6,0.8270179033279419,2774.677241598129,1,1,5
CV1 | nets=1 | frames=5,1,128,7,0.766791820526123,2767.542494767189,1,1,5
CV1 | nets=1 | frames=5,1,128,8,0.7030062079429626,2750.4465660562514,1,1,5
CV1 | nets=1 | frames=5,1,128,9,0.7089443206787109,2742.0222465052607,1,1,5
CV1 | nets=1 | frames=5,1,128,10,0.6898438930511475,2742.0454925146105,1,1,5
CV1 | nets=1 | frames=5,1,128,11,0.6620679497718811,2742.513245246887,1,1,5
CV1 | nets=1 | frames=5,1,128,12,0.6469089984893799,2740.0153614349365,1,1,5
CV1 | nets=1 | frames=5,1,128,13,0.6399574875831604,2729.444899301529,1,1,5
CV1 | nets=1 | frames=5,1,128,14,0.6342413425445557,2703.961676472664,1,1,5
CV1 | nets=1 | frames=5,1,128,15,0.6243792176246643,2685.05122537756,1,1,5
CV1 | nets=1 | frames=5,1,128,16,0.6065961122512817,2806.5242797207834,1,1,5
CV1 | nets=1 | frames=5,1,128,17,0.5793326497077942,3390.5882776947024,1,1,5
CV1 | nets=1 | frames=5,1,128,18,0.5453669428825378,4932.33524070549,1,1,5
CV1 | nets=1 | frames=5,1,128,19,0.5165784955024719,7227.555195287705,1,1,5
CV1 | nets=1 | frames=5,1,128,20,0.5040082931518555,8958.260220693588,1,1,5
CV1 | nets=1 | frames=5,1,128,21,0.4945492744445801,10233.296583210946,1,1,5
CV1 | nets=1 | frames=5,1,128,22,0.4900634288787842,12026.782709869383,1,1,5
CV1 | nets=1 | frames=5,1,128,23,0.4841944873332977,14910.973701828005,1,1,5
CV1 | nets=1 | frames=5,1,128,24,0.467623621225357,18077.56458986759,1,1,5
CV1 | nets=1 | frames=5,1,128,25,0.4549874067306518,17870.70496549225,1,1,5
CV1 | nets=1 | frames=5,1,128,26,0.4392410516738891,15360.119038777351,1,1,5
CV1 | nets=1 | frames=5,1,128,27,0.4240623712539673,13928.214402935027,1,1,5
CV1 | nets=1 | frames=5,1,128,28,0.4137713611125946,13511.109588777545,1,1,5
