dataset,latent_dim,hidden_size,epoch,train_mse_norm,val_mse_norm,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV1 | nets=1 | frames=2,1,128,1,1.0080325603485107,26212.321627609253,1,1,2
CV1 | nets=1 | frames=2,1,128,2,0.9746124744415283,26210.229853118897,1,1,2
CV1 | nets=1 | frames=2,1,128,3,0.9416714310646057,26215.76009288025,1,1,2
CV1 | nets=1 | frames=2,1,128,4,0.9052784442901611,26256.18471328735,1,1,2
CV1 | nets=1 | frames=2,1,128,5,0.8607975840568542,26391.661931274415,1,1,2
CV1 | nets=1 | frames=2,1,128,6,0.801089346408844,26780.06542491913,1,1,2
CV1 | nets=1 | frames=2,1,128,7,0.7145845890045166,27798.43101213074,1,1,2
CV1 | nets=1 | frames=2,1,128,8,0.5891003012657166,31609.0999125824,1,1,2
CV1 | nets=1 | frames=2,1,128,9,0.44639042019844055,47220.79037952804,1,1,2
CV1 | nets=1 | frames=2,1,128,10,0.4542849659919739,71855.96270816802,1,1,2
CV1 | nets=1 | frames=2,1,128,11,0.5475735068321228,91287.63167233276,1,1,2
CV1 | nets=1 | frames=2,1,128,12,0.5254050493240356,94450.22526461029,1,1,2
CV1 | nets=1 | frames=2,1,128,13,0.38117995858192444,85710.82912599944,1,1,2
CV1 | nets=1 | frames=2,1,128,14,0.26247870922088623,79968.7504029007,1,1,2
CV1 | nets=1 | frames=2,1,128,15,0.23660291731357574,90206.42752815246,1,1,2
CV1 | nets=1 | frames=2,1,128,16,0.2394927442073822,117010.75416698455,1,1,2
CV1 | nets=1 | frames=2,1,128,17,0.22042110562324524,170844.36009339904,1,1,2
CV1 | nets=1 | frames=5,1,128,1,1.0050272941589355,2781.3676068372724,1,1,5
CV1 | nets=1 | frames=5,1,128,2,0.9758701920509338,2780.7365018577575,1,1,5
CV1 | nets=1 | frames=5,1,128,3,0.9466089010238647,2779.984759521484,1,1,5
CV1 | nets=1 | frames=5,1,128,4,0.9140291810035706,2779.003565720558,1,1,5
