dataset,latent_dim,hidden_size,epoch,train_dz_mse_norm,val_dz_mse_norm,val_dz_mse_raw,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV1 | nets=1 | frames=2,1,128,1,0.4824010133743286,25.29904132353887,0.0217226033038732,1,1,2
CV1 | nets=1 | frames=2,1,128,2,0.3739076256752014,11.780767272308468,0.0101153609233151,1,1,2
CV1 | nets=1 | frames=2,1,128,3,0.2797639966011047,85.05027895647288,0.0730270160186337,1,1,2
CV1 | nets=1 | frames=2,1,128,4,0.1991506963968277,246.819681832552,0.2119276377516798,1,1,2
CV1 | nets=1 | frames=2,1,128,5,0.1317846775054931,500.5229463119507,0.4297657482633367,1,1,2
CV1 | nets=1 | frames=2,1,128,6,0.0778281837701797,832.5721510901451,0.7148743043802679,1,1,2
CV1 | nets=1 | frames=2,1,128,7,0.0379195287823677,1255.4366101531982,1.077959891411476,1,1,2
CV1 | nets=1 | frames=2,1,128,8,0.0129570886492729,1741.8261364507675,1.4955902185821903,1,1,2
CV1 | nets=1 | frames=2,1,128,9,0.0027762833051383,2257.2533091869354,1.93815324713476,1,1,2
CV1 | nets=1 | frames=2,1,128,10,0.0053320815786719,2728.537405265808,2.3428135743830354,1,1,2
CV1 | nets=1 | frames=2,1,128,11,0.0162553749978542,3091.6401326885225,2.654585737954825,1,1,2
CV1 | nets=1 | frames=2,1,128,12,0.0295540001243352,3313.71170432663,2.8452638541646302,1,1,2
CV1 | nets=1 | frames=2,1,128,13,0.0396015271544456,3400.499219722748,2.919782498728484,1,1,2
CV1 | nets=1 | frames=2,1,128,14,0.0433267131447792,3372.9698832130434,2.8961448903381823,1,1,2
CV1 | nets=1 | frames=2,1,128,15,0.0407113470137119,3259.0764158630373,2.798352142151445,1,1,2
CV1 | nets=1 | frames=2,1,128,16,0.0336326472461223,3087.520990818024,2.651048886824399,1,1,2
CV1 | nets=1 | frames=2,1,128,17,0.0245192982256412,2884.0638002872465,2.4763537488449363,1,1,2
CV1 | nets=1 | frames=5,1,128,1,0.953682541847229,2749.698350816503,7.996454401816424,1,1,5
CV1 | nets=1 | frames=5,1,128,2,0.8024595379829407,2041.180142601212,5.935998281665168,1,1,5
CV1 | nets=1 | frames=5,1,128,3,0.670535147190094,1456.6540816791055,4.236125808916055,1,1,5
CV1 | nets=1 | frames=5,1,128,4,0.5566900968551636,983.7051834302544,2.860733350807336,1,1,5
CV1 | nets=1 | frames=5,1,128,5,0.4602342545986175,651.2306128761768,1.8938572076442648,1,1,5
CV1 | nets=1 | frames=5,1,128,6,0.3810014426708221,457.3076344850064,1.3299058047835717,1,1,5
CV1 | nets=1 | frames=5,1,128,7,0.3191722333431244,382.9089958941154,1.1135455655830735,1,1,5
CV1 | nets=1 | frames=5,1,128,8,0.2747741043567657,388.38297057876366,1.129464566350789,1,1,5
CV1 | nets=1 | frames=5,1,128,9,0.2466586679220199,416.1832851078287,1.210311232251086,1,1,5
CV1 | nets=1 | frames=5,1,128,10,0.2314028292894363,422.1633337565512,1.2277019535495202,1,1,5
CV1 | nets=1 | frames=5,1,128,11,0.2240935564041137,403.2492745242119,1.1726975501764392,1,1,5
CV1 | nets=1 | frames=5,1,128,12,0.220194935798645,381.5024902708829,1.1094553036711003,1,1,5
CV1 | nets=1 | frames=5,1,128,13,0.2160264253616333,384.5886231517941,1.1184301336121862,1,1,5
CV1 | nets=1 | frames=5,1,128,14,0.2088856697082519,432.1776809880696,1.2568248378005882,1,1,5
CV1 | nets=1 | frames=5,1,128,15,0.1975394040346145,535.2415284702778,1.5565469377185217,1,1,5
CV1 | nets=1 | frames=5,1,128,16,0.1823611110448837,700.6905053751468,2.0376926052537745,1,1,5
CV1 | nets=1 | frames=5,1,128,17,0.1648512035608291,923.2663796229364,2.6849699780850207,1,1,5
CV1 | nets=1 | frames=5,1,128,18,0.146944910287857,1202.63722908926,3.4974141902662814,1,1,5
CV1 | nets=1 | frames=5,1,128,19,0.1304366886615753,1485.928389340341,4.321259052144829,1,1,5
CV1 | nets=1 | frames=5,1,128,20,0.1166199445724487,1772.4242957906238,5.15442364454591,1,1,5
CV1 | nets=1 | frames=5,1,128,21,0.1061158701777458,2068.986268768631,6.016861538696904,1,1,5
CV1 | nets=1 | frames=5,1,128,22,0.098854087293148,2371.668093277928,6.897096877863397,1,1,5
CV1 | nets=1 | frames=5,1,128,23,0.0941949039697647,2667.710686074652,7.758024555660544,1,1,5
CV1 | nets=1 | frames=5,1,128,24,0.0911449193954467,2949.214850149028,8.57667235263379,1,1,5
CV1 | nets=1 | frames=5,1,128,25,0.0886303409934043,3207.14470858673,9.326763738459572,1,1,5
CV1 | nets=1 | frames=5,1,128,26,0.085773766040802,3426.1767344205955,9.96373529463084,1,1,5
