dataset,latent_dim,hidden_size,epoch,train_dz_mse_norm,val_dz_mse_norm,val_dz_mse_raw,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV1 | nets=1 | frames=2,1,128,1,0.4824010133743286,25.29904132353887,0.021722603303873256,1,1,2
CV1 | nets=1 | frames=2,1,128,2,0.3739076256752014,11.780767272308468,0.010115360923315166,1,1,2
CV1 | nets=1 | frames=2,1,128,3,0.27976399660110474,85.05027895647288,0.07302701601863373,1,1,2
CV1 | nets=1 | frames=2,1,128,4,0.1991506963968277,246.81968183255196,0.21192763775167986,1,1,2
CV1 | nets=1 | frames=2,1,128,5,0.13178467750549316,500.5229463119507,0.42976574826333674,1,1,2
CV1 | nets=1 | frames=2,1,128,6,0.07782818377017975,832.5721510901451,0.7148743043802679,1,1,2
CV1 | nets=1 | frames=2,1,128,7,0.037919528782367706,1255.4366101531982,1.0779598914114759,1,1,2
CV1 | nets=1 | frames=2,1,128,8,0.012957088649272919,1741.8261364507675,1.4955902185821905,1,1,2
CV1 | nets=1 | frames=2,1,128,9,0.0027762833051383495,2257.2533091869354,1.93815324713476,1,1,2
CV1 | nets=1 | frames=2,1,128,10,0.005332081578671932,2728.537405265808,2.3428135743830354,1,1,2
CV1 | nets=1 | frames=2,1,128,11,0.016255374997854233,3091.6401326885225,2.654585737954825,1,1,2
CV1 | nets=1 | frames=2,1,128,12,0.02955400012433529,3313.71170432663,2.8452638541646302,1,1,2
CV1 | nets=1 | frames=2,1,128,13,0.03960152715444565,3400.499219722748,2.919782498728484,1,1,2
CV1 | nets=1 | frames=2,1,128,14,0.043326713144779205,3372.9698832130434,2.8961448903381823,1,1,2
CV1 | nets=1 | frames=2,1,128,15,0.04071134701371193,3259.0764158630373,2.7983521421514452,1,1,2
CV1 | nets=1 | frames=2,1,128,16,0.03363264724612236,3087.5209908180236,2.651048886824399,1,1,2
CV1 | nets=1 | frames=2,1,128,17,0.02451929822564125,2884.0638002872465,2.4763537488449363,1,1,2
CV1 | nets=1 | frames=5,1,128,1,0.953682541847229,2749.698350816503,7.996454401816424,1,1,5
CV1 | nets=1 | frames=5,1,128,2,0.8024595379829407,2041.1801426012116,5.935998281665168,1,1,5
CV1 | nets=1 | frames=5,1,128,3,0.670535147190094,1456.6540816791057,4.2361258089160545,1,1,5
CV1 | nets=1 | frames=5,1,128,4,0.5566900968551636,983.7051834302545,2.8607333508073354,1,1,5
CV1 | nets=1 | frames=5,1,128,5,0.46023425459861755,651.2306128761768,1.8938572076442652,1,1,5
CV1 | nets=1 | frames=5,1,128,6,0.38100144267082214,457.30763448500636,1.3299058047835715,1,1,5
CV1 | nets=1 | frames=5,1,128,7,0.3191722333431244,382.90899589411544,1.1135455655830737,1,1,5
CV1 | nets=1 | frames=5,1,128,8,0.27477410435676575,388.38297057876366,1.129464566350789,1,1,5
CV1 | nets=1 | frames=5,1,128,9,0.24665866792201996,416.1832851078287,1.210311232251086,1,1,5
CV1 | nets=1 | frames=5,1,128,10,0.23140282928943634,422.16333375655114,1.2277019535495202,1,1,5
CV1 | nets=1 | frames=5,1,128,11,0.22409355640411377,403.2492745242119,1.1726975501764392,1,1,5
CV1 | nets=1 | frames=5,1,128,12,0.22019493579864502,381.50249027088284,1.1094553036711003,1,1,5
CV1 | nets=1 | frames=5,1,128,13,0.2160264253616333,384.5886231517941,1.1184301336121862,1,1,5
CV1 | nets=1 | frames=5,1,128,14,0.20888566970825195,432.1776809880696,1.2568248378005882,1,1,5
CV1 | nets=1 | frames=5,1,128,15,0.19753940403461456,535.2415284702778,1.5565469377185217,1,1,5
CV1 | nets=1 | frames=5,1,128,16,0.18236111104488373,700.6905053751468,2.0376926052537745,1,1,5
CV1 | nets=1 | frames=5,1,128,17,0.16485120356082916,923.2663796229363,2.6849699780850207,1,1,5
CV1 | nets=1 | frames=5,1,128,18,0.14694491028785706,1202.63722908926,3.4974141902662814,1,1,5
CV1 | nets=1 | frames=5,1,128,19,0.13043668866157532,1485.928389340341,4.321259052144829,1,1,5
CV1 | nets=1 | frames=5,1,128,20,0.11661994457244873,1772.4242957906238,5.15442364454591,1,1,5
CV1 | nets=1 | frames=5,1,128,21,0.10611587017774582,2068.986268768631,6.0168615386969035,1,1,5
