dataset,split,sim_idx,final_p_ratio,z0,sweep_latent_dim,sweep_train_count,sweep_train_frames,z1,z2
CV1 | nets=1 | frames=2,train,0,-0.0669511275618616,-0.4210089147090912,1,1,2,,
CV1 | nets=1 | frames=2,test,0,-0.2360464098886152,-0.4163333475589752,1,1,2,,
CV1 | nets=1 | frames=2,test,1,0.1295779047889524,-0.4533901214599609,1,1,2,,
CV1 | nets=1 | frames=2,test,2,-0.1623723264424866,-0.4273272156715393,1,1,2,,
CV1 | nets=1 | frames=2,test,3,-0.123156073161201,-0.4458255469799042,1,1,2,,
CV1 | nets=1 | frames=2,test,4,0.3453760393512503,-0.4539156556129455,1,1,2,,
CV1 | nets=1 | frames=2,test,5,-0.3979398483632574,-0.429910808801651,1,1,2,,
CV1 | nets=1 | frames=2,test,6,0.2126940386242633,-0.4294084310531616,1,1,2,,
CV1 | nets=1 | frames=2,test,7,0.0950451355151094,-0.4346719682216644,1,1,2,,
CV1 | nets=1 | frames=2,test,8,-0.0648093100969477,-0.4254436790943146,1,1,2,,
CV1 | nets=1 | frames=2,test,9,-0.0036101382641459,-0.440626323223114,1,1,2,,
CV1 | nets=1 | frames=2,test,10,0.2259070200709375,-0.4343643188476562,1,1,2,,
CV1 | nets=1 | frames=2,test,11,-0.2448221358235529,-0.4347551167011261,1,1,2,,
CV1 | nets=1 | frames=2,test,12,-0.3251896560062025,-0.4344459176063537,1,1,2,,
CV1 | nets=1 | frames=2,test,13,0.1639582164351763,-0.4399205148220062,1,1,2,,
CV1 | nets=1 | frames=2,test,14,0.2767388091190165,-0.4494854807853699,1,1,2,,
CV1 | nets=1 | frames=2,test,15,0.2817123526652541,-0.4447609782218933,1,1,2,,
CV1 | nets=1 | frames=2,test,16,-0.1737797852877405,-0.4330124258995056,1,1,2,,
CV1 | nets=1 | frames=2,test,17,-0.5936111989220015,-0.4242898225784302,1,1,2,,
CV1 | nets=1 | frames=2,test,18,0.2708167150760829,-0.4450098872184753,1,1,2,,
CV1 | nets=1 | frames=2,test,19,-0.0488976389824205,-0.4305262565612793,1,1,2,,
CV1 | nets=1 | frames=2,test,20,0.3374250403982374,-0.4400684237480163,1,1,2,,
CV1 | nets=1 | frames=2,test,21,0.144219835421564,-0.4364876449108124,1,1,2,,
CV1 | nets=1 | frames=2,test,22,0.2238599590476573,-0.4368223547935486,1,1,2,,
CV1 | nets=1 | frames=2,test,23,-0.2110936628700718,-0.4277738034725189,1,1,2,,
CV1 | nets=1 | frames=2,test,24,-0.135107647284631,-0.4218702316284179,1,1,2,,
CV1 | nets=1 | frames=2,test,25,-0.2879174109079594,-0.4253984689712524,1,1,2,,
CV1 | nets=1 | frames=2,test,26,-0.0869858031149348,-0.4243642687797546,1,1,2,,
CV1 | nets=1 | frames=2,test,27,0.0729596003150843,-0.4284185171127319,1,1,2,,
CV1 | nets=1 | frames=2,test,28,-0.0473741087700227,-0.4278862178325653,1,1,2,,
CV1 | nets=1 | frames=2,test,29,-0.1740479126403528,-0.430821806192398,1,1,2,,
CV1 | nets=1 | frames=2,test,30,-0.1534844106106529,-0.4297927916049957,1,1,2,,
CV1 | nets=1 | frames=2,test,31,-0.3339993893646671,-0.4297951161861419,1,1,2,,
CV1 | nets=1 | frames=2,test,32,-0.2983576891176249,-0.4399982988834381,1,1,2,,
CV1 | nets=1 | frames=2,test,33,-0.0843642366678143,-0.4214085340499878,1,1,2,,
CV1 | nets=1 | frames=2,test,34,-0.2273098506600647,-0.4176514744758606,1,1,2,,
CV1 | nets=1 | frames=2,test,35,0.150316153738502,-0.4430942833423614,1,1,2,,
CV1 | nets=1 | frames=2,test,36,-0.2691509251686252,-0.4353786706924438,1,1,2,,
CV1 | nets=1 | frames=2,test,37,0.1269998279169667,-0.4273653924465179,1,1,2,,
CV1 | nets=1 | frames=2,test,38,0.3220806426408416,-0.4533250331878662,1,1,2,,
CV1 | nets=1 | frames=2,test,39,-0.3233661435786948,-0.4173657894134521,1,1,2,,
