dataset,split,sim_idx,final_p_ratio,z0,sweep_latent_dim,sweep_train_count,sweep_train_frames,z1,z2
CV1 | nets=1 | frames=2,train,0,-0.06695112756186168,-0.4210089147090912,1,1,2,,
CV1 | nets=1 | frames=2,test,0,-0.2360464098886152,-0.4163333475589752,1,1,2,,
CV1 | nets=1 | frames=2,test,1,0.1295779047889524,-0.45339012145996094,1,1,2,,
CV1 | nets=1 | frames=2,test,2,-0.1623723264424866,-0.4273272156715393,1,1,2,,
CV1 | nets=1 | frames=2,test,3,-0.12315607316120104,-0.4458255469799042,1,1,2,,
CV1 | nets=1 | frames=2,test,4,0.3453760393512503,-0.45391565561294556,1,1,2,,
CV1 | nets=1 | frames=2,test,5,-0.3979398483632574,-0.429910808801651,1,1,2,,
CV1 | nets=1 | frames=2,test,6,0.21269403862426334,-0.4294084310531616,1,1,2,,
CV1 | nets=1 | frames=2,test,7,0.0950451355151094,-0.43467196822166443,1,1,2,,
CV1 | nets=1 | frames=2,test,8,-0.06480931009694779,-0.4254436790943146,1,1,2,,
CV1 | nets=1 | frames=2,test,9,-0.0036101382641459327,-0.440626323223114,1,1,2,,
CV1 | nets=1 | frames=2,test,10,0.22590702007093752,-0.43436431884765625,1,1,2,,
CV1 | nets=1 | frames=2,test,11,-0.24482213582355292,-0.4347551167011261,1,1,2,,
CV1 | nets=1 | frames=2,test,12,-0.32518965600620253,-0.43444591760635376,1,1,2,,
CV1 | nets=1 | frames=2,test,13,0.1639582164351763,-0.4399205148220062,1,1,2,,
CV1 | nets=1 | frames=2,test,14,0.27673880911901655,-0.4494854807853699,1,1,2,,
CV1 | nets=1 | frames=2,test,15,0.2817123526652541,-0.4447609782218933,1,1,2,,
CV1 | nets=1 | frames=2,test,16,-0.17377978528774052,-0.4330124258995056,1,1,2,,
CV1 | nets=1 | frames=2,test,17,-0.5936111989220015,-0.4242898225784302,1,1,2,,
CV1 | nets=1 | frames=2,test,18,0.27081671507608296,-0.44500988721847534,1,1,2,,
CV1 | nets=1 | frames=2,test,19,-0.04889763898242052,-0.4305262565612793,1,1,2,,
CV1 | nets=1 | frames=2,test,20,0.33742504039823745,-0.44006842374801636,1,1,2,,
CV1 | nets=1 | frames=2,test,21,0.14421983542156405,-0.4364876449108124,1,1,2,,
CV1 | nets=1 | frames=2,test,22,0.2238599590476573,-0.4368223547935486,1,1,2,,
CV1 | nets=1 | frames=2,test,23,-0.21109366287007186,-0.4277738034725189,1,1,2,,
CV1 | nets=1 | frames=2,test,24,-0.13510764728463107,-0.42187023162841797,1,1,2,,
CV1 | nets=1 | frames=2,test,25,-0.2879174109079594,-0.42539846897125244,1,1,2,,
CV1 | nets=1 | frames=2,test,26,-0.08698580311493488,-0.42436426877975464,1,1,2,,
CV1 | nets=1 | frames=2,test,27,0.0729596003150843,-0.42841851711273193,1,1,2,,
CV1 | nets=1 | frames=2,test,28,-0.0473741087700227,-0.4278862178325653,1,1,2,,
CV1 | nets=1 | frames=2,test,29,-0.17404791264035285,-0.43082180619239807,1,1,2,,
CV1 | nets=1 | frames=2,test,30,-0.15348441061065293,-0.4297927916049957,1,1,2,,
CV1 | nets=1 | frames=2,test,31,-0.33399938936466717,-0.42979511618614197,1,1,2,,
CV1 | nets=1 | frames=2,test,32,-0.2983576891176249,-0.4399982988834381,1,1,2,,
CV1 | nets=1 | frames=2,test,33,-0.08436423666781437,-0.4214085340499878,1,1,2,,
CV1 | nets=1 | frames=2,test,34,-0.22730985066006476,-0.4176514744758606,1,1,2,,
CV1 | nets=1 | frames=2,test,35,0.15031615373850205,-0.44309428334236145,1,1,2,,
CV1 | nets=1 | frames=2,test,36,-0.2691509251686252,-0.43537867069244385,1,1,2,,
CV1 | nets=1 | frames=2,test,37,0.12699982791696676,-0.42736539244651794,1,1,2,,
CV1 | nets=1 | frames=2,test,38,0.32208064264084163,-0.4533250331878662,1,1,2,,
CV1 | nets=1 | frames=2,test,39,-0.32336614357869486,-0.41736578941345215,1,1,2,,
CV1 | nets=1 | frames=2,test,40,-0.16665686710960664,-0.4380874037742615,1,1,2,,
