signal,source,test_pearson_r,test_corr_r2,test_r2,dataset,sweep_latent_dim,sweep_train_count,sweep_train_frames
z0,single_latent_test_corr,-0.6296933602672871,0.3965137279647073,,CV1 | nets=1 | frames=2,1,1,2
linear_combo_test_fit,descriptive_test_fit,0.6296933602672867,0.3965137279647069,0.3965137279647072,CV1 | nets=1 | frames=2,1,1,2
z0,single_latent_test_corr,-0.5327331265151498,0.2838045840866066,,CV1 | nets=1 | frames=5,1,1,5
linear_combo_test_fit,descriptive_test_fit,0.5327331265151493,0.283804584086606,0.2838045840866063,CV1 | nets=1 | frames=5,1,1,5
z0,single_latent_test_corr,0.838343580807351,0.7028199594808916,,CV1 | nets=1 | frames=10,1,1,10
linear_combo_test_fit,descriptive_test_fit,0.8383435808073515,0.7028199594808923,0.7028199594808926,CV1 | nets=1 | frames=10,1,1,10
z0,single_latent_test_corr,0.7901376021434867,0.6243174303210589,,CV1 | nets=1 | frames=25,1,1,25
linear_combo_test_fit,descriptive_test_fit,0.7901376021434867,0.6243174303210589,0.6243174303210592,CV1 | nets=1 | frames=25,1,1,25
z0,single_latent_test_corr,-0.8753240751867448,0.7661922366015301,,CV1 | nets=1 | frames=50,1,1,50
linear_combo_test_fit,descriptive_test_fit,0.875324075186745,0.7661922366015305,0.7661922366015299,CV1 | nets=1 | frames=50,1,1,50
z0,single_latent_test_corr,0.631260190302558,0.3984894278608217,,CV1 | nets=1 | frames=100,1,1,100
linear_combo_test_fit,descriptive_test_fit,0.6312601903025586,0.3984894278608225,0.3984894278608225,CV1 | nets=1 | frames=100,1,1,100
z0,single_latent_test_corr,-0.0311252857438034,0.0009687834126334,,CV1 | nets=2 | frames=2,1,2,2
linear_combo_test_fit,descriptive_test_fit,0.0311252857438027,0.0009687834126333,0.0009687834126332,CV1 | nets=2 | frames=2,1,2,2
z0,single_latent_test_corr,-0.9023880071377156,0.814304115425978,,CV1 | nets=2 | frames=5,1,2,5
linear_combo_test_fit,descriptive_test_fit,0.9023880071377156,0.8143041154259777,0.8143041154259775,CV1 | nets=2 | frames=5,1,2,5
z0,single_latent_test_corr,0.2667108842138938,0.071134695758157,,CV1 | nets=2 | frames=10,1,2,10
linear_combo_test_fit,descriptive_test_fit,0.2667108842138939,0.0711346957581571,0.0711346957581572,CV1 | nets=2 | frames=10,1,2,10
z0,single_latent_test_corr,-0.8986377359629424,0.807549780496603,,CV1 | nets=2 | frames=25,1,2,25
linear_combo_test_fit,descriptive_test_fit,0.898637735962943,0.8075497804966042,0.8075497804966035,CV1 | nets=2 | frames=25,1,2,25
z0,single_latent_test_corr,0.9080682463332312,0.8245879399987099,,CV1 | nets=2 | frames=50,1,2,50
linear_combo_test_fit,descriptive_test_fit,0.9080682463332314,0.8245879399987102,0.8245879399987106,CV1 | nets=2 | frames=50,1,2,50
z0,single_latent_test_corr,0.9037445797728192,0.8167542654687495,,CV1 | nets=2 | frames=100,1,2,100
linear_combo_test_fit,descriptive_test_fit,0.9037445797728196,0.8167542654687505,0.8167542654687499,CV1 | nets=2 | frames=100,1,2,100
z0,single_latent_test_corr,-0.8504596056842517,0.7232815409006129,,CV1 | nets=4 | frames=2,1,4,2
linear_combo_test_fit,descriptive_test_fit,0.8504596056842516,0.7232815409006127,0.7232815409006126,CV1 | nets=4 | frames=2,1,4,2
linear_combo_train_fit,train_fit_test_eval,0.8504596056842516,0.7232815409006127,0.654705383931568,CV1 | nets=4 | frames=2,1,4,2
z0,single_latent_test_corr,-0.8873546489952194,0.7873982730934291,,CV1 | nets=4 | frames=5,1,4,5
linear_combo_test_fit,descriptive_test_fit,0.8873546489952188,0.7873982730934279,0.7873982730934286,CV1 | nets=4 | frames=5,1,4,5
linear_combo_train_fit,train_fit_test_eval,0.8873546489952188,0.7873982730934279,0.7800912547891719,CV1 | nets=4 | frames=5,1,4,5
z0,single_latent_test_corr,0.888032679048109,0.7886020390573618,,CV1 | nets=4 | frames=10,1,4,10
linear_combo_test_fit,descriptive_test_fit,0.8880326790481092,0.7886020390573621,0.788602039057362,CV1 | nets=4 | frames=10,1,4,10
linear_combo_train_fit,train_fit_test_eval,0.8880326790481091,0.788602039057362,0.7838105544491429,CV1 | nets=4 | frames=10,1,4,10
z0,single_latent_test_corr,0.7888607121710113,0.6223012232069551,,CV1 | nets=4 | frames=25,1,4,25
linear_combo_test_fit,descriptive_test_fit,0.7888607121710114,0.6223012232069552,0.6223012232069554,CV1 | nets=4 | frames=25,1,4,25
linear_combo_train_fit,train_fit_test_eval,0.7888607121710111,0.6223012232069548,0.5707466563975276,CV1 | nets=4 | frames=25,1,4,25
z0,single_latent_test_corr,0.8495168688905691,0.7216789105296364,,CV1 | nets=4 | frames=50,1,4,50
linear_combo_test_fit,descriptive_test_fit,0.8495168688905691,0.7216789105296364,0.7216789105296365,CV1 | nets=4 | frames=50,1,4,50
linear_combo_train_fit,train_fit_test_eval,0.8495168688905691,0.7216789105296364,0.7022062928838195,CV1 | nets=4 | frames=50,1,4,50
z0,single_latent_test_corr,-0.8926519658690839,0.7968275321699402,,CV1 | nets=4 | frames=100,1,4,100
linear_combo_test_fit,descriptive_test_fit,0.892651965869084,0.7968275321699403,0.7968275321699408,CV1 | nets=4 | frames=100,1,4,100
linear_combo_train_fit,train_fit_test_eval,0.8926519658690845,0.7968275321699412,0.79107831918321,CV1 | nets=4 | frames=100,1,4,100
z0,single_latent_test_corr,0.848491359238997,0.7199375867032406,,CV1 | nets=8 | frames=2,1,8,2
linear_combo_test_fit,descriptive_test_fit,0.8484913592389974,0.7199375867032414,0.7199375867032413,CV1 | nets=8 | frames=2,1,8,2
linear_combo_train_fit,train_fit_test_eval,0.8484913592389971,0.7199375867032408,0.701270293280893,CV1 | nets=8 | frames=2,1,8,2
z0,single_latent_test_corr,0.8955318864106709,0.8019773595782549,,CV1 | nets=8 | frames=5,1,8,5
linear_combo_test_fit,descriptive_test_fit,0.8955318864106706,0.8019773595782542,0.8019773595782544,CV1 | nets=8 | frames=5,1,8,5
linear_combo_train_fit,train_fit_test_eval,0.8955318864106712,0.8019773595782552,0.7548651386880759,CV1 | nets=8 | frames=5,1,8,5
z0,single_latent_test_corr,-0.7630623844023857,0.5822642024898542,,CV1 | nets=8 | frames=10,1,8,10
linear_combo_test_fit,descriptive_test_fit,0.7630623844023856,0.5822642024898541,0.582264202489854,CV1 | nets=8 | frames=10,1,8,10
linear_combo_train_fit,train_fit_test_eval,0.7630623844023862,0.582264202489855,0.5701783441816639,CV1 | nets=8 | frames=10,1,8,10
z0,single_latent_test_corr,0.8579979516218762,0.7361604849873354,,CV1 | nets=8 | frames=25,1,8,25
linear_combo_test_fit,descriptive_test_fit,0.8579979516218763,0.7361604849873356,0.7361604849873354,CV1 | nets=8 | frames=25,1,8,25
linear_combo_train_fit,train_fit_test_eval,0.8579979516218768,0.7361604849873363,0.7007086044665006,CV1 | nets=8 | frames=25,1,8,25
z0,single_latent_test_corr,0.8700393328524034,0.7569684407102553,,CV1 | nets=8 | frames=50,1,8,50
linear_combo_test_fit,descriptive_test_fit,0.8700393328524026,0.7569684407102539,0.7569684407102544,CV1 | nets=8 | frames=50,1,8,50
linear_combo_train_fit,train_fit_test_eval,0.8700393328524032,0.7569684407102548,0.7160287781453527,CV1 | nets=8 | frames=50,1,8,50
z0,single_latent_test_corr,-0.8518945993844417,0.7257244084603783,,CV1 | nets=8 | frames=100,1,8,100
linear_combo_test_fit,descriptive_test_fit,0.8518945993844421,0.7257244084603791,0.7257244084603787,CV1 | nets=8 | frames=100,1,8,100
linear_combo_train_fit,train_fit_test_eval,0.8518945993844422,0.7257244084603793,0.6959396313455684,CV1 | nets=8 | frames=100,1,8,100
z0,single_latent_test_corr,-0.2962773370532648,0.0877802604513738,,CV2 | nets=1 | frames=2,2,1,2
z1,single_latent_test_corr,0.3811367894791919,0.1452652522945058,,CV2 | nets=1 | frames=2,2,1,2
linear_combo_test_fit,descriptive_test_fit,0.381880757119429,0.1458329126581083,0.1458329126581083,CV2 | nets=1 | frames=2,2,1,2
z0,single_latent_test_corr,0.7078981903976544,0.5011198479682738,,CV2 | nets=1 | frames=5,2,1,5
z1,single_latent_test_corr,-0.6488510040488497,0.4210076254552003,,CV2 | nets=1 | frames=5,2,1,5
linear_combo_test_fit,descriptive_test_fit,0.8301090862225511,0.6890810950292388,0.6890810950292388,CV2 | nets=1 | frames=5,2,1,5
z0,single_latent_test_corr,0.8757771505301306,0.7669856173906751,,CV2 | nets=1 | frames=10,2,1,10
z1,single_latent_test_corr,0.3428020387638012,0.1175132377806186,,CV2 | nets=1 | frames=10,2,1,10
linear_combo_test_fit,descriptive_test_fit,0.8770992549847355,0.7693031030947781,0.7693031030947788,CV2 | nets=1 | frames=10,2,1,10
z0,single_latent_test_corr,-0.3453826819224087,0.1192891969719157,,CV2 | nets=1 | frames=25,2,1,25
z1,single_latent_test_corr,0.4624599167274222,0.2138691745795342,,CV2 | nets=1 | frames=25,2,1,25
linear_combo_test_fit,descriptive_test_fit,0.8553494983741811,0.7316227643689631,0.7316227643689636,CV2 | nets=1 | frames=25,2,1,25
z0,single_latent_test_corr,0.7925980787869932,0.6282117144968327,,CV2 | nets=1 | frames=50,2,1,50
z1,single_latent_test_corr,0.8145651555986899,0.6635163927155179,,CV2 | nets=1 | frames=50,2,1,50
linear_combo_test_fit,descriptive_test_fit,0.8145778792333469,0.663537121336297,0.6635371213362975,CV2 | nets=1 | frames=50,2,1,50
z0,single_latent_test_corr,-0.7874487589868496,0.6200755480299296,,CV2 | nets=1 | frames=100,2,1,100
z1,single_latent_test_corr,-0.5459269201805662,0.2980362021778383,,CV2 | nets=1 | frames=100,2,1,100
linear_combo_test_fit,descriptive_test_fit,0.8747517717814479,0.7651906622347824,0.7651906622347815,CV2 | nets=1 | frames=100,2,1,100
z0,single_latent_test_corr,-0.8099137890293655,0.6559603456599036,,CV2 | nets=2 | frames=2,2,2,2
z1,single_latent_test_corr,0.6839011001562759,0.4677207147949645,,CV2 | nets=2 | frames=2,2,2,2
linear_combo_test_fit,descriptive_test_fit,0.87095216804784,0.758557679027233,0.7585576790272328,CV2 | nets=2 | frames=2,2,2,2
z0,single_latent_test_corr,0.8782335272046802,0.7712941283063737,,CV2 | nets=2 | frames=5,2,2,5
z1,single_latent_test_corr,0.8675734518975436,0.7526836944374194,,CV2 | nets=2 | frames=5,2,2,5
linear_combo_test_fit,descriptive_test_fit,0.8815038488730635,0.7770490355780248,0.7770490355780243,CV2 | nets=2 | frames=5,2,2,5
z0,single_latent_test_corr,0.9099635273303632,0.8280336210715165,,CV2 | nets=2 | frames=10,2,2,10
z1,single_latent_test_corr,-0.9089438393365588,0.8261789030678839,,CV2 | nets=2 | frames=10,2,2,10
linear_combo_test_fit,descriptive_test_fit,0.9138302062834992,0.8350856459161429,0.835085645916143,CV2 | nets=2 | frames=10,2,2,10
z0,single_latent_test_corr,-0.9050548759076232,0.819124328404163,,CV2 | nets=2 | frames=25,2,2,25
z1,single_latent_test_corr,-0.8776559041931851,0.7702798861651572,,CV2 | nets=2 | frames=25,2,2,25
linear_combo_test_fit,descriptive_test_fit,0.9050771059272744,0.819164567673691,0.8191645676736914,CV2 | nets=2 | frames=25,2,2,25
z0,single_latent_test_corr,0.8830290872756728,0.7797403689749077,,CV2 | nets=2 | frames=50,2,2,50
z1,single_latent_test_corr,0.9114215557977816,0.8306892523728485,,CV2 | nets=2 | frames=50,2,2,50
linear_combo_test_fit,descriptive_test_fit,0.9114404648824938,0.8307237210252163,0.8307237210252165,CV2 | nets=2 | frames=50,2,2,50
z0,single_latent_test_corr,0.9088229143717096,0.8259590896870875,,CV2 | nets=2 | frames=100,2,2,100
z1,single_latent_test_corr,-0.9045960296603046,0.8182939768771867,,CV2 | nets=2 | frames=100,2,2,100
linear_combo_test_fit,descriptive_test_fit,0.9100759398569068,0.8282382163064321,0.8282382163064317,CV2 | nets=2 | frames=100,2,2,100
z0,single_latent_test_corr,-0.8606059198634323,0.7406425493039844,,CV2 | nets=4 | frames=2,2,4,2
z1,single_latent_test_corr,-0.2701094762414038,0.0729591291554054,,CV2 | nets=4 | frames=2,2,4,2
linear_combo_test_fit,descriptive_test_fit,0.8838408430214132,0.7811746357928023,0.7811746357928013,CV2 | nets=4 | frames=2,2,4,2
linear_combo_train_fit,train_fit_test_eval,0.8203643101745929,0.6729976014082356,0.4922688150784294,CV2 | nets=4 | frames=2,2,4,2
z0,single_latent_test_corr,0.8923881946653776,0.7963566899781318,,CV2 | nets=4 | frames=5,2,4,5
z1,single_latent_test_corr,0.8918664011867239,0.7954256775657583,,CV2 | nets=4 | frames=5,2,4,5
linear_combo_test_fit,descriptive_test_fit,0.8950006013444303,0.8010260764068918,0.801026076406892,CV2 | nets=4 | frames=5,2,4,5
linear_combo_train_fit,train_fit_test_eval,0.7797848398668205,0.6080643964861229,0.5874031735948162,CV2 | nets=4 | frames=5,2,4,5
z0,single_latent_test_corr,-0.8989648842924205,0.808137863190885,,CV2 | nets=4 | frames=10,2,4,10
z1,single_latent_test_corr,0.7596572889593494,0.5770791966690684,,CV2 | nets=4 | frames=10,2,4,10
linear_combo_test_fit,descriptive_test_fit,0.9035498301169274,0.8164022955043283,0.8164022955043282,CV2 | nets=4 | frames=10,2,4,10
linear_combo_train_fit,train_fit_test_eval,0.8833692815043097,0.7803412875054404,0.7706890477380604,CV2 | nets=4 | frames=10,2,4,10
z0,single_latent_test_corr,-0.9088854091668996,0.8260726869964826,,CV2 | nets=4 | frames=25,2,4,25
z1,single_latent_test_corr,0.8657219872704611,0.7494745592435165,,CV2 | nets=4 | frames=25,2,4,25
linear_combo_test_fit,descriptive_test_fit,0.9111155736538132,0.830131588554517,0.8301315885545174,CV2 | nets=4 | frames=25,2,4,25
linear_combo_train_fit,train_fit_test_eval,0.9003769194457194,0.8106785970705634,0.794800983740037,CV2 | nets=4 | frames=25,2,4,25
z0,single_latent_test_corr,0.8290728114168381,0.68736172663062,,CV2 | nets=4 | frames=50,2,4,50
z1,single_latent_test_corr,-0.8455240558696533,0.7149109290542686,,CV2 | nets=4 | frames=50,2,4,50
linear_combo_test_fit,descriptive_test_fit,0.8749396065436117,0.7655193150986901,0.7655193150986903,CV2 | nets=4 | frames=50,2,4,50
linear_combo_train_fit,train_fit_test_eval,0.8568655068231845,0.7342184967833528,0.7255466315707702,CV2 | nets=4 | frames=50,2,4,50
z0,single_latent_test_corr,0.9182496528777764,0.8431824250101566,,CV2 | nets=4 | frames=100,2,4,100
z1,single_latent_test_corr,-0.9117635840963138,0.8313128332841558,,CV2 | nets=4 | frames=100,2,4,100
linear_combo_test_fit,descriptive_test_fit,0.9194336970837712,0.8453583233331321,0.8453583233331323,CV2 | nets=4 | frames=100,2,4,100
linear_combo_train_fit,train_fit_test_eval,0.8968527835911868,0.8043449154352602,0.7970445322223993,CV2 | nets=4 | frames=100,2,4,100
z0,single_latent_test_corr,0.0958904561121221,0.0091949795733908,,CV2 | nets=8 | frames=2,2,8,2
z1,single_latent_test_corr,-0.6179412398685458,0.3818513759302756,,CV2 | nets=8 | frames=2,2,8,2
linear_combo_test_fit,descriptive_test_fit,0.8626578806153873,0.7441786189878318,0.7441786189878317,CV2 | nets=8 | frames=2,2,8,2
linear_combo_train_fit,train_fit_test_eval,0.8298039368901531,0.6885745736783971,0.6738037201074423,CV2 | nets=8 | frames=2,2,8,2
z0,single_latent_test_corr,-0.6518019970363407,0.4248458433405618,,CV2 | nets=8 | frames=5,2,8,5
z1,single_latent_test_corr,0.623706165176111,0.3890093804786902,,CV2 | nets=8 | frames=5,2,8,5
linear_combo_test_fit,descriptive_test_fit,0.7524584399104548,0.5661937037924755,0.566193703792475,CV2 | nets=8 | frames=5,2,8,5
linear_combo_train_fit,train_fit_test_eval,0.7516006888190643,0.5649035954332919,0.45231600345641,CV2 | nets=8 | frames=5,2,8,5
z0,single_latent_test_corr,-0.8933321187065283,0.7980422743126947,,CV2 | nets=8 | frames=10,2,8,10
z1,single_latent_test_corr,-0.7949336680813587,0.6319195366492837,,CV2 | nets=8 | frames=10,2,8,10
linear_combo_test_fit,descriptive_test_fit,0.8970388151100023,0.8046786358139568,0.8046786358139563,CV2 | nets=8 | frames=10,2,8,10
linear_combo_train_fit,train_fit_test_eval,0.8883282008417098,0.7891269924106692,0.7546759458322537,CV2 | nets=8 | frames=10,2,8,10
z0,single_latent_test_corr,-0.8298220011995007,0.688604553674744,,CV2 | nets=8 | frames=25,2,8,25
z1,single_latent_test_corr,0.9008424196267596,0.8115170649989948,,CV2 | nets=8 | frames=25,2,8,25
linear_combo_test_fit,descriptive_test_fit,0.904166252807046,0.8175166127151348,0.817516612715135,CV2 | nets=8 | frames=25,2,8,25
linear_combo_train_fit,train_fit_test_eval,0.8822186655473726,0.7783097738401868,0.7460413365051499,CV2 | nets=8 | frames=25,2,8,25
z0,single_latent_test_corr,-0.1261631947142803,0.0159171517005134,,CV2 | nets=8 | frames=50,2,8,50
z1,single_latent_test_corr,-0.8966632578254407,0.8040049979341326,,CV2 | nets=8 | frames=50,2,8,50
linear_combo_test_fit,descriptive_test_fit,0.9060159216007144,0.8208648501939921,0.8208648501939916,CV2 | nets=8 | frames=50,2,8,50
linear_combo_train_fit,train_fit_test_eval,0.8708455456318076,0.7583719643467607,0.7296237895659345,CV2 | nets=8 | frames=50,2,8,50
z0,single_latent_test_corr,-0.8986242917805793,0.8075256177781478,,CV2 | nets=8 | frames=100,2,8,100
z1,single_latent_test_corr,-0.7885704551984313,0.6218433628118611,,CV2 | nets=8 | frames=100,2,8,100
linear_combo_test_fit,descriptive_test_fit,0.9048708693582024,0.8187912902130687,0.8187912902130687,CV2 | nets=8 | frames=100,2,8,100
linear_combo_train_fit,train_fit_test_eval,0.8843651420890892,0.782101704542255,0.7491568227463844,CV2 | nets=8 | frames=100,2,8,100
z0,single_latent_test_corr,0.8118203101549528,0.6590522159800838,,CV3 | nets=1 | frames=2,3,1,2
z1,single_latent_test_corr,-0.6871608850240039,0.4721900819069722,,CV3 | nets=1 | frames=2,3,1,2
z2,single_latent_test_corr,-0.8209490682273026,0.6739573726232764,,CV3 | nets=1 | frames=2,3,1,2
linear_combo_test_fit,descriptive_test_fit,0.8499531002824177,0.7224202726796936,0.7224202726796944,CV3 | nets=1 | frames=2,3,1,2
z0,single_latent_test_corr,0.4387165482543071,0.1924722097121737,,CV3 | nets=1 | frames=5,3,1,5
z1,single_latent_test_corr,0.0693171175531601,0.0048048627858786,,CV3 | nets=1 | frames=5,3,1,5
z2,single_latent_test_corr,-0.7427984676768656,0.5517495635830996,,CV3 | nets=1 | frames=5,3,1,5
linear_combo_test_fit,descriptive_test_fit,0.7986239882262883,0.6378002745704627,0.637800274570463,CV3 | nets=1 | frames=5,3,1,5
z0,single_latent_test_corr,0.7274038067437174,0.5291162980652514,,CV3 | nets=1 | frames=10,3,1,10
z1,single_latent_test_corr,0.7470982218828548,0.5581557531405233,,CV3 | nets=1 | frames=10,3,1,10
z2,single_latent_test_corr,-0.7500073397957869,0.562511009747553,,CV3 | nets=1 | frames=10,3,1,10
linear_combo_test_fit,descriptive_test_fit,0.7716463185297254,0.5954380409004785,0.5954380409004791,CV3 | nets=1 | frames=10,3,1,10
z0,single_latent_test_corr,-0.8033024615148916,0.6452948446758839,,CV3 | nets=1 | frames=25,3,1,25
z1,single_latent_test_corr,-0.7694900393706843,0.5921149206906973,,CV3 | nets=1 | frames=25,3,1,25
z2,single_latent_test_corr,-0.7782758172486525,0.6057132477140579,,CV3 | nets=1 | frames=25,3,1,25
linear_combo_test_fit,descriptive_test_fit,0.8434445914092356,0.7113987787774924,0.7113987787774931,CV3 | nets=1 | frames=25,3,1,25
z0,single_latent_test_corr,-0.6935998270018644,0.4810807200170162,,CV3 | nets=1 | frames=50,3,1,50
z1,single_latent_test_corr,0.4666790456206612,0.2177893316214112,,CV3 | nets=1 | frames=50,3,1,50
z2,single_latent_test_corr,0.5376673290846034,0.2890861567649712,,CV3 | nets=1 | frames=50,3,1,50
linear_combo_test_fit,descriptive_test_fit,0.8818174778718237,0.7776020642802244,0.777602064280225,CV3 | nets=1 | frames=50,3,1,50
z0,single_latent_test_corr,0.8402740237006985,0.706060434906162,,CV3 | nets=1 | frames=100,3,1,100
z1,single_latent_test_corr,-0.8507324987975373,0.7237457845103018,,CV3 | nets=1 | frames=100,3,1,100
z2,single_latent_test_corr,-0.8457020235535972,0.7152119126426492,,CV3 | nets=1 | frames=100,3,1,100
linear_combo_test_fit,descriptive_test_fit,0.8669503752392022,0.7516029531273934,0.7516029531273938,CV3 | nets=1 | frames=100,3,1,100
z0,single_latent_test_corr,-0.8838351173056831,0.7811645145827506,,CV3 | nets=2 | frames=2,3,2,2
z1,single_latent_test_corr,0.8793905628679969,0.7733277620612924,,CV3 | nets=2 | frames=2,3,2,2
z2,single_latent_test_corr,-0.8734741583850676,0.7629571053665022,,CV3 | nets=2 | frames=2,3,2,2
linear_combo_test_fit,descriptive_test_fit,0.8864907490867661,0.7858658482164156,0.7858658482164163,CV3 | nets=2 | frames=2,3,2,2
z0,single_latent_test_corr,-0.7033221517970386,0.4946620492084166,,CV3 | nets=2 | frames=5,3,2,5
z1,single_latent_test_corr,-0.7821459671385267,0.6117523139110612,,CV3 | nets=2 | frames=5,3,2,5
z2,single_latent_test_corr,0.6944106034290392,0.4822060861546823,,CV3 | nets=2 | frames=5,3,2,5
linear_combo_test_fit,descriptive_test_fit,0.8875058811662865,0.7876666891047466,0.7876666891047462,CV3 | nets=2 | frames=5,3,2,5
z0,single_latent_test_corr,0.8753081211770537,0.7661643069985037,,CV3 | nets=2 | frames=10,3,2,10
z1,single_latent_test_corr,0.8750039299961369,0.7656318775086843,,CV3 | nets=2 | frames=10,3,2,10
z2,single_latent_test_corr,-0.87860358885624,0.7719442663510648,,CV3 | nets=2 | frames=10,3,2,10
linear_combo_test_fit,descriptive_test_fit,0.8924115706486486,0.7963984114275879,0.7963984114275876,CV3 | nets=2 | frames=10,3,2,10
z0,single_latent_test_corr,-0.8961042141066137,0.8030027625396318,,CV3 | nets=2 | frames=25,3,2,25
