dataset,split,rollout_steps,used,p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV1 | nets=1 | frames=2,test,80,76,,,0.1353380108461232,0.0021905114408582,0.0021913125069419,1.1347498484719147e-08,5.326926853936371e-06,1,1,2
CV1 | nets=1 | frames=5,test,80,76,-0.0219542819358722,0.0733174326873717,0.0477462897591012,0.0014655179639751,0.0021913125069419,0.0009525046924337,0.4545291909755339,1,1,5
CV1 | nets=1 | frames=10,test,80,76,-0.0885980308490854,-0.0127186030567931,0.0508599239034932,0.0009031023276436,0.0021913125069419,0.000625161673892,0.2972077359788958,1,1,10
CV1 | nets=1 | frames=25,test,80,76,-0.0687729636647871,0.2451504978916716,0.0499336854024106,0.0009689021589062,0.0021913125069419,0.0004569378357509,0.2162307518839776,1,1,25
CV1 | nets=1 | frames=50,test,80,76,-0.0508905841891089,0.2053256499566916,0.0490982103844768,0.000888738723006,0.0021913125069419,0.0004470142731933,0.2085281437160577,1,1,50
CV1 | nets=1 | frames=100,test,80,76,-0.054723587376819,0.0394927534703966,0.0492772904901947,0.0006726239164555,0.0021913125069419,0.000668335248759,0.3117402765592499,1,1,100
CV1 | nets=2 | frames=2,test,80,75,-0.3863507745689534,-0.2233275766554597,0.0649492970948349,0.0009538194087023,0.0021844103715072,0.0008264303797235,0.3952492642211285,1,2,2
CV1 | nets=2 | frames=5,test,80,75,-2.0039878598679084,0.623713801243517,0.1407341515284983,0.0012682253595752,0.0021844103715072,0.0007521288880767,0.356963014610703,1,2,5
CV1 | nets=2 | frames=10,test,80,75,-0.1094202551860554,0.4032232669325025,0.0519753492975185,0.0015962784100944,0.0021844103715072,6.528411555336788e-05,0.031005101219664,1,2,10
CV1 | nets=2 | frames=25,test,80,75,-1.970536822117138,0.0917637906099627,0.1391670002498612,0.0009777802419072,0.0021844103715072,0.0005039607822739,0.238984883404404,1,2,25
CV1 | nets=2 | frames=50,test,80,75,0.1856161733642715,0.7634724490705769,0.0381531558070779,0.0009427719917342,0.0021844103715072,0.0008694177561361,0.4249019922472186,1,2,50
CV1 | nets=2 | frames=100,test,80,75,0.5725057621662213,0.9121972297726256,0.0200277236964281,0.0006036388387049,0.0021844103715072,0.0011513652279973,0.5500399122257568,1,2,100
CV1 | nets=4 | frames=2,test,80,73,-0.7132268207509507,0.1026824259321096,0.0815463841625531,0.0018694399702936,0.0021915743175307,4.017056692160398e-05,0.0191513759726494,1,4,2
CV1 | nets=4 | frames=5,test,80,73,-0.0330906813285734,0.4850489789626446,0.0491731792626541,0.0008038180243951,0.0021915743175307,0.0008257078150389,0.3921521562565717,1,4,5
CV1 | nets=4 | frames=10,test,80,73,-8.79657420241875,-0.1911787995281979,0.4662985622868252,0.0018128605148027,0.0021915743175307,0.0005266479322565,0.2530248090216654,1,4,10
CV1 | nets=4 | frames=25,test,80,73,-0.1119524237661042,-0.0269696340801132,0.0529268503274816,0.0008187924423223,0.0021915743175307,0.0017663730222298,0.833315939741653,1,4,25
CV1 | nets=4 | frames=50,test,80,73,-0.6118425512851238,-0.7580483373663824,0.0767206830436106,0.0007735831261937,0.0021915743175307,0.0017800092687575,0.8459972924204654,1,4,50
