dataset,split,rollout_steps,used,p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV1 | nets=1 | frames=2,test,80,76,,,0.13533801084612326,0.002190511440858245,0.0021913125069419805,1.1347498484719147e-08,5.326926853936371e-06,1,1,2
CV1 | nets=1 | frames=5,test,80,76,-0.021954281935872233,0.07331743268737177,0.04774628975910127,0.0014655179639751288,0.0021913125069419805,0.0009525046924337451,0.45452919097553396,1,1,5
CV1 | nets=1 | frames=10,test,80,76,-0.08859803084908546,-0.012718603056793109,0.0508599239034932,0.0009031023276436731,0.0021913125069419805,0.0006251616738920443,0.2972077359788958,1,1,10
CV1 | nets=1 | frames=25,test,80,76,-0.06877296366478713,0.24515049789167165,0.049933685402410666,0.0009689021589062912,0.0021913125069419805,0.0004569378357509298,0.21623075188397767,1,1,25
CV1 | nets=1 | frames=50,test,80,76,-0.05089058418910897,0.20532564995669164,0.049098210384476836,0.0008887387230060995,0.0021913125069419805,0.0004470142731933217,0.20852814371605777,1,1,50
CV1 | nets=1 | frames=100,test,80,76,-0.05472358737681904,0.03949275347039668,0.049277290490194754,0.0006726239164555935,0.0021913125069419805,0.0006683352487590654,0.3117402765592499,1,1,100
CV1 | nets=2 | frames=2,test,80,75,-0.3863507745689534,-0.2233275766554597,0.06494929709483495,0.0009538194087023536,0.0021844103715072077,0.0008264303797235091,0.39524926422112855,1,2,2
CV1 | nets=2 | frames=5,test,80,75,-2.0039878598679084,0.623713801243517,0.14073415152849839,0.001268225359575202,0.0021844103715072077,0.0007521288880767921,0.35696301461070307,1,2,5
CV1 | nets=2 | frames=10,test,80,75,-0.10942025518605547,0.4032232669325025,0.05197534929751852,0.0015962784100944797,0.0021844103715072077,6.528411555336788e-05,0.031005101219664065,1,2,10
CV1 | nets=2 | frames=25,test,80,75,-1.970536822117138,0.09176379060996276,0.13916700024986123,0.000977780241907264,0.0021844103715072077,0.0005039607822739829,0.23898488340440405,1,2,25
CV1 | nets=2 | frames=50,test,80,75,0.1856161733642715,0.7634724490705769,0.038153155807077954,0.0009427719917342377,0.0021844103715072077,0.0008694177561361963,0.4249019922472186,1,2,50
CV1 | nets=2 | frames=100,test,80,75,0.5725057621662213,0.9121972297726255,0.020027723696428128,0.0006036388387049859,0.0021844103715072077,0.001151365227997303,0.5500399122257568,1,2,100
CV1 | nets=4 | frames=2,test,80,73,-0.7132268207509507,0.10268242593210962,0.08154638416255311,0.0018694399702936819,0.002191574317530716,4.017056692160398e-05,0.019151375972649494,1,4,2
CV1 | nets=4 | frames=5,test,80,73,-0.0330906813285734,0.48504897896264465,0.04917317926265417,0.0008038180243951103,0.002191574317530716,0.0008257078150389333,0.39215215625657174,1,4,5
CV1 | nets=4 | frames=10,test,80,73,-8.79657420241875,-0.19117879952819797,0.4662985622868252,0.0018128605148027817,0.002191574317530716,0.0005266479322565592,0.2530248090216654,1,4,10
CV1 | nets=4 | frames=25,test,80,73,-0.11195242376610426,-0.026969634080113266,0.052926850327481643,0.0008187924423223132,0.002191574317530716,0.0017663730222298062,0.833315939741653,1,4,25
CV1 | nets=4 | frames=50,test,80,73,-0.6118425512851238,-0.7580483373663824,0.07672068304361063,0.00077358312619378,0.002191574317530716,0.0017800092687575173,0.8459972924204654,1,4,50
CV1 | nets=4 | frames=100,test,80,73,-0.39086195373592103,-0.8801660448511225,0.06620242096531843,0.0006293474793456469,0.002191574317530716,0.0017667356280495145,0.8430945076704268,1,4,100
CV1 | nets=8 | frames=2,test,80,69,-0.515484914381352,0.2665647813423219,0.069633194082802,0.0021196836706898784,0.002178992789265686,7.643765501518868e-07,0.00036320499370298654,1,8,2
CV1 | nets=8 | frames=5,test,80,69,-9.289349529864841,0.4604546570296559,0.4727729494366798,0.0019352860677906353,0.002178992789265686,0.00017870456076048288,0.08448973809743972,1,8,5
CV1 | nets=8 | frames=10,test,80,69,-0.01784045420735736,0.3132425314142411,0.04676752715950386,0.0008523227930392908,0.002178992789265686,0.001200130600752174,0.5733415585367952,1,8,10
CV1 | nets=8 | frames=25,test,80,69,-1.9941001034782544,0.6695909133556128,0.13757230549137314,0.0008917755094707768,0.002178992789265686,0.0005222458988799295,0.24575405161325475,1,8,25
CV1 | nets=8 | frames=50,test,80,69,-1.217019783142339,0.7311028368716669,0.10186717622852881,0.0006329214331766495,0.002178992789265686,0.0008383136752156028,0.3917400799095153,1,8,50
CV1 | nets=8 | frames=100,test,80,69,0.37598337243819036,0.8824034468009496,0.028672189690284743,0.0005012680675713784,0.002178992789265686,0.0010708702822634275,0.4965126974533235,1,8,100
CV2 | nets=1 | frames=2,test,80,76,-0.4053432082530235,-0.1322894459281665,0.06565844012623297,0.0021886215545237064,0.0021913125069419805,3.95861778737078e-09,1.851978809563917e-06,2,1,2
CV2 | nets=1 | frames=5,test,80,76,-0.003176664437074317,-0.09285548742559581,0.046868988707644416,0.0008189104846678674,0.0021913125069419805,0.0011303830174974312,0.53929103923474,2,1,5
CV2 | nets=1 | frames=10,test,80,76,-0.14444439372536966,0.38309835678044885,0.053469097983993116,0.0016367055489497847,0.0021913125069419805,0.00021509701055995385,0.10233224318894442,2,1,10
CV2 | nets=1 | frames=25,test,80,76,-0.007138143821818987,0.02644410051619381,0.04705407129492065,0.0009203876528006635,0.0021913125069419805,0.0004349592919951599,0.20559179455437612,2,1,25
CV2 | nets=1 | frames=50,test,80,76,-0.06008933107412395,0.001487981559585864,0.049527981110972126,0.0007422634520672114,0.0021913125069419805,0.0019548025233425983,0.930814340080406,2,1,50
CV2 | nets=1 | frames=100,test,80,76,-0.030974033470820173,0.1336358507876773,0.04816769772025481,0.000451680270902886,0.0021913125069419805,0.0019194725180951583,0.8995953743735638,2,1,100
CV2 | nets=2 | frames=2,test,80,75,-1.6427537904967373,-0.2439106679504658,0.12381065761718346,0.0021401863902186353,0.0021844103715072077,1.6734390176983047e-06,0.0007995415951481155,2,2,2
CV2 | nets=2 | frames=5,test,80,75,-0.10025696921583127,0.2488291025999329,0.05154605752391955,0.001791531757141153,0.0021844103715072077,2.7903861652400035e-05,0.013272443491747693,2,2,5
