dataset,latent_dim,train_networks,train_frames_per_network,summary_rollout_step,test_rollout_p_ratio_r2,test_rollout_p_ratio_pearson,best_first_frame_signal,best_first_frame_source,best_first_frame_corr_r2,best_first_frame_r2,ae_best_val_mse_norm,dyn_best_val_dz_mse_norm
CV1 | nets=1 | frames=2,1,1,2,80,,,z0,single_latent_test_corr,0.3965137279647073,,26210.229853118897,11.780767272308468
CV1 | nets=1 | frames=5,1,1,5,80,-0.0219542819358722,0.0733174326873717,z0,single_latent_test_corr,0.2838045840866066,,2685.05122537756,381.5024902708829
CV1 | nets=1 | frames=10,1,1,10,80,-0.0885980308490854,-0.0127186030567931,linear_combo_test_fit,descriptive_test_fit,0.7028199594808923,0.7028199594808926,360.67360273873805,381.9120360234603
CV1 | nets=1 | frames=25,1,1,25,80,-0.0687729636647871,0.2451504978916716,z0,single_latent_test_corr,0.6243174303210589,,37.81779379570485,48.45274665037263
CV1 | nets=1 | frames=50,1,1,50,80,-0.0508905841891089,0.2053256499566916,linear_combo_test_fit,descriptive_test_fit,0.7661922366015305,0.7661922366015299,7.62975380218029,21.54797372695338
CV1 | nets=1 | frames=100,1,1,100,80,-0.054723587376819,0.0394927534703966,linear_combo_test_fit,descriptive_test_fit,0.3984894278608225,0.3984894278608225,1.6529036216139794,247.4251768636704
CV1 | nets=2 | frames=2,1,2,2,80,-0.3863507745689534,-0.2233275766554597,z0,single_latent_test_corr,0.0009687834126334,,5854.980546035767,131.76202124224602
CV1 | nets=2 | frames=5,1,2,5,80,-2.0039878598679084,0.623713801243517,z0,single_latent_test_corr,0.814304115425978,,439.948482757926,1543.217209261894
CV1 | nets=2 | frames=10,1,2,10,80,-0.1094202551860554,0.4032232669325025,linear_combo_test_fit,descriptive_test_fit,0.0711346957581571,0.0711346957581572,85.62077557873725,8.279816727235913
CV1 | nets=2 | frames=25,1,2,25,80,-1.970536822117138,0.0917637906099627,linear_combo_test_fit,descriptive_test_fit,0.8075497804966042,0.8075497804966035,10.284999170303344,48.81524697083235
CV1 | nets=2 | frames=50,1,2,50,80,0.1856161733642715,0.7634724490705769,linear_combo_test_fit,descriptive_test_fit,0.8245879399987102,0.8245879399987106,1.9867545614764093,3.5877319558728487
CV1 | nets=2 | frames=100,1,2,100,80,0.5725057621662213,0.9121972297726256,linear_combo_test_fit,descriptive_test_fit,0.8167542654687505,0.8167542654687499,0.459686554133892,2.8769733406165616
