dataset,latent_dim,sim_idx,final_p_ratio,normal_z0,masked_z0,delta_z0,normal_z1,masked_z1,delta_z1
Reid CV1,1,0,0.2238599590476573,-2.982048273086548,-2.9319846630096436,0.0500636100769043,,,
Reid CV1,1,1,-0.24075396534886645,-3.324244976043701,-2.9459545612335205,0.37829041481018066,,,
Reid CV1,1,2,0.15031615373850205,-3.0554540157318115,-2.9898877143859863,0.0655663013458252,,,
Reid CV1,1,3,0.26937916888526336,-3.0791544914245605,-2.9858858585357666,0.09326863288879395,,,
Reid CV1,1,4,-0.33039033700227455,-3.300849676132202,-2.9721949100494385,0.32865476608276367,,,
Reid CV1,1,5,0.1606833051492441,-3.151883840560913,-2.9704322814941406,0.18145155906677246,,,
Reid CV1,1,6,-0.1963377719651293,-3.4192025661468506,-3.0341713428497314,0.38503122329711914,,,
Reid CV1,1,7,0.22590702007093752,-2.97613263130188,-2.975369453430176,0.0007631778717041016,,,
Reid CV1,1,8,-0.06480931009694779,-3.2270336151123047,-2.9809606075286865,0.24607300758361816,,,
Reid CV1,1,9,0.18341754005038485,-3.277991771697998,-3.061265230178833,0.21672654151916504,,,
Reid CV1,1,10,0.3524800528535854,-2.942051410675049,-3.0214240550994873,-0.07937264442443848,,,
Reid CV1,1,11,-0.04889763898242052,-3.228637456893921,-2.9731905460357666,0.2554469108581543,,,
Reid CV1,1,12,-0.15348441061065293,-3.449768304824829,-3.03711199760437,0.412656307220459,,,
Reid CV1,1,13,-0.17377978528774052,-3.3587870597839355,-2.9816436767578125,0.37714338302612305,,,
Reid CV1,1,14,0.24101002113566364,-3.029193639755249,-3.0032832622528076,0.025910377502441406,,,
Reid CV1,1,15,-0.08436423666781437,-3.171903371810913,-2.9376657009124756,0.2342376708984375,,,
Reid CV1,1,16,0.30795067109622015,-3.0102179050445557,-3.0066468715667725,0.003571033477783203,,,
Reid CV1,1,17,-0.033541463369191324,-3.23432993888855,-2.9902141094207764,0.24411582946777344,,,
Reid CV1,1,18,-0.0473741087700227,-3.4054300785064697,-2.9915363788604736,0.4138936996459961,,,
Reid CV1,1,19,0.2511593493496609,-3.040930986404419,-2.9524381160736084,0.08849287033081055,,,
Reid CV1,1,20,-0.21987798577425652,-3.3800876140594482,-2.948700189590454,0.43138742446899414,,,
Reid CV1,1,21,-0.18996567826885782,-3.2783901691436768,-2.951667547225952,0.3267226219177246,,,
Reid CV1,1,22,-0.32518965600620253,-3.309399366378784,-3.0090911388397217,0.3003082275390625,,,
Reid CV1,1,23,-0.24482213582355292,-3.345102310180664,-2.994847059249878,0.35025525093078613,,,
Reid CV1,1,24,-0.3112050286983445,-3.4133236408233643,-2.961658239364624,0.45166540145874023,,,
Reid CV1,1,25,0.18183670511140954,-2.9577629566192627,-2.951953887939453,0.00580906867980957,,,
Reid CV1,1,26,-0.03371838000065961,-3.205212354660034,-2.9651453495025635,0.2400670051574707,,,
Reid CV1,1,27,0.02298076051167721,-3.2089478969573975,-2.9873504638671875,0.22159743309020996,,,
Reid CV1,1,28,-0.22730985066006476,-3.2275984287261963,-2.9032294750213623,0.324368953704834,,,
Reid CV1,1,29,-0.12771201037928526,-3.3023879528045654,-2.955162286758423,0.3472256660461426,,,
Reid CV1,1,30,0.0950451355151094,-3.185662031173706,-2.99288272857666,0.1927793025970459,,,
Reid CV1,1,31,-0.20617802151122547,-3.201103448867798,-2.9171836376190186,0.2839198112487793,,,
Reid CV1,1,32,-0.32336614357869486,-3.378800630569458,-2.9901235103607178,0.38867712020874023,,,
Reid CV1,1,33,0.27772893013013333,-2.9833686351776123,-2.9582905769348145,0.02507805824279785,,,
Reid CV1,1,34,-0.33399938936466717,-3.2814114093780518,-2.9403703212738037,0.34104108810424805,,,
Reid CV1,1,35,0.1677718678598186,-3.1845178604125977,-2.951538562774658,0.23297929763793945,,,
Reid CV1,1,36,-0.05914505731234828,-3.3471741676330566,-2.9378693103790283,0.4093048572540283,,,
Reid CV1,1,37,0.24274224639077988,-3.0216281414031982,-2.9442813396453857,0.0773468017578125,,,
Reid CV1,1,38,0.27673880911901655,-3.0704591274261475,-2.9778945446014404,0.09256458282470703,,,
Reid CV1,1,39,-0.21908872590380996,-3.2671334743499756,-2.9176645278930664,0.3494689464569092,,,
Reid CV1,1,40,-0.14664002278276062,-3.2623684406280518,-2.9653375148773193,0.2970309257507324,,,
Reid CV1,1,41,0.1639582164351763,-2.9475533962249756,-2.9524104595184326,-0.004857063293457031,,,
Reid CV1,1,42,0.21035491246831667,-2.993309259414673,-2.9928455352783203,0.00046372413635253906,,,
Reid CV1,1,43,-0.45901086920611844,-3.3105967044830322,-2.9560365676879883,0.35456013679504395,,,
Reid CV1,1,44,-0.1466582167541242,-3.3363747596740723,-2.947335958480835,0.3890388011932373,,,
Reid CV1,1,45,-0.3247762104239115,-3.289092540740967,-2.87430739402771,0.41478514671325684,,,
Reid CV1,1,46,-0.2343730856231202,-3.2873849868774414,-2.9880402088165283,0.2993447780609131,,,
Reid CV1,1,47,0.12699982791696676,-3.129136800765991,-2.9547159671783447,0.17442083358764648,,,
Reid CV1,1,48,0.19502236139423487,-2.886418581008911,-2.945186138153076,-0.05876755714416504,,,
Reid CV1,1,49,-0.2124182814927736,-3.397442102432251,-3.0146472454071045,0.3827948570251465,,,
Reid CV1,1,50,-0.21109366287007186,-3.3085031509399414,-2.944140911102295,0.3643622398376465,,,
Reid CV1,1,51,-0.2523187814106471,-3.367741823196411,-2.9544994831085205,0.4132423400878906,,,
Reid CV1,1,52,0.33742504039823745,-2.8277642726898193,-2.91689395904541,-0.08912968635559082,,,
Reid CV1,1,53,-0.3979398483632574,-3.330958127975464,-2.9824206829071045,0.3485374450683594,,,
Reid CV1,1,54,-0.06866933130407157,-3.5250916481018066,-3.0411126613616943,0.4839789867401123,,,
Reid CV1,1,55,-0.06695112756186168,-3.2717506885528564,-2.9646990299224854,0.3070516586303711,,,
Reid CV1,1,56,-0.2691509251686252,-3.2973642349243164,-2.9920437335968018,0.30532050132751465,,,
Reid CV1,1,57,-0.06082767686482228,-3.3332133293151855,-3.0027153491973877,0.33049798011779785,,,
Reid CV1,1,58,-0.15711103408322405,-3.204556465148926,-2.9117367267608643,0.2928197383880615,,,
Reid CV1,1,59,-0.1623723264424866,-3.3636207580566406,-2.9661130905151367,0.3975076675415039,,,
Reid CV1,1,60,-0.07075996703199396,-3.192978620529175,-2.9681804180145264,0.22479820251464844,,,
Reid CV1,1,61,-0.16665686710960664,-3.3905155658721924,-3.0212440490722656,0.36927151679992676,,,
Reid CV1,1,62,0.21269403862426334,-2.962379217147827,-2.935070037841797,0.027309179306030273,,,
Reid CV1,1,63,0.3873779088920612,-2.8817503452301025,-2.96718692779541,-0.08543658256530762,,,
Reid CV1,1,64,-0.25379435107376286,-3.307037591934204,-2.9552271366119385,0.3518104553222656,,,
Reid CV1,1,65,-0.2835927971877466,-3.5014994144439697,-3.0287744998931885,0.47272491455078125,,,
Reid CV1,1,66,0.03867895965791973,-3.3380484580993652,-3.0566890239715576,0.2813594341278076,,,
Reid CV2,2,0,0.2238599590476573,3.7060670852661133,3.7702951431274414,0.06422805786132812,3.033402681350708,3.080549478530884,0.04714679718017578
Reid CV2,2,1,-0.24075396534886645,3.1447126865386963,3.741389751434326,0.5966770648956299,2.6125574111938477,3.0536985397338867,0.44114112854003906
Reid CV2,2,2,0.15031615373850205,3.698904514312744,3.7880868911743164,0.08918237686157227,3.0265395641326904,3.092189073562622,0.06564950942993164
Reid CV2,2,3,0.26937916888526336,3.6345226764678955,3.7807905673980713,0.14626789093017578,2.9756686687469482,3.0836737155914307,0.10800504684448242
Reid CV2,2,4,-0.33039033700227455,3.273790121078491,3.791177988052368,0.517387866973877,2.713381767272949,3.096198558807373,0.38281679153442383
Reid CV2,2,5,0.1606833051492441,3.391774892807007,3.6841814517974854,0.2924065589904785,2.7906908988952637,3.006870985031128,0.21618008613586426
