dataset,latent_dim,split,sim_idx,step,target_index,true_p_ratio,pred_p_ratio,p_ratio_error,true_horizontal_strain,pred_horizontal_strain,horizontal_strain_error,true_vertical_strain,pred_vertical_strain,vertical_strain_error,pos_mse,initial_to_true_mse,movement_fraction_mse
Reid CV1,1,test,0,0,0,,0.14768894156258547,,0.0,-0.0023350801396631094,-0.0023350801396631094,0.0,0.0002462908926064319,0.0002462908926064319,2.4803239284665324e-05,0.0,
Reid CV1,1,test,0,1,15,0.22795908426692646,0.14672075726842462,-0.08123832699850184,-0.00029195234964184667,-0.0023614743557746416,-0.002069522006132795,6.795445643036649e-05,0.0002468190360501912,0.00017886457961982473,1.9413120753597468e-05,4.569016596178699e-07,55.643698931773095
Reid CV1,1,test,0,2,30,0.22712959224868792,0.14569403583845947,-0.08143555641022845,-0.0005865979866420129,-0.002387868571886174,-0.001801270585244161,0.00013890172570870247,0.00024734717949395055,0.00010844545378524808,1.4744578948011622e-05,1.8551468201621901e-06,14.048048405801577
Reid CV1,1,test,0,3,45,0.22674762237386492,0.14467072203120868,-0.08207690034265624,-0.0008819618336043978,-0.0024146218929788155,-0.0015326600593744176,0.00020720827776824185,0.0002478753229377099,4.066704516946803e-05,1.0869186553463805e-05,4.2061228668899275e-06,6.351572789561053
Reid CV1,1,test,0,4,60,0.22676220764059418,0.14367290004794908,-0.0830893075926451,-0.0011762483656234547,-0.0024413752140714567,-0.001265126848448002,0.0002741944712183829,0.0002484034663814692,-2.579100483691369e-05,7.796051249897573e-06,7.516459390899399e-06,3.643636355276335
Reid CV1,1,test,0,5,75,0.2266276188330705,0.14270011638432692,-0.08392750244874359,-0.0014705348976425117,-0.0024683978638999305,-0.0009978629662574189,0.00034012437778100534,0.00024893160982522854,-9.11927679557768e-05,5.527546818484552e-06,1.1787152288889047e-05,2.3819522842049734
Reid CV1,1,test,0,6,90,0.2266209225656008,0.1417183536884285,-0.08490256887717229,-0.0017643725484351822,-0.002495510289973681,-0.000731137741538499,0.0004066704516946803,0.0002494597532689879,-0.0001572106984256924,4.064549557369901e-06,1.7026315617840737e-05,1.6905462379688891
Reid CV1,1,test,0,7,105,0.22664431379753813,0.14074027233253236,-0.08590404146500577,-0.002058389751718407,-0.0025228022685379868,-0.00046441251681957974,0.0004719841909062501,0.0002499878967127472,-0.0002219962941935029,3.407243639230728e-06,2.3220978619065136e-05,1.2707865223108996
Reid CV1,1,test,0,8,120,0.2266481860913583,0.13978696350030226,-0.08686122259105605,-0.002351239863813027,-0.0025501840233475696,-0.00019894415953454264,0.0005380021213761657,0.00025042801624921326,-0.00028757410512695247,3.5530058539734455e-06,3.037821443285793e-05,0.9958665556926098
Reid CV1,1,test,0,9,135,0.22657407572701144,0.1388608299490816,-0.08771324577792983,-0.0026456161720773614,-0.0025776555544024297,6.796061767493176e-05,0.0006036679562169085,0.00025086813578567937,-0.00035279982043122913,4.501419880398316e-06,3.849627319141291e-05,0.8056663461470311
Reid CV1,1,test,0,10,150,0.2264738955823293,0.13788533681291795,-0.08858855876941135,-0.0029377480742097625,-0.0026053964141931215,0.000332351660016641,0.0006689816954284784,0.0002513962792294387,-0.0004175854161990397,6.243480584089411e-06,4.756718408316374e-05,0.6684633803558012
Reid CV1,1,test,0,11,165,0.22647295028108344,0.13690620211307364,-0.0895667481680098,-0.003231316396266601,-0.0026331372739838137,0.0005981791222827871,0.0007344714824546347,0.00025192442267319803,-0.0004825470597814367,8.7826992967166e-06,5.760311250924133e-05,0.5659167088074687
Reid CV1,1,test,0,12,180,0.2264618102490665,0.13600287161488453,-0.09045893863418197,-0.003523897179625389,-0.0026611474625103377,0.0008627497171150513,0.0008004894129245503,0.00025236454220966414,-0.0005481248707148861,1.2115495337639004e-05,6.859956192784011e-05,0.48718574768684586
Reid CV1,1,test,0,13,195,0.22647149651040702,0.1350860929764699,-0.09138540353393712,-0.0038169268442105634,-0.002689247427282139,0.0011276794169284244,0.0008658031521361202,0.00025280466174613025,-0.0006129984903899899,1.6239517208305188e-05,8.055906073423102e-05,0.4253260919731144
Reid CV1,1,test,0,14,210,0.22646724855769781,0.13416822721598,-0.0922990213417178,-0.004109956508795738,-0.002717526944544495,0.0013924295642512427,0.0009314689869768629,0.00025324478128259636,-0.0006782242056942666,2.1149071471882053e-05,9.348017192678526e-05,0.37579115580491224
Reid CV1,1,test,0,15,225,0.22637066215666546,0.13325230543658603,-0.09311835672007943,-0.004403345278362021,-0.002745896238052128,0.001657449040309893,0.0009973108696321922,0.00025368490081906247,-0.0007436259688131297,2.683756611077115e-05,0.00010735465184552595,0.33549898063066097
Reid CV1,1,test,0,16,240,0.22635091064171392,0.13236528774232942,-0.0939856228993845,-0.004696015837966087,-0.002774624636540871,0.0019213912014252156,0.0010625365849364688,0.0002541250203555286,-0.0008084115645809402,3.330576146254316e-05,0.0001221880374941975,0.30223565263392826
Reid CV1,1,test,0,17,255,0.22633865331948247,0.13148011851516353,-0.09485853480431894,-0.004988147740098488,-0.0028033530350296135,0.0021847947050688743,0.001128466491499091,0.0002545651398919947,-0.0008739013516070964,4.05608989240136e-05,0.00013799697626382113,0.27440230389282805
Reid CV1,1,test,0,18,270,0.22633869644322357,0.130575982679458,-0.09576271376376558,-0.005281895614645881,-0.0028324405384994654,0.0024494550761464157,0.0011944844219690068,0.00025500525942846074,-0.0009394791625405461,4.8575850087217987e-05,0.0001547456777188927,0.2509288801003419
Reid CV1,1,test,0,19,285,0.2263502095444099,0.12965150620200827,-0.09669870334240163,-0.005574386621759392,-0.002861707594459872,0.00271267902729952,0.0012606784002535088,0.00025544537896492685,-0.001005233021288582,5.735897502745502e-05,0.00017245467461179942,0.23090852287086444
Reid CV1,1,test,0,20,300,0.22628985135004975,0.12880848500337722,-0.09748136634667254,-0.005866877628872902,-0.002891154202910833,0.002975723425962069,0.001325640043835906,0.00025579747459409974,-0.0010698425692418061,6.6918641095981e-05,0.00019114701717626303,0.2136631141371379
