dataset,latent_dim,step,pos_mse,p_ratio_mae,p_ratio_rmse,horizontal_strain_mae,horizontal_strain_rmse,vertical_strain_mae,movement_fraction_mse
Reid CV1,1,0,4.248163556317806e-05,,,0.0022203838363140903,0.002235769311891004,0.0002962332969958155,
Reid CV1,1,1,3.433534158233018e-05,0.09702848774245126,0.10639310150321982,0.0019518555376666288,0.0019698636714962797,0.00026805072975162104,72.1950382017409
Reid CV1,1,2,2.710983841749492e-05,0.148118136884294,0.16518667757743685,0.00167157173715318,0.001693205679903232,0.0002683268733706122,17.330326187551094
Reid CV1,1,3,2.1090438411790015e-05,0.16839377947801545,0.18988594640401568,0.0013908017493178028,0.0014182447620771775,0.00027313039895067497,7.63669460891482
Reid CV1,1,4,1.631499411027406e-05,0.17962869266800174,0.20372823425297226,0.0011100162501642924,0.0011470696519020947,0.00029819663098192944,4.307998127148626
Reid CV1,1,5,1.2805289363531124e-05,0.18673071935363594,0.21252998318457084,0.0008294044568591787,0.00088343717104942,0.0003357229169370989,2.781180073990226
Reid CV1,1,6,1.0576454437185346e-05,0.19165681222441516,0.21860775204454125,0.0005499377895889606,0.0006365526982227426,0.00038008767542024315,1.954784525958428
Reid CV1,1,7,9.639499246498131e-06,0.1952656627402636,0.22303553910078797,0.0003398612930276274,0.0004357924770620638,0.0004258261848684592,1.4567754476306094
Reid CV1,1,8,1.0003779335868364e-05,0.19799362095864043,0.22635914465138174,0.00029579621203606614,0.0003666553877421273,0.00047594604353084054,1.1331142251939583
Reid CV1,1,9,1.1675787526886535e-05,0.2001670599939714,0.22898338076522112,0.0004174016821404531,0.00048715852590800244,0.0005282184016449871,0.910614432087745
Reid CV1,1,10,1.4659719318611922e-05,0.20190261836143183,0.23106099968316127,0.0006065394263416208,0.0007053918328781329,0.0005810689414191164,0.7508761081337835
Reid CV1,1,11,1.895929214167982e-05,0.20330230805493116,0.23272209493440296,0.0008592199238118414,0.0009562238872869812,0.0006339699973819305,0.6321573476012653
Reid CV1,1,12,2.457792572331799e-05,0.20448968597631711,0.234094013498222,0.0011281261215144575,0.0012188736497845834,0.0006872028524487603,0.5414240411369993
Reid CV1,1,13,3.151634087201395e-05,0.20548864776597917,0.2352424961431434,0.0014001440076535335,0.0014874506068262199,0.0007410548284067065,0.47044625749771474
Reid CV1,1,14,3.9775887413650624e-05,0.20632780984389268,0.2361859227356944,0.0016750908276943418,0.001757502718728617,0.0007953523826745533,0.4138259142254978
Reid CV1,1,15,4.935707964712003e-05,0.20706362435719636,0.23700866753342442,0.0019497377364364019,0.0020292479043512745,0.0008499488867454432,0.367897040684399
Reid CV1,1,16,6.025829967636955e-05,0.2076923883547605,0.2376898316108002,0.002223519445105172,0.0023013093651732966,0.0009045856067439464,0.33009895214370133
