dataset,latent_dim,sim_idx,early_filtered_step,early_frame,final_filtered_step,final_frame,early_x_strain,early_y_strain,early_mean_abs_dx,early_mean_abs_dy,early_disp_anisotropy,final_x_strain,final_y_strain,final_mean_abs_dx,final_mean_abs_dy,final_disp_anisotropy,final_p_ratio,stiffness_mean,stiffness_std,zero_stiffness_edge_count,zero_stiffness_edge_fraction,node_stiffness_mean,node_stiffness_std,horizontal_stiffness,vertical_stiffness,diagonal_stiffness,edge_count,initial_z0,initial_z1,initial_z_linear_p_ratio
Reid CV1,1,0,2,30,80,1200,-0.0005865980056114495,0.0001389017270412296,0.0016382692847400904,0.0003720543463714421,4.403306400577611,-0.0229374710470438,0.005664690397679806,0.06731398403644562,0.014715938828885555,4.574222876240601,0.2238599590476573,0.4984668247990592,0.1739724142469135,0,0.0,0.5027087132430502,0.06293233099569047,0.419778968733136,0.6662395521302089,0.3779341939343027,291,-2.982048273086548,,-2.982048273086548
Reid CV1,1,1,2,30,80,1200,-0.0006178903859108686,-4.230068589095026e-05,0.0018245724495500326,0.00025232211919501424,7.231123673861745,-0.027790460735559464,-0.002605908317491412,0.07131895422935486,0.02604849822819233,2.7379295959628966,-0.24075396534886645,0.6439785041190155,0.388898896885486,0,0.0,0.6520820817158887,0.15584542476701665,0.6777307749970106,0.797185624514909,0.3605392153523604,368,-3.3242452144622803,,-3.3242452144622803
Reid CV1,1,2,2,30,80,1200,-0.0005844748811796308,8.691116818226874e-05,0.002056655241176486,0.0003224407264497131,6.37839786500182,-0.023527473211288452,0.003088336205109954,0.08444087207317352,0.012859744019806385,6.566294938928719,0.15031615373850205,0.49904350876484227,0.2154192835472766,0,0.0,0.5044088757647911,0.08056951628467168,0.4836909214389466,0.6638211606220267,0.2779242142529811,460,-3.0554540157318115,,-3.0554540157318115
Reid CV1,1,3,2,30,80,1200,-0.0005946926539763808,0.0001559790689498186,0.0020018815994262695,0.000531251891516149,3.768234299765154,-0.023083100095391273,0.006299259606748819,0.0834648534655571,0.0227825827896595,3.663537810271446,0.26937916888526336,0.5059345270290759,0.14757809260554877,0,0.0,0.5104281590501161,0.057235347221026064,0.4279926283450066,0.6498972171810782,0.4097913273862589,422,-3.0791544914245605,,-3.0791544914245605
Reid CV1,1,4,2,30,80,1200,-0.0006283039692789316,-4.691173307946883e-05,0.0019038692116737366,0.000282431545201689,6.7409935045115175,-0.02967947907745838,-0.003994006663560867,0.0879879966378212,0.0302143432199955,2.9121267338881545,-0.33039033700227455,0.6139054288994984,0.3932606271027274,0,0.0,0.6221440080371443,0.15158225453129398,0.6930819488565128,0.800162977996466,0.2654958837602118,402,-3.300849676132202,,-3.300849676132202
Reid CV1,1,5,2,30,80,1200,-0.0006217591580934823,9.68575113802217e-05,0.0023369526024907827,0.000425992562668398,5.48590000692082,-0.024928061291575432,0.003536592237651348,0.09534301608800888,0.016643263399600983,5.728625077837481,0.1606833051492441,0.5476103538798319,0.21461966360087026,0,0.0,0.5543386060815482,0.08308743851234848,0.4984474082259422,0.7156503287558796,0.365301239829606,629,-3.151883840560913,,-3.151883840560913
Reid CV1,1,6,2,30,80,1200,-0.0005275583826005459,-4.868103496846743e-05,0.0020120618864893913,0.00026187181356363,7.683384703029514,-0.019800150766968727,-0.0026780380867421627,0.08200021833181381,0.024609750136733055,3.3320215717842045,-0.1963377719651293,0.640144655142134,0.3970647594748606,0,0.0,0.6490575633059776,0.16287760541741084,0.6776600995728157,0.8005298905732045,0.36167599295416997,424,-3.4192020893096924,,-3.4192020893096924
Reid CV1,1,7,2,30,80,1200,-0.0005691054975613952,0.0001421817287337035,0.0023783135693520308,0.0005415886989794672,4.391364837991566,-0.022132698446512222,0.006161714904010296,0.09613658487796783,0.022525915876030922,4.267821357721733,0.22590702007093752,0.4702612091600895,0.14856451290651973,0,0.0,0.4747014309941439,0.06157226538255253,0.4480342906769191,0.5956530480037833,0.3433716073201571,600,-2.97613263130188,,-2.97613263130188
Reid CV1,1,8,2,30,80,1200,-0.0006017711129970849,1.7228248907485977e-05,0.002099493518471718,0.00011823463864857331,17.757008795975644,-0.024803990498185158,-0.0009504714398644865,0.08200333267450333,0.013252085074782372,6.187957005388452,-0.06480931009694779,0.5777337370923578,0.33354396610142867,0,0.0,0.5828095995164421,0.11543141891292744,0.5856277306428116,0.7642905328560758,0.2928028202842216,451,-3.227033853530884,,-3.227033853530884
Reid CV1,1,9,2,30,80,1200,-0.0005720307817682624,0.00010114223550772294,0.001698155771009624,0.0003207236295565963,5.294763511367535,-0.021905897185206413,0.004165221005678177,0.06974777579307556,0.014651830308139324,4.760345590020215,0.18341754005038485,0.5550417813601218,0.2237528877148782,0,0.0,0.5610244256825345,0.07966445834581595,0.49563490517311176,0.7346527716692757,0.3609377751882012,311,-3.277992010116577,,-3.277992010116577
Reid CV1,1,10,2,30,80,1200,-0.0006184421363286674,0.00022994473692961037,0.0016506873071193695,0.0005556541145779192,2.970710130299762,-0.025640102103352547,0.0106717050075531,0.06737464666366577,0.023435650393366814,2.8748784664724036,0.3524800528535854,0.43137236310724625,0.059696831913206065,0,0.0,0.4357785145420403,0.04182604600403371,0.43248240636513297,0.4377205831663949,0.4195514975199059,285,-2.942051410675049,,-2.942051410675049
Reid CV1,1,11,2,30,80,1200,-0.0005953913787379861,1.7435204426874407e-05,0.002000798238441348,0.00011196365085197613,17.870069645072086,-0.02407747507095337,-0.0005624119658023119,0.08460642397403717,0.009127276949584484,9.269623836481575,-0.04889763898242052,0.5729279577740872,0.3345514324965244,0,0.0,0.5784519172706876,0.11473851382479103,0.6388268531055042,0.7615399679083279,0.25054747751758744,424,-3.228637218475342,,-3.228637218475342
Reid CV1,1,12,2,30,80,1200,-0.0005572521477006376,1.9769338166497619e-07,0.0021148824598640203,0.0001730364456307143,12.222179276483155,-0.023800449445843697,-0.0010914651211351156,0.09092755615711212,0.026334581896662712,3.4527814610428673,-0.15348441061065293,0.6568313331472608,0.3789025634973783,0,0.0,0.664079649453729,0.1445845949529898,0.6692222267803218,0.8385978446779822,0.3716972327408139,521,-3.449768304824829,,-3.449768304824829
Reid CV1,1,13,2,30,80,1200,-0.0005518458783626556,6.171441327751381e-06,0.0019035220611840487,0.00013308096094988286,14.303489000961592,-0.02378726750612259,-0.003931833431124687,0.09378179907798767,0.0172794908285141,5.427347368548137,-0.17377978528774052,0.6307465250613868,0.3626891266342827,0,0.0,0.6384636781427356,0.14291274346698646,0.664675787128919,0.7969029118119377,0.32051935839547735,372,-3.3587872982025146,,-3.3587872982025146
Reid CV1,1,14,2,30,80,1200,-0.0005942405550740659,0.00013922523066867143,0.002124373335391283,0.0005011414759792387,4.239069079724887,-0.02386186085641384,0.005159539170563221,0.08897081762552261,0.020942121744155884,4.248414688466361,0.24101002113566364,0.4868294473427037,0.14863038956239277,0,0.0,0.49109648963280206,0.05836272043247439,0.44172575458281305,0.6108058301891599,0.38157999165581935,480,-3.029193639755249,,-3.029193639755249
Reid CV1,1,15,2,30,80,1200,-0.0005726430681534111,-4.863759386353195e-06,0.0021721122320741415,0.00013686608872376382,15.870346353347653,-0.021818356588482857,-0.0013491674326360226,0.09076555073261261,0.012200444005429745,7.439528487013905,-0.08436423666781437,0.5659288058653187,0.32888930859077875,0,0.0,0.573420512914256,0.11332508555518427,0.6141867466748525,0.7627949402964813,0.2245969549026888,519,-3.171903371810913,,-3.171903371810913
Reid CV1,1,16,2,30,80,1200,-0.0005979134002700448,0.00015786020958330482,0.002268868498504162,0.000645067251753062,3.5172588475669615,-0.024735866114497185,0.005633771885186434,0.09233304113149643,0.02826959453523159,3.266160786863228,0.30795067109622015,0.46750041909432144,0.092203557818838,0,0.0,0.4724434655333333,0.04498227115941571,0.4298860405385494,0.5404920328349967,0.42261564627393977,534,-3.0102179050445557,,-3.0102179050445557
Reid CV1,1,17,2,30,80,1200,-0.0006036373088136315,2.9825747333234176e-05,0.0022738727275282145,0.00014241825556382537,15.966160507486123,-0.023452838882803917,0.0007348401704803109,0.09865260869264603,0.010294632986187935,9.582916537676077,-0.033541463369191324,0.5634777281082981,0.30610361644646783,0,0.0,0.5711566741127155,0.11816696135798539,0.5931234523051917,0.7522269110463521,0.24589479377380374,521,-3.23432993888855,,-3.23432993888855
Reid CV1,1,18,2,30,80,1200,-0.0006516508874483407,3.085005801040097e-06,0.0019160570809617639,0.00012513692490756512,15.311684240100176,-0.028762120753526688,-0.0018574820132926106,0.0825175940990448,0.013641849160194397,6.04885694967389,-0.0473741087700227,0.6377146094499196,0.3438293454088585,0,0.0,0.6482321290596571,0.15641407409594402,0.6673576338014201,0.8135177624576232,0.3520006689442588,372,-3.4054298400878906,,-3.4054298400878906
Reid CV1,1,19,2,30,80,1200,-0.0005986328469589353,0.00014169886708259583,0.001846524653956294,0.00047099561197683215,3.9204710341274325,-0.024039655923843384,0.006202807184308767,0.07420611381530762,0.01972625032067299,3.761795202281301,0.2511593493496609,0.5080059484217336,0.15797782141134606,0,0.0,0.51211495861145,0.05610931693068906,0.4324902425209681,0.6625284654172984,0.40495188835293355,366,-3.040930986404419,,-3.040930986404419
Reid CV1,1,20,2,30,80,1200,-0.0006095824064686894,-0.00010608560842229053,0.0019279827829450369,0.00020984822185710073,9.187510696459109,-0.024840250611305237,-0.0042487867176532745,0.09765298664569855,0.024097120389342308,4.052475360868786,-0.21987798577425652,0.6573991180035704,0.3853776853753157,0,0.0,0.6650346808347681,0.16264682947426445,0.7034360065818943,0.8220114277738496,0.3594896160363106,369,-3.3800876140594482,,-3.3800876140594482
Reid CV1,1,21,2,30,80,1200,-0.0006715976051054895,-2.8156387998024002e-05,0.0017251361859962344,0.00017740025941748172,9.724541506652569,-0.026761889457702637,-0.004078039899468422,0.07339326292276382,0.015642093494534492,4.69203581658735,-0.18996567826885782,0.6232783614517228,0.39310878855225095,0,0.0,0.6292229286567486,0.14888936986072546,0.6632268612983269,0.8312330647638321,0.28126862666267255,313,-3.2783901691436768,,-3.2783901691436768
Reid CV1,1,22,2,30,80,1200,-0.000507313699927181,-7.186178845586255e-05,0.0018307233694940805,0.0002803198294714093,6.5308379109184695,-0.017423050478100777,-0.005274671595543623,0.07696963101625443,0.024777602404356003,3.1064196511088924,-0.32518965600620253,0.5922993121595305,0.4084282278906608,0,0.0,0.5996975500373568,0.1360582984443934,0.6132950294921802,0.7744765894214337,0.2983679773242329,345,-3.309399366378784,,-3.309399366378784
Reid CV1,1,23,2,30,80,1200,-0.0006607903051190078,-5.750755008193664e-05,0.0018494367832317948,0.00019164061814080924,9.650546951757944,-0.03067089430987835,-0.007807580288499594,0.07524790614843369,0.025770118460059166,2.9199674136174276,-0.24482213582355292,0.6308025446000829,0.3914694865764969,0,0.0,0.6365020617074125,0.15791006283667453,0.6931317818621423,0.80372268681248,0.32032808087341097,400,-3.345102310180664,,-3.345102310180664
