dataset,latent_dim,target,predictors,r2,intercept_or_coef_0,intercept_or_coef_1,intercept_or_coef_2,intercept_or_coef_3,intercept_or_coef_4
dePablo CV1,1,dz0,z0,0.49985918086250947,0.019461878652230504,0.0055427765070361,,,
dePablo CV2,2,dz0,z0 + z1,0.8804019757784256,0.008572044748657838,0.002626727357262714,-0.0013144549902998467,,
dePablo CV2,2,dz1,z0 + z1,0.374374490639681,0.022803950319882416,0.0017673035596470585,0.0005353651907067322,,
dePablo CV3,3,dz0,z0 + z1 + z2,0.7722399329099878,0.009116604187803749,-0.14085925264754298,-0.023602464273986278,0.13269798784203665,
dePablo CV3,3,dz1,z0 + z1 + z2,0.47726290458286535,-0.02292754841689915,0.15091999543466644,0.026114254810775787,-0.14239726422500892,
dePablo CV3,3,dz2,z0 + z1 + z2,0.8334821511096824,0.005548225485985257,-0.12560233274948515,-0.020886287438848412,0.11828604439202668,
dePablo CV4,4,dz0,z0 + z1 + z2 + z3,0.6707011162164539,-0.019771588986291565,0.09579299339726842,-0.062141421216431465,0.024514503740366605,0.09266931529387473
dePablo CV4,4,dz1,z0 + z1 + z2 + z3,0.9104616569536268,0.0033320193789012457,0.017075967578467154,0.021657967232933343,-0.008040707539598506,-0.00458070226572146
dePablo CV4,4,dz2,z0 + z1 + z2 + z3,0.6565905669017998,-0.04898777237255517,0.2979008024626194,-0.13456018280428658,0.05421123007944541,0.25057699099997816
dePablo CV4,4,dz3,z0 + z1 + z2 + z3,0.6924760849232195,0.03454353278504796,-0.15731393083350237,0.10980912270272021,-0.043257809356121994,-0.15718387465346578
