dataset,latent_dim,sim_idx,step,frame,kind,final_p_ratio,frame_p_ratio,z0,z1
Reid CV1,1,0,0,0,pred_rollout,0.13163828852070553,,-0.8592299222946167,
Reid CV1,1,0,0,0,true_encoded,0.13163828852070553,,-0.8592299222946167,
Reid CV1,1,0,1,15,pred_rollout,0.13163828852070553,0.1480532422236458,-1.4466986656188965,
Reid CV1,1,0,1,15,true_encoded,0.13163828852070553,0.1480532422236458,-1.3353420495986938,
Reid CV1,1,0,2,30,pred_rollout,0.13163828852070553,0.14207844953507429,-2.030449628829956,
Reid CV1,1,0,2,30,true_encoded,0.13163828852070553,0.14207844953507429,-1.807386040687561,
Reid CV1,1,0,3,45,pred_rollout,0.13163828852070553,0.13945420631809055,-2.6126444339752197,
Reid CV1,1,0,3,45,true_encoded,0.13163828852070553,0.13945420631809055,-2.2821245193481445,
Reid CV1,1,0,4,60,pred_rollout,0.13163828852070553,0.13782162687272176,-3.195482015609741,
Reid CV1,1,0,4,60,true_encoded,0.13163828852070553,0.13782162687272176,-2.7589244842529297,
Reid CV1,1,0,5,75,pred_rollout,0.13163828852070553,0.13654710119090066,-3.780597686767578,
Reid CV1,1,0,5,75,true_encoded,0.13163828852070553,0.13654710119090066,-3.2386744022369385,
Reid CV1,1,0,6,90,pred_rollout,0.13163828852070553,0.13551596263104096,-4.368865966796875,
Reid CV1,1,0,6,90,true_encoded,0.13163828852070553,0.13551596263104096,-3.7208237648010254,
Reid CV1,1,0,7,105,pred_rollout,0.13163828852070553,0.13470169593413928,-4.960569381713867,
Reid CV1,1,0,7,105,true_encoded,0.13163828852070553,0.13470169593413928,-4.2052321434021,
Reid CV1,1,0,8,120,pred_rollout,0.13163828852070553,0.13391077964167422,-5.555764198303223,
Reid CV1,1,0,8,120,true_encoded,0.13163828852070553,0.13391077964167422,-4.692564487457275,
Reid CV1,1,0,9,135,pred_rollout,0.13163828852070553,0.1331579030800691,-6.154500484466553,
Reid CV1,1,0,9,135,true_encoded,0.13163828852070553,0.1331579030800691,-5.182145595550537,
Reid CV1,1,0,10,150,pred_rollout,0.13163828852070553,0.13246325221057437,-6.756838321685791,
Reid CV1,1,0,10,150,true_encoded,0.13163828852070553,0.13246325221057437,-5.6745076179504395,
Reid CV1,1,0,11,165,pred_rollout,0.13163828852070553,0.13178845099927686,-7.362821102142334,
Reid CV1,1,0,11,165,true_encoded,0.13163828852070553,0.13178845099927686,-6.169204235076904,
Reid CV1,1,1,0,0,pred_rollout,0.03700541385993479,,-0.9104417562484741,
Reid CV1,1,1,0,0,true_encoded,0.03700541385993479,,-0.9104417562484741,
Reid CV1,1,1,1,15,pred_rollout,0.03700541385993479,0.06357326846021752,-1.4975178241729736,
Reid CV1,1,1,1,15,true_encoded,0.03700541385993479,0.06357326846021752,-1.4556305408477783,
Reid CV1,1,1,2,30,pred_rollout,0.03700541385993479,0.051660912652272684,-2.0810418128967285,
Reid CV1,1,1,2,30,true_encoded,0.03700541385993479,0.051660912652272684,-1.994200348854065,
Reid CV1,1,1,3,45,pred_rollout,0.03700541385993479,0.04710231337944193,-2.663210391998291,
Reid CV1,1,1,3,45,true_encoded,0.03700541385993479,0.04710231337944193,-2.5340983867645264,
Reid CV1,1,1,4,60,pred_rollout,0.03700541385993479,0.04441383751296819,-3.2461917400360107,
Reid CV1,1,1,4,60,true_encoded,0.03700541385993479,0.04441383751296819,-3.076647996902466,
Reid CV1,1,1,5,75,pred_rollout,0.03700541385993479,0.04257495868418982,-3.831557035446167,
Reid CV1,1,1,5,75,true_encoded,0.03700541385993479,0.04257495868418982,-3.621094226837158,
Reid CV1,1,1,6,90,pred_rollout,0.03700541385993479,0.04099201144628592,-4.4201178550720215,
Reid CV1,1,1,6,90,true_encoded,0.03700541385993479,0.04099201144628592,-4.168336391448975,
Reid CV1,1,1,7,105,pred_rollout,0.03700541385993479,0.0397034251230193,-5.012123107910156,
Reid CV1,1,1,7,105,true_encoded,0.03700541385993479,0.0397034251230193,-4.717540740966797,
Reid CV1,1,1,8,120,pred_rollout,0.03700541385993479,0.03849919746766398,-5.607623100280762,
Reid CV1,1,1,8,120,true_encoded,0.03700541385993479,0.03849919746766398,-5.268764495849609,
Reid CV1,1,1,9,135,pred_rollout,0.03700541385993479,0.0374507723427,-6.206669807434082,
Reid CV1,1,1,9,135,true_encoded,0.03700541385993479,0.0374507723427,-5.822098255157471,
Reid CV1,1,2,0,0,pred_rollout,-0.1806314739996638,,-0.8502657413482666,
Reid CV1,1,2,0,0,true_encoded,-0.1806314739996638,,-0.850265622138977,
Reid CV1,1,2,1,15,pred_rollout,-0.1806314739996638,-0.10774481125504945,-1.4378042221069336,
Reid CV1,1,2,1,15,true_encoded,-0.1806314739996638,-0.10774481125504945,-1.202731728553772,
Reid CV1,1,2,2,30,pred_rollout,-0.1806314739996638,-0.1390703034959662,-2.021596670150757,
