dataset,signal,target,pearson_r
Reid CV1,z0,x_compression,-0.8253805751379862
Reid CV1,z0,y_compression,-0.49999846279992155
Reid CV1,z0,frame_p_ratio,0.4790488572306374
Reid CV1,pc1,x_compression,-0.8253805751379862
Reid CV1,pc1,y_compression,-0.4999984627999216
Reid CV1,pc1,frame_p_ratio,0.4790488572306374
Reid CV1,z1,x_compression,
Reid CV1,z1,y_compression,
Reid CV1,z1,frame_p_ratio,
Reid CV1,pc2,x_compression,
Reid CV1,pc2,y_compression,
Reid CV1,pc2,frame_p_ratio,
Reid CV2,z0,x_compression,0.8556632120179801
Reid CV2,z0,y_compression,0.44501928828234827
Reid CV2,z0,frame_p_ratio,-0.4040527098057537
Reid CV2,pc1,x_compression,0.8557331640725668
Reid CV2,pc1,y_compression,0.4453130112845477
Reid CV2,pc1,frame_p_ratio,-0.4045252319361813
Reid CV2,z1,x_compression,0.8558452431392708
Reid CV2,z1,y_compression,0.44579297570341825
Reid CV2,z1,frame_p_ratio,-0.40529828935263656
Reid CV2,pc2,x_compression,0.05916381856580609
Reid CV2,pc2,y_compression,0.2502693468295721
Reid CV2,pc2,frame_p_ratio,-0.3985793517596195
