dataset,latent_dim,split,sim_idx,frame,trajectory_progress,p_ratio,final_p_ratio,horizontal_strain,vertical_strain,mean_abs_x_disp,mean_abs_y_disp,rms_disp
Reid CV1,1,test,0,0,0.0,,0.2238599590476573,0.0,0.0,0.0,0.0,0.0
Reid CV1,1,test,0,15,0.01000667111407605,0.22795908426692646,0.2238599590476573,-0.00029195234964184667,6.795445643036649e-05,0.0008089705370366573,0.00018577223818283528,0.0009559306199662387
Reid CV1,1,test,0,30,0.0200133422281521,0.22712959224868792,0.2238599590476573,-0.0005865979866420129,0.00013890172570870247,0.0016382692847400904,0.0003720543463714421,0.0019262123387306929
Reid CV1,1,test,0,45,0.030020013342228154,0.22674762237386492,0.2238599590476573,-0.0008819618336043978,0.00020720827776824185,0.0024722102098166943,0.0005568242049776018,0.0029003871604800224
Reid CV1,1,test,0,60,0.0400266844563042,0.22676220764059418,0.2238599590476573,-0.0011762483656234547,0.0002741944712183829,0.0033084622118622065,0.0007415188592858613,0.0038772309198975563
Reid CV1,1,test,0,75,0.05003335557038025,0.2266276188330705,0.2238599590476573,-0.0014705348976425117,0.00034012437778100534,0.00414684833958745,0.0009262907551601529,0.004855337552726269
Reid CV1,1,test,0,90,0.06004002668445631,0.2266209225656008,0.2238599590476573,-0.0017643725484351822,0.0004066704516946803,0.004986835643649101,0.001111858175136149,0.005835463292896748
Reid CV1,1,test,0,105,0.07004669779853236,0.22664431379753813,0.2238599590476573,-0.002058389751718407,0.0004719841909062501,0.00582667114213109,0.0012980102328583598,0.006814833730459213
Reid CV1,1,test,0,120,0.0800533689126084,0.2266481860913583,0.2238599590476573,-0.002351239863813027,0.0005380021213761657,0.006667311768978834,0.001482888008467853,0.007794641423970461
Reid CV1,1,test,0,135,0.09006004002668445,0.22657407572701144,0.2238599590476573,-0.0026456161720773614,0.0006036679562169085,0.007508188486099243,0.0016677897656336427,0.008774539455771446
Reid CV1,1,test,0,150,0.1000667111407605,0.2264738955823293,0.2238599590476573,-0.0029377480742097625,0.0006689816954284784,0.008348319679498672,0.0018528088694438338,0.00975368544459343
Reid CV1,1,test,0,165,0.11007338225483655,0.22647295028108344,0.2238599590476573,-0.003231316396266601,0.0007344714824546347,0.009189064614474773,0.0020376997999846935,0.010733417235314846
