dataset,split,sim_idx,target_index,rollout_steps,filtered_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
Reid CV1,val,0,150,10,10,0.13274227501113997,-0.16917028595715292,2.1339847080525942e-05,7.71398117649369e-05,5.880884418729693e-05,0.762366965147663
Reid CV1,val,1,150,10,10,0.13335588874247659,-0.20181870577311006,1.9049241018365137e-05,5.2755061915377155e-05,5.1558399718487635e-05,0.9773166374288584
Reid CV1,val,2,150,10,10,0.1312313003452244,-0.06934421912035818,1.6626245269435458e-05,8.532038191333413e-05,5.968460027361289e-05,0.6995350810107567
Reid CV1,val,3,150,10,10,0.13571007163927518,0.12352549593928905,6.818983365519671e-06,6.923934415681288e-05,5.054458597442135e-05,0.729998046485655
Reid CV1,val,4,150,10,10,0.138691845603272,0.15030634515764285,7.885738341428805e-06,7.344999175984412e-05,5.4710533731849864e-05,0.7448677994510093
Reid CV1,val,5,150,10,10,0.1342690634490684,-0.1092942079573599,1.7293014025199227e-05,6.733094778610393e-05,5.4250176617642865e-05,0.8057242382802052
Reid CV1,val,6,150,10,10,0.12837537948053332,0.13172383377672817,7.053096851450391e-06,6.182843935675919e-05,4.860820627072826e-05,0.786178767836137
Reid CV1,val,7,150,10,10,0.12775054423579896,-0.19195788166048006,1.8618662579683587e-05,6.0947037127334625e-05,5.958884867141023e-05,0.9777152668949801
Reid CV1,val,8,150,10,10,0.13653027871435092,-0.08716563603193783,1.6137610145960934e-05,8.32326986710541e-05,6.48641143925488e-05,0.7793104804747446
Reid CV1,val,9,150,10,10,0.1221227621483376,-0.04500748656821585,1.6298426999128424e-05,6.326447328319773e-05,5.572861118707806e-05,0.8808831923347238
Reid CV1,val,10,150,10,10,0.12791240640850174,-0.08454586414354244,1.3651177141582593e-05,7.783456385368481e-05,5.887863153475337e-05,0.7564586813312754
Reid CV1,val,11,150,10,10,0.13055568218079044,-0.11833687359384623,1.7641988961258903e-05,7.737167470622808e-05,6.588242104044184e-05,0.8515056871987107
Reid CV1,val,12,150,10,10,0.12644915832166828,-0.11619279352348338,1.4442792235058732e-05,6.31349757895805e-05,4.1531740862410516e-05,0.6578246105744879
Reid CV1,val,13,150,10,10,0.1385577630610743,0.08835292838241159,8.641274689580314e-06,8.275475556729361e-05,6.323584966594353e-05,0.7641355379815253
Reid CV1,val,14,150,10,10,0.1391261854774488,0.025900711389887556,7.6261444519332144e-06,4.82020404888317e-05,4.1764222260098904e-05,0.8664409605185818
Reid CV1,val,15,150,10,10,0.12261794190180315,-0.15006045949214025,1.8059727153740823e-05,8.214872650569305e-05,5.2776376833207905e-05,0.6424491173280746
Reid CV1,val,16,150,10,10,0.11588269696716517,-0.07583589890456074,1.3833060620527249e-05,5.851128662470728e-05,4.815756983589381e-05,0.8230475283303468
Reid CV1,val,17,150,10,10,0.1252494187855822,-0.17997271073377805,2.163378849218134e-05,6.406889588106424e-05,4.10226421081461e-05,0.640289512469505
Reid CV1,val,18,150,10,10,0.1338040726079669,-0.033890539088668396,1.1636060662567616e-05,4.997134965378791e-05,4.634271317627281e-05,0.9273856619311853
Reid CV1,val,19,150,10,10,0.12914854750319274,-0.13541986459629338,1.5872108633629978e-05,5.3946721891406924e-05,5.3310999646782875e-05,0.9882157391156456
Reid CV1,val,20,150,10,10,0.11814195224947215,-0.3373461702094134,2.683683305804152e-05,6.6178290580865e-05,5.261087426333688e-05,0.7949869028280546
Reid CV1,val,21,150,10,10,0.12499102720551289,-0.07281897944698651,1.1526071830303408e-05,4.561722744256258e-05,4.0657472709426656e-05,0.8912745247531575
Reid CV1,val,22,150,10,10,0.13007377226286385,0.18534703118533485,9.028765816765372e-06,9.027597116073593e-05,5.849977969774045e-05,0.6480105275586775
Reid CV1,val,23,150,10,10,0.12602726711320128,-0.2556613633724306,2.079617843264714e-05,6.464683247031644e-05,5.758973566116765e-05,0.8908361548512194
Reid CV1,val,24,150,10,10,0.13376439355689831,0.017300269362139346,8.919148058339488e-06,6.324233982013538e-05,5.4274882131721824e-05,0.858204840081542
Reid CV1,test,0,150,10,10,0.13788533681291795,0.2264738955823293,6.2434924075205345e-06,4.756718408316374e-05,3.179690247634426e-05,0.6684629979515369
Reid CV1,test,1,150,10,10,0.11645928836498581,-0.18582821066622363,1.9007313312613405e-05,6.513622065540403e-05,5.430912642623298e-05,0.8337776720812434
Reid CV1,test,2,150,10,10,0.1320365364004287,0.1539490275495778,8.301441084768157e-06,7.557748176623136e-05,5.2686162234749645e-05,0.6971145505709382
Reid CV1,test,3,150,10,10,0.13813220113759744,0.2692697568489093,9.322308869741391e-06,7.537540659541264e-05,5.365383185562678e-05,0.7118214584714712
Reid CV1,test,4,150,10,10,0.13425873799681523,-0.2640172029308697,2.4948005375335924e-05,7.845875370549038e-05,5.705770308850333e-05,0.7272318306594584
Reid CV1,test,5,150,10,10,0.1382219338092148,0.1686086134499967,1.2413027434377e-05,9.817190584726632e-05,6.655939796473831e-05,0.6779882430752638
Reid CV1,test,6,150,10,10,0.1305691862122781,-0.1925494730406815,1.8625320080900565e-05,7.401432958431542e-05,6.205427052918822e-05,0.8384088713321036
Reid CV1,test,7,150,10,10,0.13425869432580842,0.22750113700651145,1.2836356290790718e-05,0.00010190616740146652,6.018030398990959e-05,0.5905462399819733
Reid CV1,test,8,150,10,10,0.12556408953707301,-0.032708520062871026,1.4115593330643605e-05,7.475387974409387e-05,6.422861770261079e-05,0.8592011267172437
Reid CV1,test,9,150,10,10,0.1453000822143053,0.1834227750721221,6.7387900344328955e-06,5.142156078363769e-05,4.675708987633698e-05,0.90928958910977
Reid CV1,test,10,150,10,10,0.14728162234672137,0.34926295010984115,7.820599421393126e-06,5.241179678705521e-05,3.472861499176361e-05,0.6626106548657947
Reid CV1,test,11,150,10,10,0.1258177440560105,-0.02390996800958438,1.1659695701382589e-05,7.313473906833678e-05,5.552511720452458e-05,0.7592167267137188
Reid CV1,test,12,150,10,10,0.13547515075899355,-0.1220837173206577,1.963472277566325e-05,9.138533641817048e-05,6.959657912375405e-05,0.7615727189019343
Reid CV1,test,13,150,10,10,0.1366597672288012,-0.0900105745505816,1.5900095604592934e-05,7.453317812178284e-05,5.505797525984235e-05,0.7387042475215648
Reid CV1,test,14,150,10,10,0.13415796017892034,0.24244428116580946,1.0799646588566247e-05,8.473900379613042e-05,5.110719575895928e-05,0.6031130113579772
