dataset,split,rollout_steps,used,p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
Reid CV1,val,10,25,-2.331852926497934,0.5054591634795701,0.05504481536430629,1.4690639436594211e-05,6.729655360686593e-05,5.3395313298096884e-05,0.8057984984878689
Reid CV1,test,10,67,-0.47472807614698476,0.5819186281904176,0.05338918557458185,1.46597192982501e-05,7.229548407225077e-05,5.3634701897007924e-05,0.7508760652601054
Reid CV1,val,20,25,-2.0730705444984814,0.5114664754495252,0.06192652203406012,0.00010889895929722115,0.000279324758448638,6.788623839383945e-05,0.24781563518345762
Reid CV1,test,20,67,-0.45352883896573526,0.570743804612189,0.05742764174411518,0.00011707024945036522,0.00029977836273436837,6.787771563898813e-05,0.2300207937145607
Reid CV1,val,30,25,-1.8887675315042198,0.5068640341366426,0.06478575972273784,0.0003255797876045108,0.0006412575335707515,8.668020251207054e-05,0.13827894258820955
Reid CV1,test,30,67,-0.4233746389130202,0.5597590354505021,0.058485959786953645,0.0003509298638082735,0.0006876285704818846,8.626045952829074e-05,0.12784629481813828
Reid CV1,val,40,25,-1.7498985515469925,0.49496928496107356,0.06645518787741503,0.000663158493116498,0.0011558900587260723,0.00011062296893214807,0.09817318812659132
Reid CV1,test,40,67,-0.3953251494018726,0.542116915273098,0.05899244303706935,0.0007142887173616675,0.0012385746509309358,0.00010966370892172346,0.09050598848415599
Reid CV1,val,50,25,-1.640591148515465,0.4797198790648343,0.06766238661977032,0.0011199458059854806,0.0018254281952977181,0.00014062025205930696,0.0792122972264401
Reid CV1,test,50,67,-0.37068054135722783,0.5201932121353161,0.05940998879750335,0.0012049527791912543,0.0019546737268900695,0.00013897531911723817,0.07288752210013415
Reid CV1,val,60,25,-1.5513944341555117,0.4612709426712626,0.06870281461466221,0.0016942812595516442,0.002651865356601775,0.00017776116379536689,0.0690753412641552
Reid CV1,test,60,67,-0.3493922652675072,0.4973576495819819,0.05985042344195302,0.0018206085443302098,0.002837614333535086,0.0001752485034408729,0.06348748599970006
Reid CV1,val,70,25,-1.476515421253564,0.439282142548824,0.06970250857289066,0.0023845872143283485,0.0036371816881000997,0.00022332565218675883,0.06339345812415181
Reid CV1,test,70,67,-0.330836289779906,0.4745165211793815,0.060356359094901675,0.002558894179163695,0.003888913610977913,0.00021972335656104025,0.05823334832562959
Reid CV1,val,80,25,-1.4126833461924013,0.41532237585376747,0.0707425921206937,0.003189515434205532,0.004783573942258954,0.000278794298064895,0.06027807299074876
Reid CV1,test,80,67,-0.31473316088430403,0.45378333862127124,0.06092801346800305,0.0034174753836036394,0.005110134467927378,0.00027383627598486675,0.055367448415238864
Reid CV2,val,10,25,-8.006237248073957,0.6249997911445193,0.14879008089004744,1.5060983150760876e-05,6.729655360686593e-05,4.692813381552696e-05,0.7048228591630974
Reid CV2,test,10,67,-2.5156809028243057,0.6588331666007415,0.12727725414457527,1.4079950645608013e-05,7.229548407225077e-05,5.0105252631144156e-05,0.7064200947179302
Reid CV2,val,20,25,-7.004923030903013,0.664732468795445,0.1613100107127774,0.00010932572389720008,0.000279324758448638,6.833719540736637e-05,0.2488773946065258
Reid CV2,test,20,67,-2.413219740866886,0.6757700324715907,0.13485329992621212,0.0001116855823762416,0.00029977836273436837,7.232147504170704e-05,0.24802509257901958
Reid CV2,val,30,25,-6.471910413788289,0.6740456697269175,0.16757090608999167,0.00031501468387432394,0.0006412575335707515,9.652367443777621e-05,0.15382855699628917
Reid CV2,test,30,67,-2.353831445861849,0.680418988624375,0.1378077462618632,0.0003276012706267995,0.0006876285704818846,0.00010139640599207731,0.15252940558468253
Reid CV2,val,40,25,-6.10717184641764,0.6682868812609901,0.17175485985294092,0.0006305917294230312,0.0011558900587260723,0.00013341731682885437,0.11838911617302822
Reid CV2,test,40,67,-2.3027911514035986,0.6778679687196226,0.13963750237429212,0.0006600976621891969,0.0012385746509309358,0.00013909587999736306,0.11670699895101223
Reid CV2,val,50,25,-5.82364584220468,0.6572555792189295,0.17484878845830054,0.0010555762331932784,0.0018254281952977181,0.00017992382403463124,0.10139574201527188
Reid CV2,test,50,67,-2.2534846080797637,0.6714911169833265,0.1410171650408606,0.0011085035981360212,0.0019546737268900695,0.00018623745183585517,0.09937385278481582
Reid CV2,val,60,25,-5.584865502374162,0.6457247066056897,0.17731432969196564,0.0015899929450824857,0.002651865356601775,0.0002369835355784744,0.0921534777775951
Reid CV2,test,60,67,-2.205098102983832,0.6641844345216843,0.1421576835543477,0.00167241888885289,0.002837614333535086,0.00024374444997667878,0.08985313738882796
Reid CV2,val,70,25,-5.373359046272368,0.6366659718286998,0.1793807176601568,0.002233429029583931,0.0036371816881000997,0.00030596494325436653,0.08692071262522306
Reid CV2,test,70,67,-2.156778471804096,0.6582673499722135,0.14316686168722761,0.0023507651587976004,0.003888913610977913,0.00031300009151837276,0.08439752959377561
Reid CV2,val,80,25,-5.182426767439909,0.6300922594315664,0.18127571353915362,0.0029850010806694626,0.004783573942258954,0.00038869654992595314,0.08410322412006503
Reid CV2,test,80,67,-2.109685457129038,0.6545674296372933,0.1441105792796568,0.0031416727257753485,0.005110134467927378,0.0003958620059776551,0.08140231269434803
