dataset,latent_dim,case,sim_idx,final_p_ratio,signal,corr_frame_p_ratio,corr_frame_frac
dePablo CV1,1,most auxetic,31,-0.5734598575106268,z0,-0.7685850386330357,0.9995958294491479
dePablo CV1,1,most auxetic,31,-0.5734598575106268,pc1,-0.7685850386330357,0.9995958294491479
dePablo CV1,1,middle,57,-0.06735705102337672,z0,-0.7132768559280811,0.9999655656177302
dePablo CV1,1,middle,57,-0.06735705102337672,pc1,-0.7132768559280813,0.99996556561773
dePablo CV1,1,least auxetic,26,0.40844515428566636,z0,0.5908670570209386,0.999994717982001
dePablo CV1,1,least auxetic,26,0.40844515428566636,pc1,0.5908670570209386,0.999994717982001
dePablo CV2,2,most auxetic,31,-0.5734598575106268,z0,0.7616844498534093,-0.9998837428344725
dePablo CV2,2,most auxetic,31,-0.5734598575106268,z1,-0.7575929209527873,0.9999582770535571
dePablo CV2,2,most auxetic,31,-0.5734598575106268,pc1,-0.7573904103308141,0.9999599721488186
dePablo CV2,2,middle,57,-0.06735705102337672,z0,0.7087942376498415,-0.9999979303460312
dePablo CV2,2,middle,57,-0.06735705102337672,z1,-0.7082717623787715,0.9999961216310559
dePablo CV2,2,middle,57,-0.06735705102337672,pc1,-0.7082436854212338,0.9999959958561285
dePablo CV2,2,least auxetic,26,0.40844515428566636,z0,-0.5859613902411395,-0.9999761293470881
dePablo CV2,2,least auxetic,26,0.40844515428566636,z1,0.5851205537769845,0.9999627417682051
dePablo CV2,2,least auxetic,26,0.40844515428566636,pc1,0.585074877899555,0.9999619302488401
