dataset,split,sim_idx,frame,frame_frac,p_ratio,final_p_ratio,z0,pc1,case,latent_dim,pc1_formula,z1
dePablo CV1,test,26,0,0.0,,0.40844515428566636,-5.222385406494141,-4.267325466982357,least auxetic,1,1.000*z0,
dePablo CV1,test,26,1,0.007751937984496124,0.37318255250403876,0.40844515428566636,-5.161314487457275,-4.206254547945492,least auxetic,1,1.000*z0,
dePablo CV1,test,26,2,0.015503875968992248,0.3817204301075269,0.40844515428566636,-5.102056980133057,-4.146997040621273,least auxetic,1,1.000*z0,
dePablo CV1,test,26,3,0.023255813953488372,0.387941862551588,0.40844515428566636,-5.043351173400879,-4.0882912338890955,least auxetic,1,1.000*z0,
dePablo CV1,test,26,4,0.031007751937984496,0.3925636535093628,0.40844515428566636,-4.985293865203857,-4.030233925692074,least auxetic,1,1.000*z0,
dePablo CV1,test,26,5,0.03875968992248062,0.3940504419055831,0.40844515428566636,-4.926879405975342,-3.9718194664635584,least auxetic,1,1.000*z0,
dePablo CV1,test,26,6,0.046511627906976744,0.39735872787709997,0.40844515428566636,-4.8688273429870605,-3.913767403475277,least auxetic,1,1.000*z0,
dePablo CV1,test,26,7,0.05426356589147287,0.3977981368850566,0.40844515428566636,-4.81050443649292,-3.8554444969811366,least auxetic,1,1.000*z0,
dePablo CV1,test,26,8,0.06201550387596899,0.3998651836872262,0.40844515428566636,-4.752711772918701,-3.797651833406918,least auxetic,1,1.000*z0,
dePablo CV1,test,26,9,0.06976744186046512,0.399748322147651,0.40844515428566636,-4.693995952606201,-3.738936013094418,least auxetic,1,1.000*z0,
dePablo CV1,test,26,10,0.07751937984496124,0.40160707544626006,0.40844515428566636,-4.6365437507629395,-3.681483811251156,least auxetic,1,1.000*z0,
dePablo CV1,test,26,11,0.08527131782945736,0.40169641106099235,0.40844515428566636,-4.578159332275391,-3.6230993927636073,least auxetic,1,1.000*z0,
dePablo CV1,test,26,12,0.09302325581395349,0.4027690371302706,0.40844515428566636,-4.520489692687988,-3.565429753176205,least auxetic,1,1.000*z0,
dePablo CV1,test,26,13,0.10077519379844961,0.40265560165975106,0.40844515428566636,-4.461970806121826,-3.506910866610043,least auxetic,1,1.000*z0,
dePablo CV1,test,26,14,0.10852713178294573,0.403654164899973,0.40844515428566636,-4.404483795166016,-3.4494238556542323,least auxetic,1,1.000*z0,
dePablo CV1,test,26,15,0.11627906976744186,0.40327338129496404,0.40844515428566636,-4.34619140625,-3.3911314667382166,least auxetic,1,1.000*z0,
dePablo CV1,test,26,16,0.12403100775193798,0.40417566109012415,0.40844515428566636,-4.288712501525879,-3.3336525620140955,least auxetic,1,1.000*z0,
dePablo CV1,test,26,17,0.13178294573643412,0.4041850569967929,0.40844515428566636,-4.230734825134277,-3.275674885622494,least auxetic,1,1.000*z0,
dePablo CV1,test,26,18,0.13953488372093023,0.40468407952739377,0.40844515428566636,-4.173224449157715,-3.2181645096459315,least auxetic,1,1.000*z0,
dePablo CV1,test,26,19,0.14728682170542637,0.40460900204591954,0.40844515428566636,-4.1146063804626465,-3.159546440950863,least auxetic,1,1.000*z0,
dePablo CV1,test,26,20,0.15503875968992248,0.40517194838848997,0.40844515428566636,-4.0570855140686035,-3.10202557455682,least auxetic,1,1.000*z0,
dePablo CV1,test,26,21,0.16279069767441862,0.40515866892969193,0.40844515428566636,-3.9987831115722656,-3.0437231720604823,least auxetic,1,1.000*z0,
dePablo CV1,test,26,22,0.17054263565891473,0.4055321028863145,0.40844515428566636,-3.9415149688720703,-2.986455029360287,least auxetic,1,1.000*z0,
dePablo CV1,test,26,23,0.17829457364341086,0.40549868519909843,0.40844515428566636,-3.88303542137146,-2.9279754818596766,least auxetic,1,1.000*z0,
dePablo CV1,test,26,24,0.18604651162790697,0.40582318925365074,0.40844515428566636,-3.8257503509521484,-2.870690411440365,least auxetic,1,1.000*z0,
dePablo CV1,test,26,25,0.1937984496124031,0.4057335436064724,0.40844515428566636,-3.767526626586914,-2.8124666870751307,least auxetic,1,1.000*z0,
dePablo CV1,test,26,26,0.20155038759689922,0.4059825508932281,0.40844515428566636,-3.7101385593414307,-2.7550786198296473,least auxetic,1,1.000*z0,
dePablo CV1,test,26,27,0.20930232558139536,0.4059374249819957,0.40844515428566636,-3.6519253253936768,-2.6968653858818934,least auxetic,1,1.000*z0,
