dataset,latent_dim,sim_idx,final_p_ratio,variant,z0,z1
Reid CV1,1,0,0.2238599590476573,normal,-2.9820477962493896,
Reid CV1,1,0,0.2238599590476573,stiffness_global_mean,-2.9319846630096436,
Reid CV1,1,0,0.2238599590476573,stiffness_network_mean,-2.98108172416687,
Reid CV1,1,0,0.2238599590476573,edge_geometry_train_mean,-2.934473991394043,
Reid CV1,1,0,0.2238599590476573,zero_ref_pos,-2.9826302528381348,
Reid CV1,1,1,-0.24075396534886645,normal,-3.324244976043701,
Reid CV1,1,1,-0.24075396534886645,stiffness_global_mean,-2.9459540843963623,
Reid CV1,1,1,-0.24075396534886645,stiffness_network_mean,-3.3113906383514404,
Reid CV1,1,1,-0.24075396534886645,edge_geometry_train_mean,-3.2570552825927734,
Reid CV1,1,1,-0.24075396534886645,zero_ref_pos,-3.317122459411621,
Reid CV1,1,2,0.15031615373850205,normal,-3.0554540157318115,
Reid CV1,1,2,0.15031615373850205,stiffness_global_mean,-2.9898877143859863,
Reid CV1,1,2,0.15031615373850205,stiffness_network_mean,-3.0409257411956787,
Reid CV1,1,2,0.15031615373850205,edge_geometry_train_mean,-2.99316668510437,
Reid CV1,1,2,0.15031615373850205,zero_ref_pos,-3.0451645851135254,
Reid CV1,1,3,0.26937916888526336,normal,-3.0791544914245605,
Reid CV1,1,3,0.26937916888526336,stiffness_global_mean,-2.9858858585357666,
Reid CV1,1,3,0.26937916888526336,stiffness_network_mean,-3.052128314971924,
Reid CV1,1,3,0.26937916888526336,edge_geometry_train_mean,-3.0167388916015625,
Reid CV1,1,3,0.26937916888526336,zero_ref_pos,-3.071401357650757,
Reid CV1,1,4,-0.33039033700227455,normal,-3.300849676132202,
Reid CV1,1,4,-0.33039033700227455,stiffness_global_mean,-2.9721949100494385,
Reid CV1,1,4,-0.33039033700227455,stiffness_network_mean,-3.2770025730133057,
Reid CV1,1,4,-0.33039033700227455,edge_geometry_train_mean,-3.2497193813323975,
Reid CV1,1,4,-0.33039033700227455,zero_ref_pos,-3.291116952896118,
Reid CV1,1,5,0.1606833051492441,normal,-3.151883840560913,
Reid CV1,1,5,0.1606833051492441,stiffness_global_mean,-2.9704322814941406,
Reid CV1,1,5,0.1606833051492441,stiffness_network_mean,-3.1256654262542725,
Reid CV1,1,5,0.1606833051492441,edge_geometry_train_mean,-3.0801312923431396,
Reid CV1,1,5,0.1606833051492441,zero_ref_pos,-3.1171185970306396,
Reid CV1,1,6,-0.1963377719651293,normal,-3.4192020893096924,
Reid CV1,1,6,-0.1963377719651293,stiffness_global_mean,-3.0341713428497314,
Reid CV1,1,6,-0.1963377719651293,stiffness_network_mean,-3.3970911502838135,
Reid CV1,1,6,-0.1963377719651293,edge_geometry_train_mean,-3.334857225418091,
Reid CV1,1,6,-0.1963377719651293,zero_ref_pos,-3.3741743564605713,
Reid CV1,1,7,0.22590702007093752,normal,-2.97613263130188,
Reid CV1,1,7,0.22590702007093752,stiffness_global_mean,-2.975369453430176,
Reid CV1,1,7,0.22590702007093752,stiffness_network_mean,-2.962860584259033,
Reid CV1,1,7,0.22590702007093752,edge_geometry_train_mean,-2.9194109439849854,
Reid CV1,1,7,0.22590702007093752,zero_ref_pos,-2.945671319961548,
Reid CV1,1,8,-0.06480931009694779,normal,-3.227033853530884,
Reid CV1,1,8,-0.06480931009694779,stiffness_global_mean,-2.9809606075286865,
Reid CV1,1,8,-0.06480931009694779,stiffness_network_mean,-3.204630136489868,
Reid CV1,1,8,-0.06480931009694779,edge_geometry_train_mean,-3.1734213829040527,
Reid CV1,1,8,-0.06480931009694779,zero_ref_pos,-3.1996989250183105,
Reid CV1,1,9,0.18341754005038485,normal,-3.277991771697998,
Reid CV1,1,9,0.18341754005038485,stiffness_global_mean,-3.061265230178833,
Reid CV1,1,9,0.18341754005038485,stiffness_network_mean,-3.2356607913970947,
Reid CV1,1,9,0.18341754005038485,edge_geometry_train_mean,-3.1658074855804443,
Reid CV1,1,9,0.18341754005038485,zero_ref_pos,-3.227742910385132,
Reid CV1,1,10,0.3524800528535854,normal,-2.942051410675049,
Reid CV1,1,10,0.3524800528535854,stiffness_global_mean,-3.0214240550994873,
Reid CV1,1,10,0.3524800528535854,stiffness_network_mean,-2.923163414001465,
Reid CV1,1,10,0.3524800528535854,edge_geometry_train_mean,-2.8340208530426025,
Reid CV1,1,10,0.3524800528535854,zero_ref_pos,-2.934358835220337,
Reid CV1,1,11,-0.04889763898242052,normal,-3.228637456893921,
Reid CV1,1,11,-0.04889763898242052,stiffness_global_mean,-2.9731905460357666,
Reid CV1,1,11,-0.04889763898242052,stiffness_network_mean,-3.1847119331359863,
Reid CV1,1,11,-0.04889763898242052,edge_geometry_train_mean,-3.1519105434417725,
Reid CV1,1,11,-0.04889763898242052,zero_ref_pos,-3.2084767818450928,
Reid CV1,1,12,-0.15348441061065293,normal,-3.449768304824829,
Reid CV1,1,12,-0.15348441061065293,stiffness_global_mean,-3.037112236022949,
Reid CV1,1,12,-0.15348441061065293,stiffness_network_mean,-3.4373881816864014,
Reid CV1,1,12,-0.15348441061065293,edge_geometry_train_mean,-3.3603968620300293,
Reid CV1,1,12,-0.15348441061065293,zero_ref_pos,-3.4128897190093994,
Reid CV1,1,13,-0.17377978528774052,normal,-3.3587870597839355,
Reid CV1,1,13,-0.17377978528774052,stiffness_global_mean,-2.9816436767578125,
Reid CV1,1,13,-0.17377978528774052,stiffness_network_mean,-3.323457956314087,
Reid CV1,1,13,-0.17377978528774052,edge_geometry_train_mean,-3.287248373031616,
Reid CV1,1,13,-0.17377978528774052,zero_ref_pos,-3.353877544403076,
Reid CV1,1,14,0.24101002113566364,normal,-3.029193639755249,
Reid CV1,1,14,0.24101002113566364,stiffness_global_mean,-3.0032827854156494,
Reid CV1,1,14,0.24101002113566364,stiffness_network_mean,-3.027315378189087,
Reid CV1,1,14,0.24101002113566364,edge_geometry_train_mean,-2.973827838897705,
Reid CV1,1,14,0.24101002113566364,zero_ref_pos,-2.999701499938965,
Reid CV1,1,15,-0.08436423666781437,normal,-3.171903371810913,
Reid CV1,1,15,-0.08436423666781437,stiffness_global_mean,-2.9376657009124756,
Reid CV1,1,15,-0.08436423666781437,stiffness_network_mean,-3.133472442626953,
Reid CV1,1,15,-0.08436423666781437,edge_geometry_train_mean,-3.122184991836548,
Reid CV1,1,15,-0.08436423666781437,zero_ref_pos,-3.1601243019104004,
Reid CV1,1,16,0.30795067109622015,normal,-3.0102179050445557,
Reid CV1,1,16,0.30795067109622015,stiffness_global_mean,-3.0066466331481934,
Reid CV1,1,16,0.30795067109622015,stiffness_network_mean,-2.9881088733673096,
Reid CV1,1,16,0.30795067109622015,edge_geometry_train_mean,-2.922210931777954,
Reid CV1,1,16,0.30795067109622015,zero_ref_pos,-2.981994867324829,
Reid CV1,1,17,-0.033541463369191324,normal,-3.23432993888855,
Reid CV1,1,17,-0.033541463369191324,stiffness_global_mean,-2.9902141094207764,
Reid CV1,1,17,-0.033541463369191324,stiffness_network_mean,-3.1828134059906006,
Reid CV1,1,17,-0.033541463369191324,edge_geometry_train_mean,-3.16530442237854,
Reid CV1,1,17,-0.033541463369191324,zero_ref_pos,-3.21350359916687,
Reid CV1,1,18,-0.0473741087700227,normal,-3.4054300785064697,
Reid CV1,1,18,-0.0473741087700227,stiffness_global_mean,-2.9915363788604736,
Reid CV1,1,18,-0.0473741087700227,stiffness_network_mean,-3.34604549407959,
Reid CV1,1,18,-0.0473741087700227,edge_geometry_train_mean,-3.312711477279663,
Reid CV1,1,18,-0.0473741087700227,zero_ref_pos,-3.386273145675659,
Reid CV1,1,19,0.2511593493496609,normal,-3.040930986404419,
Reid CV1,1,19,0.2511593493496609,stiffness_global_mean,-2.9524381160736084,
Reid CV1,1,19,0.2511593493496609,stiffness_network_mean,-3.0231897830963135,
Reid CV1,1,19,0.2511593493496609,edge_geometry_train_mean,-2.9844939708709717,
Reid CV1,1,19,0.2511593493496609,zero_ref_pos,-3.059000015258789,
Reid CV1,1,20,-0.21987798577425652,normal,-3.3800876140594482,
Reid CV1,1,20,-0.21987798577425652,stiffness_global_mean,-2.948700189590454,
Reid CV1,1,20,-0.21987798577425652,stiffness_network_mean,-3.343311071395874,
Reid CV1,1,20,-0.21987798577425652,edge_geometry_train_mean,-3.3170745372772217,
Reid CV1,1,20,-0.21987798577425652,zero_ref_pos,-3.3673579692840576,
Reid CV1,1,21,-0.18996567826885782,normal,-3.2783901691436768,
Reid CV1,1,21,-0.18996567826885782,stiffness_global_mean,-2.951667547225952,
Reid CV1,1,21,-0.18996567826885782,stiffness_network_mean,-3.273646593093872,
Reid CV1,1,21,-0.18996567826885782,edge_geometry_train_mean,-3.2142586708068848,
Reid CV1,1,21,-0.18996567826885782,zero_ref_pos,-3.277775526046753,
Reid CV1,1,22,-0.32518965600620253,normal,-3.309398889541626,
Reid CV1,1,22,-0.32518965600620253,stiffness_global_mean,-3.0090911388397217,
Reid CV1,1,22,-0.32518965600620253,stiffness_network_mean,-3.2658607959747314,
Reid CV1,1,22,-0.32518965600620253,edge_geometry_train_mean,-3.2248446941375732,
Reid CV1,1,22,-0.32518965600620253,zero_ref_pos,-3.2916901111602783,
Reid CV1,1,23,-0.24482213582355292,normal,-3.345102310180664,
Reid CV1,1,23,-0.24482213582355292,stiffness_global_mean,-2.994847297668457,
Reid CV1,1,23,-0.24482213582355292,stiffness_network_mean,-3.3369863033294678,
Reid CV1,1,23,-0.24482213582355292,edge_geometry_train_mean,-3.2685041427612305,
Reid CV1,1,23,-0.24482213582355292,zero_ref_pos,-3.3376190662384033,
Reid CV1,1,24,-0.3112050286983445,normal,-3.4133236408233643,
Reid CV1,1,24,-0.3112050286983445,stiffness_global_mean,-2.961658239364624,
Reid CV1,1,24,-0.3112050286983445,stiffness_network_mean,-3.3382341861724854,
Reid CV1,1,24,-0.3112050286983445,edge_geometry_train_mean,-3.355024814605713,
Reid CV1,1,24,-0.3112050286983445,zero_ref_pos,-3.4120330810546875,
Reid CV1,1,25,0.18183670511140954,normal,-2.9577629566192627,
Reid CV1,1,25,0.18183670511140954,stiffness_global_mean,-2.951953887939453,
Reid CV1,1,25,0.18183670511140954,stiffness_network_mean,-2.922109603881836,
Reid CV1,1,25,0.18183670511140954,edge_geometry_train_mean,-2.90193247795105,
Reid CV1,1,25,0.18183670511140954,zero_ref_pos,-2.9594876766204834,
Reid CV1,1,26,-0.03371838000065961,normal,-3.205212354660034,
Reid CV1,1,26,-0.03371838000065961,stiffness_global_mean,-2.9651453495025635,
Reid CV1,1,26,-0.03371838000065961,stiffness_network_mean,-3.1663262844085693,
Reid CV1,1,26,-0.03371838000065961,edge_geometry_train_mean,-3.1305298805236816,
Reid CV1,1,26,-0.03371838000065961,zero_ref_pos,-3.1930992603302,
Reid CV1,1,27,0.02298076051167721,normal,-3.2089478969573975,
Reid CV1,1,27,0.02298076051167721,stiffness_global_mean,-2.9873504638671875,
Reid CV1,1,27,0.02298076051167721,stiffness_network_mean,-3.210707426071167,
Reid CV1,1,27,0.02298076051167721,edge_geometry_train_mean,-3.1341841220855713,
Reid CV1,1,27,0.02298076051167721,zero_ref_pos,-3.201005697250366,
Reid CV1,1,28,-0.22730985066006476,normal,-3.2275984287261963,
Reid CV1,1,28,-0.22730985066006476,stiffness_global_mean,-2.9032294750213623,
Reid CV1,1,28,-0.22730985066006476,stiffness_network_mean,-3.205674409866333,
Reid CV1,1,28,-0.22730985066006476,edge_geometry_train_mean,-3.1840457916259766,
Reid CV1,1,28,-0.22730985066006476,zero_ref_pos,-3.2223317623138428,
Reid CV1,1,29,-0.12771201037928526,normal,-3.3023879528045654,
Reid CV1,1,29,-0.12771201037928526,stiffness_global_mean,-2.955162286758423,
Reid CV1,1,29,-0.12771201037928526,stiffness_network_mean,-3.254514217376709,
Reid CV1,1,29,-0.12771201037928526,edge_geometry_train_mean,-3.242957353591919,
Reid CV1,1,29,-0.12771201037928526,zero_ref_pos,-3.306392192840576,
Reid CV1,1,30,0.0950451355151094,normal,-3.185662031173706,
Reid CV1,1,30,0.0950451355151094,stiffness_global_mean,-2.99288272857666,
Reid CV1,1,30,0.0950451355151094,stiffness_network_mean,-3.1558990478515625,
Reid CV1,1,30,0.0950451355151094,edge_geometry_train_mean,-3.095463514328003,
Reid CV1,1,30,0.0950451355151094,zero_ref_pos,-3.157341957092285,
Reid CV1,1,31,-0.20617802151122547,normal,-3.201103448867798,
Reid CV1,1,31,-0.20617802151122547,stiffness_global_mean,-2.9171836376190186,
Reid CV1,1,31,-0.20617802151122547,stiffness_network_mean,-3.2095749378204346,
Reid CV1,1,31,-0.20617802151122547,edge_geometry_train_mean,-3.131936550140381,
Reid CV1,1,31,-0.20617802151122547,zero_ref_pos,-3.187861442565918,
Reid CV1,1,32,-0.32336614357869486,normal,-3.378800630569458,
Reid CV1,1,32,-0.32336614357869486,stiffness_global_mean,-2.9901235103607178,
Reid CV1,1,32,-0.32336614357869486,stiffness_network_mean,-3.334322690963745,
Reid CV1,1,32,-0.32336614357869486,edge_geometry_train_mean,-3.31028151512146,
Reid CV1,1,32,-0.32336614357869486,zero_ref_pos,-3.3387644290924072,
Reid CV1,1,33,0.27772893013013333,normal,-2.9833686351776123,
Reid CV1,1,33,0.27772893013013333,stiffness_global_mean,-2.9582905769348145,
Reid CV1,1,33,0.27772893013013333,stiffness_network_mean,-2.9634335041046143,
Reid CV1,1,33,0.27772893013013333,edge_geometry_train_mean,-2.9242427349090576,
Reid CV1,1,33,0.27772893013013333,zero_ref_pos,-2.968700647354126,
Reid CV1,1,34,-0.33399938936466717,normal,-3.2814114093780518,
Reid CV1,1,34,-0.33399938936466717,stiffness_global_mean,-2.9403703212738037,
Reid CV1,1,34,-0.33399938936466717,stiffness_network_mean,-3.2740604877471924,
Reid CV1,1,34,-0.33399938936466717,edge_geometry_train_mean,-3.238368272781372,
Reid CV1,1,34,-0.33399938936466717,zero_ref_pos,-3.2943294048309326,
Reid CV1,1,35,0.1677718678598186,normal,-3.1845178604125977,
Reid CV1,1,35,0.1677718678598186,stiffness_global_mean,-2.951538562774658,
Reid CV1,1,35,0.1677718678598186,stiffness_network_mean,-3.1691439151763916,
Reid CV1,1,35,0.1677718678598186,edge_geometry_train_mean,-3.1407406330108643,
Reid CV1,1,35,0.1677718678598186,zero_ref_pos,-3.186729669570923,
Reid CV1,1,36,-0.05914505731234828,normal,-3.3471739292144775,
Reid CV1,1,36,-0.05914505731234828,stiffness_global_mean,-2.9378693103790283,
Reid CV1,1,36,-0.05914505731234828,stiffness_network_mean,-3.3225817680358887,
Reid CV1,1,36,-0.05914505731234828,edge_geometry_train_mean,-3.2836101055145264,
