dataset,variant,latent,pearson_r_to_final_p_ratio,r2_to_final_p_ratio,latent_std,n,normal_r2,r2_drop_vs_normal
Reid CV1,normal,z0,0.8233776720832638,0.6779507908852548,0.16568107234778506,67,0.6779507908852548,0.0
Reid CV1,normal,z1,,,,0,,
Reid CV1,stiffness_global_mean,z0,-0.0764274112200832,0.0058411491858037,0.03648017889321571,67,0.6779507908852548,0.6721096416994511
Reid CV1,stiffness_global_mean,z1,,,,0,,
Reid CV1,stiffness_network_mean,z0,0.8313382127174249,0.6911232239242024,0.1578722311035306,67,0.6779507908852548,-0.013172433038947662
Reid CV1,stiffness_network_mean,z1,,,,0,,
Reid CV1,edge_geometry_train_mean,z0,0.8560540346802066,0.7328285102922604,0.15793847529667956,67,0.6779507908852548,-0.05487771940700559
Reid CV1,edge_geometry_train_mean,z1,,,,0,,
Reid CV1,zero_ref_pos,z0,0.841756395378774,0.7085538291610669,0.16465079379749556,67,0.6779507908852548,-0.030603038275812122
Reid CV1,zero_ref_pos,z1,,,,0,,
Reid CV2,normal,z0,0.8634245677959947,0.7455019842737003,0.2648940855232627,67,0.7455019842737003,0.0
Reid CV2,normal,z1,0.8608125781557077,0.7409982947110764,0.19657334289026857,67,0.7409982947110764,0.0
Reid CV2,stiffness_global_mean,z0,0.03496127439415971,0.0012222907072637276,0.034119644297918125,67,0.7455019842737003,0.7442796935664365
Reid CV2,stiffness_global_mean,z1,0.02725157687032921,0.000742648441919462,0.028839737469108263,67,0.7409982947110764,0.7402556462691569
Reid CV2,stiffness_network_mean,z0,0.8760089087535037,0.7673916082155043,0.2720162029302395,67,0.7455019842737003,-0.02188962394180405
Reid CV2,stiffness_network_mean,z1,0.8733506045746496,0.762741278510906,0.20191957879565098,67,0.7409982947110764,-0.02174298379982964
Reid CV2,edge_geometry_train_mean,z0,0.8704231538196339,0.757636466705318,0.26612079382555537,67,0.7455019842737003,-0.012134482431617744
Reid CV2,edge_geometry_train_mean,z1,0.8696792648753858,0.7563420237541915,0.1972932011616889,67,0.7409982947110764,-0.015343729043115095
Reid CV2,zero_ref_pos,z0,0.8679136714174103,0.7532741410332484,0.26357509015604547,67,0.7455019842737003,-0.007772156759548121
Reid CV2,zero_ref_pos,z1,0.8659798152260874,0.7499210403790084,0.1955497448360443,67,0.7409982947110764,-0.008922745667932053
