dataset,sim_idx,final_p_ratio,mean_frame_p_ratio,final_frame_p_ratio,initial_z0,mean_z0,final_z0,slope_z0,initial_pc1,mean_pc1,final_pc1,slope_pc1,initial_z1,mean_z1,final_z1,slope_z1,initial_pc2,mean_pc2,final_pc2,slope_pc2,initial_z_linear_p_ratio
Reid CV1,0,0.2238599590476573,0.225451623421897,0.22388439572482058,-2.982048273086548,-4.797886235713959,-6.63204288482666,-3.6499946117401123,2.834318385408886,1.0184804227814745,-0.8156762263312265,-3.6499946117401123,,,,,,,,,-2.982048273086548
Reid CV1,1,-0.24075396534886645,-0.2108383254200184,-0.2403077643856704,-3.3242452144622803,-6.918452944755554,-11.581661224365234,-8.257416009902954,2.4921214440331534,-1.1020862862601204,-5.765294565869801,-8.257416009902954,,,,,,,,,-3.3242452144622803
Reid CV1,2,0.15031615373850205,0.15204298573793198,0.1503850164640129,-3.0554540157318115,-5.140222573280335,-7.3095316886901855,-4.254077672958374,2.760912642763622,0.6761440852150988,-1.4931650301947519,-4.254077672958374,,,,,,,,,-3.0554540157318115
Reid CV1,3,0.26937916888526336,0.2696307024204745,0.2694169776675135,-3.0791544914245605,-4.8314337420463564,-6.641388893127441,-3.562234401702881,2.737212167070873,0.9849329164490771,-0.8250222346320077,-3.562234401702881,,,,,,,,,-3.0791544914245605
Reid CV1,4,-0.33039033700227455,-0.298878124499973,-0.3300850834736436,-3.300849676132202,-6.608015387058258,-10.33386516571045,-7.033015489578247,2.5155169823632315,-0.7916487285628242,-4.517498507215016,-7.033015489578247,,,,,,,,,-3.300849676132202
Reid CV1,5,0.1606833051492441,0.1648045997097924,0.16076724411819732,-3.151883840560913,-5.004423837661744,-6.9004950523376465,-3.7486112117767334,2.6644828179345206,0.8119428208336902,-1.0841283938422128,-3.7486112117767334,,,,,,,,,-3.151883840560913
Reid CV1,6,-0.1963377719651293,-0.1977382333436658,-0.1966439364952906,-3.4192020893096924,-6.332939364910126,-9.695121765136719,-6.275919675827026,2.3971645691857413,-0.5165727064146921,-3.878755106641285,-6.275919675827026,,,,,,,,,-3.4192020893096924
Reid CV1,7,0.22590702007093752,0.2269955684439933,0.22595865528613085,-2.97613263130188,-4.78729605436325,-6.63334321975708,-3.6572105884552,2.840234027193554,1.0290706041321827,-0.8169765612616464,-3.6572105884552,,,,,,,,,-2.97613263130188
Reid CV1,8,-0.06480931009694779,-0.0491207260612971,-0.06455109330627742,-3.227033853530884,-5.726370732784272,-8.52186393737793,-5.294830083847046,2.58933280496455,0.08999592571116218,-2.705497278882496,-5.294830083847046,,,,,,,,,-3.227033853530884
Reid CV1,9,0.18341754005038485,0.1838043213377752,0.1834069656711991,-3.277992010116577,-5.224041919708252,-7.213046073913574,-3.935054063796997,2.5383746483788565,0.5923247387871811,-1.3966794154181406,-3.935054063796997,,,,,,,,,-3.277992010116577
Reid CV1,10,0.3524800528535854,0.35122908195413305,0.3524881488095906,-2.942051410675049,-4.687060587406158,-6.490192890167236,-3.5481414794921875,2.874315247820385,1.1293060710892748,-0.6738262316718027,-3.5481414794921875,,,,,,,,,-2.942051410675049
Reid CV1,11,-0.04889763898242052,-0.03668330610678045,-0.04872480718962952,-3.228637218475342,-5.541154737472534,-8.06065559387207,-4.8320183753967285,2.587729440020092,0.2752119210228991,-2.2442889353766367,-4.8320183753967285,,,,,,,,,-3.228637218475342
Reid CV1,12,-0.15348441061065293,-0.13642849330912024,-0.1532408511021847,-3.449768304824829,-6.77972243309021,-11.005983352661133,-7.556215047836304,2.3665983536706046,-0.9633557745947761,-5.189616694165699,-7.556215047836304,,,,,,,,,-3.449768304824829
Reid CV1,13,-0.17377978528774052,-0.1328662698037373,-0.1731663299134904,-3.3587872982025146,-7.213841681480408,-13.080679893493652,-9.721892595291138,2.457579360292919,-1.3974750229849737,-7.264313234998219,-9.721892595291138,,,,,,,,,-3.3587872982025146
Reid CV1,14,0.24101002113566364,0.24202201736468099,0.24101945036400144,-3.029193639755249,-4.865183663368225,-6.7352094650268555,-3.7060158252716064,2.7871730187401846,0.9511829951272083,-0.9188428065314218,-3.7060158252716064,,,,,,,,,-3.029193639755249
