dataset,latent_dim,probe,test_dz_mse,test_dz_r2
dePablo CV1,1,mean_dz_only,0.0001826527138011862,-0.027943242974306504
dePablo CV1,1,CV_t,0.00018407013991014019,-0.03592031356248593
dePablo CV1,1,CV_t + frame_frac,0.00019781672645372562,-0.11328412851691994
dePablo CV1,1,CV_t + p_ratio,,
dePablo CV1,1,CV_t + frame_frac + p_ratio,,
dePablo CV1,1,CV_t + final_p_ratio,8.214695082014898e-05,0.5376887577020691
dePablo CV2,2,mean_dz_only,0.00015497381338396634,-0.03517001111846563
dePablo CV2,2,CV_t,6.621702290307305e-05,0.5576938139543928
dePablo CV2,2,CV_t + frame_frac,2.9616559383955168e-05,0.8021719060960303
dePablo CV2,2,CV_t + p_ratio,,
dePablo CV2,2,CV_t + frame_frac + p_ratio,,
dePablo CV2,2,CV_t + final_p_ratio,8.149308764059879e-05,0.4556551291024463
