dataset,split,sim_idx,frame,frame_frac,p_ratio,final_p_ratio,z0,z1,y_state_mean_y_disp,y_velocity_mean_y_disp,y_accel_mean_y_disp,y_state_rms_y_disp,y_velocity_rms_y_disp,y_accel_rms_y_disp,y_state_vertical_strain,y_velocity_vertical_strain,y_accel_vertical_strain,y_state_top_bottom_opening,y_velocity_top_bottom_opening,y_accel_top_bottom_opening,z1_residual_from_z0
dePablo CV2,test,0,0,0.0,,0.15301959837093992,0.06852922588586807,-2.0565378665924072,0.0,-3.944043783121742e-06,8.274087122117635e-07,0.0,6.720475357724354e-05,-1.1578144039958715e-05,0.0,1.4788898255191118e-05,-2.6888905918529317e-06,0.0,0.00011466479918453842,-2.1078623831272125e-05,-2.13136691932902
dePablo CV2,test,0,1,0.006493506493506494,0.23024236037934667,0.15301959837093992,0.0818517729640007,-2.0303494930267334,-3.944043783121742e-06,-3.116635070909979e-06,-1.9428807718213648e-07,6.720475357724354e-05,5.562660953728482e-05,-5.7963989092968404e-06,1.4788898255191118e-05,1.2100007663338186e-05,-4.88889198518715e-07,0.00011466479918453842,9.35861753532663e-05,-1.2300341040827334e-05,-2.1041713316727253
dePablo CV2,test,0,2,0.012987012987012988,0.2081578947368421,0.15301959837093992,0.09446918219327927,-2.0050203800201416,-7.060678854031721e-06,-3.3109231480921153e-06,9.076807145902421e-07,0.00012283136311452836,4.983021062798798e-05,-4.1114981286227703e-07,2.6888905918529304e-05,1.1611118464819471e-05,-7.333337977780683e-07,0.00020825097453780472,8.128583431243896e-05,-1.4812394510954618e-06,-2.077888314559935
dePablo CV2,test,0,3,0.01948051948051948,0.19276476756378888,0.15301959837093992,0.10677631944417953,-1.9798133373260498,-1.0371602002123836e-05,-2.403242433501873e-06,-6.877808118588291e-07,0.00017266157374251634,4.9419060815125704e-05,7.00718373991549e-07,3.8500024383348775e-05,1.0877784667041403e-05,6.111114981483925e-07,0.0002895368088502437,7.98045948613435e-05,4.3492764234542847e-07,-2.051750825008977
dePablo CV2,test,0,4,0.025974025974025976,0.18442033721082213,0.15301959837093992,0.11889980733394623,-1.955085277557373,-1.277484443562571e-05,-3.0910232453607023e-06,4.280500434106216e-07,0.00022208063455764204,5.011977918911725e-05,-5.293841240927577e-07,4.937780905039018e-05,1.1488896165189795e-05,-6.111114981483925e-07,0.0003693414037115872,8.023952250368893e-05,-1.3996614143252373e-06,-2.026106202682223
dePablo CV2,test,0,5,0.032467532467532464,0.17945234113712374,0.15301959837093992,0.1309402585029602,-1.9305353164672852,-1.5865867680986412e-05,-2.6629732019500807e-06,-5.56430677534081e-07,0.0002722004137467593,4.9590395065024495e-05,-7.34871719032526e-07,6.086670521557997e-05,1.0877784667041403e-05,-6.111114981484061e-07,0.0004495809262152761,7.88398610893637e-05,-1.4115066733211279e-06,-2.0006459567942105
dePablo CV2,test,0,6,0.03896103896103896,0.1755134006265228,0.15301959837093992,0.1430167704820633,-1.90582275390625,-1.8528840882936493e-05,-3.2194038794841617e-06,2.419656084384769e-07,0.0003217908088117838,4.885552334599197e-05,3.8035796023905277e-07,7.174448988262138e-05,1.0266673168892997e-05,1.3552527156068805e-20,0.0005284207873046398,7.742835441604257e-05,4.778848960995674e-08,-1.9750203831580737
dePablo CV2,test,0,7,0.045454545454545456,0.17257066149601014,0.15301959837093992,0.15522316098213196,-1.8807079792022705,-2.1748244762420654e-05,-2.977438271045685e-06,4.972898750565946e-07,0.00037064633215777576,4.923588130623102e-05,4.2439205572009087e-07,8.201116305151437e-05,1.026667316889301e-05,6.111114981483857e-07,0.0006058491417206824,7.747614290565252e-05,3.5209814086556435e-07,-1.9489827782749114
dePablo CV2,test,0,8,0.05194805194805195,0.17027803158856547,0.15301959837093992,0.1673446148633957,-1.8557891845703125,-2.472568303346634e-05,-2.48014839598909e-06,-3.071927494602278e-07,0.0004198822134640068,4.966027336195111e-05,7.191847544163465e-07,9.227783622040738e-05,1.0877784667041396e-05,-6.111114981483857e-07,0.0006833252846263349,7.782824104651809e-05,1.68156111612916e-06,-1.9231475748604276
dePablo CV2,test,0,9,0.05844155844155844,0.16901653611836379,0.15301959837093992,0.1793932467699051,-1.8310987949371338,-2.720583142945543e-05,-2.787341145449318e-06,-5.060283001512289e-07,0.0004695424868259579,5.037945811636746e-05,-2.1504820324480534e-07,0.00010315562088744878,1.026667316889301e-05,0.0,0.000761153525672853,7.950980216264725e-05,-6.584450602531433e-07,-1.897546281947436
dePablo CV2,test,0,10,0.06493506493506493,0.1679548777940255,0.15301959837093992,0.1913907825946808,-1.8064932823181152,-2.9993172574904747e-05,-3.293369445600547e-06,5.399833753472194e-07,0.0005199219449423254,5.0164409913122654e-05,-1.916836481541395e-06,0.00011342229405634179,1.026667316889301e-05,0.0,0.0008406633278355002,7.88513571023941e-05,-3.951485268771648e-06,-1.872033729025646
dePablo CV2,test,0,11,0.07142857142857142,0.1671415004748338,0.15301959837093992,0.2034701704978943,-1.7816596031188965,-3.3286542020505294e-05,-2.7533860702533275e-06,2.437227522023022e-07,0.000570086354855448,4.824757343158126e-05,6.229383870959282e-07,0.0001236889672252348,1.026667316889301e-05,0.0,0.0009195146849378943,7.489987183362246e-05,3.2247044146060944e-07,-1.8462868213250878
