dataset,latent_signal,physical_group,physical_signal,display_signal,corr,abs_corr
dePablo CV2,z0,position,y_state_mean_y_disp,position: mean_y_disp,0.0497633612484424,0.0497633612484424
dePablo CV2,z0,position,y_state_rms_y_disp,position: rms_y_disp,-0.2055604002711412,0.2055604002711412
dePablo CV2,z0,position,y_state_vertical_strain,position: vertical_strain,0.7990551113851105,0.7990551113851105
dePablo CV2,z0,position,y_state_top_bottom_opening,position: top_bottom_opening,0.819532262561631,0.819532262561631
dePablo CV2,z0,velocity,y_velocity_mean_y_disp,velocity: mean_y_disp,0.061757433265504286,0.061757433265504286
dePablo CV2,z0,velocity,y_velocity_rms_y_disp,velocity: rms_y_disp,-0.6216638385962785,0.6216638385962785
dePablo CV2,z0,velocity,y_velocity_vertical_strain,velocity: vertical_strain,0.8911806348495427,0.8911806348495427
dePablo CV2,z0,velocity,y_velocity_top_bottom_opening,velocity: top_bottom_opening,0.9285147950856754,0.9285147950856754
dePablo CV2,z0,acceleration,y_accel_mean_y_disp,acceleration: mean_y_disp,0.005975085679334161,0.005975085679334161
dePablo CV2,z0,acceleration,y_accel_rms_y_disp,acceleration: rms_y_disp,-0.08114584916043717,0.08114584916043717
dePablo CV2,z0,acceleration,y_accel_vertical_strain,acceleration: vertical_strain,0.09881133308865127,0.09881133308865127
dePablo CV2,z0,acceleration,y_accel_top_bottom_opening,acceleration: top_bottom_opening,0.13002731652190608,0.13002731652190608
dePablo CV2,z1,position,y_state_mean_y_disp,position: mean_y_disp,-0.10251132276194218,0.10251132276194218
dePablo CV2,z1,position,y_state_rms_y_disp,position: rms_y_disp,0.8046143322242922,0.8046143322242922
dePablo CV2,z1,position,y_state_vertical_strain,position: vertical_strain,-0.38730542800806583,0.38730542800806583
dePablo CV2,z1,position,y_state_top_bottom_opening,position: top_bottom_opening,-0.41194855165287186,0.41194855165287186
dePablo CV2,z1,velocity,y_velocity_mean_y_disp,velocity: mean_y_disp,-0.05940404582656959,0.05940404582656959
dePablo CV2,z1,velocity,y_velocity_rms_y_disp,velocity: rms_y_disp,0.3236247670111539,0.3236247670111539
dePablo CV2,z1,velocity,y_velocity_vertical_strain,velocity: vertical_strain,-0.3499979478519013,0.3499979478519013
dePablo CV2,z1,velocity,y_velocity_top_bottom_opening,velocity: top_bottom_opening,-0.3865010360442257,0.3865010360442257
dePablo CV2,z1,acceleration,y_accel_mean_y_disp,acceleration: mean_y_disp,0.0006559571841765331,0.0006559571841765331
dePablo CV2,z1,acceleration,y_accel_rms_y_disp,acceleration: rms_y_disp,-0.034333236602790494,0.034333236602790494
dePablo CV2,z1,acceleration,y_accel_vertical_strain,acceleration: vertical_strain,0.10737789515899697,0.10737789515899697
dePablo CV2,z1,acceleration,y_accel_top_bottom_opening,acceleration: top_bottom_opening,0.13281854813292396,0.13281854813292396
dePablo CV2,z1_residual_from_z0,position,y_state_mean_y_disp,position: mean_y_disp,-0.09804258781164117,0.09804258781164117
dePablo CV2,z1_residual_from_z0,position,y_state_rms_y_disp,position: rms_y_disp,0.7880596835404539,0.7880596835404539
dePablo CV2,z1_residual_from_z0,position,y_state_vertical_strain,position: vertical_strain,-0.30926087182365847,0.30926087182365847
dePablo CV2,z1_residual_from_z0,position,y_state_top_bottom_opening,position: top_bottom_opening,-0.33197751255846825,0.33197751255846825
dePablo CV2,z1_residual_from_z0,velocity,y_velocity_mean_y_disp,velocity: mean_y_disp,-0.05351938830222923,0.05351938830222923
dePablo CV2,z1_residual_from_z0,velocity,y_velocity_rms_y_disp,velocity: rms_y_disp,0.263017641093012,0.263017641093012
dePablo CV2,z1_residual_from_z0,velocity,y_velocity_vertical_strain,velocity: vertical_strain,-0.26254584928270897,0.26254584928270897
dePablo CV2,z1_residual_from_z0,velocity,y_velocity_top_bottom_opening,velocity: top_bottom_opening,-0.29549444748011605,0.29549444748011605
dePablo CV2,z1_residual_from_z0,acceleration,y_accel_mean_y_disp,acceleration: mean_y_disp,0.0012572993616809353,0.0012572993616809353
dePablo CV2,z1_residual_from_z0,acceleration,y_accel_rms_y_disp,acceleration: rms_y_disp,-0.04262692826435957,0.04262692826435957
dePablo CV2,z1_residual_from_z0,acceleration,y_accel_vertical_strain,acceleration: vertical_strain,0.1178047700652373,0.1178047700652373
dePablo CV2,z1_residual_from_z0,acceleration,y_accel_top_bottom_opening,acceleration: top_bottom_opening,0.14649704810352832,0.14649704810352832
