node_count,y_mode,explained_var,samples,dataset
104,y_mode1,0.9997081423507181,111,dePablo CV1
104,y_mode2,0.0002811793819109816,111,dePablo CV1
104,y_mode3,7.850081413642656e-06,111,dePablo CV1
104,y_mode4,2.487411689096467e-06,111,dePablo CV1
128,y_mode1,0.9998670194308602,123,dePablo CV1
128,y_mode2,0.00011343179213541036,123,dePablo CV1
128,y_mode3,1.700314402539488e-05,123,dePablo CV1
128,y_mode4,1.8578306481700294e-06,123,dePablo CV1
144,y_mode1,0.9999845033769196,130,dePablo CV1
144,y_mode2,1.3767186588436434e-05,130,dePablo CV1
144,y_mode3,1.0924061550205116e-06,130,dePablo CV1
144,y_mode4,1.3446347225606753e-07,130,dePablo CV1
212,y_mode1,0.79629197178095,317,dePablo CV1
212,y_mode2,0.20301688922554628,317,dePablo CV1
212,y_mode3,0.0005927726288856424,317,dePablo CV1
212,y_mode4,7.698535417292315e-05,317,dePablo CV1
104,y_mode1,0.9997081423507181,111,dePablo CV2
104,y_mode2,0.0002811793819109816,111,dePablo CV2
104,y_mode3,7.850081413642656e-06,111,dePablo CV2
104,y_mode4,2.487411689096467e-06,111,dePablo CV2
128,y_mode1,0.9998670194308602,123,dePablo CV2
128,y_mode2,0.00011343179213541036,123,dePablo CV2
128,y_mode3,1.700314402539488e-05,123,dePablo CV2
128,y_mode4,1.8578306481700294e-06,123,dePablo CV2
144,y_mode1,0.9999845033769196,130,dePablo CV2
144,y_mode2,1.3767186588436434e-05,130,dePablo CV2
144,y_mode3,1.0924061550205116e-06,130,dePablo CV2
144,y_mode4,1.3446347225606753e-07,130,dePablo CV2
212,y_mode1,0.79629197178095,317,dePablo CV2
212,y_mode2,0.20301688922554628,317,dePablo CV2
212,y_mode3,0.0005927726288856424,317,dePablo CV2
212,y_mode4,7.698535417292315e-05,317,dePablo CV2
