dataset,latent_signal,physical_signal,corr
dePablo CV1,z0,p_ratio,-0.8801515162671844
dePablo CV1,z0,final_p_ratio,-0.8513785096135892
dePablo CV1,z0,mean_abs_y_disp,0.5954759658185264
dePablo CV1,z0,rms_y_disp,0.6076107604181246
dePablo CV1,z0,vertical_span_change,-0.747173558224012
dePablo CV1,z0,vertical_strain,-0.7683787404085158
dePablo CV1,z0,top_bottom_opening,-0.7397117641174197
dePablo CV1,z0,left_right_y_asymmetry,-0.4957162910915103
dePablo CV1,z0,mean_abs_x_disp,0.4442491598761693
dePablo CV1,latent_pc1,p_ratio,-0.8801515162671844
dePablo CV1,latent_pc1,final_p_ratio,-0.8513785096135892
dePablo CV1,latent_pc1,mean_abs_y_disp,0.5954759658185264
dePablo CV1,latent_pc1,rms_y_disp,0.6076107604181245
dePablo CV1,latent_pc1,vertical_span_change,-0.747173558224012
dePablo CV1,latent_pc1,vertical_strain,-0.7683787404085158
dePablo CV1,latent_pc1,top_bottom_opening,-0.7397117641174197
dePablo CV1,latent_pc1,left_right_y_asymmetry,-0.4957162910915103
dePablo CV1,latent_pc1,mean_abs_x_disp,0.4442491598761695
dePablo CV2,z0,p_ratio,0.6675107260651413
dePablo CV2,z0,final_p_ratio,0.6326001333515473
dePablo CV2,z0,mean_abs_y_disp,-0.6102537467802235
dePablo CV2,z0,rms_y_disp,-0.6298270851560864
dePablo CV2,z0,vertical_span_change,0.5080292190718148
dePablo CV2,z0,vertical_strain,0.5236056561613774
dePablo CV2,z0,top_bottom_opening,0.4742784677585135
dePablo CV2,z0,left_right_y_asymmetry,0.29010687862595924
dePablo CV2,z0,mean_abs_x_disp,-0.6917633365732732
dePablo CV2,z1,p_ratio,-0.7831768933636931
dePablo CV2,z1,final_p_ratio,-0.8255562711953762
dePablo CV2,z1,mean_abs_y_disp,-0.10050734093492174
dePablo CV2,z1,rms_y_disp,-0.12185914885018552
dePablo CV2,z1,vertical_span_change,-0.6961828607388506
dePablo CV2,z1,vertical_strain,-0.6993634065085418
dePablo CV2,z1,top_bottom_opening,-0.7398212247290252
dePablo CV2,z1,left_right_y_asymmetry,-0.48351679889757593
dePablo CV2,z1,mean_abs_x_disp,-0.6175066587102764
dePablo CV2,latent_pc1,p_ratio,0.9765204477836995
dePablo CV2,latent_pc1,final_p_ratio,0.9958062746192181
dePablo CV2,latent_pc1,mean_abs_y_disp,-0.22476208441140957
dePablo CV2,latent_pc1,rms_y_disp,-0.2170978007460918
dePablo CV2,latent_pc1,vertical_span_change,0.8269475928011787
dePablo CV2,latent_pc1,vertical_strain,0.8373988342288354
dePablo CV2,latent_pc1,top_bottom_opening,0.8457595845491803
dePablo CV2,latent_pc1,left_right_y_asymmetry,0.5427544771599431
dePablo CV2,latent_pc1,mean_abs_x_disp,0.15837808494016367
dePablo CV2,latent_pc2,p_ratio,-0.12482360706133676
dePablo CV2,latent_pc2,final_p_ratio,-0.07180233898214282
dePablo CV2,latent_pc2,mean_abs_y_disp,0.5882383600123895
dePablo CV2,latent_pc2,rms_y_disp,0.6175950221847959
dePablo CV2,latent_pc2,vertical_span_change,-0.03845599023377517
dePablo CV2,latent_pc2,vertical_strain,-0.05014572665372203
dePablo CV2,latent_pc2,top_bottom_opening,0.016111167493228766
dePablo CV2,latent_pc2,left_right_y_asymmetry,0.027782297644439704
dePablo CV2,latent_pc2,mean_abs_x_disp,0.9581901312499371
