dataset,latent_dim,hidden_size,epoch,train_mse_norm,val_mse_norm
Reid_ld4_tok16_h128_head2,4,128,1,0.5169414770789444,0.40553556124679746
Reid_ld4_tok16_h128_head2,4,128,2,0.30390893532894553,0.3391232478315942
Reid_ld4_tok16_h128_head2,4,128,3,0.24338706872891636,0.33276668104110285
Reid_ld4_tok16_h128_head2,4,128,4,0.23773468897212297,0.3272965654951986
Reid_ld4_tok16_h128_head2,4,128,5,0.23683908132370562,0.3280562491121236
Reid_ld4_tok16_h128_head2,4,128,6,0.23542700247839093,0.3251684576459229
Reid_ld4_tok16_h128_head2,4,128,7,0.23262882656417788,0.3244799875811441
Reid_ld4_tok16_h128_head2,4,128,8,0.22967346424236892,0.32277597199368757
Reid_ld4_tok16_h128_head2,4,128,9,0.22841275173705072,0.32217038865026554
Reid_ld4_tok16_h128_head2,4,128,10,0.22545560295693576,0.31816771345736927
Reid_ld4_tok16_h128_head2,4,128,11,0.22566942715086044,0.3180327162699541
Reid_ld4_tok16_h128_head2,4,128,12,0.22575966427102684,0.31675842696276957
Reid_ld4_tok16_h128_head2,4,128,13,0.22324805367039516,0.31746392538654616
Reid_ld4_tok16_h128_head2,4,128,14,0.22273301548790186,0.3154906874813605
Reid_ld4_tok16_h128_head2,4,128,15,0.22130145403090865,0.31502047250571197
Reid_ld4_tok16_h128_head2,4,128,16,0.21871072999667376,0.31484652234066746
Reid_ld4_tok16_h128_head2,4,128,17,0.21782388884108514,0.31538712706184013
Reid_ld4_tok16_h128_head2,4,128,18,0.2160557338432409,0.3150826203421457
Reid_ld4_tok16_h128_head2,4,128,19,0.21235172265674918,0.3165124287584331
Reid_ld4_tok16_h128_head2,4,128,20,0.21216923560714349,0.3180338747470523
Reid_ld4_tok16_h128_head2,4,128,21,0.20875852295430378,0.3187828544297372
Reid_ld4_tok16_h128_head2,4,128,22,0.2093440728308633,0.3189035958884051
Reid_ld4_tok16_h128_head2,4,128,23,0.20685004745959304,0.31856177303619915
Reid_ld4_tok16_h128_head2,4,128,24,0.20686570033663884,0.3194767080034944
Reid_ld4_tok16_h128_head2,4,128,25,0.20452941835392266,0.31813025700656
Reid_ld4_tok16_h128_head2,4,128,26,0.20515148309757933,0.3208299960111617
Reid_ld4_tok16_h128_head2,4,128,27,0.20263842385611497,0.31762628321128433
