dataset,latent_dim,hidden_size,epoch,train_dz_mse_norm,val_dz_mse_norm,val_dz_mse_raw
Reid_ld4_tok16_h128_head2,4,128,1,0.4972175631672144,0.4032186684757471,5.594810084062374e-05
Reid_ld4_tok16_h128_head2,4,128,2,0.2936948330607265,0.3409724277467467,4.670769675527708e-05
Reid_ld4_tok16_h128_head2,4,128,3,0.25911245367489755,0.3247383518074639,4.434596730760632e-05
Reid_ld4_tok16_h128_head2,4,128,4,0.24172087092883884,0.3059404147462919,4.159251924647833e-05
Reid_ld4_tok16_h128_head2,4,128,5,0.22724340145708993,0.2937590016820468,3.928077269563346e-05
Reid_ld4_tok16_h128_head2,4,128,6,0.21445226665586234,0.28233982193982227,3.7220259196431014e-05
Reid_ld4_tok16_h128_head2,4,128,7,0.20164996787440032,0.2613247914472595,3.3922709170894905e-05
Reid_ld4_tok16_h128_head2,4,128,8,0.18923648530617357,0.2544942307041492,3.241208590807787e-05
Reid_ld4_tok16_h128_head2,4,128,9,0.1782776436349377,0.24027581337606535,3.0587880868040426e-05
Reid_ld4_tok16_h128_head2,4,128,10,0.1697544648265466,0.2316247521783225,2.9146713926309077e-05
Reid_ld4_tok16_h128_head2,4,128,11,0.16222542718984187,0.22766274060355499,2.8425077817644252e-05
Reid_ld4_tok16_h128_head2,4,128,12,0.1562808262812905,0.22218580048065634,2.791433021030798e-05
Reid_ld4_tok16_h128_head2,4,128,13,0.15044258597306906,0.22477555889519862,2.8462885772455593e-05
Reid_ld4_tok16_h128_head2,4,128,14,0.1453480263100937,0.21607790345791728,2.6937791193404337e-05
Reid_ld4_tok16_h128_head2,4,128,15,0.14206887064501644,0.21369323503458873,2.6697374677837616e-05
Reid_ld4_tok16_h128_head2,4,128,16,0.1379617002629675,0.21644099697005004,2.732072022013199e-05
Reid_ld4_tok16_h128_head2,4,128,17,0.1352999921841547,0.2115883013769053,2.663181063894626e-05
Reid_ld4_tok16_h128_head2,4,128,18,0.13166852332185955,0.2129321397631429,2.712832008597843e-05
Reid_ld4_tok16_h128_head2,4,128,19,0.1295269002672285,0.2129985113244038,2.6958569113446628e-05
Reid_ld4_tok16_h128_head2,4,128,20,0.1270103827561252,0.2115710268949624,2.7108430733164822e-05
Reid_ld4_tok16_h128_head2,4,128,21,0.12475761705078185,0.21290068768896162,2.6903308425971774e-05
Reid_ld4_tok16_h128_head2,4,128,22,0.12314164521871135,0.21064944119658321,2.6789857466269494e-05
Reid_ld4_tok16_h128_head2,4,128,23,0.12117061304626986,0.20614129280264024,2.6092895282587845e-05
Reid_ld4_tok16_h128_head2,4,128,24,0.11883584616705775,0.2054741925781127,2.61350502751867e-05
Reid_ld4_tok16_h128_head2,4,128,25,0.11765915416763165,0.20626974911312573,2.6320110710571497e-05
Reid_ld4_tok16_h128_head2,4,128,26,0.11627704645041376,0.20596499846200458,2.6479785680066926e-05
Reid_ld4_tok16_h128_head2,4,128,27,0.11413186497520655,0.2062848286278313,2.6493915019756286e-05
Reid_ld4_tok16_h128_head2,4,128,28,0.11333292566007003,0.20463082245900296,2.6245014281620625e-05
Reid_ld4_tok16_h128_head2,4,128,29,0.11224900980014355,0.20801109906984494,2.706621972627943e-05
Reid_ld4_tok16_h128_head2,4,128,30,0.11049713445594535,0.19933121141744778,2.5669819923095362e-05
Reid_ld4_tok16_h128_head2,4,128,31,0.10958534903125837,0.20032093731628264,2.582210602788848e-05
Reid_ld4_tok16_h128_head2,4,128,32,0.10849148085922934,0.19979063896113075,2.5799463983204872e-05
Reid_ld4_tok16_h128_head2,4,128,33,0.1079912071977742,0.20304305391269736,2.6550743151645407e-05
Reid_ld4_tok16_h128_head2,4,128,34,0.10618931423756293,0.19684179110074182,2.560924959976063e-05
Reid_ld4_tok16_h128_head2,4,128,35,0.10572590733179822,0.20102157663786785,2.6108035161378496e-05
Reid_ld4_tok16_h128_head2,4,128,36,0.10408230841858312,0.19858256403647828,2.5761613517758518e-05
Reid_ld4_tok16_h128_head2,4,128,37,0.10354777818545699,0.20031813882582356,2.6355399973141404e-05
Reid_ld4_tok16_h128_head2,4,128,38,0.10276937432587147,0.20122475844691506,2.637942207627475e-05
Reid_ld4_tok16_h128_head2,4,128,39,0.10180258394102566,0.19849000575457468,2.5908362801487783e-05
Reid_ld4_tok16_h128_head2,4,128,40,0.10068910796428099,0.19766274577908916,2.580935584031607e-05
Reid_ld4_tok16_h128_head2,4,128,41,0.10032993012107909,0.196056609833322,2.5571016715275617e-05
Reid_ld4_tok16_h128_head2,4,128,42,0.09958677958115005,0.1974578447325621,2.5911031795118333e-05
Reid_ld4_tok16_h128_head2,4,128,43,0.09852851514704525,0.1972218410790083,2.5831245175140793e-05
Reid_ld4_tok16_h128_head2,4,128,44,0.09763227404793724,0.19070103178266437,2.503064545958722e-05
Reid_ld4_tok16_h128_head2,4,128,45,0.09744550116360187,0.1951464264348033,2.557768607083233e-05
Reid_ld4_tok16_h128_head2,4,128,46,0.09679608507547527,0.19720511349558364,2.595656206892727e-05
Reid_ld4_tok16_h128_head2,4,128,47,0.09577990383375436,0.1918822866625851,2.5124907156666153e-05
Reid_ld4_tok16_h128_head2,4,128,48,0.09479280532337725,0.1920604396297131,2.5197627664361732e-05
Reid_ld4_tok16_h128_head2,4,128,49,0.09450869450578465,0.18897108433651738,2.4833481043629034e-05
Reid_ld4_tok16_h128_head2,4,128,50,0.09355920353787951,0.1881263318497804,2.5002522730233067e-05
Reid_ld4_tok16_h128_head2,4,128,51,0.09301536706043408,0.19547989045968278,2.5966811426556546e-05
Reid_ld4_tok16_h128_head2,4,128,52,0.09282123484183102,0.18812918792711572,2.4574859604200584e-05
Reid_ld4_tok16_h128_head2,4,128,53,0.09224350071512162,0.1904891567066079,2.5232720823744614e-05
Reid_ld4_tok16_h128_head2,4,128,54,0.09097707199282012,0.18992555486416676,2.5166060356944797e-05
Reid_ld4_tok16_h128_head2,4,128,55,0.09131002642563545,0.19044662814500044,2.513858390130963e-05
Reid_ld4_tok16_h128_head2,4,128,56,0.0909602125606034,0.1998758552822983,2.668195987361344e-05
Reid_ld4_tok16_h128_head2,4,128,57,0.09039888492086902,0.19090139619889668,2.518362560046228e-05
Reid_ld4_tok16_h128_head2,4,128,58,0.08934656294877641,0.18978693374141586,2.5254136829317986e-05
Reid_ld4_tok16_h128_head2,4,128,59,0.0894979839748703,0.19249279905401637,2.5453461072828533e-05
Reid_ld4_tok16_h128_head2,4,128,60,0.08871409544372,0.18602056493633426,2.4542047425057943e-05
Reid_ld4_tok16_h128_head2,4,128,61,0.08853823298355565,0.18595606745104307,2.455277202589201e-05
Reid_ld4_tok16_h128_head2,4,128,62,0.08757586404681206,0.18845990767877083,2.5494635342830918e-05
Reid_ld4_tok16_h128_head2,4,128,63,0.08755116947169882,0.19057226476405048,2.5049834708852358e-05
Reid_ld4_tok16_h128_head2,4,128,64,0.08707270649145357,0.19183093940431717,2.515741514542924e-05
Reid_ld4_tok16_h128_head2,4,128,65,0.08687396357301623,0.18721803769265535,2.5048821112605425e-05
Reid_ld4_tok16_h128_head2,4,128,66,0.08645563838654198,0.18679291865759295,2.4646983709750712e-05
Reid_ld4_tok16_h128_head2,4,128,67,0.08552631169673987,0.1880317251442466,2.497388152743696e-05
Reid_ld4_tok16_h128_head2,4,128,68,0.08645787024404854,0.19375128855754156,2.5321483887168484e-05
Reid_ld4_tok16_h128_head2,4,128,69,0.08518971952842548,0.19556538526987424,2.5830004354112646e-05
Reid_ld4_tok16_h128_head2,4,128,70,0.08486681240494363,0.19210785814619158,2.530264688196837e-05
Reid_ld4_tok16_h128_head2,4,128,71,0.08478540644049644,0.18751113290491048,2.487576358667809e-05
Reid_ld4_tok16_h128_head2,4,128,72,0.08426505644922144,0.18822403545491398,2.4510988725054972e-05
Reid_ld4_tok16_h128_head2,4,128,73,0.08373888231231831,0.18605949896096718,2.501490828024089e-05
Reid_ld8_tok16_h128_head2,8,128,1,0.4417046118341386,0.2767911832686514,3.386648901027911e-05
Reid_ld8_tok16_h128_head2,8,128,2,0.19066610687412322,0.18408177675679327,1.9603555376761505e-05
Reid_ld8_tok16_h128_head2,8,128,3,0.13704695099964737,0.1483245934266597,1.6455357177562745e-05
Reid_ld8_tok16_h128_head2,8,128,4,0.11319918852299451,0.13254396068397908,1.5230127636982616e-05
Reid_ld8_tok16_h128_head2,8,128,5,0.09992064840625972,0.12277991715585813,1.4363445867786595e-05
Reid_ld8_tok16_h128_head2,8,128,6,0.09007013301365077,0.11423880573129282,1.3677664617688378e-05
Reid_ld8_tok16_h128_head2,8,128,7,0.08282307501882315,0.10996181826572865,1.3370610584075849e-05
Reid_ld8_tok16_h128_head2,8,128,8,0.07678819486405701,0.1023472830071114,1.2615314961692547e-05
Reid_ld8_tok16_h128_head2,8,128,9,0.07272691438905894,0.09883644743124023,1.2210987133869366e-05
Reid_ld8_tok16_h128_head2,8,128,10,0.06847670955583453,0.09670638988958671,1.2193779030553741e-05
Reid_ld8_tok16_h128_head2,8,128,11,0.06542126591317356,0.09423825237667188,1.1815363873637352e-05
Reid_ld8_tok16_h128_head2,8,128,12,0.06276387652847916,0.09046072501107119,1.1653703911349566e-05
Reid_ld8_tok16_h128_head2,8,128,13,0.06050062719034031,0.08820110926171765,1.1258399652547268e-05
Reid_ld8_tok16_h128_head2,8,128,14,0.0583042393438518,0.08564645660691894,1.1092486816437486e-05
Reid_ld8_tok16_h128_head2,8,128,15,0.05659278088714927,0.08419541111215949,1.1061220231312063e-05
Reid_ld8_tok16_h128_head2,8,128,16,0.05476821904070675,0.08234829103690572,1.0853364191802938e-05
Reid_ld8_tok16_h128_head2,8,128,17,0.05344884057994932,0.08301010460709221,1.1133749080300958e-05
Reid_ld8_tok16_h128_head2,8,128,18,0.05185901103541255,0.0801723973423941,1.0785595298585804e-05
Reid_ld8_tok16_h128_head2,8,128,19,0.050693920874036846,0.08058048452134244,1.098650005317836e-05
Reid_ld8_tok16_h128_head2,8,128,20,0.04953001365764067,0.08066680526710115,1.095802396093859e-05
Reid_ld8_tok16_h128_head2,8,128,21,0.04837034322670661,0.08013027489709203,1.0966101726168631e-05
Reid_ld8_tok16_h128_head2,8,128,22,0.04774904436664656,0.07743198712123558,1.0708027492825067e-05
