dataset,split,best_val_rollout_steps,used,best_val_p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,test_p_ratio_r2_at_best_val_step,test_p_ratio_pearson_at_best_val_step,test_p_ratio_mse_at_best_val_step
Reid_ld64_tok128_h384_head4,val,100,20,0.6507017463992667,0.8164328764596948,0.049287617102667505,0.00012983651495233062,0.000580337000428699,0.0004152792986133136,0.7220119433535226,0.8345637718824931,0.9182916051350095,0.023960916197136625
Reid_ld32_tok32_h192_head4,val,40,20,0.5272730527268256,0.7377992187009289,0.049053965876722096,1.4637685080742812e-05,8.167323358065914e-05,8.805684265098535e-05,1.0852204285843354,0.5282775368722772,0.7575740458256107,0.05349660218508821
Reid_ld32_tok64_h256_head4,val,20,20,0.5080547848308294,0.7490708893402405,0.03729786655211524,4.84132207247967e-06,1.8944466683024074e-05,2.5376353460160316e-05,1.3466998439415956,0.5751724426042597,0.7591572011334543,0.03584994936085535
Reid_ld16_tok128_h256_head4,val,100,20,0.4620972059803171,0.7280306681558115,0.07590059977912669,0.00013836610232829117,0.000580337000428699,0.0005371720602852292,0.9437992063546752,0.6600862417235813,0.8158077978131116,0.049231327194730314
Reid_ld16_tok32_h128_head2,val,40,20,0.45475025923221757,0.7112313302876581,0.05657951663681717,1.4025600432887585e-05,8.167323358065914e-05,6.801894396630814e-05,0.8372239109019144,0.6000715591240701,0.7763856934576369,0.04535466164190144
Reid_ld64_tok64_h256_head4,val,80,20,0.4112095843472019,0.704625171779527,0.07764037514887126,7.767331908326014e-05,0.0003589820029446855,0.000324032085336512,0.9245933319090922,0.5884352386650902,0.7690355368526197,0.05679822983085232
Reid_ld32_tok96_h256_head4,val,50,20,0.3647793381760447,0.7319100818521215,0.07165706203042221,3.0965882865530146e-05,0.00013127350466675126,8.148963970597834e-05,0.6186528055564653,0.4673266043282991,0.7817327726535076,0.06492266986826506
Reid_ld64_tok96_h256_head4,val,50,20,0.35006076155204147,0.7109906720393598,0.07331741412778207,2.6866272673942148e-05,0.00013127350466675126,9.526785797788761e-05,0.7249831899490766,0.668294990096922,0.8268097144938124,0.04042847836324036
Reid_ld32_tok128_h256_head4,val,30,20,0.34558361930517645,0.7023174765124182,0.06026805288927184,7.868024124491057e-06,4.442684421519516e-05,3.501165083434899e-05,0.7942313345076384,0.5629485060897876,0.7722294258159279,0.04446206100155402
Reid_ld16_tok32_h192_head4,val,40,20,0.3220788817016301,0.6636907123750614,0.07034657024724388,1.4913567656549277e-05,8.167323358065914e-05,6.961968738323776e-05,0.8588755936617369,0.35877964530809625,0.6671026874745498,0.07271883980357766
Reid_ld16_tok64_h192_head4,val,100,20,0.27973867228460925,0.6672457431355416,0.10163224169701537,0.00014491527012978623,0.000580337000428699,0.00048071349010569975,0.8491684388472305,0.5311545490439455,0.7412978856858122,0.06790511780640593
Reid_ld32_tok64_h192_head4,val,50,20,0.27551793686388015,0.5888424260945098,0.08172633426155886,2.5791430630306422e-05,0.00013127350466675126,0.00011782715482695494,0.902868805837541,0.27897702176793426,0.5803562515251928,0.08787887130004936
Reid_ld64_tok128_h256_head4,val,50,20,0.1978639913532011,0.5475961947538446,0.09048620925427105,2.933415948973561e-05,0.00013127350466675126,0.00014114382793195546,1.0823508632801588,0.35650356626154067,0.7170866667773979,0.07842987254192878
Reid_ld96_tok128_h384_head4,val,100,20,0.07272328398864769,0.6213502612608383,0.13084308110863838,0.00016105784161482006,0.000580337000428699,0.0003964258343330584,0.7039443244816618,0.597375083872437,0.7904962314787319,0.0583140826165318
Reid_ld8_tok16_h128_head2,val,100,20,0.06141914333432508,0.5218811444708666,0.1324381482196289,0.00015787639840709745,0.000580337000428699,0.0004453396293683909,0.8065311355887713,0.35552255979580516,0.6396499205411589,0.09334273460773916
Reid_ld8_tok32_h128_head2,val,20,20,-0.02900480635759317,0.4841112230119143,0.07801617490234691,5.483231944936051e-06,1.8944466683024074e-05,2.2104836011749286e-05,1.1761800357485908,-0.2744805132439172,0.4193296243405831,0.10754966589568397
Reid_ld4_tok16_h128_head2,val,20,20,-0.17557322232125094,0.2558438935423479,0.08912856923163728,9.08221580857571e-06,1.8944466683024074e-05,3.5068886927547285e-05,1.8646078663833585,0.18163626671412936,0.46444609612427773,0.06905931097527519
