dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
Reid_ld4_tok16_h128_head2,val,0,10,10,0.41737725018112914,0.3651487682627706,4.624684606824303e-06,4.669868303608382e-06,1.590621832292527e-05,3.406138522286511
Reid_ld4_tok16_h128_head2,val,1,10,10,-0.016024642012431017,-0.21854131886477463,1.1184466529812198e-05,4.636415724235121e-06,2.7150908863404766e-05,5.856012592115843
Reid_ld4_tok16_h128_head2,val,2,10,10,0.04004192872117401,0.27374727668845317,8.177233212336432e-06,4.278464075468946e-06,2.2184360204846598e-05,5.185122467673181
Reid_ld4_tok16_h128_head2,val,3,10,10,0.15050614697195366,0.02824682092974776,6.637992555624805e-06,4.395583800942404e-06,1.9157245333190076e-05,4.3582937331516245
Reid_ld4_tok16_h128_head2,val,4,10,10,-0.022218026925935976,-0.1850495476087893,4.1776991565711796e-05,4.482463282329263e-06,7.112694584066048e-05,15.867825648691124
Reid_ld4_tok16_h128_head2,val,5,10,10,0.0743562795585917,0.19872712808273668,2.1958221623208374e-06,4.350083145254757e-06,9.615983799449168e-06,2.210528736660738
Reid_ld4_tok16_h128_head2,val,6,10,10,-0.25393111379905214,-0.12862633601853316,1.4363035006681457e-05,4.458921466721222e-06,3.2183645089389756e-05,7.2178093580677825
Reid_ld4_tok16_h128_head2,val,7,10,10,0.2747214391193449,-0.22178596063033904,8.751200766710099e-06,4.687475666287355e-06,2.0079394744243473e-05,4.283626449232761
Reid_ld4_tok16_h128_head2,val,8,10,10,0.07724193260830807,0.34971715231081224,6.3437573771807365e-06,4.828020337299677e-06,1.8788179659168236e-05,3.891487265291121
Reid_ld4_tok16_h128_head2,val,9,10,10,0.08019228398866017,0.05400352545270018,5.159019565326162e-06,4.419793640408898e-06,1.7324517102679238e-05,3.9197570095323404
Reid_ld4_tok16_h128_head2,val,10,10,10,-0.31721955477957225,-0.31136845539063773,2.9278755846462445e-06,4.615420493792044e-06,4.639693543140311e-06,1.0052591198095417
