dataset,split,rollout_steps,used,p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
Reid_ld4_tok16_h128_head2,val,10,20,-0.25659687438646994,0.2689629758791864,0.0629538626914645,8.450555969830021e-06,4.488473609853827e-06,2.01297006015011e-05,4.495724970813099
Reid_ld4_tok16_h128_head2,test,10,38,-0.029166015688689484,0.4489680044748582,0.05652375975098452,8.637777499954705e-06,4.555915821631635e-06,2.0999910355768454e-05,4.5590458890187024
Reid_ld4_tok16_h128_head2,val,20,20,-0.17557322232125094,0.2558438935423479,0.08912856923163728,9.08221580857571e-06,1.8944466683024074e-05,3.5068886927547285e-05,1.8646078663833585
Reid_ld4_tok16_h128_head2,test,20,38,0.18163626671412936,0.46444609612427773,0.06905931097527519,8.399414202573863e-06,1.8967649817855808e-05,3.679723144351125e-05,1.9373248009854644
Reid_ld4_tok16_h128_head2,val,30,20,-0.19126335402430672,0.2514178421381042,0.10970862732555706,1.3282373436140915e-05,4.442684421519516e-05,5.614820292976219e-05,1.279915587197344
Reid_ld4_tok16_h128_head2,test,30,38,0.21703936009811697,0.4732715107184028,0.07965204150585757,1.0739814342741738e-05,4.3955074081742695e-05,5.9136685386444076e-05,1.3572112894901984
Reid_ld4_tok16_h128_head2,val,40,20,-0.20534013677180663,0.2517173698978831,0.12507582713468673,2.155231005644964e-05,8.167323358065914e-05,8.422631781286327e-05,1.0502689152962978
Reid_ld4_tok16_h128_head2,test,40,38,0.2271335494704938,0.47819266013249173,0.08764842100594106,1.5886274935071827e-05,7.995633763800327e-05,8.892538301695727e-05,1.1313272769692566
Reid_ld4_tok16_h128_head2,val,50,20,-0.21395888472736435,0.253616175466975,0.13694253404086992,3.427703519491843e-05,0.00013127350466675126,0.00012022551672998815,0.9382187640027866
Reid_ld4_tok16_h128_head2,test,50,38,0.23060058980149734,0.48062442042200976,0.09377503046152036,2.3999985543062058e-05,0.0001273059148699854,0.00012712721026649602,1.0227461935285
Reid_ld4_tok16_h128_head2,val,60,20,-0.21805216457912024,0.25601409450644846,0.14635046915999936,5.178702867851826e-05,0.00019373622417333535,0.00016511401227035095,0.8784104140146537
Reid_ld4_tok16_h128_head2,test,60,38,0.23107922269188585,0.4808851491230038,0.09874111034728913,3.526217904580239e-05,0.00018629207471875767,0.00017473706267130757,0.9662196082309155
Reid_ld4_tok16_h128_head2,val,70,20,-0.21972978445496905,0.2581492908274586,0.15417885753578534,7.44194334401982e-05,0.0002695090508495923,0.00021987216096022166,0.8461412885375081
Reid_ld4_tok16_h128_head2,test,70,38,0.22978645797665354,0.4795742897114898,0.10295144292923628,4.989583834159068e-05,0.0002571933858378447,0.0002327388065168634,0.9369025105245915
Reid_ld4_tok16_h128_head2,val,80,20,-0.2202635934913404,0.2595277967348657,0.1609090784437044,0.00010251600513129233,0.0003589820029446855,0.00028542931395350026,0.829906913883171
Reid_ld4_tok16_h128_head2,test,80,38,0.22717549899105138,0.4771265649708793,0.106654086430642,6.816022932741219e-05,0.0003402265796658436,0.0003020405320536443,0.9233523624188393
Reid_ld4_tok16_h128_head2,val,90,20,-0.22085385758880838,0.26011748610595364,0.16689937215681194,0.00013642575224821486,0.00046249211591202765,0.00036257250176277014,0.8234550001169076
Reid_ld4_tok16_h128_head2,test,90,38,0.22346105373115455,0.47380772692858647,0.11000706527143199,9.035667836829624e-05,0.00043563711867471665,0.00038338489761563803,0.9191777370499686
