dataset,latent_dim,hidden_size,epoch,train_mse_norm,val_mse_norm
Reid CV1,1,128,1,0.952597793340683,15.048355808809399
Reid CV1,1,128,2,0.7388993418216705,12.275990920364857
Reid CV1,1,128,3,0.3212020033597946,18.135647994190453
Reid CV1,1,128,4,0.15169317066669463,135.56375808899105
Reid CV1,1,128,5,0.08073831990361213,197.1849045792669
Reid CV1,1,128,6,0.06738399535417557,132.0480082236305
Reid CV1,1,128,7,0.061326074674725534,74.84109996826946
Reid CV2,2,128,1,0.9509719753265381,15.05513875669241
Reid CV2,2,128,2,0.7695758306980133,14.440942306399345
Reid CV2,2,128,3,0.37400355100631716,13.740891620725394
Reid CV2,2,128,4,0.20223071694374084,19.932257394075393
Reid CV2,2,128,5,0.10224903225898743,98.96361406204105
Reid CV2,2,128,6,0.07277194313704967,116.37520489736646
Reid CV2,2,128,7,0.06180796764791012,54.038747132137416
Reid CV2,2,128,8,0.060027228742837904,39.81543755607307
