dataset,latent_dim,hidden_size,epoch,train_dz_mse_norm,val_dz_mse_norm,val_dz_mse_raw
Reid CV1,1,128,1,0.9829080677032471,42.58416017864086,0.00048259135763530027
Reid CV1,1,128,2,0.8328300821781158,22.608640866778792,0.00025621580482840044
Reid CV1,1,128,3,0.7651815629005432,16.42796788483113,0.00018617240537071211
Reid CV1,1,128,4,0.7535880362987518,13.768178968725726,0.0001560299510000718
Reid CV1,1,128,5,0.7621181392669678,14.293502482401207,0.00016198325800434078
Reid CV1,1,128,6,0.7524935579299927,13.115112322818488,0.00014862897321603441
Reid CV1,1,128,7,0.7510381555557251,12.39950556459278,0.00014051925200499226
Reid CV1,1,128,8,0.7523361122608185,11.605205154426397,0.00013151772269259253
Reid CV1,1,128,9,0.748536486029625,11.279808231979608,0.00012783011455996986
Reid CV1,1,128,10,0.7505578482151032,11.145035735696554,0.00012630278691653984
Reid CV1,1,128,11,0.7505779945850373,11.271035523384809,0.00012773069604520514
Reid CV1,1,128,12,0.7485839331150055,11.274611427038908,0.00012777121878730213
Reid CV1,1,128,13,0.7490176290273667,11.115464161723851,0.0001259676599248678
Reid CV1,1,128,14,0.7483297944068908,11.303104001283646,0.00012809411778471258
Reid CV1,1,128,15,0.7474162065982819,11.110052572369575,0.00012590633422792052
Reid CV1,1,128,16,0.7489656043052674,11.07034859918058,0.00012545638211940968
Reid CV1,1,128,17,0.7472207188606262,11.123579427406192,0.00012605962753218592
Reid CV1,1,128,18,0.7479499137401581,11.182048493765295,0.00012672223600429788
Reid CV1,1,128,19,0.7471967887878418,11.203467656709254,0.0001269649718389019
Reid CV1,1,128,20,0.7478942632675171,11.422601753130555,0.00012944834297604757
Reid CV1,1,128,21,0.7474842131137848,11.269385515838861,0.00012771199343728767
Reid CV2,2,128,1,1.0003410637378694,56.02666962313652,0.00515211768381414
Reid CV2,2,128,2,0.994444580078125,54.653358263492585,0.004962300589832012
Reid CV2,2,128,3,0.986903647184372,50.85217003166676,0.004586166907742154
Reid CV2,2,128,4,0.9818692231178283,48.474906949788334,0.00435314102962002
Reid CV2,2,128,5,0.9779828006029129,47.49668591363728,0.004246519207505116
Reid CV2,2,128,6,0.9740235674381256,44.4531919593066,0.003958720262297902
Reid CV2,2,128,7,0.9700593137741089,44.89311441268027,0.003985156833804012
Reid CV2,2,128,8,0.9672281122207642,44.303109944771975,0.0039212136604808165
Reid CV2,2,128,9,0.9640976309776306,42.00012975222524,0.00370909782934973
Reid CV2,2,128,10,0.9622156047821044,40.75492334840819,0.003593277536050323
Reid CV2,2,128,11,0.961105055809021,39.76744277546927,0.0035008696725394657
Reid CV2,2,128,12,0.9599018359184265,39.602006537918,0.003482635549870338
Reid CV2,2,128,13,0.9578782904148102,36.88398204214871,0.0032378539079477376
Reid CV2,2,128,14,0.9552812004089355,36.66390326888114,0.0032167767702376295
Reid CV2,2,128,15,0.9543823552131653,35.83143627018482,0.003141234501402323
Reid CV2,2,128,16,0.9544633674621582,33.37293850427121,0.0029220831760226247
Reid CV2,2,128,17,0.952368528842926,32.177726360678676,0.002816573301819517
Reid CV2,2,128,18,0.9525610518455505,30.825514054879545,0.0026962064142626333
Reid CV2,2,128,19,0.950999344587326,28.64208174289763,0.0025036009367149746
Reid CV2,2,128,20,0.9512282109260559,27.983971746966244,0.0024450149288823015
Reid CV2,2,128,21,0.9491021609306336,27.227661722525955,0.0023790952850667965
Reid CV2,2,128,22,0.9511159574985504,26.883494742572307,0.0023487146675761324
Reid CV2,2,128,23,0.948159568309784,27.091682751059533,0.002367098221872766
Reid CV2,2,128,24,0.9485211527347565,27.968065713211892,0.002444212378607517
Reid CV2,2,128,25,0.9474917340278626,25.143341942921282,0.002195512999817765
Reid CV2,2,128,26,0.9477202606201172,26.50754961569607,0.0023157975423255266
Reid CV2,2,128,27,0.9452155160903931,25.06640023626387,0.0021888699447645196
Reid CV2,2,128,28,0.9461022710800171,23.448490964382888,0.0020474986351628104
Reid CV2,2,128,29,0.9460389363765717,24.358542012944817,0.0021273688288511038
Reid CV2,2,128,30,0.946465208530426,24.748049443155526,0.002160820144077661
Reid CV2,2,128,31,0.9436259490251541,22.76697927348316,0.00198714120889872
Reid CV2,2,128,32,0.9429996573925018,22.6997476875335,0.0019823952052938692
Reid CV2,2,128,33,0.9452319598197937,22.99538313318789,0.002007327938821618
Reid CV2,2,128,34,0.9427735328674316,22.436775062918663,0.0019586137044534553
Reid CV2,2,128,35,0.942787173986435,22.139106385350228,0.0019322144817597291
Reid CV2,2,128,36,0.9451244521141052,19.726206593930723,0.0017210568364571372
Reid CV2,2,128,37,0.9436625766754151,19.412866758197545,0.0016941692160908134
Reid CV2,2,128,38,0.9423605513572693,20.219679357081652,0.0017655339930515766
Reid CV2,2,128,39,0.9421430885791778,21.230451447844505,0.0018546160383593815
Reid CV2,2,128,40,0.9439433908462525,21.577991070389746,0.001884885873800158
Reid CV2,2,128,41,0.9414306771755219,21.913591532841323,0.0019139662534307718
Reid CV2,2,128,42,0.940146632194519,22.388455686435105,0.0019558628040631447
