latent_dim,repeat,train_networks,train_frames_per_network,signal,target,test_r,test_r2,source
1,1,1,1,stiffness_mean,final_p_ratio,-0.8882675888285811,0.7890193093633413,descriptor
1,1,1,1,stiffness_std,final_p_ratio,-0.9448549431181814,0.8927508635348619,descriptor
1,1,1,1,stiffness_min,final_p_ratio,0.8157382296149526,0.6654288592553371,descriptor
1,1,1,1,stiffness_max,final_p_ratio,-0.8313544827189985,0.6911502759369735,descriptor
1,1,1,1,near_zero_stiffness_edge_count,final_p_ratio,-0.4614028014278338,0.21289254516545303,descriptor
1,1,1,1,near_zero_stiffness_edge_fraction,final_p_ratio,-0.4497993243615174,0.20231943219607756,descriptor
1,1,1,1,horizontal_stiffness,final_p_ratio,-0.9215144484694692,0.84918887873799,descriptor
1,1,1,1,vertical_stiffness,final_p_ratio,-0.8302505586986778,0.6893159902194667,descriptor
1,1,1,1,diagonal_stiffness,final_p_ratio,0.4949681022472495,0.24499342224224366,descriptor
1,1,1,1,vertical_minus_horizontal_stiffness,final_p_ratio,0.0918226368018683,0.008431396629247818,descriptor
1,1,1,1,vertical_over_horizontal_stiffness,final_p_ratio,0.34996096783332137,0.12247267900683499,descriptor
1,1,1,1,horizontal_edge_fraction,final_p_ratio,-0.06186914020892838,0.003827790510192038,descriptor
1,1,1,1,vertical_edge_fraction,final_p_ratio,-0.06910027094814045,0.004774847445106423,descriptor
1,1,1,1,diagonal_edge_fraction,final_p_ratio,0.10157882013282694,0.010318256699577208,descriptor
1,1,1,1,edge_length_mean,final_p_ratio,0.1664747953594,0.027713857489954103,descriptor
1,1,1,1,edge_length_std,final_p_ratio,0.29560196075191536,0.08738051920037691,descriptor
1,1,1,1,bbox_x_span,final_p_ratio,0.30076031080674454,0.09045676455656958,descriptor
1,1,1,1,bbox_y_span,final_p_ratio,0.28080997477904074,0.0788542419354055,descriptor
1,1,1,1,bbox_aspect_y_over_x,final_p_ratio,-0.17041339194584107,0.02904072415448685,descriptor
1,1,1,1,descriptor_distance_to_train,final_p_ratio,0.7536113997251563,0.5679301417957093,descriptor
1,1,1,1,final_p_ratio_delta_to_train,final_p_ratio,1.0,1.0,descriptor
1,1,1,1,z0,final_p_ratio,0.4994167903028588,0.24941713043640965,latent
1,1,1,1,z1,final_p_ratio,,,latent
1,1,1,1,z2,final_p_ratio,,,latent
1,1,1,1,z3,final_p_ratio,,,latent
1,1,1,2,stiffness_mean,final_p_ratio,-0.8730296871111116,0.7621808345773254,descriptor
1,1,1,2,stiffness_std,final_p_ratio,-0.9369784273458232,0.877928573311452,descriptor
1,1,1,2,stiffness_min,final_p_ratio,0.8164389875065649,0.6665726203207447,descriptor
1,1,1,2,stiffness_max,final_p_ratio,-0.8153594852676992,0.6648110902160074,descriptor
1,1,1,2,near_zero_stiffness_edge_count,final_p_ratio,-0.4799873161984592,0.23038782371139965,descriptor
1,1,1,2,near_zero_stiffness_edge_fraction,final_p_ratio,-0.4816878058207329,0.2320231422763921,descriptor
1,1,1,2,horizontal_stiffness,final_p_ratio,-0.9172730239042444,0.8413898003824365,descriptor
1,1,1,2,vertical_stiffness,final_p_ratio,-0.8258168836283077,0.68197352528557,descriptor
1,1,1,2,diagonal_stiffness,final_p_ratio,0.48967814357902884,0.239784684299004,descriptor
1,1,1,2,vertical_minus_horizontal_stiffness,final_p_ratio,0.07534454423373854,0.005676800345789784,descriptor
1,1,1,2,vertical_over_horizontal_stiffness,final_p_ratio,0.3344064009303923,0.11182764098321829,descriptor
1,1,1,2,horizontal_edge_fraction,final_p_ratio,0.09758425525909588,0.009522686874472382,descriptor
1,1,1,2,vertical_edge_fraction,final_p_ratio,0.08110983593300292,0.006578805485078651,descriptor
1,1,1,2,diagonal_edge_fraction,final_p_ratio,-0.13599863889605215,0.01849562978157879,descriptor
1,1,1,2,edge_length_mean,final_p_ratio,0.03821209580742246,0.001460164265995633,descriptor
1,1,1,2,edge_length_std,final_p_ratio,0.2284623674171483,0.05219505332584806,descriptor
1,1,1,2,bbox_x_span,final_p_ratio,0.2501959325517498,0.06259800466543974,descriptor
1,1,1,2,bbox_y_span,final_p_ratio,0.22681744612642502,0.051446153867313715,descriptor
1,1,1,2,bbox_aspect_y_over_x,final_p_ratio,-0.1987648778662204,0.03950747667317352,descriptor
1,1,1,2,descriptor_distance_to_train,final_p_ratio,0.5362354387282345,0.28754844574806215,descriptor
1,1,1,2,final_p_ratio_delta_to_train,final_p_ratio,0.9999999999999999,0.9999999999999998,descriptor
1,1,1,2,z0,final_p_ratio,0.7366589353664627,0.5426663870552502,latent
1,1,1,2,z1,final_p_ratio,,,latent
1,1,1,2,z2,final_p_ratio,,,latent
1,1,1,2,z3,final_p_ratio,,,latent
1,1,1,4,stiffness_mean,final_p_ratio,-0.9037013192975519,0.8166760745001359,descriptor
1,1,1,4,stiffness_std,final_p_ratio,-0.9473576495259749,0.8974865161153799,descriptor
1,1,1,4,stiffness_min,final_p_ratio,0.8283236137390166,0.6861200090776637,descriptor
1,1,1,4,stiffness_max,final_p_ratio,-0.83567430392421,0.698351542239213,descriptor
1,1,1,4,near_zero_stiffness_edge_count,final_p_ratio,-0.5371035228730127,0.28848019428260085,descriptor
1,1,1,4,near_zero_stiffness_edge_fraction,final_p_ratio,-0.5334566548185605,0.2845760025702088,descriptor
1,1,1,4,horizontal_stiffness,final_p_ratio,-0.932103644750045,0.8688172045563182,descriptor
1,1,1,4,vertical_stiffness,final_p_ratio,-0.8479819255112757,0.7190733459938108,descriptor
