split,sim_idx,original_sim_idx,frame,frame_order,frame_frac,final_p_ratio,z0,latent_dim,repeat,seed,train_networks,train_frames_per_network,z1,z2,z3
test,0,28,0,0,0.0,-0.21109366287007186,0.2001475840806961,1,1,1588903323,1,1,,,
test,0,28,15,1,0.05263157894736842,-0.21109366287007186,-19.48387336730957,1,1,1588903323,1,1,,,
test,0,28,30,2,0.10526315789473684,-0.21109366287007186,-80.01335144042969,1,1,1588903323,1,1,,,
test,0,28,45,3,0.15789473684210525,-0.21109366287007186,-168.32814025878906,1,1,1588903323,1,1,,,
test,0,28,60,4,0.21052631578947367,-0.21109366287007186,-256.77691650390625,1,1,1588903323,1,1,,,
test,0,28,75,5,0.2631578947368421,-0.21109366287007186,-344.9611511230469,1,1,1588903323,1,1,,,
test,0,28,90,6,0.3157894736842105,-0.21109366287007186,-437.1371765136719,1,1,1588903323,1,1,,,
test,0,28,105,7,0.3684210526315789,-0.21109366287007186,-529.0662841796875,1,1,1588903323,1,1,,,
test,0,28,120,8,0.42105263157894735,-0.21109366287007186,-620.1381225585938,1,1,1588903323,1,1,,,
test,0,28,135,9,0.47368421052631576,-0.21109366287007186,-707.5869750976562,1,1,1588903323,1,1,,,
test,0,28,150,10,0.5263157894736842,-0.21109366287007186,-784.9347534179688,1,1,1588903323,1,1,,,
test,0,28,165,11,0.5789473684210527,-0.21109366287007186,-852.7963256835938,1,1,1588903323,1,1,,,
test,0,28,180,12,0.631578947368421,-0.21109366287007186,-908.7958984375,1,1,1588903323,1,1,,,
test,0,28,195,13,0.6842105263157895,-0.21109366287007186,-956.8076782226562,1,1,1588903323,1,1,,,
test,0,28,210,14,0.7368421052631579,-0.21109366287007186,-1000.492431640625,1,1,1588903323,1,1,,,
test,0,28,225,15,0.7894736842105263,-0.21109366287007186,-1028.1513671875,1,1,1588903323,1,1,,,
test,0,28,240,16,0.8421052631578947,-0.21109366287007186,-1059.612060546875,1,1,1588903323,1,1,,,
test,0,28,255,17,0.8947368421052632,-0.21109366287007186,-1076.4359130859375,1,1,1588903323,1,1,,,
test,0,28,270,18,0.9473684210526315,-0.21109366287007186,-1098.240966796875,1,1,1588903323,1,1,,,
test,0,28,285,19,1.0,-0.21109366287007186,-1149.5679931640625,1,1,1588903323,1,1,,,
test,1,39,0,0,0.0,-0.2835927971877466,0.2046751230955124,1,1,1588903323,1,1,,,
test,1,39,15,1,0.05263157894736842,-0.2835927971877466,-16.906803131103516,1,1,1588903323,1,1,,,
test,1,39,30,2,0.10526315789473684,-0.2835927971877466,-72.90868377685547,1,1,1588903323,1,1,,,
test,1,39,45,3,0.15789473684210525,-0.2835927971877466,-177.24635314941406,1,1,1588903323,1,1,,,
test,1,39,60,4,0.21052631578947367,-0.2835927971877466,-294.6562805175781,1,1,1588903323,1,1,,,
test,1,39,75,5,0.2631578947368421,-0.2835927971877466,-410.1334533691406,1,1,1588903323,1,1,,,
test,1,39,90,6,0.3157894736842105,-0.2835927971877466,-524.3421630859375,1,1,1588903323,1,1,,,
test,1,39,105,7,0.3684210526315789,-0.2835927971877466,-637.5850219726562,1,1,1588903323,1,1,,,
test,1,39,120,8,0.42105263157894735,-0.2835927971877466,-750.529541015625,1,1,1588903323,1,1,,,
test,1,39,135,9,0.47368421052631576,-0.2835927971877466,-864.8801879882812,1,1,1588903323,1,1,,,
test,1,39,150,10,0.5263157894736842,-0.2835927971877466,-979.0051879882812,1,1,1588903323,1,1,,,
test,1,39,165,11,0.5789473684210527,-0.2835927971877466,-1093.0250244140625,1,1,1588903323,1,1,,,
test,1,39,180,12,0.631578947368421,-0.2835927971877466,-1207.247314453125,1,1,1588903323,1,1,,,
test,1,39,195,13,0.6842105263157895,-0.2835927971877466,-1321.6917724609375,1,1,1588903323,1,1,,,
test,1,39,210,14,0.7368421052631579,-0.2835927971877466,-1436.633056640625,1,1,1588903323,1,1,,,
test,1,39,225,15,0.7894736842105263,-0.2835927971877466,-1551.02197265625,1,1,1588903323,1,1,,,
test,1,39,240,16,0.8421052631578947,-0.2835927971877466,-1666.525146484375,1,1,1588903323,1,1,,,
test,1,39,255,17,0.8947368421052632,-0.2835927971877466,-1780.527099609375,1,1,1588903323,1,1,,,
test,1,39,270,18,0.9473684210526315,-0.2835927971877466,-1894.58740234375,1,1,1588903323,1,1,,,
test,1,39,285,19,1.0,-0.2835927971877466,-2009.0224609375,1,1,1588903323,1,1,,,
test,2,36,0,0,0.0,-0.21908872590380996,0.19925788044929504,1,1,1588903323,1,1,,,
test,2,36,15,1,0.05263157894736842,-0.21908872590380996,-20.81655502319336,1,1,1588903323,1,1,,,
test,2,36,30,2,0.10526315789473684,-0.21908872590380996,-95.4601058959961,1,1,1588903323,1,1,,,
test,2,36,45,3,0.15789473684210525,-0.21908872590380996,-193.5554962158203,1,1,1588903323,1,1,,,
test,2,36,60,4,0.21052631578947367,-0.21908872590380996,-301.2058410644531,1,1,1588903323,1,1,,,
test,2,36,75,5,0.2631578947368421,-0.21908872590380996,-409.7606506347656,1,1,1588903323,1,1,,,
test,2,36,90,6,0.3157894736842105,-0.21908872590380996,-517.3995971679688,1,1,1588903323,1,1,,,
test,2,36,105,7,0.3684210526315789,-0.21908872590380996,-624.5535278320312,1,1,1588903323,1,1,,,
test,2,36,120,8,0.42105263157894735,-0.21908872590380996,-728.7896728515625,1,1,1588903323,1,1,,,
test,2,36,135,9,0.47368421052631576,-0.21908872590380996,-834.7020874023438,1,1,1588903323,1,1,,,
test,2,36,150,10,0.5263157894736842,-0.21908872590380996,-939.1945190429688,1,1,1588903323,1,1,,,
test,2,36,165,11,0.5789473684210527,-0.21908872590380996,-1042.3052978515625,1,1,1588903323,1,1,,,
test,2,36,180,12,0.631578947368421,-0.21908872590380996,-1144.28955078125,1,1,1588903323,1,1,,,
test,2,36,195,13,0.6842105263157895,-0.21908872590380996,-1244.878662109375,1,1,1588903323,1,1,,,
test,2,36,210,14,0.7368421052631579,-0.21908872590380996,-1344.26611328125,1,1,1588903323,1,1,,,
test,2,36,225,15,0.7894736842105263,-0.21908872590380996,-1443.094482421875,1,1,1588903323,1,1,,,
test,2,36,240,16,0.8421052631578947,-0.21908872590380996,-1540.861328125,1,1,1588903323,1,1,,,
test,2,36,255,17,0.8947368421052632,-0.21908872590380996,-1636.78076171875,1,1,1588903323,1,1,,,
test,2,36,270,18,0.9473684210526315,-0.21908872590380996,-1732.067626953125,1,1,1588903323,1,1,,,
test,2,36,285,19,1.0,-0.21908872590380996,-1826.9896240234375,1,1,1588903323,1,1,,,
test,3,63,0,0,0.0,0.18341754005038485,0.20688627660274506,1,1,1588903323,1,1,,,
test,3,63,15,1,0.05263157894736842,0.18341754005038485,-14.730551719665527,1,1,1588903323,1,1,,,
test,3,63,30,2,0.10526315789473684,0.18341754005038485,-42.38389205932617,1,1,1588903323,1,1,,,
test,3,63,45,3,0.15789473684210525,0.18341754005038485,-83.79515075683594,1,1,1588903323,1,1,,,
test,3,63,60,4,0.21052631578947367,0.18341754005038485,-132.75148010253906,1,1,1588903323,1,1,,,
test,3,63,75,5,0.2631578947368421,0.18341754005038485,-181.1297149658203,1,1,1588903323,1,1,,,
test,3,63,90,6,0.3157894736842105,0.18341754005038485,-227.96449279785156,1,1,1588903323,1,1,,,
test,3,63,105,7,0.3684210526315789,0.18341754005038485,-271.8508605957031,1,1,1588903323,1,1,,,
test,3,63,120,8,0.42105263157894735,0.18341754005038485,-314.6039733886719,1,1,1588903323,1,1,,,
test,3,63,135,9,0.47368421052631576,0.18341754005038485,-356.1418762207031,1,1,1588903323,1,1,,,
test,3,63,150,10,0.5263157894736842,0.18341754005038485,-397.156005859375,1,1,1588903323,1,1,,,
test,3,63,165,11,0.5789473684210527,0.18341754005038485,-437.25811767578125,1,1,1588903323,1,1,,,
test,3,63,180,12,0.631578947368421,0.18341754005038485,-477.2497863769531,1,1,1588903323,1,1,,,
test,3,63,195,13,0.6842105263157895,0.18341754005038485,-516.9718017578125,1,1,1588903323,1,1,,,
test,3,63,210,14,0.7368421052631579,0.18341754005038485,-556.4173583984375,1,1,1588903323,1,1,,,
test,3,63,225,15,0.7894736842105263,0.18341754005038485,-595.3512573242188,1,1,1588903323,1,1,,,
test,3,63,240,16,0.8421052631578947,0.18341754005038485,-633.6256713867188,1,1,1588903323,1,1,,,
test,3,63,255,17,0.8947368421052632,0.18341754005038485,-672.7551879882812,1,1,1588903323,1,1,,,
test,3,63,270,18,0.9473684210526315,0.18341754005038485,-710.9451904296875,1,1,1588903323,1,1,,,
test,3,63,285,19,1.0,0.18341754005038485,-749.63623046875,1,1,1588903323,1,1,,,
test,4,66,0,0,0.0,-0.06695112756186168,0.2000797539949417,1,1,1588903323,1,1,,,
test,4,66,15,1,0.05263157894736842,-0.06695112756186168,-17.6047306060791,1,1,1588903323,1,1,,,
test,4,66,30,2,0.10526315789473684,-0.06695112756186168,-68.86699676513672,1,1,1588903323,1,1,,,
test,4,66,45,3,0.15789473684210525,-0.06695112756186168,-145.7265625,1,1,1588903323,1,1,,,
test,4,66,60,4,0.21052631578947367,-0.06695112756186168,-220.90074157714844,1,1,1588903323,1,1,,,
test,4,66,75,5,0.2631578947368421,-0.06695112756186168,-290.5696716308594,1,1,1588903323,1,1,,,
test,4,66,90,6,0.3157894736842105,-0.06695112756186168,-353.8503112792969,1,1,1588903323,1,1,,,
test,4,66,105,7,0.3684210526315789,-0.06695112756186168,-412.46978759765625,1,1,1588903323,1,1,,,
test,4,66,120,8,0.42105263157894735,-0.06695112756186168,-467.55426025390625,1,1,1588903323,1,1,,,
test,4,66,135,9,0.47368421052631576,-0.06695112756186168,-521.3990478515625,1,1,1588903323,1,1,,,
test,4,66,150,10,0.5263157894736842,-0.06695112756186168,-577.5894165039062,1,1,1588903323,1,1,,,
test,4,66,165,11,0.5789473684210527,-0.06695112756186168,-637.3327026367188,1,1,1588903323,1,1,,,
test,4,66,180,12,0.631578947368421,-0.06695112756186168,-700.0364379882812,1,1,1588903323,1,1,,,
test,4,66,195,13,0.6842105263157895,-0.06695112756186168,-764.1942749023438,1,1,1588903323,1,1,,,
test,4,66,210,14,0.7368421052631579,-0.06695112756186168,-829.440673828125,1,1,1588903323,1,1,,,
test,4,66,225,15,0.7894736842105263,-0.06695112756186168,-895.4761962890625,1,1,1588903323,1,1,,,
test,4,66,240,16,0.8421052631578947,-0.06695112756186168,-961.0794067382812,1,1,1588903323,1,1,,,
test,4,66,255,17,0.8947368421052632,-0.06695112756186168,-1026.9039306640625,1,1,1588903323,1,1,,,
test,4,66,270,18,0.9473684210526315,-0.06695112756186168,-1092.9033203125,1,1,1588903323,1,1,,,
test,4,66,285,19,1.0,-0.06695112756186168,-1159.139892578125,1,1,1588903323,1,1,,,
test,5,42,0,0,0.0,-0.17377978528774052,0.20186637341976166,1,1,1588903323,1,1,,,
test,5,42,15,1,0.05263157894736842,-0.17377978528774052,-20.875328063964844,1,1,1588903323,1,1,,,
test,5,42,30,2,0.10526315789473684,-0.17377978528774052,-105.84362030029297,1,1,1588903323,1,1,,,
test,5,42,45,3,0.15789473684210525,-0.17377978528774052,-248.33419799804688,1,1,1588903323,1,1,,,
test,5,42,60,4,0.21052631578947367,-0.17377978528774052,-389.6021423339844,1,1,1588903323,1,1,,,
test,5,42,75,5,0.2631578947368421,-0.17377978528774052,-541.699951171875,1,1,1588903323,1,1,,,
test,5,42,90,6,0.3157894736842105,-0.17377978528774052,-703.7680053710938,1,1,1588903323,1,1,,,
test,5,42,105,7,0.3684210526315789,-0.17377978528774052,-872.1752319335938,1,1,1588903323,1,1,,,
test,5,42,120,8,0.42105263157894735,-0.17377978528774052,-1045.972900390625,1,1,1588903323,1,1,,,
test,5,42,135,9,0.47368421052631576,-0.17377978528774052,-1222.7503662109375,1,1,1588903323,1,1,,,
test,5,42,150,10,0.5263157894736842,-0.17377978528774052,-1402.774658203125,1,1,1588903323,1,1,,,
test,5,42,165,11,0.5789473684210527,-0.17377978528774052,-1583.85888671875,1,1,1588903323,1,1,,,
test,5,42,180,12,0.631578947368421,-0.17377978528774052,-1766.170166015625,1,1,1588903323,1,1,,,
test,5,42,195,13,0.6842105263157895,-0.17377978528774052,-1949.076904296875,1,1,1588903323,1,1,,,
test,5,42,210,14,0.7368421052631579,-0.17377978528774052,-2133.482666015625,1,1,1588903323,1,1,,,
test,5,42,225,15,0.7894736842105263,-0.17377978528774052,-2318.37060546875,1,1,1588903323,1,1,,,
test,5,42,240,16,0.8421052631578947,-0.17377978528774052,-2502.9375,1,1,1588903323,1,1,,,
test,5,42,255,17,0.8947368421052632,-0.17377978528774052,-2687.9384765625,1,1,1588903323,1,1,,,
test,5,42,270,18,0.9473684210526315,-0.17377978528774052,-2872.470458984375,1,1,1588903323,1,1,,,
test,5,42,285,19,1.0,-0.17377978528774052,-3057.53466796875,1,1,1588903323,1,1,,,
test,6,41,0,0,0.0,-0.2124182814927736,0.20541958510875702,1,1,1588903323,1,1,,,
test,6,41,15,1,0.05263157894736842,-0.2124182814927736,-26.79476547241211,1,1,1588903323,1,1,,,
test,6,41,30,2,0.10526315789473684,-0.2124182814927736,-119.60523223876953,1,1,1588903323,1,1,,,
test,6,41,45,3,0.15789473684210525,-0.2124182814927736,-198.30030822753906,1,1,1588903323,1,1,,,
test,6,41,60,4,0.21052631578947367,-0.2124182814927736,-257.3049621582031,1,1,1588903323,1,1,,,
test,6,41,75,5,0.2631578947368421,-0.2124182814927736,-305.4332580566406,1,1,1588903323,1,1,,,
test,6,41,90,6,0.3157894736842105,-0.2124182814927736,-364.0093688964844,1,1,1588903323,1,1,,,
test,6,41,105,7,0.3684210526315789,-0.2124182814927736,-431.2550964355469,1,1,1588903323,1,1,,,
test,6,41,120,8,0.42105263157894735,-0.2124182814927736,-501.0630187988281,1,1,1588903323,1,1,,,
test,6,41,135,9,0.47368421052631576,-0.2124182814927736,-573.4497680664062,1,1,1588903323,1,1,,,
test,6,41,150,10,0.5263157894736842,-0.2124182814927736,-653.0446166992188,1,1,1588903323,1,1,,,
test,6,41,165,11,0.5789473684210527,-0.2124182814927736,-738.3159790039062,1,1,1588903323,1,1,,,
test,6,41,180,12,0.631578947368421,-0.2124182814927736,-825.9134521484375,1,1,1588903323,1,1,,,
test,6,41,195,13,0.6842105263157895,-0.2124182814927736,-916.8777465820312,1,1,1588903323,1,1,,,
test,6,41,210,14,0.7368421052631579,-0.2124182814927736,-1011.8154907226562,1,1,1588903323,1,1,,,
test,6,41,225,15,0.7894736842105263,-0.2124182814927736,-1111.200439453125,1,1,1588903323,1,1,,,
test,6,41,240,16,0.8421052631578947,-0.2124182814927736,-1212.103515625,1,1,1588903323,1,1,,,
test,6,41,255,17,0.8947368421052632,-0.2124182814927736,-1311.7908935546875,1,1,1588903323,1,1,,,
test,6,41,270,18,0.9473684210526315,-0.2124182814927736,-1411.87060546875,1,1,1588903323,1,1,,,
test,6,41,285,19,1.0,-0.2124182814927736,-1514.2158203125,1,1,1588903323,1,1,,,
test,7,45,0,0,0.0,-0.25379435107376286,0.20274053514003754,1,1,1588903323,1,1,,,
test,7,45,15,1,0.05263157894736842,-0.25379435107376286,-22.897859573364258,1,1,1588903323,1,1,,,
test,7,45,30,2,0.10526315789473684,-0.25379435107376286,-150.30447387695312,1,1,1588903323,1,1,,,
test,7,45,45,3,0.15789473684210525,-0.25379435107376286,-297.1455383300781,1,1,1588903323,1,1,,,
test,7,45,60,4,0.21052631578947367,-0.25379435107376286,-419.3470458984375,1,1,1588903323,1,1,,,
test,7,45,75,5,0.2631578947368421,-0.25379435107376286,-534.87890625,1,1,1588903323,1,1,,,
test,7,45,90,6,0.3157894736842105,-0.25379435107376286,-646.7838134765625,1,1,1588903323,1,1,,,
test,7,45,105,7,0.3684210526315789,-0.25379435107376286,-752.1367797851562,1,1,1588903323,1,1,,,
test,7,45,120,8,0.42105263157894735,-0.25379435107376286,-847.3855590820312,1,1,1588903323,1,1,,,
test,7,45,135,9,0.47368421052631576,-0.25379435107376286,-928.2622680664062,1,1,1588903323,1,1,,,
test,7,45,150,10,0.5263157894736842,-0.25379435107376286,-997.5359497070312,1,1,1588903323,1,1,,,
test,7,45,165,11,0.5789473684210527,-0.25379435107376286,-1061.4957275390625,1,1,1588903323,1,1,,,
test,7,45,180,12,0.631578947368421,-0.25379435107376286,-1126.187744140625,1,1,1588903323,1,1,,,
test,7,45,195,13,0.6842105263157895,-0.25379435107376286,-1200.1148681640625,1,1,1588903323,1,1,,,
test,7,45,210,14,0.7368421052631579,-0.25379435107376286,-1286.641845703125,1,1,1588903323,1,1,,,
test,7,45,225,15,0.7894736842105263,-0.25379435107376286,-1383.590576171875,1,1,1588903323,1,1,,,
test,7,45,240,16,0.8421052631578947,-0.25379435107376286,-1485.2408447265625,1,1,1588903323,1,1,,,
test,7,45,255,17,0.8947368421052632,-0.25379435107376286,-1589.2294921875,1,1,1588903323,1,1,,,
test,7,45,270,18,0.9473684210526315,-0.25379435107376286,-1693.8272705078125,1,1,1588903323,1,1,,,
test,7,45,285,19,1.0,-0.25379435107376286,-1798.764404296875,1,1,1588903323,1,1,,,
test,8,19,0,0,0.0,-0.30467685297745023,0.203229621052742,1,1,1588903323,1,1,,,
test,8,19,15,1,0.05263157894736842,-0.30467685297745023,-15.959612846374512,1,1,1588903323,1,1,,,
test,8,19,30,2,0.10526315789473684,-0.30467685297745023,-49.533172607421875,1,1,1588903323,1,1,,,
test,8,19,45,3,0.15789473684210525,-0.30467685297745023,-102.80006408691406,1,1,1588903323,1,1,,,
test,8,19,60,4,0.21052631578947367,-0.30467685297745023,-176.23890686035156,1,1,1588903323,1,1,,,
test,8,19,75,5,0.2631578947368421,-0.30467685297745023,-254.78797912597656,1,1,1588903323,1,1,,,
test,8,19,90,6,0.3157894736842105,-0.30467685297745023,-320.5636291503906,1,1,1588903323,1,1,,,
test,8,19,105,7,0.3684210526315789,-0.30467685297745023,-374.98583984375,1,1,1588903323,1,1,,,
test,8,19,120,8,0.42105263157894735,-0.30467685297745023,-427.6138610839844,1,1,1588903323,1,1,,,
test,8,19,135,9,0.47368421052631576,-0.30467685297745023,-484.3512878417969,1,1,1588903323,1,1,,,
test,8,19,150,10,0.5263157894736842,-0.30467685297745023,-545.1580200195312,1,1,1588903323,1,1,,,
test,8,19,165,11,0.5789473684210527,-0.30467685297745023,-611.110107421875,1,1,1588903323,1,1,,,
test,8,19,180,12,0.631578947368421,-0.30467685297745023,-683.0508422851562,1,1,1588903323,1,1,,,
test,8,19,195,13,0.6842105263157895,-0.30467685297745023,-767.5230712890625,1,1,1588903323,1,1,,,
test,8,19,210,14,0.7368421052631579,-0.30467685297745023,-879.2770385742188,1,1,1588903323,1,1,,,
test,8,19,225,15,0.7894736842105263,-0.30467685297745023,-1027.68212890625,1,1,1588903323,1,1,,,
test,8,19,240,16,0.8421052631578947,-0.30467685297745023,-1206.667724609375,1,1,1588903323,1,1,,,
test,8,19,255,17,0.8947368421052632,-0.30467685297745023,-1388.4559326171875,1,1,1588903323,1,1,,,
test,8,19,270,18,0.9473684210526315,-0.30467685297745023,-1538.1888427734375,1,1,1588903323,1,1,,,
test,8,19,285,19,1.0,-0.30467685297745023,-1640.5328369140625,1,1,1588903323,1,1,,,
test,9,83,0,0,0.0,-0.12315607316120104,0.20521320402622223,1,1,1588903323,1,1,,,
test,9,83,15,1,0.05263157894736842,-0.12315607316120104,-20.374000549316406,1,1,1588903323,1,1,,,
test,9,83,30,2,0.10526315789473684,-0.12315607316120104,-77.42662811279297,1,1,1588903323,1,1,,,
test,9,83,45,3,0.15789473684210525,-0.12315607316120104,-139.87770080566406,1,1,1588903323,1,1,,,
test,9,83,60,4,0.21052631578947367,-0.12315607316120104,-198.9434814453125,1,1,1588903323,1,1,,,
test,9,83,75,5,0.2631578947368421,-0.12315607316120104,-269.4117126464844,1,1,1588903323,1,1,,,
test,9,83,90,6,0.3157894736842105,-0.12315607316120104,-345.0265808105469,1,1,1588903323,1,1,,,
test,9,83,105,7,0.3684210526315789,-0.12315607316120104,-421.98297119140625,1,1,1588903323,1,1,,,
test,9,83,120,8,0.42105263157894735,-0.12315607316120104,-498.31732177734375,1,1,1588903323,1,1,,,
test,9,83,135,9,0.47368421052631576,-0.12315607316120104,-575.8141479492188,1,1,1588903323,1,1,,,
test,9,83,150,10,0.5263157894736842,-0.12315607316120104,-652.9083251953125,1,1,1588903323,1,1,,,
test,9,83,165,11,0.5789473684210527,-0.12315607316120104,-729.6438598632812,1,1,1588903323,1,1,,,
test,9,83,180,12,0.631578947368421,-0.12315607316120104,-805.3672485351562,1,1,1588903323,1,1,,,
test,9,83,195,13,0.6842105263157895,-0.12315607316120104,-880.170654296875,1,1,1588903323,1,1,,,
test,9,83,210,14,0.7368421052631579,-0.12315607316120104,-954.2412719726562,1,1,1588903323,1,1,,,
test,9,83,225,15,0.7894736842105263,-0.12315607316120104,-1028.426025390625,1,1,1588903323,1,1,,,
test,9,83,240,16,0.8421052631578947,-0.12315607316120104,-1102.82275390625,1,1,1588903323,1,1,,,
test,9,83,255,17,0.8947368421052632,-0.12315607316120104,-1176.73974609375,1,1,1588903323,1,1,,,
test,9,83,270,18,0.9473684210526315,-0.12315607316120104,-1250.945556640625,1,1,1588903323,1,1,,,
test,9,83,285,19,1.0,-0.12315607316120104,-1324.145751953125,1,1,1588903323,1,1,,,
test,10,61,0,0,0.0,0.005567729494897904,0.20254752039909363,1,1,1588903323,1,1,,,
test,10,61,15,1,0.05263157894736842,0.005567729494897904,-16.194759368896484,1,1,1588903323,1,1,,,
test,10,61,30,2,0.10526315789473684,0.005567729494897904,-51.773799896240234,1,1,1588903323,1,1,,,
test,10,61,45,3,0.15789473684210525,0.005567729494897904,-106.74526977539062,1,1,1588903323,1,1,,,
test,10,61,60,4,0.21052631578947367,0.005567729494897904,-166.5887451171875,1,1,1588903323,1,1,,,
test,10,61,75,5,0.2631578947368421,0.005567729494897904,-224.0350799560547,1,1,1588903323,1,1,,,
test,10,61,90,6,0.3157894736842105,0.005567729494897904,-279.54034423828125,1,1,1588903323,1,1,,,
test,10,61,105,7,0.3684210526315789,0.005567729494897904,-335.7573547363281,1,1,1588903323,1,1,,,
test,10,61,120,8,0.42105263157894735,0.005567729494897904,-392.2726135253906,1,1,1588903323,1,1,,,
test,10,61,135,9,0.47368421052631576,0.005567729494897904,-450.7001037597656,1,1,1588903323,1,1,,,
test,10,61,150,10,0.5263157894736842,0.005567729494897904,-509.8626403808594,1,1,1588903323,1,1,,,
test,10,61,165,11,0.5789473684210527,0.005567729494897904,-569.0350341796875,1,1,1588903323,1,1,,,
test,10,61,180,12,0.631578947368421,0.005567729494897904,-627.9830932617188,1,1,1588903323,1,1,,,
test,10,61,195,13,0.6842105263157895,0.005567729494897904,-688.2745971679688,1,1,1588903323,1,1,,,
test,10,61,210,14,0.7368421052631579,0.005567729494897904,-748.7971801757812,1,1,1588903323,1,1,,,
test,10,61,225,15,0.7894736842105263,0.005567729494897904,-808.6785888671875,1,1,1588903323,1,1,,,
test,10,61,240,16,0.8421052631578947,0.005567729494897904,-869.5257568359375,1,1,1588903323,1,1,,,
test,10,61,255,17,0.8947368421052632,0.005567729494897904,-929.4672241210938,1,1,1588903323,1,1,,,
test,10,61,270,18,0.9473684210526315,0.005567729494897904,-989.5828247070312,1,1,1588903323,1,1,,,
test,10,61,285,19,1.0,0.005567729494897904,-1049.5654296875,1,1,1588903323,1,1,,,
test,11,13,0,0,0.0,-0.13510764728463107,0.1991579532623291,1,1,1588903323,1,1,,,
test,11,13,15,1,0.05263157894736842,-0.13510764728463107,-19.9002628326416,1,1,1588903323,1,1,,,
test,11,13,30,2,0.10526315789473684,-0.13510764728463107,-96.71744537353516,1,1,1588903323,1,1,,,
test,11,13,45,3,0.15789473684210525,-0.13510764728463107,-202.20802307128906,1,1,1588903323,1,1,,,
test,11,13,60,4,0.21052631578947367,-0.13510764728463107,-289.8573303222656,1,1,1588903323,1,1,,,
test,11,13,75,5,0.2631578947368421,-0.13510764728463107,-370.98382568359375,1,1,1588903323,1,1,,,
