latent_dim,repeat,train_networks,train_frames_per_network,split,signal,target,pearson_r,corr_r2,n
1,1,1,1,val,z0,final_p_ratio,0.5797714959968907,0.33613498757047267,25
1,1,1,1,val,z0,stiffness_mean,-0.5146800215440975,0.2648955245766327,25
1,1,1,1,val,z0,stiffness_std,-0.5701368856793816,0.3250560684121842,25
1,1,1,1,val,z0,stiffness_min,0.5478386792782703,0.30012721851335955,25
1,1,1,1,val,z0,stiffness_max,-0.5426098590842854,0.29442545917546803,25
1,1,1,1,val,z0,near_zero_stiffness_edge_count,0.13410685411472387,0.01798464832054783,25
1,1,1,1,val,z0,near_zero_stiffness_edge_fraction,0.13132196824147516,0.01724545934281501,25
1,1,1,1,val,z0,horizontal_stiffness,-0.4955363969596677,0.2455563207117694,25
1,1,1,1,val,z0,vertical_stiffness,-0.6194554796093464,0.38372509121804543,25
1,1,1,1,val,z0,diagonal_stiffness,0.42569639593374975,0.18121742151098383,25
1,1,1,1,val,z0,vertical_minus_horizontal_stiffness,-0.39551758763169775,0.1564341621259977,25
1,1,1,1,val,z0,vertical_over_horizontal_stiffness,-0.2252664429024496,0.05074497029792258,25
1,1,1,1,val,z0,horizontal_edge_fraction,0.4067371619649711,0.16543511892331914,25
1,1,1,1,val,z0,vertical_edge_fraction,0.5349278122149681,0.2861477642810922,25
1,1,1,1,val,z0,diagonal_edge_fraction,-0.6905677694066208,0.47688384414323576,25
1,1,1,1,val,z0,edge_length_mean,-0.349551974015634,0.12218658253822645,25
1,1,1,1,val,z0,edge_length_std,0.06341915071024955,0.004021988676809345,25
1,1,1,1,val,z0,bbox_x_span,0.1689123667711551,0.02853138764823322,25
1,1,1,1,val,z0,bbox_y_span,0.1658410215383728,0.027503244424891028,25
1,1,1,1,val,z0,bbox_aspect_y_over_x,-0.04531228421692706,0.002053203100955577,25
1,1,1,1,val,z0,descriptor_distance_to_train,0.3678446761758335,0.13530970579090382,25
1,1,1,1,val,z0,final_p_ratio_delta_to_train,0.5797714959968905,0.3361349875704724,25
1,1,1,1,val,z1,final_p_ratio,,,0
1,1,1,1,val,z1,stiffness_mean,,,0
1,1,1,1,val,z1,stiffness_std,,,0
1,1,1,1,val,z1,stiffness_min,,,0
1,1,1,1,val,z1,stiffness_max,,,0
1,1,1,1,val,z1,near_zero_stiffness_edge_count,,,0
1,1,1,1,val,z1,near_zero_stiffness_edge_fraction,,,0
1,1,1,1,val,z1,horizontal_stiffness,,,0
1,1,1,1,val,z1,vertical_stiffness,,,0
1,1,1,1,val,z1,diagonal_stiffness,,,0
1,1,1,1,val,z1,vertical_minus_horizontal_stiffness,,,0
1,1,1,1,val,z1,vertical_over_horizontal_stiffness,,,0
1,1,1,1,val,z1,horizontal_edge_fraction,,,0
1,1,1,1,val,z1,vertical_edge_fraction,,,0
1,1,1,1,val,z1,diagonal_edge_fraction,,,0
1,1,1,1,val,z1,edge_length_mean,,,0
1,1,1,1,val,z1,edge_length_std,,,0
1,1,1,1,val,z1,bbox_x_span,,,0
1,1,1,1,val,z1,bbox_y_span,,,0
1,1,1,1,val,z1,bbox_aspect_y_over_x,,,0
1,1,1,1,val,z1,descriptor_distance_to_train,,,0
1,1,1,1,val,z1,final_p_ratio_delta_to_train,,,0
1,1,1,1,val,z2,final_p_ratio,,,0
1,1,1,1,val,z2,stiffness_mean,,,0
1,1,1,1,val,z2,stiffness_std,,,0
1,1,1,1,val,z2,stiffness_min,,,0
1,1,1,1,val,z2,stiffness_max,,,0
1,1,1,1,val,z2,near_zero_stiffness_edge_count,,,0
1,1,1,1,val,z2,near_zero_stiffness_edge_fraction,,,0
1,1,1,1,val,z2,horizontal_stiffness,,,0
1,1,1,1,val,z2,vertical_stiffness,,,0
1,1,1,1,val,z2,diagonal_stiffness,,,0
1,1,1,1,val,z2,vertical_minus_horizontal_stiffness,,,0
1,1,1,1,val,z2,vertical_over_horizontal_stiffness,,,0
1,1,1,1,val,z2,horizontal_edge_fraction,,,0
1,1,1,1,val,z2,vertical_edge_fraction,,,0
1,1,1,1,val,z2,diagonal_edge_fraction,,,0
1,1,1,1,val,z2,edge_length_mean,,,0
1,1,1,1,val,z2,edge_length_std,,,0
1,1,1,1,val,z2,bbox_x_span,,,0
1,1,1,1,val,z2,bbox_y_span,,,0
1,1,1,1,val,z2,bbox_aspect_y_over_x,,,0
1,1,1,1,val,z2,descriptor_distance_to_train,,,0
1,1,1,1,val,z2,final_p_ratio_delta_to_train,,,0
1,1,1,1,val,z3,final_p_ratio,,,0
1,1,1,1,val,z3,stiffness_mean,,,0
1,1,1,1,val,z3,stiffness_std,,,0
1,1,1,1,val,z3,stiffness_min,,,0
1,1,1,1,val,z3,stiffness_max,,,0
1,1,1,1,val,z3,near_zero_stiffness_edge_count,,,0
1,1,1,1,val,z3,near_zero_stiffness_edge_fraction,,,0
1,1,1,1,val,z3,horizontal_stiffness,,,0
1,1,1,1,val,z3,vertical_stiffness,,,0
1,1,1,1,val,z3,diagonal_stiffness,,,0
1,1,1,1,val,z3,vertical_minus_horizontal_stiffness,,,0
1,1,1,1,val,z3,vertical_over_horizontal_stiffness,,,0
1,1,1,1,val,z3,horizontal_edge_fraction,,,0
1,1,1,1,val,z3,vertical_edge_fraction,,,0
1,1,1,1,val,z3,diagonal_edge_fraction,,,0
1,1,1,1,val,z3,edge_length_mean,,,0
1,1,1,1,val,z3,edge_length_std,,,0
1,1,1,1,val,z3,bbox_x_span,,,0
1,1,1,1,val,z3,bbox_y_span,,,0
1,1,1,1,val,z3,bbox_aspect_y_over_x,,,0
1,1,1,1,val,z3,descriptor_distance_to_train,,,0
1,1,1,1,val,z3,final_p_ratio_delta_to_train,,,0
1,1,1,2,val,z0,final_p_ratio,0.8766810354869969,0.7685696379825532,25
1,1,1,2,val,z0,stiffness_mean,-0.8739317835608087,0.7637567623177762,25
1,1,1,2,val,z0,stiffness_std,-0.849693120348872,0.7219783987682027,25
1,1,1,2,val,z0,stiffness_min,0.7386135945340648,0.5455500420305319,25
1,1,1,2,val,z0,stiffness_max,-0.7916798522360394,0.6267569884364772,25
1,1,1,2,val,z0,near_zero_stiffness_edge_count,-0.18649742819519396,0.03478129072342153,25
1,1,1,2,val,z0,near_zero_stiffness_edge_fraction,-0.16481291398014436,0.027163296614626464,25
1,1,1,2,val,z0,horizontal_stiffness,-0.876624301326938,0.7684701656769423,25
1,1,1,2,val,z0,vertical_stiffness,-0.8291388247586674,0.6874711907221842,25
1,1,1,2,val,z0,diagonal_stiffness,0.44056108123503407,0.1940940662989823,25
1,1,1,2,val,z0,vertical_minus_horizontal_stiffness,-0.10360311017589381,0.010733604438118391,25
1,1,1,2,val,z0,vertical_over_horizontal_stiffness,0.21670696951943155,0.046961910638295835,25
1,1,1,2,val,z0,horizontal_edge_fraction,0.07903143176275589,0.0062459672064711395,25
1,1,1,2,val,z0,vertical_edge_fraction,-0.1738324841510068,0.03021773254611003,25
1,1,1,2,val,z0,diagonal_edge_fraction,0.04831040529677792,0.0023338952599389483,25
1,1,1,2,val,z0,edge_length_mean,0.00988130251114223,9.764013931670576e-05,25
1,1,1,2,val,z0,edge_length_std,0.15590323378962842,0.024305818306063535,25
1,1,1,2,val,z0,bbox_x_span,0.18882463380341663,0.03565474233099439,25
1,1,1,2,val,z0,bbox_y_span,0.1870130341469159,0.03497387494083553,25
1,1,1,2,val,z0,bbox_aspect_y_over_x,-0.01668057705936654,0.00027824165103346535,25
1,1,1,2,val,z0,descriptor_distance_to_train,0.7003035005510658,0.49042499288407665,25
1,1,1,2,val,z0,final_p_ratio_delta_to_train,0.8766810354869969,0.7685696379825532,25
1,1,1,2,val,z1,final_p_ratio,,,0
1,1,1,2,val,z1,stiffness_mean,,,0
1,1,1,2,val,z1,stiffness_std,,,0
1,1,1,2,val,z1,stiffness_min,,,0
1,1,1,2,val,z1,stiffness_max,,,0
1,1,1,2,val,z1,near_zero_stiffness_edge_count,,,0
1,1,1,2,val,z1,near_zero_stiffness_edge_fraction,,,0
1,1,1,2,val,z1,horizontal_stiffness,,,0
1,1,1,2,val,z1,vertical_stiffness,,,0
1,1,1,2,val,z1,diagonal_stiffness,,,0
1,1,1,2,val,z1,vertical_minus_horizontal_stiffness,,,0
1,1,1,2,val,z1,vertical_over_horizontal_stiffness,,,0
1,1,1,2,val,z1,horizontal_edge_fraction,,,0
1,1,1,2,val,z1,vertical_edge_fraction,,,0
1,1,1,2,val,z1,diagonal_edge_fraction,,,0
1,1,1,2,val,z1,edge_length_mean,,,0
1,1,1,2,val,z1,edge_length_std,,,0
1,1,1,2,val,z1,bbox_x_span,,,0
1,1,1,2,val,z1,bbox_y_span,,,0
1,1,1,2,val,z1,bbox_aspect_y_over_x,,,0
1,1,1,2,val,z1,descriptor_distance_to_train,,,0
1,1,1,2,val,z1,final_p_ratio_delta_to_train,,,0
1,1,1,2,val,z2,final_p_ratio,,,0
1,1,1,2,val,z2,stiffness_mean,,,0
1,1,1,2,val,z2,stiffness_std,,,0
1,1,1,2,val,z2,stiffness_min,,,0
1,1,1,2,val,z2,stiffness_max,,,0
1,1,1,2,val,z2,near_zero_stiffness_edge_count,,,0
1,1,1,2,val,z2,near_zero_stiffness_edge_fraction,,,0
1,1,1,2,val,z2,horizontal_stiffness,,,0
1,1,1,2,val,z2,vertical_stiffness,,,0
1,1,1,2,val,z2,diagonal_stiffness,,,0
1,1,1,2,val,z2,vertical_minus_horizontal_stiffness,,,0
1,1,1,2,val,z2,vertical_over_horizontal_stiffness,,,0
1,1,1,2,val,z2,horizontal_edge_fraction,,,0
1,1,1,2,val,z2,vertical_edge_fraction,,,0
1,1,1,2,val,z2,diagonal_edge_fraction,,,0
1,1,1,2,val,z2,edge_length_mean,,,0
1,1,1,2,val,z2,edge_length_std,,,0
1,1,1,2,val,z2,bbox_x_span,,,0
1,1,1,2,val,z2,bbox_y_span,,,0
1,1,1,2,val,z2,bbox_aspect_y_over_x,,,0
1,1,1,2,val,z2,descriptor_distance_to_train,,,0
1,1,1,2,val,z2,final_p_ratio_delta_to_train,,,0
1,1,1,2,val,z3,final_p_ratio,,,0
1,1,1,2,val,z3,stiffness_mean,,,0
1,1,1,2,val,z3,stiffness_std,,,0
1,1,1,2,val,z3,stiffness_min,,,0
1,1,1,2,val,z3,stiffness_max,,,0
1,1,1,2,val,z3,near_zero_stiffness_edge_count,,,0
1,1,1,2,val,z3,near_zero_stiffness_edge_fraction,,,0
1,1,1,2,val,z3,horizontal_stiffness,,,0
1,1,1,2,val,z3,vertical_stiffness,,,0
1,1,1,2,val,z3,diagonal_stiffness,,,0
1,1,1,2,val,z3,vertical_minus_horizontal_stiffness,,,0
1,1,1,2,val,z3,vertical_over_horizontal_stiffness,,,0
1,1,1,2,val,z3,horizontal_edge_fraction,,,0
1,1,1,2,val,z3,vertical_edge_fraction,,,0
1,1,1,2,val,z3,diagonal_edge_fraction,,,0
1,1,1,2,val,z3,edge_length_mean,,,0
1,1,1,2,val,z3,edge_length_std,,,0
1,1,1,2,val,z3,bbox_x_span,,,0
1,1,1,2,val,z3,bbox_y_span,,,0
1,1,1,2,val,z3,bbox_aspect_y_over_x,,,0
1,1,1,2,val,z3,descriptor_distance_to_train,,,0
1,1,1,2,val,z3,final_p_ratio_delta_to_train,,,0
1,1,1,4,val,z0,final_p_ratio,0.7183499388213029,0.5160266346045697,25
1,1,1,4,val,z0,stiffness_mean,-0.8336991184212771,0.6950542200564146,25
1,1,1,4,val,z0,stiffness_std,-0.7977608049057178,0.6364223018438186,25
1,1,1,4,val,z0,stiffness_min,0.6668159095952132,0.44464345728929155,25
1,1,1,4,val,z0,stiffness_max,-0.7715465387280481,0.5952840614232314,25
1,1,1,4,val,z0,near_zero_stiffness_edge_count,-0.47091707041211667,0.22176288720553045,25
1,1,1,4,val,z0,near_zero_stiffness_edge_fraction,-0.40911825267282337,0.16737774467006414,25
1,1,1,4,val,z0,horizontal_stiffness,-0.8085499146216893,0.6537529644347412,25
1,1,1,4,val,z0,vertical_stiffness,-0.7474206077199365,0.5586375648444392,25
1,1,1,4,val,z0,diagonal_stiffness,0.03803807326305048,0.001446895017565196,25
1,1,1,4,val,z0,vertical_minus_horizontal_stiffness,0.5543371620449311,0.3072896892240282,25
