latent_dim,repeat,train_networks,train_frames_per_network,signal,controls,partial_r,partial_r2,n
1,1,1,1,z0,stiffness_std,-0.044956549563037095,0.0020210913486138106,76
1,1,1,1,z0,near_zero_fraction,0.4634331672193073,0.21477030047891843,76
1,1,1,1,z0,geometry_spans,0.4402045944246814,0.19378008495259824,76
1,1,1,1,z0,train_distance,0.19917483064871427,0.03967061316394401,76
1,1,1,1,z0,stiffness_plus_geometry,-0.07595974890040555,0.005769883453012662,76
1,1,1,1,z1,stiffness_std,,,0
1,1,1,1,z1,near_zero_fraction,,,0
1,1,1,1,z1,geometry_spans,,,0
1,1,1,1,z1,train_distance,,,0
1,1,1,1,z1,stiffness_plus_geometry,,,0
1,1,1,1,z2,stiffness_std,,,0
1,1,1,1,z2,near_zero_fraction,,,0
1,1,1,1,z2,geometry_spans,,,0
1,1,1,1,z2,train_distance,,,0
1,1,1,1,z2,stiffness_plus_geometry,,,0
1,1,1,1,z3,stiffness_std,,,0
1,1,1,1,z3,near_zero_fraction,,,0
1,1,1,1,z3,geometry_spans,,,0
1,1,1,1,z3,train_distance,,,0
1,1,1,1,z3,stiffness_plus_geometry,,,0
1,1,1,2,z0,stiffness_std,-0.20276504896998562,0.04111366508380067,76
1,1,1,2,z0,near_zero_fraction,0.7079566927285567,0.501202678779156,76
1,1,1,2,z0,geometry_spans,0.7698241552541638,0.5926292300127869,76
1,1,1,2,z0,train_distance,0.6333144740399749,0.40108722302853,76
1,1,1,2,z0,stiffness_plus_geometry,-0.1994091959848547,0.039764027443326196,76
1,1,1,2,z1,stiffness_std,,,0
1,1,1,2,z1,near_zero_fraction,,,0
1,1,1,2,z1,geometry_spans,,,0
1,1,1,2,z1,train_distance,,,0
1,1,1,2,z1,stiffness_plus_geometry,,,0
1,1,1,2,z2,stiffness_std,,,0
1,1,1,2,z2,near_zero_fraction,,,0
1,1,1,2,z2,geometry_spans,,,0
1,1,1,2,z2,train_distance,,,0
1,1,1,2,z2,stiffness_plus_geometry,,,0
1,1,1,2,z3,stiffness_std,,,0
1,1,1,2,z3,near_zero_fraction,,,0
1,1,1,2,z3,geometry_spans,,,0
1,1,1,2,z3,train_distance,,,0
1,1,1,2,z3,stiffness_plus_geometry,,,0
1,1,1,4,z0,stiffness_std,-0.09546546117737237,0.009113654277808391,76
1,1,1,4,z0,near_zero_fraction,0.7481741025514329,0.5597644877286421,76
1,1,1,4,z0,geometry_spans,0.7596485736563181,0.5770659554580786,76
1,1,1,4,z0,train_distance,0.6317778476253119,0.3991432487500718,76
1,1,1,4,z0,stiffness_plus_geometry,-0.019911061643836023,0.00039645037578463807,76
1,1,1,4,z1,stiffness_std,,,0
1,1,1,4,z1,near_zero_fraction,,,0
1,1,1,4,z1,geometry_spans,,,0
1,1,1,4,z1,train_distance,,,0
1,1,1,4,z1,stiffness_plus_geometry,,,0
1,1,1,4,z2,stiffness_std,,,0
1,1,1,4,z2,near_zero_fraction,,,0
1,1,1,4,z2,geometry_spans,,,0
1,1,1,4,z2,train_distance,,,0
1,1,1,4,z2,stiffness_plus_geometry,,,0
1,1,1,4,z3,stiffness_std,,,0
1,1,1,4,z3,near_zero_fraction,,,0
1,1,1,4,z3,geometry_spans,,,0
1,1,1,4,z3,train_distance,,,0
1,1,1,4,z3,stiffness_plus_geometry,,,0
2,1,1,1,z0,stiffness_std,-0.13758742049944359,0.01893029827969071,76
2,1,1,1,z0,near_zero_fraction,0.7472894457606971,0.5584415157453299,76
2,1,1,1,z0,geometry_spans,0.8283659621539926,0.6861901672553099,76
2,1,1,1,z0,train_distance,0.6682210586090667,0.4465193831686217,76
2,1,1,1,z0,stiffness_plus_geometry,-0.08258989482787138,0.006821090727678856,76
2,1,1,1,z1,stiffness_std,0.008029406753208537,6.447137280847085e-05,76
2,1,1,1,z1,near_zero_fraction,0.5410678513196581,0.2927544197316716,76
2,1,1,1,z1,geometry_spans,0.6123533126356031,0.37497657949579666,76
2,1,1,1,z1,train_distance,0.5232622996219611,0.27380343420566305,76
2,1,1,1,z1,stiffness_plus_geometry,-0.07039851626856496,0.004955951092815405,76
2,1,1,1,z2,stiffness_std,,,0
2,1,1,1,z2,near_zero_fraction,,,0
2,1,1,1,z2,geometry_spans,,,0
2,1,1,1,z2,train_distance,,,0
2,1,1,1,z2,stiffness_plus_geometry,,,0
2,1,1,1,z3,stiffness_std,,,0
2,1,1,1,z3,near_zero_fraction,,,0
2,1,1,1,z3,geometry_spans,,,0
2,1,1,1,z3,train_distance,,,0
2,1,1,1,z3,stiffness_plus_geometry,,,0
2,1,1,2,z0,stiffness_std,0.15952641630516326,0.025448677499168258,76
2,1,1,2,z0,near_zero_fraction,-0.31717886911964455,0.10060243501601661,76
2,1,1,2,z0,geometry_spans,-0.3413260017338552,0.11650343945961972,76
2,1,1,2,z0,train_distance,-0.21922070121318363,0.04805771584039993,76
2,1,1,2,z0,stiffness_plus_geometry,0.1314496765855911,0.017279017474456496,76
2,1,1,2,z1,stiffness_std,0.11336554882851532,0.012851747661190491,76
2,1,1,2,z1,near_zero_fraction,0.12420375041825822,0.01542657161796098,76
2,1,1,2,z1,geometry_spans,0.16481591024194764,0.02716428426888174,76
2,1,1,2,z1,train_distance,0.18263442714336908,0.03335533397798659,76
2,1,1,2,z1,stiffness_plus_geometry,0.08324226598609628,0.006929274846500002,76
2,1,1,2,z2,stiffness_std,,,0
2,1,1,2,z2,near_zero_fraction,,,0
2,1,1,2,z2,geometry_spans,,,0
2,1,1,2,z2,train_distance,,,0
2,1,1,2,z2,stiffness_plus_geometry,,,0
2,1,1,2,z3,stiffness_std,,,0
2,1,1,2,z3,near_zero_fraction,,,0
2,1,1,2,z3,geometry_spans,,,0
2,1,1,2,z3,train_distance,,,0
2,1,1,2,z3,stiffness_plus_geometry,,,0
2,1,1,4,z0,stiffness_std,-0.11052642191191286,0.012216089940650172,76
2,1,1,4,z0,near_zero_fraction,-0.21296270328502506,0.04535311299046563,76
2,1,1,4,z0,geometry_spans,-0.1335014020174143,0.017822624340615274,76
2,1,1,4,z0,train_distance,-0.13162553096805404,0.017325280402622153,76
2,1,1,4,z0,stiffness_plus_geometry,-0.1937670335804817,0.037545663302579524,76
2,1,1,4,z1,stiffness_std,0.08069939029502286,0.006512391593988431,76
2,1,1,4,z1,near_zero_fraction,0.5423542187666684,0.29414809861400326,76
2,1,1,4,z1,geometry_spans,0.5086466263682591,0.25872139051581133,76
2,1,1,4,z1,train_distance,0.5103529524193716,0.26046013604316937,76
2,1,1,4,z1,stiffness_plus_geometry,0.16478406635693965,0.02715378852512829,76
2,1,1,4,z2,stiffness_std,,,0
2,1,1,4,z2,near_zero_fraction,,,0
2,1,1,4,z2,geometry_spans,,,0
2,1,1,4,z2,train_distance,,,0
2,1,1,4,z2,stiffness_plus_geometry,,,0
2,1,1,4,z3,stiffness_std,,,0
2,1,1,4,z3,near_zero_fraction,,,0
2,1,1,4,z3,geometry_spans,,,0
2,1,1,4,z3,train_distance,,,0
2,1,1,4,z3,stiffness_plus_geometry,,,0
4,1,1,1,z0,stiffness_std,-0.014589128590164301,0.0002128426730203494,76
4,1,1,1,z0,near_zero_fraction,-0.8121801668540825,0.6596366234311252,76
4,1,1,1,z0,geometry_spans,-0.8353894841366905,0.6978755902061657,76
4,1,1,1,z0,train_distance,-0.8458667264003505,0.7154905188312455,76
4,1,1,1,z0,stiffness_plus_geometry,0.10851083174341393,0.011774600605647488,76
4,1,1,1,z1,stiffness_std,-0.009613716325175714,9.242354158095004e-05,76
4,1,1,1,z1,near_zero_fraction,0.8190918412955579,0.6709114444769474,76
4,1,1,1,z1,geometry_spans,0.8462146805383213,0.7160792855585731,76
4,1,1,1,z1,train_distance,0.8538860301714714,0.7291213525219948,76
4,1,1,1,z1,stiffness_plus_geometry,-0.1556934676336419,0.024240455863787896,76
4,1,1,1,z2,stiffness_std,0.021130270577027262,0.00044648833465838405,76
4,1,1,1,z2,near_zero_fraction,0.584295592539078,0.3414013394605923,76
4,1,1,1,z2,geometry_spans,0.645327536060436,0.41644762879783337,76
4,1,1,1,z2,train_distance,0.6482923307655747,0.4202829461294613,76
4,1,1,1,z2,stiffness_plus_geometry,-0.13332243160397564,0.01777487076879676,76
4,1,1,1,z3,stiffness_std,0.04989358099934985,0.0024893694249386845,76
4,1,1,1,z3,near_zero_fraction,-0.8147370979725475,0.6637965388127284,76
4,1,1,1,z3,geometry_spans,-0.8437570645282076,0.711925983941258,76
4,1,1,1,z3,train_distance,-0.8551244967364146,0.7312379049187062,76
4,1,1,1,z3,stiffness_plus_geometry,0.08560661268008184,0.007328492134557548,76
4,1,1,2,z0,stiffness_std,0.032595212659724405,0.001062447888332658,76
4,1,1,2,z0,near_zero_fraction,-0.715760036006355,0.5123124291438186,76
4,1,1,2,z0,geometry_spans,-0.7498744612113367,0.5623117075769926,76
4,1,1,2,z0,train_distance,-0.6066700968210578,0.3680486063768716,76
4,1,1,2,z0,stiffness_plus_geometry,0.03436688967534966,0.0011810831059576553,76
4,1,1,2,z1,stiffness_std,-0.032132851935982094,0.0010325201735397482,76
4,1,1,2,z1,near_zero_fraction,0.7106090515383903,0.5049652241282906,76
4,1,1,2,z1,geometry_spans,0.7476181945680161,0.55893296484914,76
4,1,1,2,z1,train_distance,0.6078100067600897,0.36943300431770026,76
4,1,1,2,z1,stiffness_plus_geometry,-0.03591178982896051,0.0012896566487194316,76
4,1,1,2,z2,stiffness_std,0.02557931769631902,0.0006543014938092194,76
4,1,1,2,z2,near_zero_fraction,-0.6915528717063787,0.47824537436533904,76
4,1,1,2,z2,geometry_spans,-0.7305530667954417,0.5337077834042252,76
4,1,1,2,z2,train_distance,-0.5937423856863772,0.35253002056055066,76
4,1,1,2,z2,stiffness_plus_geometry,0.03131587907804919,0.000980684282430999,76
4,1,1,2,z3,stiffness_std,0.030539942362487964,0.0009326880795040869,76
4,1,1,2,z3,near_zero_fraction,-0.7186329432503397,0.5164333071246459,76
4,1,1,2,z3,geometry_spans,-0.7505139937789453,0.5632712548580228,76
4,1,1,2,z3,train_distance,-0.6077429249341985,0.3693514628075748,76
4,1,1,2,z3,stiffness_plus_geometry,0.033830560615111,0.0011445068315326995,76
4,1,1,4,z0,stiffness_std,-0.1253134126827062,0.015703451398186234,76
4,1,1,4,z0,near_zero_fraction,0.7690479829904341,0.591434800141655,76
4,1,1,4,z0,geometry_spans,0.8151126367746612,0.6644086106297407,76
4,1,1,4,z0,train_distance,0.639500117264099,0.4089603999807964,76
4,1,1,4,z0,stiffness_plus_geometry,-0.12096481339655465,0.014632486080063288,76
4,1,1,4,z1,stiffness_std,-0.145600285651507,0.021199443181800438,76
4,1,1,4,z1,near_zero_fraction,0.7390127927719662,0.5461399078806211,76
4,1,1,4,z1,geometry_spans,0.7833293076917044,0.6136048042887648,76
4,1,1,4,z1,train_distance,0.5968366745357742,0.3562140160709216,76
4,1,1,4,z1,stiffness_plus_geometry,-0.1604967246263875,0.02575919861579846,76
4,1,1,4,z2,stiffness_std,0.16037551094342276,0.025720304510363914,76
4,1,1,4,z2,near_zero_fraction,-0.7734146989694005,0.5981702965819284,76
4,1,1,4,z2,geometry_spans,-0.8140151580034161,0.6626206774593264,76
4,1,1,4,z2,train_distance,-0.6441026719858717,0.4148682520593394,76
4,1,1,4,z2,stiffness_plus_geometry,0.16779958837872433,0.028156701860069317,76
4,1,1,4,z3,stiffness_std,0.1717790055046925,0.029508026732181173,76
4,1,1,4,z3,near_zero_fraction,-0.8033374488895362,0.6453510567883481,76
4,1,1,4,z3,geometry_spans,-0.8429574699693858,0.710577296177188,76
4,1,1,4,z3,train_distance,-0.6933618475486665,0.4807506516361002,76
4,1,1,4,z3,stiffness_plus_geometry,0.1742811787477003,0.03037392926568786,76
