latent_dim,repeat,train_networks,train_frames_per_network,signal,observed_r,abs_observed_r,null_abs_r_mean,null_abs_r_p95,empirical_p,n
1,1,1,1,z0,0.4994167903028588,0.4994167903028588,0.09229389818625056,0.22202366853956093,0.000999000999000999,76
1,1,1,1,z1,,,,,,0
1,1,1,1,z2,,,,,,0
1,1,1,1,z3,,,,,,0
1,1,1,2,z0,0.7366589353664627,0.7366589353664627,0.09577050236559034,0.22721485970424438,0.000999000999000999,76
1,1,1,2,z1,,,,,,0
1,1,1,2,z2,,,,,,0
1,1,1,2,z3,,,,,,0
1,1,1,4,z0,0.7502521203653415,0.7502521203653415,0.09353294975119258,0.21956260317673282,0.000999000999000999,76
1,1,1,4,z1,,,,,,0
1,1,1,4,z2,,,,,,0
1,1,1,4,z3,,,,,,0
2,1,1,1,z0,0.7885518278576764,0.7885518278576764,0.08931035553091979,0.21673688993779372,0.000999000999000999,76
2,1,1,1,z1,0.6333551488793641,0.6333551488793641,0.09289379020412687,0.21648275286425214,0.000999000999000999,76
2,1,1,1,z2,,,,,,0
2,1,1,1,z3,,,,,,0
2,1,1,2,z0,-0.33409218715576466,0.33409218715576466,0.09204890054729978,0.22610195336939742,0.005994005994005994,76
2,1,1,2,z1,0.16792306660639175,0.16792306660639175,0.09518238941160888,0.23108732175119107,0.16883116883116883,76
2,1,1,2,z2,,,,,,0
2,1,1,2,z3,,,,,,0
2,1,1,4,z0,-0.13163042459649127,0.13163042459649127,0.08915891084742011,0.22232971660978376,0.24875124875124874,76
2,1,1,4,z1,0.509790196536403,0.509790196536403,0.09554913152727847,0.23204358638263445,0.000999000999000999,76
2,1,1,4,z2,,,,,,0
2,1,1,4,z3,,,,,,0
4,1,1,1,z0,-0.8493339710100007,0.8493339710100007,0.09023127418160477,0.22128869973195203,0.000999000999000999,76
4,1,1,1,z1,0.8568005962526296,0.8568005962526296,0.09411193212911434,0.22519275138581085,0.000999000999000999,76
4,1,1,1,z2,0.649198611660094,0.649198611660094,0.0949246289697916,0.2326239932389901,0.000999000999000999,76
4,1,1,1,z3,-0.8497116059848181,0.8497116059848181,0.09240501155397833,0.22693349395286988,0.000999000999000999,76
4,1,1,2,z0,-0.7482891894129492,0.7482891894129492,0.09560119370850498,0.22868259079818432,0.000999000999000999,76
4,1,1,2,z1,0.7421232085741553,0.7421232085741553,0.09304850504134546,0.23679110095493372,0.000999000999000999,76
4,1,1,2,z2,-0.7218834626979859,0.7218834626979859,0.09055803482322836,0.2178505593248249,0.000999000999000999,76
4,1,1,2,z3,-0.7506428059700493,0.7506428059700493,0.08898632968262771,0.2276760924068445,0.000999000999000999,76
4,1,1,4,z0,0.8039293067709162,0.8039293067709162,0.09149314786550641,0.23242042295584714,0.000999000999000999,76
4,1,1,4,z1,0.7786928156785744,0.7786928156785744,0.09165008032286832,0.223058884937422,0.000999000999000999,76
4,1,1,4,z2,-0.8084038896295582,0.8084038896295582,0.0934000466742396,0.22165170508569773,0.000999000999000999,76
4,1,1,4,z3,-0.8373513182254452,0.8373513182254452,0.09389322843282298,0.229752856407703,0.000999000999000999,76
