latent_dim,repeat,train_networks,train_frames_per_network,signal,val_final_p_ratio_r,test_final_p_ratio_r,test_final_p_ratio_corr_r2,test_final_p_ratio_val_fit_r2
1,1,1,1,z0,0.5797714959968907,0.4994167903028588,0.24941713043640965,0.1682468454897117
1,1,1,1,z1,,,,
1,1,1,1,z2,,,,
1,1,1,1,z3,,,,
1,1,1,2,z0,0.8766810354869969,0.7366589353664627,0.5426663870552502,0.519299719931728
1,1,1,2,z1,,,,
1,1,1,2,z2,,,,
1,1,1,2,z3,,,,
1,1,1,4,z0,0.7183499388213029,0.7502521203653415,0.5628782441126908,0.56112551744878
1,1,1,4,z1,,,,
1,1,1,4,z2,,,,
1,1,1,4,z3,,,,
2,1,1,1,z0,0.9175076489706793,0.7885518278576764,0.6218139852176825,0.5582304214183018
2,1,1,1,z1,0.6169374485965826,0.6333551488793641,0.40113874461200144,0.32770537980685965
2,1,1,1,z2,,,,
2,1,1,1,z3,,,,
2,1,1,2,z0,-0.2075845105922719,-0.33409218715576466,0.11161758951852248,0.09995157904536078
2,1,1,2,z1,0.366931791813157,0.16792306660639175,0.028198156298494682,-0.037541989431769895
2,1,1,2,z2,,,,
2,1,1,2,z3,,,,
2,1,1,4,z0,-0.21223107647482536,-0.13163042459649127,0.017326568679452575,-0.0025657258595139787
2,1,1,4,z1,0.4533091310282526,0.509790196536403,0.2598860444846244,0.20980937483195206
2,1,1,4,z2,,,,
2,1,1,4,z3,,,,
4,1,1,1,z0,-0.8427504847207151,-0.8493339710100007,0.7213681943116168,0.7140420025333634
4,1,1,1,z1,0.8430012636219364,0.8568005962526296,0.7341072617388616,0.7310516080030761
4,1,1,1,z2,0.5607530401128581,0.649198611660094,0.4214588373813935,0.4123687772387997
4,1,1,1,z3,-0.875512981813211,-0.8497116059848181,0.7220098133452988,0.7026753810446327
4,1,1,2,z0,-0.8311296071507988,-0.7482891894129492,0.5599367109922886,0.5448354997061248
4,1,1,2,z1,0.8252691613297922,0.7421232085741553,0.5507468567043992,0.5362402984241211
4,1,1,2,z2,-0.8062022339879877,-0.7218834626979859,0.5211157337168344,0.5027104193128369
4,1,1,2,z3,-0.8297602609478287,-0.7506428059700493,0.563464622154589,0.5483458229477232
4,1,1,4,z0,0.8444100464253709,0.8039293067709162,0.6463023302851659,0.5675303913806473
4,1,1,4,z1,0.8344244379399702,0.7786928156785744,0.6063625011894263,0.527500577838988
4,1,1,4,z2,-0.850831769250133,-0.8084038896295582,0.6535168487681989,0.581593667588626
4,1,1,4,z3,-0.8684942040015944,-0.8373513182254452,0.7011572301338908,0.6255010973942037
