latent_dim,repeat,train_networks,train_frames_per_network,split,signal,target,pearson_r,corr_r2,n
1,1,1,1,test,z0,trajectory_progress_frame_frac,-0.7392365855711587,0.546470729446905,800
1,1,1,1,test,z1,trajectory_progress_frame_frac,,,0
1,1,1,1,test,z2,trajectory_progress_frame_frac,,,0
1,1,1,1,test,z3,trajectory_progress_frame_frac,,,0
1,1,1,2,test,z0,trajectory_progress_frame_frac,-0.6979767801288975,0.48717158559910334,800
1,1,1,2,test,z1,trajectory_progress_frame_frac,,,0
1,1,1,2,test,z2,trajectory_progress_frame_frac,,,0
1,1,1,2,test,z3,trajectory_progress_frame_frac,,,0
1,1,1,4,test,z0,trajectory_progress_frame_frac,0.6183863197858953,0.3824016404983436,800
1,1,1,4,test,z1,trajectory_progress_frame_frac,,,0
1,1,1,4,test,z2,trajectory_progress_frame_frac,,,0
1,1,1,4,test,z3,trajectory_progress_frame_frac,,,0
2,1,1,1,test,z0,trajectory_progress_frame_frac,-0.8089436776741922,0.6543898736490473,800
2,1,1,1,test,z1,trajectory_progress_frame_frac,-0.8234352447860598,0.6780456023558782,800
2,1,1,1,test,z2,trajectory_progress_frame_frac,,,0
2,1,1,1,test,z3,trajectory_progress_frame_frac,,,0
2,1,1,2,test,z0,trajectory_progress_frame_frac,-0.620153324612433,0.3845901460278537,800
2,1,1,2,test,z1,trajectory_progress_frame_frac,-0.6195852791675672,0.3838859181611522,800
2,1,1,2,test,z2,trajectory_progress_frame_frac,,,0
2,1,1,2,test,z3,trajectory_progress_frame_frac,,,0
2,1,1,4,test,z0,trajectory_progress_frame_frac,0.5910287542332212,0.3493149883304734,800
2,1,1,4,test,z1,trajectory_progress_frame_frac,-0.5919559124436413,0.35041180227698393,800
2,1,1,4,test,z2,trajectory_progress_frame_frac,,,0
2,1,1,4,test,z3,trajectory_progress_frame_frac,,,0
4,1,1,1,test,z0,trajectory_progress_frame_frac,0.18988038834887297,0.03605456187951881,800
4,1,1,1,test,z1,trajectory_progress_frame_frac,0.5776651395241781,0.3336970134214881,800
4,1,1,1,test,z2,trajectory_progress_frame_frac,-0.7531317046656895,0.5672073645726473,800
4,1,1,1,test,z3,trajectory_progress_frame_frac,0.855510220609222,0.7318977375668397,800
4,1,1,2,test,z0,trajectory_progress_frame_frac,0.6499882196959289,0.42248468574348313,800
4,1,1,2,test,z1,trajectory_progress_frame_frac,-0.6545965930065055,0.4284966995757246,800
4,1,1,2,test,z2,trajectory_progress_frame_frac,0.6539593511259377,0.4276628329250575,800
4,1,1,2,test,z3,trajectory_progress_frame_frac,0.6481247126372032,0.4200656431310572,800
4,1,1,4,test,z0,trajectory_progress_frame_frac,-0.8100710390369792,0.656215088286451,800
4,1,1,4,test,z1,trajectory_progress_frame_frac,-0.8101022671123287,0.6562656831805347,800
4,1,1,4,test,z2,trajectory_progress_frame_frac,0.8093000541348859,0.6549665776227293,800
4,1,1,4,test,z3,trajectory_progress_frame_frac,0.8092723505666779,0.654921737391716,800
